simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07649979378463567,1.1084659859628818,1.0319661921782461,nichte,nichte,fädder,nichte,nichte,fädder,fädder,suster,nichte,fädder,nichte,fädder,fädder,nichte,nichte,fädder,nichte,nichte,nichte,nichte,fädder,fädder,fädder,bruur,nichte,fädder,nichte,fädder,nichte,nichte,nichte,bruur,nichte,nichte,nichte,fädder,fädder,fädder,fädder,nichte,nichte,fädder,fädder,fädder,nichte,fädder,fädder,nichte,nichte,fädder,nichte,fädder,suster,fädder,fädder,nichte,fädder,suster,nichte,nichte,fädder,nichte,suster,fädder,bruur,fädder,nichte,fädder,bruur,nichte,nichte,bruur,fädder,fädder,fädder,fädder,fädder,nichte,fädder,fädder,suster,nichte,suster,fädder,nichte,nichte,nichte,nichte,fädder,unkel,määme,möie,määme,möie,möie,möie,möie,unkel,möie,foar,unkel,unkel,unkel,möie,unkel,unkel,möie,möie,unkel,unkel,unkel,möie,möie,foar,unkel,möie,unkel
1,0.11120478612697582,1.1182555465148827,1.0070507603879069,fädder,nichte,nichte,fädder,fädder,nichte,fädder,nichte,nichte,suster,fädder,nichte,nichte,suster,nichte,bruur,nichte,nichte,fädder,suster,nichte,fädder,nichte,fädder,fädder,fädder,bruur,nichte,fädder,nichte,fädder,nichte,nichte,suster,nichte,fädder,nichte,fädder,fädder,nichte,nichte,fädder,nichte,fädder,fädder,nichte,nichte,nichte,nichte,fädder,fädder,nichte,bruur,suster,fädder,fädder,fädder,nichte,fädder,nichte,fädder,nichte,fädder,fädder,fädder,fädder,fädder,nichte,fädder,fädder,fädder,nichte,nichte,fädder,fädder,suster,nichte,fädder,nichte,nichte,nichte,nichte,fädder,fädder,nichte,bruur,bruur,fädder,nichte,foar,unkel,möie,unkel,unkel,möie,unkel,möie,unkel,möie,unkel,määme,möie,unkel,unkel,unkel,unkel,möie,määme,möie,möie,möie,unkel,möie,möie,möie,foar,unkel
2,0.05685213828028335,1.1099733714960363,1.053121233215753,nichte,fädder,fädder,fädder,nichte,nichte,fädder,fädder,nichte,nichte,fädder,nichte,fädder,suster,nichte,fädder,suster,nichte,nichte,fädder,nichte,fädder,nichte,fädder,nichte,nichte,fädder,fädder,fädder,nichte,nichte,fädder,nichte,nichte,suster,fädder,bruur,fädder,fädder,nichte,fädder,nichte,nichte,nichte,nichte,nichte,nichte,fädder,nichte,fädder,fädder,nichte,suster,fädder,nichte,nichte,fädder,fädder,bruur,nichte,nichte,fädder,nichte,nichte,nichte,fädder,fädder,nichte,fädder,fädder,suster,fädder,fädder,nichte,nichte,nichte,fädder,suster,fädder,fädder,fädder,bruur,bruur,nichte,fädder,bruur,nichte,fädder,fädder,määme,möie,unkel,möie,unkel,unkel,möie,unkel,unkel,foar,foar,möie,möie,möie,unkel,unkel,unkel,unkel,määme,möie,unkel,unkel,möie,möie,möie,unkel,möie,möie
3,0.038299989973012094,1.1004693039020752,1.062169313929063,nichte,fädder,bruur,nichte,nichte,fädder,fädder,nichte,bruur,fädder,nichte,fädder,fädder,fädder,nichte,nichte,nichte,fädder,nichte,nichte,fädder,fädder,fädder,suster,fädder,nichte,fädder,fädder,suster,fädder,nichte,fädder,fädder,fädder,fädder,nichte,nichte,fädder,nichte,nichte,nichte,fädder,nichte,fädder,nichte,nichte,nichte,nichte,nichte,fädder,nichte,suster,fädder,fädder,nichte,fädder,fädder,bruur,fädder,fädder,fädder,suster,nichte,fädder,bruur,nichte,nichte,fädder,nichte,nichte,nichte,fädder,nichte,nichte,fädder,nichte,suster,nichte,nichte,nichte,fädder,fädder,suster,nichte,fädder,bruur,nichte,fädder,fädder,möie,unkel,möie,möie,unkel,unkel,unkel,möie,unkel,unkel,foar,unkel,möie,möie,foar,möie,unkel,möie,möie,määme,unkel,unkel,määme,möie,möie,möie,unkel,unkel
4,0.05471204744762659,1.098007244016394,1.0432951965687673,nichte,fädder,nichte,fädder,nichte,nichte,fädder,bruur,suster,nichte,nichte,fädder,fädder,fädder,fädder,fädder,fädder,bruur,nichte,fädder,nichte,fädder,nichte,fädder,nichte,nichte,nichte,fädder,fädder,nichte,fädder,nichte,suster,fädder,suster,fädder,bruur,nichte,fädder,nichte,fädder,fädder,nichte,nichte,fädder,fädder,fädder,nichte,nichte,nichte,fädder,fädder,fädder,fädder,nichte,nichte,fädder,nichte,fädder,bruur,nichte,nichte,fädder,nichte,suster,nichte,nichte,fädder,nichte,nichte,fädder,nichte,fädder,nichte,nichte,fädder,fädder,bruur,nichte,nichte,fädder,fädder,nichte,fädder,nichte,suster,nichte,suster,fädder,unkel,möie,möie,unkel,möie,unkel,unkel,möie,unkel,möie,foar,unkel,möie,möie,möie,määme,unkel,unkel,möie,määme,unkel,möie,unkel,unkel,möie,foar,unkel,möie
5,0.05146987692596916,1.0841915396665787,1.0327216627406095,nichte,fädder,suster,nichte,fädder,suster,nichte,nichte,fädder,fädder,fädder,fädder,nichte,fädder,nichte,nichte,fädder,fädder,nichte,suster,fädder,fädder,fädder,nichte,nichte,nichte,nichte,nichte,fädder,nichte,nichte,nichte,nichte,fädder,fädder,nichte,fädder,fädder,fädder,nichte,nichte,fädder,nichte,fädder,nichte,nichte,bruur,nichte,suster,nichte,suster,nichte,bruur,fädder,bruur,fädder,fädder,bruur,fädder,nichte,nichte,fädder,nichte,fädder,nichte,nichte,nichte,fädder,fädder,nichte,fädder,nichte,fädder,fädder,fädder,nichte,nichte,fädder,fädder,nichte,fädder,fädder,suster,fädder,nichte,nichte,fädder,fädder,bruur,möie,möie,unkel,unkel,möie,möie,unkel,unkel,unkel,unkel,foar,unkel,möie,unkel,unkel,möie,määme,unkel,unkel,möie,määme,möie,unkel,möie,möie,foar,möie,möie
6,0.050604698491449884,1.0841915396665787,1.0335868411751288,fädder,nichte,nichte,fädder,fädder,fädder,fädder,fädder,nichte,suster,fädder,nichte,fädder,nichte,fädder,nichte,nichte,fädder,fädder,bruur,fädder,nichte,fädder,fädder,nichte,fädder,nichte,nichte,nichte,fädder,fädder,suster,nichte,fädder,nichte,nichte,fädder,fädder,nichte,nichte,nichte,fädder,nichte,nichte,fädder,suster,nichte,fädder,fädder,nichte,fädder,nichte,fädder,nichte,bruur,bruur,fädder,fädder,nichte,fädder,nichte,nichte,nichte,bruur,fädder,nichte,fädder,suster,nichte,nichte,nichte,nichte,nichte,suster,nichte,nichte,nichte,fädder,fädder,suster,bruur,fädder,nichte,nichte,fädder,fädder,fädder,fädder,fädder,möie,möie,unkel,unkel,määme,unkel,foar,unkel,määme,unkel,unkel,unkel,möie,unkel,möie,möie,unkel,unkel,möie,möie,foar,unkel,möie,möie,unkel,möie,möie,möie
7,0.04908926386604473,1.0830864648769403,1.0339972010108955,nichte,fädder,nichte,fädder,nichte,nichte,nichte,nichte,fädder,fädder,fädder,fädder,fädder,fädder,bruur,nichte,nichte,nichte,nichte,nichte,fädder,fädder,nichte,nichte,fädder,fädder,nichte,bruur,nichte,nichte,suster,nichte,fädder,fädder,nichte,nichte,fädder,nichte,fädder,fädder,fädder,bruur,fädder,nichte,fädder,fädder,fädder,nichte,fädder,fädder,suster,fädder,nichte,nichte,nichte,nichte,nichte,nichte,nichte,fädder,fädder,nichte,nichte,fädder,nichte,nichte,fädder,fädder,bruur,suster,fädder,nichte,fädder,fädder,fädder,nichte,suster,nichte,fädder,fädder,nichte,nichte,fädder,nichte,suster,bruur,fädder,fädder,suster,unkel,unkel,möie,unkel,möie,möie,möie,määme,unkel,unkel,möie,möie,möie,unkel,unkel,unkel,foar,möie,möie,unkel,määme,unkel,foar,möie,unkel,möie,unkel,möie
8,0.0763042570122594,1.0830864648769403,1.0067822078646809,fädder,nichte,nichte,nichte,fädder,nichte,nichte,nichte,fädder,fädder,fädder,fädder,fädder,nichte,fädder,nichte,suster,bruur,fädder,nichte,fädder,nichte,fädder,suster,nichte,nichte,fädder,nichte,fädder,fädder,fädder,nichte,suster,fädder,nichte,fädder,nichte,nichte,nichte,suster,nichte,nichte,fädder,nichte,fädder,bruur,fädder,fädder,fädder,fädder,fädder,nichte,nichte,nichte,fädder,nichte,nichte,fädder,fädder,fädder,fädder,fädder,suster,fädder,nichte,nichte,nichte,fädder,nichte,bruur,suster,nichte,nichte,nichte,fädder,fädder,nichte,fädder,fädder,nichte,nichte,nichte,nichte,fädder,bruur,fädder,bruur,fädder,nichte,möie,möie,unkel,möie,möie,unkel,unkel,määme,möie,unkel,unkel,unkel,möie,unkel,unkel,möie,unkel,möie,möie,foar,määme,möie,unkel,unkel,unkel,möie,möie,foar
9,0.0907894985380302,1.1122310979013275,1.0214415993632973,suster,nichte,fädder,nichte,fädder,nichte,fädder,fädder,fädder,fädder,fädder,nichte,nichte,bruur,nichte,fädder,nichte,nichte,nichte,fädder,fädder,fädder,fädder,fädder,nichte,nichte,fädder,suster,bruur,nichte,fädder,nichte,nichte,fädder,fädder,nichte,nichte,fädder,fädder,nichte,nichte,nichte,nichte,fädder,fädder,fädder,fädder,nichte,nichte,fädder,fädder,nichte,nichte,nichte,nichte,nichte,nichte,fädder,fädder,fädder,fädder,fädder,nichte,suster,fädder,bruur,fädder,fädder,suster,fädder,bruur,nichte,nichte,nichte,fädder,fädder,nichte,suster,nichte,nichte,nichte,fädder,nichte,nichte,bruur,fädder,fädder,nichte,suster,foar,unkel,möie,foar,unkel,unkel,määme,unkel,möie,unkel,määme,möie,unkel,möie,unkel,möie,möie,möie,möie,unkel,unkel,möie,möie,unkel,unkel,möie,unkel,möie
