simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.5033085484200861,1.366158847569202,0.8628502991491158,nyquy,nyquy,cuhuba,nyquy,cuhuba,cuhuba,guahaza,cuhuba,nyquy,guahaza,guahaza,guahaza,zepaba,zepaba fucha,zuaia,guaia,pabi,zuaia,zepaba fucha,zuecha,zuaia,zepaba,zepaba fucha,zuaia,zepaba,zepaba,zuecha,zuaia,zepaba fucha,zuecha,zepaba,zepaba fucha,zepaba fucha,zuecha,zuaia,pabi,zuecha,guaia,zuecha,zepaba
1,0.07132558967123592,1.0296530140645737,0.9583274243933377,guahaza,guahaza,nyquy,cuhuba,nyquy,guahaza,cuhuba,cuhuba,cuhuba,nyquy,nyquy,guahaza,zuecha,zepaba,zepaba fucha,zuaia,zepaba,zepaba fucha,zepaba fucha,zuecha,zuecha,zuaia,zepaba fucha,zuaia,zuaia,zuecha,pabi,zepaba,zepaba fucha,zepaba fucha,guaia,zuecha,pabi,zepaba,zuaia,zepaba,guaia,zepaba,zuaia,zuecha
2,0.13202275278874231,1.0888999753452238,0.9568772225564814,nyquy,guahaza,nyquy,nyquy,cuhuba,guahaza,cuhuba,guahaza,cuhuba,guahaza,nyquy,cuhuba,zepaba fucha,zuaia,pabi,zuecha,zuaia,zepaba,zuaia,guaia,zepaba fucha,zuecha,zuecha,zepaba fucha,pabi,zuecha,zepaba,zepaba,guaia,zuecha,zepaba,zuaia,zuecha,zepaba fucha,zuaia,zepaba,zuaia,zepaba fucha,zepaba,zepaba fucha
3,0.08887044192097537,0.9502705392332347,0.8614000973122593,cuhuba,guahaza,nyquy,nyquy,nyquy,guahaza,guahaza,cuhuba,nyquy,guahaza,cuhuba,cuhuba,zuecha,zuecha,zepaba,zepaba fucha,zepaba,zepaba,zuaia,zepaba fucha,zuecha,zepaba fucha,zepaba,pabi,zuecha,zepaba,zuaia,guaia,zuaia,guaia,zepaba,zuaia,pabi,zuaia,zepaba fucha,zepaba fucha,zepaba fucha,zuecha,zuecha,zuaia
4,0.07277579150809232,1.0296530140645737,0.9568772225564813,nyquy,guahaza,cuhuba,nyquy,nyquy,guahaza,cuhuba,guahaza,guahaza,cuhuba,cuhuba,nyquy,zepaba fucha,zuecha,zepaba fucha,zepaba,zuecha,zuaia,zuaia,zuecha,zuecha,zuaia,zuaia,zepaba fucha,zuecha,pabi,zepaba fucha,zuaia,zepaba,zepaba,zepaba,pabi,zepaba,zepaba fucha,zepaba fucha,zepaba,guaia,zuaia,zuecha,guaia
5,0.03824103557881309,0.6931471805599453,0.6549061449811322,guahaza,cuhuba,guahaza,cuhuba,guahaza,nyquy,guahaza,nyquy,cuhuba,nyquy,nyquy,cuhuba,zuecha,zuaia,zuecha,zepaba fucha,pabi,zuecha,pabi,zuaia,zepaba,guaia,zuecha,zepaba,zepaba,zepaba fucha,zuaia,zuecha,zepaba fucha,zepaba,zuecha,zepaba fucha,zepaba,zepaba fucha,zuaia,zepaba,zepaba fucha,zuaia,guaia,zuaia
6,0.20133747084473697,1.0888999753452238,0.8875625045004868,cuhuba,guahaza,nyquy,nyquy,cuhuba,nyquy,cuhuba,guahaza,guahaza,cuhuba,nyquy,guahaza,zepaba fucha,pabi,zuaia,zepaba,zepaba fucha,zepaba,zuaia,zuecha,zepaba,zuecha,pabi,guaia,zepaba,zuaia,zuecha,zuecha,zepaba,zepaba fucha,zuaia,zepaba,zepaba fucha,zepaba fucha,zepaba fucha,zuaia,zuecha,zuecha,zuaia,guaia
7,0.07969793841228778,1.366158847569202,1.2864609091569141,nyquy,cuhuba,nyquy,guahaza,guahaza,cuhuba,guahaza,cuhuba,nyquy,nyquy,cuhuba,guahaza,zepaba,zuecha,zuaia,pabi,zuaia,zuecha,zuecha,guaia,zuecha,guaia,zuecha,zuaia,zuaia,zepaba,zepaba fucha,pabi,zuaia,zepaba,zepaba fucha,zepaba,zepaba fucha,zepaba fucha,zepaba fucha,zepaba,zuecha,zepaba fucha,zepaba,zuaia
8,0.14209050956408675,1.0296530140645737,0.8875625045004869,nyquy,cuhuba,cuhuba,nyquy,guahaza,cuhuba,cuhuba,guahaza,guahaza,nyquy,nyquy,guahaza,zepaba,zuecha,pabi,zuaia,zepaba fucha,zepaba fucha,zuaia,zuecha,guaia,zepaba,zepaba,zepaba,zepaba fucha,zuaia,zepaba fucha,zuecha,zuecha,zuecha,guaia,zepaba,zuecha,pabi,zepaba fucha,zuaia,zuaia,zepaba fucha,zuaia,zepaba
9,0.0974879968594633,1.0296530140645737,0.9321650172051104,cuhuba,guahaza,nyquy,cuhuba,nyquy,guahaza,cuhuba,cuhuba,guahaza,nyquy,nyquy,guahaza,zepaba,pabi,pabi,zuaia,zepaba fucha,zuecha,zepaba fucha,zepaba,zuaia,zuecha,zuecha,zuaia,zuaia,zepaba,zepaba,zuecha,guaia,zepaba fucha,zepaba fucha,zuaia,zepaba fucha,zepaba,zuecha,zepaba,guaia,zuaia,zepaba fucha,zuecha
