simulation_number,mutual_information,entropy,conditional_entropy,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.023209562924947136,1.1401556299335989,1.1169460670086517,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-onax,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-tˀox,-txoʔk,-txoʔk,-tˀox,-tata,-tˀox,-txoʔk,-mimi,-tˀox,-txoʔk,-tˀox,-tˀox,-txoʔk,-txoʔk,-tata,-txoʔk,-txoʔk,-tˀox,-mimi,-tˀox,-tˀox,-txoʔk,-txoʔk,-tˀox,-txoʔk,-tˀox,-txoʔk,-tˀox
1,0.01578916925573326,1.110050755735326,1.0942615864795928,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-onax,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-tˀox,-tˀox,-txoʔk,-tˀox,-tˀox,-tˀox,-tˀox,-txoʔk,-txoʔk,-tˀox,-tata,-tata,-tˀox,-txoʔk,-tˀox,-txoʔk,-txoʔk,-txoʔk,-mimi,-tˀox,-txoʔk,-tˀox,-txoʔk,-txoʔk,-tˀox,-txoʔk,-mimi,-txoʔk
2,0.02411408232228962,1.095458463054483,1.0713443807321934,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-onax,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-txoʔk,-txoʔk,-txoʔk,-mimi,-tˀox,-tˀox,-txoʔk,-txoʔk,-tˀox,-txoʔk,-txoʔk,-txoʔk,-tata,-tˀox,-txoʔk,-tˀox,-tˀox,-tˀox,-tˀox,-tˀox,-txoʔk,-tˀox,-tata,-mimi,-tˀox,-tˀox,-txoʔk,-txoʔk
3,0.03593046752904705,1.0895498052428239,1.0536193377137768,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-onax,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-mimi,-tˀox,-txoʔk,-mimi,-txoʔk,-tˀox,-tata,-txoʔk,-tˀox,-txoʔk,-tˀox,-txoʔk,-tˀox,-txoʔk,-txoʔk,-tˀox,-tˀox,-tˀox,-tˀox,-tˀox,-txoʔk,-txoʔk,-tata,-txoʔk,-tˀox,-txoʔk,-txoʔk,-tˀox
4,0.06604278308030798,0.9851238047553047,0.9190810216749967,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-onax,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-mimi,-mimi,-txoʔk,-txoʔk,-tˀox,-txoʔk,-tˀox,-txoʔk,-tata,-txoʔk,-txoʔk,-tˀox,-tˀox,-txoʔk,-txoʔk,-tˀox,-txoʔk,-txoʔk,-tˀox,-tˀox,-tˀox,-tˀox,-txoʔk,-tˀox,-tˀox,-tata,-tˀox,-txoʔk
5,0.023034531702477934,0.9440693577069919,0.9210348260045139,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-onax,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-txoʔk,-tata,-txoʔk,-tˀox,-txoʔk,-tˀox,-tˀox,-txoʔk,-tˀox,-txoʔk,-txoʔk,-tˀox,-tˀox,-txoʔk,-txoʔk,-mimi,-txoʔk,-txoʔk,-tˀox,-tˀox,-tˀox,-mimi,-tˀox,-tˀox,-tˀox,-txoʔk,-txoʔk,-tata
6,0.042272147096270585,1.089336885497078,1.0470647384008074,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-onax,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-mimi,-txoʔk,-tˀox,-tˀox,-txoʔk,-txoʔk,-tˀox,-mimi,-tˀox,-txoʔk,-txoʔk,-tˀox,-txoʔk,-tata,-tˀox,-txoʔk,-tˀox,-txoʔk,-tˀox,-tata,-txoʔk,-tˀox,-txoʔk,-tˀox,-txoʔk,-tˀox,-tˀox,-txoʔk
7,0.06638473421822333,1.1612905610845012,1.094905826866278,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-onax,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-tˀox,-tˀox,-tˀox,-tˀox,-tˀox,-mimi,-txoʔk,-txoʔk,-txoʔk,-tˀox,-tˀox,-tˀox,-tˀox,-txoʔk,-txoʔk,-txoʔk,-txoʔk,-tata,-txoʔk,-txoʔk,-tata,-tˀox,-txoʔk,-tˀox,-txoʔk,-tˀox,-txoʔk,-mimi
8,0.051664492987429256,1.0531850079034888,1.0015205149160595,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-onax,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-tˀox,-tˀox,-tˀox,-txoʔk,-txoʔk,-tˀox,-mimi,-mimi,-tˀox,-tˀox,-txoʔk,-txoʔk,-txoʔk,-tˀox,-txoʔk,-txoʔk,-tˀox,-txoʔk,-txoʔk,-txoʔk,-txoʔk,-tˀox,-tˀox,-tˀox,-tˀox,-tata,-tata,-txoʔk
9,0.035017188026425394,1.143939628047346,1.1089224400209206,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-onax,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-čeklaʔ,-sunxa,-čeklaʔ,-čeklaʔ,-tˀox,-tˀox,-txoʔk,-tˀox,-mimi,-tˀox,-tˀox,-txoʔk,-tˀox,-txoʔk,-tˀox,-txoʔk,-txoʔk,-txoʔk,-txoʔk,-mimi,-tˀox,-txoʔk,-tata,-tˀox,-txoʔk,-txoʔk,-tˀox,-tˀox,-txoʔk,-txoʔk,-tata,-tˀox
