simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.044101374906299284,1.0366279688586069,0.9925265939523076,iknitl,weltihtli,weltihtli,iknitl,iknitl,weltihtli,weltihtli,iknitl,iknitl,weltihtli,weltihtli,tlaitl,awitl,tahtli,tlaitl,tlaitl,tahtli,tlaitl,tlaitl,nantli,tlaitl,tlaitl,tlaitl,awitl,awitl,tlaitl,nantli,tlaitl,tlaitl,awitl,awitzin,awitl,awitl,awitl,awitl,awitl,awitzin,awitl,tlaitl
1,0.09293744783452484,1.0366279688586069,0.943690521024082,weltihtli,iknitl,iknitl,iknitl,weltihtli,weltihtli,weltihtli,iknitl,weltihtli,iknitl,weltihtli,awitl,tlaitl,awitl,tahtli,tlaitl,tlaitl,awitl,awitl,awitzin,awitl,awitl,tlaitl,tlaitl,tlaitl,nantli,tlaitl,tlaitl,awitzin,tlaitl,nantli,tlaitl,tlaitl,awitl,awitl,awitl,awitl,tahtli,tlaitl
2,0.04399570990738738,0.5297061990576545,0.4857104891502671,iknitl,weltihtli,weltihtli,iknitl,weltihtli,weltihtli,weltihtli,iknitl,iknitl,weltihtli,iknitl,awitl,awitl,awitzin,tlaitl,awitl,awitl,awitl,tahtli,awitl,awitzin,nantli,tlaitl,awitl,tlaitl,tlaitl,awitl,nantli,tlaitl,tlaitl,tlaitl,tlaitl,awitl,tlaitl,tlaitl,tahtli,tlaitl,tlaitl,awitl
3,0.04160097867908574,0.6931471805599453,0.6515462018808595,weltihtli,weltihtli,weltihtli,iknitl,weltihtli,weltihtli,iknitl,weltihtli,iknitl,iknitl,iknitl,tlaitl,awitl,awitl,tahtli,tlaitl,awitzin,tlaitl,awitl,tlaitl,tlaitl,tahtli,awitzin,tlaitl,awitl,awitl,tlaitl,tlaitl,tlaitl,awitl,tlaitl,tlaitl,awitl,awitl,nantli,awitl,nantli,awitl,tlaitl
4,0.05372898587442776,0.6869615765973234,0.6332325907228956,weltihtli,weltihtli,weltihtli,iknitl,iknitl,iknitl,iknitl,weltihtli,weltihtli,iknitl,weltihtli,tlaitl,tlaitl,nantli,awitl,tlaitl,awitl,tlaitl,tlaitl,awitl,tlaitl,tlaitl,awitl,tlaitl,awitzin,tahtli,tahtli,awitzin,tlaitl,awitl,awitl,awitl,awitl,tlaitl,awitl,tlaitl,tlaitl,awitl,nantli
5,0.09543784406173894,1.3801087571572688,1.2846709130955298,iknitl,iknitl,weltihtli,weltihtli,weltihtli,iknitl,weltihtli,weltihtli,iknitl,iknitl,weltihtli,awitl,awitzin,tlaitl,awitl,tlaitl,tlaitl,tlaitl,awitl,awitl,tlaitl,tlaitl,tlaitl,awitl,awitl,tlaitl,nantli,nantli,tahtli,awitl,tlaitl,awitl,tlaitl,tlaitl,awitl,tlaitl,awitzin,tahtli,awitl
6,0.1220067891547778,1.036627968858607,0.9146211797038293,iknitl,weltihtli,weltihtli,weltihtli,weltihtli,weltihtli,iknitl,iknitl,iknitl,iknitl,weltihtli,awitl,tahtli,awitzin,tlaitl,nantli,nantli,tlaitl,awitl,tlaitl,tlaitl,tlaitl,awitl,awitl,tlaitl,awitl,tlaitl,tlaitl,awitl,awitzin,tahtli,tlaitl,awitl,awitl,tlaitl,tlaitl,awitl,awitl,tlaitl
7,0.12200678915477758,1.0366279688586069,0.9146211797038293,iknitl,weltihtli,weltihtli,weltihtli,weltihtli,weltihtli,iknitl,iknitl,iknitl,weltihtli,iknitl,tlaitl,awitzin,awitl,awitl,awitl,awitl,awitl,tlaitl,nantli,awitzin,tlaitl,tlaitl,tlaitl,nantli,awitl,tlaitl,tlaitl,awitl,tahtli,tlaitl,awitl,awitl,tlaitl,tlaitl,tlaitl,tahtli,tlaitl,awitl
8,0.04008298149151868,0.5908422462755826,0.5507592647840639,weltihtli,weltihtli,weltihtli,iknitl,weltihtli,iknitl,iknitl,weltihtli,weltihtli,iknitl,iknitl,tlaitl,awitl,tlaitl,nantli,awitl,tlaitl,awitl,awitzin,awitzin,tlaitl,tlaitl,nantli,tlaitl,tahtli,tlaitl,tlaitl,tlaitl,awitl,awitl,awitl,tlaitl,tlaitl,tahtli,awitl,awitl,tlaitl,awitl,awitl
9,0.03541537471646383,0.9950269901795212,0.9596116154630574,weltihtli,iknitl,weltihtli,weltihtli,iknitl,iknitl,weltihtli,iknitl,iknitl,weltihtli,weltihtli,awitl,awitl,awitl,tlaitl,tahtli,nantli,awitl,tlaitl,awitl,awitl,tlaitl,tlaitl,nantli,tlaitl,awitzin,tlaitl,awitzin,awitl,tlaitl,tlaitl,tahtli,tlaitl,tlaitl,tlaitl,awitl,tlaitl,awitl,awitl
