simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.15980888864007892,0.6909233093138181,0.5311144206737392,tugane,"mahakitaga, mahakitaga fakamui","matakainaanga, tehina","matakainaanga, tehina",tugane,"tugane, tugane fakamui",mahakitaga,"matakainaanga, tehina",tugane,"mahakitaga, mahakitaga fakamui","matakainaanga, tehina","tugane, tugane fakamui","matakainaanga, tehina","matakainaanga, tehina",mahakitaga,"matakainaga, matakainaanga, taokete",mahakitaga,"matakainaga, matakainaanga, taokete","mahakitaga, mahakitaga fakamui","matakainaga, matakainaanga, taokete",mahakitaga,"tugane, tugane fakamui","matakainaanga, taokete",mahakitaga,tugane,"mahakitaga, mahakitaga fakamui","matakainaanga, taokete","tugane, tugane fakamui","matakainaanga, tehina","matakainaanga, taokete","matakainaanga, tehina","matakainaanga, taokete","tugane, tugane fakamui","matakainaga, matakainaanga, taokete","mahakitaga, mahakitaga fakamui","matakainaanga, taokete","matakainaanga, tehina",tugane,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua tane
1,0.047156298361086924,0.6925915220779792,0.6454352237168923,"matakainaga, matakainaanga, taokete","matakainaanga, tehina",mahakitaga,"matakainaanga, tehina","matakainaanga, tehina",tugane,mahakitaga,mahakitaga,tugane,"mahakitaga, mahakitaga fakamui","matakainaanga, taokete",mahakitaga,"matakainaanga, taokete","matakainaanga, taokete","matakainaga, matakainaanga, taokete","tugane, tugane fakamui","mahakitaga, mahakitaga fakamui",mahakitaga,"mahakitaga, mahakitaga fakamui",tugane,"mahakitaga, mahakitaga fakamui","matakainaga, matakainaanga, taokete","tugane, tugane fakamui","matakainaanga, tehina","matakainaanga, taokete",tugane,"tugane, tugane fakamui","matakainaanga, taokete","mahakitaga, mahakitaga fakamui",tugane,"matakainaanga, tehina","matakainaga, matakainaanga, taokete","tugane, tugane fakamui","matakainaanga, tehina","matakainaanga, tehina","matakainaanga, tehina","matakainaanga, tehina","tugane, tugane fakamui",matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua tane
2,0.04779546789832412,0.6909233093138181,0.643127841415494,"matakainaanga, tehina","tugane, tugane fakamui","matakainaanga, taokete",mahakitaga,"matakainaga, matakainaanga, taokete","mahakitaga, mahakitaga fakamui",tugane,"tugane, tugane fakamui",tugane,"tugane, tugane fakamui",tugane,"matakainaanga, tehina","tugane, tugane fakamui",tugane,"matakainaanga, tehina","mahakitaga, mahakitaga fakamui","matakainaanga, tehina","mahakitaga, mahakitaga fakamui","mahakitaga, mahakitaga fakamui","matakainaga, matakainaanga, taokete",mahakitaga,"matakainaanga, tehina","matakainaga, matakainaanga, taokete","matakainaanga, tehina","tugane, tugane fakamui","matakainaanga, taokete","matakainaanga, tehina",mahakitaga,"matakainaanga, tehina","matakainaanga, taokete",mahakitaga,mahakitaga,"matakainaanga, taokete",tugane,"matakainaga, matakainaanga, taokete","mahakitaga, mahakitaga fakamui","matakainaanga, tehina","matakainaanga, taokete",matua fifine,matua tane,matua tane,matua tane,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua fifine
3,0.05785017295133832,0.6925915220779792,0.6347413491266409,mahakitaga,"matakainaanga, tehina","mahakitaga, mahakitaga fakamui",mahakitaga,"matakainaanga, tehina","matakainaga, matakainaanga, taokete","matakainaga, matakainaanga, taokete","matakainaanga, tehina","tugane, tugane fakamui","matakainaanga, taokete","matakainaanga, taokete","matakainaga, matakainaanga, taokete",tugane,"mahakitaga, mahakitaga fakamui","tugane, tugane fakamui","tugane, tugane fakamui",tugane,"tugane, tugane fakamui","matakainaanga, tehina","mahakitaga, mahakitaga fakamui","matakainaanga, tehina","matakainaanga, tehina",tugane,"matakainaanga, tehina",mahakitaga,"matakainaanga, tehina","matakainaanga, taokete","matakainaanga, taokete",tugane,"mahakitaga, mahakitaga fakamui",mahakitaga,"matakainaga, matakainaanga, taokete","matakainaanga, tehina","mahakitaga, mahakitaga fakamui","matakainaanga, taokete","tugane, tugane fakamui",mahakitaga,tugane,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua tane,matua fifine
4,0.13451399132540476,0.6909233093138181,0.5564093179884133,tugane,"matakainaanga, tehina",tugane,tugane,"mahakitaga, mahakitaga fakamui","matakainaanga, taokete",mahakitaga,"tugane, tugane fakamui","matakainaanga, tehina","matakainaga, matakainaanga, taokete","tugane, tugane fakamui",tugane,"tugane, tugane fakamui","mahakitaga, mahakitaga fakamui","matakainaga, matakainaanga, taokete","matakainaga, matakainaanga, taokete","matakainaanga, taokete","matakainaanga, tehina","matakainaanga, tehina","matakainaanga, tehina","tugane, tugane fakamui",mahakitaga,tugane,"matakainaga, matakainaanga, taokete",mahakitaga,"matakainaanga, tehina","matakainaanga, tehina",mahakitaga,"tugane, tugane fakamui","matakainaanga, taokete","mahakitaga, mahakitaga fakamui","mahakitaga, mahakitaga fakamui","matakainaanga, taokete","matakainaanga, taokete",mahakitaga,"matakainaanga, tehina","matakainaanga, tehina","mahakitaga, mahakitaga fakamui",matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua fifine
5,0.05785285465678214,0.6909233093138181,0.6330704546570359,tugane,"tugane, tugane fakamui","matakainaanga, taokete","matakainaanga, taokete",tugane,"tugane, tugane fakamui","matakainaanga, tehina","mahakitaga, mahakitaga fakamui","matakainaga, matakainaanga, taokete","matakainaanga, tehina",mahakitaga,mahakitaga,tugane,tugane,"matakainaanga, tehina","mahakitaga, mahakitaga fakamui","tugane, tugane fakamui","matakainaga, matakainaanga, taokete",mahakitaga,"matakainaga, matakainaanga, taokete","mahakitaga, mahakitaga fakamui","matakainaanga, tehina","matakainaanga, tehina",mahakitaga,"matakainaga, matakainaanga, taokete",mahakitaga,"tugane, tugane fakamui","matakainaanga, tehina","matakainaanga, taokete","mahakitaga, mahakitaga fakamui",tugane,"tugane, tugane fakamui","matakainaanga, taokete","matakainaanga, taokete","mahakitaga, mahakitaga fakamui","matakainaanga, tehina","matakainaanga, tehina","matakainaanga, tehina",matua tane,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua tane,matua fifine,matua fifine,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua tane
6,0.02629118279247633,0.6925915220779792,0.6663003392855029,"matakainaanga, tehina","matakainaanga, tehina",mahakitaga,"matakainaga, matakainaanga, taokete","tugane, tugane fakamui",tugane,mahakitaga,"matakainaanga, taokete","matakainaanga, tehina","tugane, tugane fakamui","mahakitaga, mahakitaga fakamui","matakainaga, matakainaanga, taokete",mahakitaga,mahakitaga,"matakainaanga, tehina","matakainaanga, tehina","mahakitaga, mahakitaga fakamui",tugane,"matakainaanga, tehina","tugane, tugane fakamui","matakainaanga, taokete",mahakitaga,"matakainaga, matakainaanga, taokete","tugane, tugane fakamui",tugane,"matakainaanga, taokete","matakainaga, matakainaanga, taokete","matakainaanga, taokete",tugane,"matakainaanga, tehina","tugane, tugane fakamui","matakainaanga, tehina","mahakitaga, mahakitaga fakamui","matakainaanga, tehina","mahakitaga, mahakitaga fakamui","mahakitaga, mahakitaga fakamui","matakainaanga, taokete",tugane,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua fifine
7,0.05407844526528216,0.6925915220779792,0.6385130768126971,tugane,"matakainaga, matakainaanga, taokete","matakainaanga, tehina","matakainaga, matakainaanga, taokete","mahakitaga, mahakitaga fakamui","matakainaanga, taokete","matakainaanga, tehina","matakainaanga, tehina","mahakitaga, mahakitaga fakamui","matakainaanga, taokete","tugane, tugane fakamui","mahakitaga, mahakitaga fakamui",mahakitaga,tugane,"matakainaanga, tehina","matakainaanga, taokete",mahakitaga,"matakainaanga, tehina","matakainaanga, tehina",tugane,"matakainaga, matakainaanga, taokete","mahakitaga, mahakitaga fakamui",mahakitaga,tugane,tugane,"matakainaanga, tehina","matakainaanga, taokete","tugane, tugane fakamui","tugane, tugane fakamui","matakainaanga, tehina","mahakitaga, mahakitaga fakamui","matakainaga, matakainaanga, taokete","matakainaanga, taokete","tugane, tugane fakamui",mahakitaga,"matakainaanga, tehina","tugane, tugane fakamui",mahakitaga,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua fifine
8,0.09821647225591557,0.6909233093138181,0.5927068370579025,"matakainaanga, tehina",tugane,tugane,tugane,tugane,"matakainaanga, taokete","mahakitaga, mahakitaga fakamui",mahakitaga,"tugane, tugane fakamui","matakainaanga, tehina","matakainaanga, tehina","matakainaga, matakainaanga, taokete","matakainaga, matakainaanga, taokete","matakainaanga, tehina","tugane, tugane fakamui","matakainaanga, tehina","matakainaanga, taokete","mahakitaga, mahakitaga fakamui",mahakitaga,"matakainaanga, tehina",mahakitaga,"matakainaanga, tehina","matakainaanga, tehina","matakainaanga, tehina","mahakitaga, mahakitaga fakamui","matakainaanga, taokete",mahakitaga,mahakitaga,tugane,"matakainaanga, taokete","mahakitaga, mahakitaga fakamui","tugane, tugane fakamui","matakainaga, matakainaanga, taokete","mahakitaga, mahakitaga fakamui","tugane, tugane fakamui","tugane, tugane fakamui","matakainaga, matakainaanga, taokete","matakainaanga, taokete",matua fifine,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua tane
9,0.07287346142930196,0.6931471805599453,0.6202737191306433,"tugane, tugane fakamui",mahakitaga,"matakainaga, matakainaanga, taokete","matakainaga, matakainaanga, taokete","matakainaanga, tehina","tugane, tugane fakamui","mahakitaga, mahakitaga fakamui",mahakitaga,tugane,"matakainaanga, tehina","matakainaanga, tehina","matakainaanga, tehina",tugane,"matakainaanga, taokete","matakainaga, matakainaanga, taokete","mahakitaga, mahakitaga fakamui","tugane, tugane fakamui","matakainaanga, tehina","mahakitaga, mahakitaga fakamui","matakainaanga, taokete","matakainaanga, tehina","matakainaanga, tehina","tugane, tugane fakamui",mahakitaga,mahakitaga,"matakainaga, matakainaanga, taokete",tugane,"mahakitaga, mahakitaga fakamui","matakainaanga, tehina","tugane, tugane fakamui","matakainaanga, taokete",tugane,"mahakitaga, mahakitaga fakamui",tugane,"matakainaanga, taokete","matakainaanga, taokete",mahakitaga,"matakainaanga, tehina",matua tane,matua fifine,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua tane
