simulation_number,mutual_information,entropy,conditional_entropy,meB,meZ,myZ,mFBS,mFyBS,mMeZS,mMeZD,mFeBS,mFBeS,mFByS,feB,feZ,fyZ,fFBS,fFyBS,fMeZS,fMeZD,fFeBS,fFBeS,fFByS,myB,mMBD,mMBS,fyB,fMBD,fMBS,mFZD,mFZS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fFZS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mFeB,fFeB,mF,mM,mFZ,mFyB,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFZ,fFyB,fMeZ,fMyZ,fMeB,fMyB,mMB,mFeZ,mFyZ,fMB,fFeZ,fFyZ
0,0.33677654305119753,1.7831796426502327,1.4464030995990351,yúkʂum,píít,yúkʂum,yúkʂum,páá'aʂ,máay,kwámay,kwámay,yúkʂum,yúkʂum,yúkʂum,má$,kwámay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,páá'aʂ,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,qee'is,yúkʂum,yúkʂum,péét,yúkʂum,qee'is,yúkʂum,kwámay,yúkʂum,yúkʂum,má$,máay,yúkʂum,píít,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,kwámay,kwámay,yúkʂum,yúkʂum,yúkʂum,máay,péét,yúkʂum,máay,yúkʂum,yúkʂum,páa-may,-ná',táá'aʂ,páa-may,páa-may,páa-may,máʂ,yósmay,-ná',páa-may,páa-may,yó,núʂ,yósmay,táá'aʂ,kamú,núʂ,táá'aʂ,táá'aʂ,táá'aʂ,táá'aʂ,máʂ,yó,kamú
1,0.3310166168760622,1.8156109451817881,1.484594328305726,yúkʂum,kwámay,yúkʂum,má$,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,píít,yúkʂum,yúkʂum,yúkʂum,péét,yúkʂum,yúkʂum,yúkʂum,má$,yúkʂum,yúkʂum,kwámay,máay,yúkʂum,kwámay,yúkʂum,yúkʂum,qee'is,páá'aʂ,kwámay,máay,yúkʂum,yúkʂum,yúkʂum,páá'aʂ,qee'is,máay,píít,yúkʂum,yúkʂum,péét,yúkʂum,máay,yúkʂum,yúkʂum,kwámay,yúkʂum,yúkʂum,kwámay,yúkʂum,yúkʂum,kwámay,yúkʂum,kwámay,yúkʂum,yúkʂum,páa-may,yósmay,táá'aʂ,yó,yó,táá'aʂ,táá'aʂ,máʂ,núʂ,táá'aʂ,kamú,táá'aʂ,táá'aʂ,máʂ,páa-may,páa-may,kamú,yósmay,páa-may,páa-may,-ná',páa-may,-ná',núʂ
2,0.3228447482010841,1.8670683110761037,1.5442235628750196,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,yúkʂum,yúkʂum,kwámay,yúkʂum,qee'is,kwámay,máay,yúkʂum,péét,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,páá'aʂ,yúkʂum,píít,yúkʂum,píít,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,máay,kwámay,kwámay,yúkʂum,má$,yúkʂum,péét,yúkʂum,yúkʂum,kwámay,yúkʂum,yúkʂum,yúkʂum,páá'aʂ,yúkʂum,yúkʂum,yúkʂum,kwámay,má$,máay,kwámay,máay,yúkʂum,yúkʂum,qee'is,yúkʂum,páa-may,-ná',táá'aʂ,yósmay,páa-may,táá'aʂ,yósmay,yó,kamú,núʂ,yó,núʂ,táá'aʂ,táá'aʂ,-ná',máʂ,táá'aʂ,páa-may,páa-may,táá'aʂ,páa-may,máʂ,páa-may,kamú
3,0.2460851539689366,1.8536645387730006,1.607579384804064,yúkʂum,kwámay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,píít,máay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,máay,yúkʂum,yúkʂum,máay,kwámay,má$,yúkʂum,yúkʂum,kwámay,máay,yúkʂum,qee'is,yúkʂum,péét,píít,kwámay,yúkʂum,páá'aʂ,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,má$,yúkʂum,páá'aʂ,yúkʂum,yúkʂum,yúkʂum,kwámay,kwámay,qee'is,yúkʂum,yúkʂum,yúkʂum,péét,yúkʂum,yúkʂum,táá'aʂ,táá'aʂ,táá'aʂ,máʂ,táá'aʂ,yósmay,páa-may,yó,táá'aʂ,máʂ,núʂ,-ná',-ná',núʂ,páa-may,kamú,páa-may,yó,yósmay,páa-may,páa-may,páa-may,kamú,táá'aʂ
4,0.4413450727104309,1.959197091726892,1.517852019016461,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,máay,yúkʂum,kwámay,yúkʂum,páá'aʂ,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,yúkʂum,yúkʂum,má$,máay,kwámay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,máay,qee'is,yúkʂum,yúkʂum,yúkʂum,péét,yúkʂum,kwámay,má$,yúkʂum,máay,yúkʂum,yúkʂum,qee'is,yúkʂum,yúkʂum,yúkʂum,yúkʂum,píít,kwámay,páá'aʂ,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,yúkʂum,yúkʂum,yúkʂum,píít,yúkʂum,kwámay,kwámay,yúkʂum,péét,páa-may,núʂ,kamú,-ná',máʂ,táá'aʂ,táá'aʂ,páa-may,máʂ,táá'aʂ,núʂ,yó,táá'aʂ,kamú,páa-may,táá'aʂ,táá'aʂ,yósmay,páa-may,páa-may,-ná',páa-may,yó,yósmay
5,0.4122266652814124,1.8638945935901794,1.451667928308767,yúkʂum,máay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,yúkʂum,kwámay,yúkʂum,qee'is,yúkʂum,qee'is,yúkʂum,yúkʂum,yúkʂum,yúkʂum,píít,yúkʂum,píít,yúkʂum,máay,kwámay,péét,kwámay,yúkʂum,máay,yúkʂum,yúkʂum,yúkʂum,má$,yúkʂum,yúkʂum,yúkʂum,yúkʂum,páá'aʂ,kwámay,yúkʂum,yúkʂum,péét,máay,yúkʂum,kwámay,má$,páá'aʂ,yúkʂum,táá'aʂ,kamú,táá'aʂ,táá'aʂ,páa-may,táá'aʂ,páa-may,yósmay,táá'aʂ,-ná',páa-may,yó,máʂ,páa-may,yósmay,núʂ,-ná',máʂ,páa-may,yó,táá'aʂ,núʂ,páa-may,kamú
6,0.34549546472195436,1.9343619796893694,1.588866514967415,yúkʂum,máay,péét,yúkʂum,yúkʂum,yúkʂum,píít,yúkʂum,qee'is,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,máay,yúkʂum,kwámay,yúkʂum,qee'is,yúkʂum,kwámay,kwámay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,péét,yúkʂum,páá'aʂ,yúkʂum,má$,yúkʂum,yúkʂum,máay,yúkʂum,páá'aʂ,máay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,yúkʂum,yúkʂum,kwámay,píít,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,má$,yúkʂum,yúkʂum,kwámay,yúkʂum,táá'aʂ,páa-may,yósmay,-ná',páa-may,kamú,táá'aʂ,núʂ,táá'aʂ,-ná',kamú,táá'aʂ,yó,táá'aʂ,páa-may,máʂ,núʂ,táá'aʂ,yó,yósmay,páa-may,máʂ,páa-may,páa-may
7,0.39028156149879023,1.9457943421264061,1.5555127806276159,yúkʂum,kwámay,yúkʂum,páá'aʂ,yúkʂum,yúkʂum,yúkʂum,má$,yúkʂum,máay,yúkʂum,máay,yúkʂum,yúkʂum,yúkʂum,kwámay,má$,kwámay,kwámay,kwámay,yúkʂum,kwámay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,máay,píít,yúkʂum,páá'aʂ,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,péét,yúkʂum,máay,yúkʂum,yúkʂum,yúkʂum,píít,yúkʂum,yúkʂum,péét,yúkʂum,yúkʂum,qee'is,yúkʂum,kwámay,yúkʂum,kwámay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,qee'is,yúkʂum,yúkʂum,yúkʂum,táá'aʂ,táá'aʂ,páa-may,kamú,kamú,núʂ,máʂ,táá'aʂ,yósmay,núʂ,táá'aʂ,táá'aʂ,yó,páa-may,táá'aʂ,yó,páa-may,-ná',máʂ,páa-may,-ná',páa-may,yósmay,páa-may
8,0.4664958709641749,1.8970371461536315,1.4305412751894566,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,yúkʂum,kwámay,má$,máay,máay,yúkʂum,yúkʂum,kwámay,yúkʂum,yúkʂum,yúkʂum,kwámay,kwámay,máay,yúkʂum,kwámay,kwámay,máay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,páá'aʂ,yúkʂum,péét,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,páá'aʂ,yúkʂum,péét,yúkʂum,kwámay,qee'is,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,má$,yúkʂum,píít,yúkʂum,yúkʂum,yúkʂum,píít,yúkʂum,yúkʂum,qee'is,yúkʂum,yúkʂum,yó,máʂ,kamú,yósmay,páa-may,táá'aʂ,páa-may,táá'aʂ,núʂ,táá'aʂ,yó,-ná',núʂ,páa-may,páa-may,-ná',táá'aʂ,táá'aʂ,táá'aʂ,yósmay,kamú,páa-may,máʂ,páa-may
9,0.41456554836199944,1.8935700804298885,1.479004532067889,yúkʂum,qee'is,yúkʂum,yúkʂum,yúkʂum,máay,yúkʂum,yúkʂum,yúkʂum,kwámay,yúkʂum,má$,yúkʂum,yúkʂum,yúkʂum,kwámay,páá'aʂ,má$,yúkʂum,kwámay,yúkʂum,yúkʂum,yúkʂum,yúkʂum,kwámay,yúkʂum,píít,péét,yúkʂum,píít,kwámay,yúkʂum,yúkʂum,máay,yúkʂum,kwámay,yúkʂum,yúkʂum,yúkʂum,máay,yúkʂum,kwámay,yúkʂum,yúkʂum,kwámay,qee'is,yúkʂum,yúkʂum,péét,máay,yúkʂum,yúkʂum,páá'aʂ,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,yúkʂum,páa-may,núʂ,páa-may,-ná',máʂ,núʂ,máʂ,páa-may,yósmay,-ná',kamú,páa-may,yó,táá'aʂ,yósmay,yó,kamú,táá'aʂ,táá'aʂ,táá'aʂ,páa-may,páa-may,táá'aʂ,táá'aʂ
