simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,fF,fM
0,0.05633958959315866,1.5367224694372195,1.4803828798440608,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,uts',squerem-al me'jun,wixil,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,uts',yal-me'jun,tajun,muc'ul nan,tat,muc'ul nan,tajun,ichan,muc'ul nan,tat,ichan,me',ichan,me',tajun
1,0.16592750137901802,1.4944032113796122,1.3284757100005942,yal-me'jun,yal-me'jun,squerem-al me'jun,wixil,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,uts',yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,uts',yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,ichan,muc'ul nan,ichan,ichan,me',tat,tajun,muc'ul nan,tajun,me',muc'ul nan,tat,tajun
2,0.014929880063186962,1.5498260458782016,1.5348961658150146,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,uts',yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,uts',squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,wixil,squerem-al me'jun,yal-me'jun,muc'ul nan,tat,muc'ul nan,me',tajun,ichan,tajun,ichan,tajun,tat,muc'ul nan,ichan,me'
3,0.1221551158297629,1.470131920408841,1.347976804579078,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,wixil,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,uts',squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,uts',yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,muc'ul nan,tat,tajun,ichan,ichan,tat,tajun,muc'ul nan,me',ichan,tajun,muc'ul nan,me'
4,0.08415594940779791,1.598368627819744,1.514212678411946,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,uts',squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,wixil,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,uts',squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,me',me',muc'ul nan,tat,tajun,tajun,ichan,ichan,muc'ul nan,tat,ichan,tajun,muc'ul nan
5,0.05178512339566277,1.3760552852604169,1.324270161864754,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,wixil,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,uts',yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,uts',yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,muc'ul nan,ichan,tajun,tat,ichan,tat,muc'ul nan,muc'ul nan,tajun,ichan,tajun,me',me'
6,0.22607524727036088,1.5124511784664483,1.2863759311960874,uts',yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,wixil,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,uts',squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,tajun,tat,tajun,muc'ul nan,ichan,muc'ul nan,me',tat,ichan,ichan,muc'ul nan,tajun,me'
7,0.1581412834141096,1.5317780787913655,1.373636795377256,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,wixil,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,uts',yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,uts',squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,ichan,tajun,me',muc'ul nan,muc'ul nan,ichan,tajun,tat,muc'ul nan,tat,ichan,me',tajun
8,0.04745613960107309,1.5317780787913655,1.4843219391902924,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,wixil,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,uts',uts',yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,ichan,tajun,muc'ul nan,tat,muc'ul nan,me',tajun,ichan,muc'ul nan,tajun,me',ichan,tat
9,0.2007328609452277,1.5740973368489728,1.373364475903745,wixil,uts',yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,uts',squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,yal-me'jun,squerem-al me'jun,yal-me'jun,squerem-al me'jun,squerem-al me'jun,muc'ul nan,muc'ul nan,me',muc'ul nan,ichan,tat,tat,tajun,me',tajun,ichan,tajun,ichan
