simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.05894865946694161,0.6895212477618784,0.6305725882949368,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,lă:,lă:,ʔă:w,ʔă:w,ʔă:w,ʔă:w,lă:,lă:,ʔă:w,ʔă:w,lă:,lă:,ʔă:w,lă:,lă:,lă:,ʔă:w,ʔă:w,ʔă:w,lă:,lă:,ʔă:w,lă:,ʔă:w
1,0.02814119285391803,0.6820148175994905,0.6538736247455724,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,lă:,lă:,lă:,lă:,ʔă:w,ʔă:w,lă:,lă:,ʔă:w,ʔă:w,ʔă:w,ʔă:w,lă:,lă:,ʔă:w,ʔă:w,lă:,ʔă:w,ʔă:w,lă:,lă:,ʔă:w,ʔă:w,lă:
2,0.02671866123092126,0.6929208167159919,0.6662021554850707,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,lă:,ʔă:w,lă:,ʔă:w,ʔă:w,ʔă:w,ʔă:w,lă:,lă:,ʔă:w,ʔă:w,ʔă:w,lă:,ʔă:w,lă:,ʔă:w,ʔă:w,lă:,lă:,lă:,lă:,lă:,lă:,ʔă:w
3,0.032906308314019084,0.6895212477618784,0.6566149394478593,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,lă:,lă:,lă:,lă:,ʔă:w,ʔă:w,lă:,ʔă:w,lă:,ʔă:w,lă:,lă:,ʔă:w,lă:,ʔă:w,ʔă:w,ʔă:w,ʔă:w,lă:,ʔă:w,lă:,ʔă:w,lă:,ʔă:w
4,0.02645261020323675,0.6895212477618784,0.6630686375586416,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,ʔă:w,lă:,ʔă:w,lă:,lă:,ʔă:w,lă:,ʔă:w,ʔă:w,lă:,ʔă:w,lă:,lă:,lă:,lă:,ʔă:w,ʔă:w,ʔă:w,ʔă:w,lă:,lă:,ʔă:w,lă:,ʔă:w
5,0.02530507228780121,0.6922415200669709,0.6669364477791697,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,ʔă:w,lă:,ʔă:w,lă:,ʔă:w,ʔă:w,lă:,lă:,lă:,ʔă:w,lă:,ʔă:w,lă:,lă:,ʔă:w,lă:,ʔă:w,ʔă:w,lă:,lă:,lă:,ʔă:w,ʔă:w
6,0.043401993868976585,0.6929208167159919,0.6495188228470153,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,lă:,lă:,lă:,ʔă:w,lă:,ʔă:w,lă:,ʔă:w,ʔă:w,lă:,ʔă:w,lă:,lă:,ʔă:w,ʔă:w,ʔă:w,lă:,lă:,ʔă:w,lă:,ʔă:w,ʔă:w,ʔă:w,lă:
7,0.05196788022687726,0.6929208167159919,0.6409529364891147,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,lă:,ʔă:w,ʔă:w,lă:,ʔă:w,lă:,lă:,ʔă:w,ʔă:w,lă:,lă:,ʔă:w,lă:,lă:,ʔă:w,ʔă:w,ʔă:w,ʔă:w,lă:,lă:,lă:,ʔă:w,lă:,ʔă:w
8,0.030946423537041134,0.6929208167159919,0.6619743931789508,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,ʔă:w,ʔă:w,lă:,lă:,lă:,lă:,ʔă:w,lă:,lă:,ʔă:w,ʔă:w,lă:,lă:,ʔă:w,lă:,ʔă:w,ʔă:w,lă:,ʔă:w,lă:,lă:,ʔă:w,ʔă:w
9,0.0591854795431318,0.6922415200669709,0.6330560405238391,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,ʔə̂:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,naʔâ:j,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,tâj kɛ̂:n,kɛ̂:n kû:n kwɛ̂:,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,lă:,ʔă:w,lă:,lă:,ʔă:w,ʔă:w,lă:,lă:,lă:,ʔă:w,ʔă:w,ʔă:w,lă:,ʔă:w,lă:,ʔă:w,ʔă:w,lă:,lă:,lă:,ʔă:w,lă:,ʔă:w,ʔă:w
