simulation_number,mutual_information,entropy,conditional_entropy,fMZeD,meB,mMZeS,fFZeD,fFZyD,myZ,mFZeS,mFZyS,fyZ,mFByD,fFByD,mMZyD,fMZyD,feB,mFBeS,fFBeS,meZ,mFBeD,mMZeD,fFBeD,mFZeD,mFZyD,fFZeS,fFZyS,mMBeD,fMBeD,mMByD,fMByD,mMBeS,fMBeS,mMByS,fMByS,myB,fyB,mFByS,fFByS,mMZyS,fMZyS,mFeZ,mFyZ,fFeZ,fFyZ,mF,fF,mFeB,mFyB,fFeB,fFyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ,mMeB,mMyB,fMeB,fMyB
0,0.20218548540814574,0.5982695885852573,0.3960841031771115,we-haʼ,we-toashʼ-kä,zhon-daʼ-hä,ton-gaʼ-hä,kä-gaʼ,näʼ-hä,näʼ-hä,tä-zhäʼ-hä,nis-seʼ-hä,we-haʼ,we-haʼ,kä-gaʼ,na-geʼ-hä,ton-gaʼ-hä,wee-haʼ,ton-gaʼ-hä,win-noʼ-ga,win-noʼ-ga,kä-gaʼ,zhin-daʼ-hä,we-haʼ,kä-gaʼ,we-toashʼ-kä,ton-noʼ-hä,we-haʼ,thon-daʼ-hä,kä-gaʼ,nis-seʼ-hä,zhin-däʼ-hä,ton-noʼ-hä,na-geʼ-hä,näʼ-hä,na-geʼ-hä,ton-noʼ-hä,na-geʼ-hä,kä-gaʼ,näʼ-hä,tä-zhäʼ-hä,na-geʼ-hä,na-geʼ-hä,näʼ-hä,näʼ-hä,te-naʼ-hä,te-naʼ-hä,na-geʼ-hä,tä-deʼ-hä,tä-deʼ-hä,näʼ-hä,näʼ-hä,te-naʼ-hä,tä-deʼ-hä,te-naʼ-hä,"tä-deʼ-ha, wä-we-tä",näʼ-hä,tä-deʼ-hä,"tä-deʼ-ha, wä-we-tä",näʼ-hä,na-geʼ-hä
1,0.484866053111916,1.3760552852604169,0.8911892321485009,kä-gaʼ,wee-haʼ,tä-zhäʼ-hä,ton-gaʼ-hä,ton-gaʼ-hä,we-haʼ,na-geʼ-hä,na-geʼ-hä,nis-seʼ-hä,näʼ-hä,win-noʼ-ga,we-toashʼ-kä,kä-gaʼ,näʼ-hä,na-geʼ-hä,win-noʼ-ga,ton-noʼ-hä,we-haʼ,kä-gaʼ,we-toashʼ-kä,we-haʼ,ton-noʼ-hä,thon-daʼ-hä,zhin-daʼ-hä,ton-noʼ-hä,tä-zhäʼ-hä,näʼ-hä,näʼ-hä,we-haʼ,zhon-daʼ-hä,we-haʼ,kä-gaʼ,nis-seʼ-hä,na-geʼ-hä,kä-gaʼ,zhin-däʼ-hä,kä-gaʼ,ton-gaʼ-hä,näʼ-hä,na-geʼ-hä,te-naʼ-hä,näʼ-hä,te-naʼ-hä,näʼ-hä,na-geʼ-hä,näʼ-hä,te-naʼ-hä,"tä-deʼ-ha, wä-we-tä","tä-deʼ-ha, wä-we-tä",na-geʼ-hä,tä-deʼ-hä,te-naʼ-hä,näʼ-hä,tä-deʼ-hä,na-geʼ-hä,tä-deʼ-hä,näʼ-hä,tä-deʼ-hä
2,0.242433026555958,1.034601232910181,0.792168206354223,kä-gaʼ,ton-gaʼ-hä,ton-noʼ-hä,näʼ-hä,näʼ-hä,we-haʼ,wee-haʼ,kä-gaʼ,tä-zhäʼ-hä,na-geʼ-hä,we-haʼ,näʼ-hä,ton-gaʼ-hä,näʼ-hä,we-haʼ,kä-gaʼ,zhon-daʼ-hä,we-toashʼ-kä,kä-gaʼ,win-noʼ-ga,ton-noʼ-hä,na-geʼ-hä,na-geʼ-hä,we-toashʼ-kä,thon-daʼ-hä,we-haʼ,zhin-däʼ-hä,kä-gaʼ,kä-gaʼ,win-noʼ-ga,nis-seʼ-hä,na-geʼ-hä,ton-gaʼ-hä,we-haʼ,tä-zhäʼ-hä,ton-noʼ-hä,zhin-daʼ-hä,nis-seʼ-hä,näʼ-hä,tä-deʼ-hä,te-naʼ-hä,na-geʼ-hä,näʼ-hä,na-geʼ-hä,näʼ-hä,"tä-deʼ-ha, wä-we-tä",na-geʼ-hä,"tä-deʼ-ha, wä-we-tä",te-naʼ-hä,näʼ-hä,te-naʼ-hä,näʼ-hä,tä-deʼ-hä,te-naʼ-hä,tä-deʼ-hä,na-geʼ-hä,tä-deʼ-hä,näʼ-hä
3,0.6829081047004718,0.9799711820833055,0.29706307738283366,tä-zhäʼ-hä,näʼ-hä,we-toashʼ-kä,näʼ-hä,kä-gaʼ,na-geʼ-hä,ton-noʼ-hä,kä-gaʼ,thon-daʼ-hä,we-toashʼ-kä,nis-seʼ-hä,win-noʼ-ga,na-geʼ-hä,ton-noʼ-hä,we-haʼ,näʼ-hä,we-haʼ,win-noʼ-ga,kä-gaʼ,ton-gaʼ-hä,zhin-daʼ-hä,na-geʼ-hä,nis-seʼ-hä,ton-gaʼ-hä,kä-gaʼ,näʼ-hä,kä-gaʼ,we-haʼ,wee-haʼ,kä-gaʼ,ton-noʼ-hä,we-haʼ,ton-gaʼ-hä,zhon-daʼ-hä,we-haʼ,na-geʼ-hä,zhin-däʼ-hä,tä-zhäʼ-hä,näʼ-hä,näʼ-hä,näʼ-hä,te-naʼ-hä,te-naʼ-hä,näʼ-hä,na-geʼ-hä,näʼ-hä,tä-deʼ-hä,tä-deʼ-hä,te-naʼ-hä,tä-deʼ-hä,"tä-deʼ-ha, wä-we-tä","tä-deʼ-ha, wä-we-tä",na-geʼ-hä,näʼ-hä,na-geʼ-hä,te-naʼ-hä,na-geʼ-hä,tä-deʼ-hä
4,0.20218548540814574,0.5982695885852573,0.3960841031771115,na-geʼ-hä,wee-haʼ,kä-gaʼ,we-toashʼ-kä,zhin-daʼ-hä,na-geʼ-hä,we-haʼ,na-geʼ-hä,kä-gaʼ,kä-gaʼ,näʼ-hä,nis-seʼ-hä,ton-gaʼ-hä,nis-seʼ-hä,kä-gaʼ,ton-noʼ-hä,we-haʼ,we-haʼ,ton-noʼ-hä,näʼ-hä,tä-zhäʼ-hä,zhon-daʼ-hä,zhin-däʼ-hä,näʼ-hä,kä-gaʼ,tä-zhäʼ-hä,kä-gaʼ,win-noʼ-ga,na-geʼ-hä,ton-noʼ-hä,we-haʼ,thon-daʼ-hä,ton-gaʼ-hä,näʼ-hä,we-toashʼ-kä,win-noʼ-ga,ton-gaʼ-hä,we-haʼ,näʼ-hä,te-naʼ-hä,näʼ-hä,"tä-deʼ-ha, wä-we-tä",tä-deʼ-hä,tä-deʼ-hä,näʼ-hä,na-geʼ-hä,te-naʼ-hä,na-geʼ-hä,na-geʼ-hä,tä-deʼ-hä,te-naʼ-hä,näʼ-hä,tä-deʼ-hä,näʼ-hä,na-geʼ-hä,te-naʼ-hä,näʼ-hä,"tä-deʼ-ha, wä-we-tä"
5,0.242433026555958,1.034601232910181,0.792168206354223,zhin-daʼ-hä,we-haʼ,wee-haʼ,nis-seʼ-hä,we-toashʼ-kä,kä-gaʼ,tä-zhäʼ-hä,na-geʼ-hä,nis-seʼ-hä,tä-zhäʼ-hä,win-noʼ-ga,win-noʼ-ga,kä-gaʼ,kä-gaʼ,ton-gaʼ-hä,näʼ-hä,näʼ-hä,ton-gaʼ-hä,we-haʼ,zhon-daʼ-hä,näʼ-hä,ton-noʼ-hä,zhin-däʼ-hä,kä-gaʼ,thon-daʼ-hä,ton-noʼ-hä,na-geʼ-hä,we-toashʼ-kä,we-haʼ,kä-gaʼ,kä-gaʼ,we-haʼ,na-geʼ-hä,ton-noʼ-hä,na-geʼ-hä,näʼ-hä,ton-gaʼ-hä,we-haʼ,tä-deʼ-hä,te-naʼ-hä,te-naʼ-hä,tä-deʼ-hä,te-naʼ-hä,näʼ-hä,"tä-deʼ-ha, wä-we-tä",na-geʼ-hä,tä-deʼ-hä,näʼ-hä,näʼ-hä,na-geʼ-hä,näʼ-hä,näʼ-hä,te-naʼ-hä,na-geʼ-hä,na-geʼ-hä,"tä-deʼ-ha, wä-we-tä",näʼ-hä,tä-deʼ-hä
6,0.34145405235023596,1.034601232910181,0.6931471805599451,zhon-daʼ-hä,we-toashʼ-kä,zhin-daʼ-hä,na-geʼ-hä,nis-seʼ-hä,ton-gaʼ-hä,we-haʼ,we-haʼ,näʼ-hä,tä-zhäʼ-hä,we-toashʼ-kä,kä-gaʼ,win-noʼ-ga,na-geʼ-hä,kä-gaʼ,kä-gaʼ,thon-daʼ-hä,na-geʼ-hä,ton-noʼ-hä,we-haʼ,kä-gaʼ,wee-haʼ,nis-seʼ-hä,ton-noʼ-hä,win-noʼ-ga,kä-gaʼ,näʼ-hä,näʼ-hä,ton-gaʼ-hä,na-geʼ-hä,ton-gaʼ-hä,tä-zhäʼ-hä,we-haʼ,zhin-däʼ-hä,ton-noʼ-hä,we-haʼ,näʼ-hä,kä-gaʼ,na-geʼ-hä,näʼ-hä,na-geʼ-hä,te-naʼ-hä,näʼ-hä,näʼ-hä,tä-deʼ-hä,te-naʼ-hä,näʼ-hä,"tä-deʼ-ha, wä-we-tä",te-naʼ-hä,na-geʼ-hä,tä-deʼ-hä,te-naʼ-hä,tä-deʼ-hä,näʼ-hä,tä-deʼ-hä,na-geʼ-hä,"tä-deʼ-ha, wä-we-tä",näʼ-hä
7,0.24243302655595822,1.0346012329101812,0.792168206354223,wee-haʼ,nis-seʼ-hä,win-noʼ-ga,we-haʼ,kä-gaʼ,we-haʼ,kä-gaʼ,tä-zhäʼ-hä,ton-gaʼ-hä,thon-daʼ-hä,näʼ-hä,win-noʼ-ga,tä-zhäʼ-hä,na-geʼ-hä,na-geʼ-hä,kä-gaʼ,ton-noʼ-hä,näʼ-hä,kä-gaʼ,we-toashʼ-kä,näʼ-hä,ton-gaʼ-hä,we-haʼ,kä-gaʼ,näʼ-hä,kä-gaʼ,na-geʼ-hä,na-geʼ-hä,we-haʼ,ton-noʼ-hä,we-toashʼ-kä,ton-noʼ-hä,ton-gaʼ-hä,zhon-daʼ-hä,zhin-daʼ-hä,zhin-däʼ-hä,nis-seʼ-hä,we-haʼ,na-geʼ-hä,na-geʼ-hä,näʼ-hä,näʼ-hä,näʼ-hä,tä-deʼ-hä,te-naʼ-hä,na-geʼ-hä,te-naʼ-hä,tä-deʼ-hä,"tä-deʼ-ha, wä-we-tä",näʼ-hä,te-naʼ-hä,näʼ-hä,"tä-deʼ-ha, wä-we-tä",te-naʼ-hä,näʼ-hä,na-geʼ-hä,tä-deʼ-hä,tä-deʼ-hä
8,0.2868240015233605,1.376055285260417,1.0892312837370566,zhin-däʼ-hä,nis-seʼ-hä,we-haʼ,kä-gaʼ,zhon-daʼ-hä,kä-gaʼ,we-toashʼ-kä,we-haʼ,kä-gaʼ,nis-seʼ-hä,wee-haʼ,win-noʼ-ga,kä-gaʼ,thon-daʼ-hä,na-geʼ-hä,ton-noʼ-hä,we-toashʼ-kä,ton-gaʼ-hä,kä-gaʼ,näʼ-hä,kä-gaʼ,na-geʼ-hä,tä-zhäʼ-hä,na-geʼ-hä,näʼ-hä,näʼ-hä,näʼ-hä,we-haʼ,win-noʼ-ga,tä-zhäʼ-hä,we-haʼ,we-haʼ,ton-noʼ-hä,ton-noʼ-hä,ton-gaʼ-hä,na-geʼ-hä,ton-gaʼ-hä,zhin-daʼ-hä,na-geʼ-hä,tä-deʼ-hä,tä-deʼ-hä,näʼ-hä,na-geʼ-hä,te-naʼ-hä,te-naʼ-hä,te-naʼ-hä,näʼ-hä,näʼ-hä,tä-deʼ-hä,näʼ-hä,"tä-deʼ-ha, wä-we-tä",te-naʼ-hä,tä-deʼ-hä,näʼ-hä,na-geʼ-hä,näʼ-hä,"tä-deʼ-ha, wä-we-tä",na-geʼ-hä
9,0.20218548540814574,0.5982695885852573,0.3960841031771115,tä-zhäʼ-hä,tä-zhäʼ-hä,ton-gaʼ-hä,kä-gaʼ,nis-seʼ-hä,ton-noʼ-hä,na-geʼ-hä,näʼ-hä,kä-gaʼ,na-geʼ-hä,win-noʼ-ga,ton-gaʼ-hä,kä-gaʼ,näʼ-hä,we-haʼ,na-geʼ-hä,ton-gaʼ-hä,kä-gaʼ,we-haʼ,thon-daʼ-hä,näʼ-hä,kä-gaʼ,we-toashʼ-kä,we-toashʼ-kä,we-haʼ,wee-haʼ,na-geʼ-hä,zhin-däʼ-hä,we-haʼ,nis-seʼ-hä,näʼ-hä,win-noʼ-ga,zhin-daʼ-hä,kä-gaʼ,ton-noʼ-hä,ton-noʼ-hä,we-haʼ,zhon-daʼ-hä,näʼ-hä,näʼ-hä,na-geʼ-hä,tä-deʼ-hä,te-naʼ-hä,te-naʼ-hä,näʼ-hä,tä-deʼ-hä,näʼ-hä,"tä-deʼ-ha, wä-we-tä",na-geʼ-hä,te-naʼ-hä,na-geʼ-hä,te-naʼ-hä,näʼ-hä,tä-deʼ-hä,"tä-deʼ-ha, wä-we-tä",na-geʼ-hä,tä-deʼ-hä,näʼ-hä
