simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mMBD,mFZS,mMBS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,fZ,fFZD,fMBD,fFZS,fMBS,fFBeD,fFByD,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,mB,meB,myB,meZ,myZ,mFBD,mMZD,mFBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,fB,feB,fyB,feZ,fyZ,fFBD,fMZD,fFBS,fMZS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,fMZyD,mF,mM,mFZ,mFeZ,mFyZ,fF,fM,fFZ,fFeZ,fFyZ,mFB,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,fFB,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB
0,0.24536077651330768,1.708643658118437,1.4632828816051293,ŋkur,mwátaá,mwátaá,munkunyi,mukulu,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukoom,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukoom,mwátaá,mwátaá,mukulu,mwátaá,ŋkur wu kup,munkunyi,mwátaá,mwátaá,mukoom,mwátaá,mwátaá,munkunyi,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mukoom,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,munkunyi,ijℇ,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,ijℇ,mwátaá,ŋkur wu kup,mwátaá,mukulu,ŋkur,munkunyi,mwátaá,mwátaá,munkunyi,mwátaá,mwátaá,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,ŋgwen,mpja,taa mukaar,taa mukaar,taa mukaar,mpja,mpja,taa koom,taa mukaar,taa koom,mpja,maa koom,taa koom,maa koom,taa koom,taa mukaar,maa koom,maa koom,taa,mpja,taa koom,taa,taa koom,mpja,maa koom,taa mukaar,maa koom,ŋgwen
1,0.17564166067581044,1.67019099144879,1.4945493307729796,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,munkunyi,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,ijℇ,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mwátaá,mukoom,ijℇ,mwátaá,mwátaá,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mukoom,mwátaá,mukulu,mwátaá,mukoom,mwátaá,mwátaá,ŋkur wu kup,mwátaá,ŋkur wu kup,mwátaá,mukulu,ŋkur,ŋkur,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mukulu,munkunyi,munkunyi,mukoom,munkunyi,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mpja,maa koom,mpja,mpja,taa mukaar,mpja,taa,taa mukaar,taa koom,mpja,ŋgwen,taa mukaar,taa koom,taa mukaar,taa,taa koom,taa koom,taa mukaar,maa koom,maa koom,maa koom,mpja,taa koom,ŋgwen,maa koom,maa koom,taa koom,taa mukaar
2,0.2232302737644054,1.6903605543331308,1.4671302805687254,mwátaá,mwátaá,munkunyi,ijℇ,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mwátaá,mwátaá,ŋkur,mwátaá,mwátaá,mukulu,ŋkur wu kup,mwátaá,mukoom,mwátaá,mukoom,mwátaá,mwátaá,mwátaá,mukulu,ŋkur,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,ijℇ,mwátaá,munkunyi,mukoom,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,ŋkur wu kup,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,munkunyi,mwátaá,mwátaá,mwátaá,munkunyi,mukulu,mwátaá,mwátaá,mukulu,mukoom,mwátaá,mwátaá,munkunyi,mwátaá,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,taa,maa koom,taa mukaar,mpja,ŋgwen,maa koom,taa mukaar,taa koom,maa koom,maa koom,taa koom,ŋgwen,taa koom,taa koom,mpja,taa mukaar,mpja,mpja,taa mukaar,taa mukaar,taa koom,taa mukaar,maa koom,mpja,mpja,maa koom,taa,taa koom
3,0.20104270220232512,1.647963134031993,1.4469204318296678,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,ijℇ,munkunyi,ŋkur wu kup,mwátaá,mwátaá,mwátaá,mwátaá,ŋkur,mwátaá,mwátaá,mukulu,mwátaá,mukoom,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,munkunyi,mukoom,mwátaá,munkunyi,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mukoom,mwátaá,mwátaá,ŋkur wu kup,mwátaá,mwátaá,munkunyi,mwátaá,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,ŋkur,mwátaá,munkunyi,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,ijℇ,mwátaá,mwátaá,munkunyi,mwátaá,mukoom,mwátaá,mukulu,maa koom,taa koom,taa mukaar,maa koom,taa mukaar,maa koom,taa mukaar,mpja,maa koom,taa,taa mukaar,maa koom,taa koom,taa koom,ŋgwen,taa koom,mpja,mpja,mpja,taa mukaar,maa koom,taa,mpja,ŋgwen,mpja,taa koom,taa koom,taa mukaar
4,0.20068588909456464,1.7309418027174308,1.5302559136228662,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukoom,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukoom,mukulu,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,ŋkur wu kup,mwátaá,ŋkur,mwátaá,munkunyi,munkunyi,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mukoom,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,ijℇ,mwátaá,mwátaá,munkunyi,mwátaá,mukulu,mwátaá,ŋkur wu kup,munkunyi,mwátaá,mukoom,ŋkur,mwátaá,mukulu,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,ijℇ,mwátaá,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,taa koom,mpja,maa koom,taa koom,mpja,taa mukaar,taa koom,taa mukaar,taa koom,taa,taa mukaar,taa,taa koom,mpja,maa koom,taa mukaar,mpja,mpja,taa mukaar,ŋgwen,mpja,ŋgwen,maa koom,maa koom,taa koom,taa mukaar,maa koom,maa koom
5,0.17201911320825958,1.739085612450594,1.5670664992423344,mwátaá,mwátaá,mwátaá,munkunyi,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,munkunyi,mwátaá,ŋkur,mukoom,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,ijℇ,mukoom,mwátaá,mukulu,mwátaá,ŋkur wu kup,mukulu,mwátaá,munkunyi,mukulu,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mukoom,mwátaá,mwátaá,mwátaá,mwátaá,ijℇ,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,ŋkur wu kup,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mukoom,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,ŋkur,mwátaá,mwátaá,munkunyi,mwátaá,taa koom,taa mukaar,maa koom,maa koom,maa koom,taa koom,ŋgwen,taa,taa mukaar,mpja,ŋgwen,taa mukaar,taa mukaar,maa koom,taa koom,taa koom,mpja,taa mukaar,mpja,maa koom,taa,mpja,taa koom,taa koom,mpja,taa mukaar,mpja,maa koom
6,0.1584604809597714,1.6982092828931046,1.5397488019333332,mukulu,mwátaá,ŋkur,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mwátaá,mwátaá,mwátaá,munkunyi,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukoom,mwátaá,mwátaá,mukulu,mwátaá,mukoom,mwátaá,mwátaá,mwátaá,ŋkur wu kup,mwátaá,mwátaá,mwátaá,mwátaá,mukoom,mukulu,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukoom,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,ŋkur,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,ijℇ,mwátaá,mwátaá,mwátaá,ijℇ,munkunyi,mwátaá,mwátaá,ŋkur wu kup,munkunyi,mukulu,mwátaá,mwátaá,munkunyi,mukulu,maa koom,taa koom,mpja,taa mukaar,mpja,taa koom,taa mukaar,mpja,taa mukaar,taa koom,taa,taa koom,mpja,taa koom,taa,ŋgwen,maa koom,maa koom,mpja,mpja,maa koom,ŋgwen,taa mukaar,taa mukaar,maa koom,taa koom,taa mukaar,maa koom
7,0.1707170355302854,1.6667834195907842,1.4960663840604989,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,ŋkur wu kup,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mwátaá,mukoom,mwátaá,mwátaá,mukoom,munkunyi,ijℇ,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mukoom,mwátaá,mwátaá,mwátaá,mukulu,mukoom,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mwátaá,mwátaá,ijℇ,mwátaá,ŋkur wu kup,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mwátaá,munkunyi,mwátaá,mukulu,mwátaá,mwátaá,ŋkur,mukulu,mwátaá,mwátaá,ŋkur,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mukulu,mukulu,mukulu,munkunyi,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,maa koom,maa koom,maa koom,ŋgwen,maa koom,taa mukaar,mpja,maa koom,taa koom,taa koom,taa mukaar,taa,taa mukaar,mpja,taa mukaar,taa koom,mpja,mpja,taa mukaar,taa koom,mpja,maa koom,mpja,taa koom,taa,taa mukaar,ŋgwen,taa koom
8,0.22934226719288242,1.7300037039581702,1.5006614367652877,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mukulu,mwátaá,mwátaá,ijℇ,ŋkur wu kup,mwátaá,mwátaá,mukoom,mukulu,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mukoom,mukulu,mwátaá,mwátaá,munkunyi,mwátaá,munkunyi,mwátaá,munkunyi,mwátaá,ŋkur,ŋkur wu kup,mwátaá,mukoom,mwátaá,mwátaá,mwátaá,mwátaá,ijℇ,mukulu,mwátaá,munkunyi,mwátaá,munkunyi,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,ŋkur,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukoom,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,ŋgwen,taa mukaar,taa mukaar,taa mukaar,maa koom,maa koom,maa koom,taa koom,mpja,maa koom,taa,taa koom,taa mukaar,maa koom,taa koom,mpja,taa koom,taa koom,taa mukaar,taa koom,mpja,taa,ŋgwen,taa mukaar,mpja,maa koom,mpja,mpja
9,0.18508696340037223,1.6569686404892918,1.4718816770889196,mukulu,ŋkur,mwátaá,mwátaá,mwátaá,ŋkur,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mukulu,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mukoom,mukoom,ŋkur wu kup,mwátaá,mwátaá,mwátaá,mwátaá,ijℇ,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,mwátaá,munkunyi,ijℇ,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,ŋkur wu kup,mukoom,mukulu,mwátaá,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,munkunyi,mwátaá,munkunyi,mukulu,mwátaá,munkunyi,mwátaá,mwátaá,mukulu,mwátaá,mwátaá,mwátaá,mukoom,mwátaá,mwátaá,mwátaá,taa mukaar,mpja,taa mukaar,maa koom,taa mukaar,mpja,ŋgwen,mpja,mpja,taa mukaar,taa koom,taa mukaar,taa koom,taa,ŋgwen,maa koom,maa koom,taa,mpja,maa koom,maa koom,taa mukaar,taa koom,taa koom,taa koom,taa koom,maa koom,mpja
