simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.06596331587286763,1.3106063908583887,1.244643074985521,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,ilanga,o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,bilanga,bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),aila,o pepa,aja,oa,o pepa,oa,oa,oa,oa,o pepa,oa,o pepa,o pepa,oa,o pepa,aila,oa,o pepa,o pepa
1,0.11342380658067963,1.2005913742050751,1.0871675676243955,ilanga,ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o pepa,oa,aja,o pepa,o pepa,aila,aila,o pepa,o pepa,oa,oa,o pepa,oa,oa,o pepa,o pepa,oa,oa,oa
2,0.13810052256402428,1.0211350467282188,0.8830345241641945,o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,bilanga,ilanga,o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),oa,o pepa,o pepa,oa,o pepa,o pepa,oa,oa,aja,oa,oa,aila,o pepa,o pepa,o pepa,oa,oa,aila,o pepa
3,0.11275055786676225,1.0211350467282188,0.9083844888614565,bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,bilanga,ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o pepa,oa,o pepa,aila,o pepa,oa,oa,oa,aila,o pepa,o pepa,o pepa,o pepa,oa,oa,o pepa,oa,oa,aja
4,0.04750263690936962,1.1709971261162124,1.1234944892068428,o ngoak ma riak (dodot),ilanga,bilanga,ilanga,bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,bilanga,aja,o pepa,o pepa,aila,o pepa,oa,aila,o pepa,oa,oa,oa,o pepa,o pepa,oa,oa,oa,o pepa,oa,o pepa
5,0.14501492052549536,1.1709971261162124,1.025982205590717,bilanga,o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,ilanga,bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o pepa,aja,o pepa,oa,oa,o pepa,oa,oa,aila,aila,oa,o pepa,o pepa,o pepa,o pepa,o pepa,oa,oa,oa
6,0.05973199119179873,1.0211350467282185,0.9614030555364198,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,ilanga,ilanga,o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),oa,o pepa,oa,oa,o pepa,aila,aila,oa,oa,o pepa,oa,o pepa,o pepa,aja,oa,o pepa,o pepa,oa,o pepa
7,0.09187578651315276,1.2005913742050751,1.1087155876919224,o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),bilanga,ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o pepa,oa,aja,oa,oa,o pepa,o pepa,oa,oa,o pepa,aila,oa,oa,o pepa,o pepa,aila,o pepa,oa,o pepa
8,0.09511106999019159,1.0211350467282185,0.9260239767380269,ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,ilanga,bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),oa,oa,o pepa,oa,o pepa,o pepa,aja,o pepa,o pepa,oa,o pepa,aila,o pepa,oa,o pepa,oa,oa,aila,oa
9,0.04036148420551955,1.1607443114703948,1.1203828272648753,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),o ngoak ma riak (dodot),bilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,o ngoak ma riak (dodot),o ngoak ma riak (dodot),ilanga,bilanga,o ngoak ma riak (dodot),ilanga,oa,o pepa,aila,aila,o pepa,o pepa,o pepa,oa,o pepa,o pepa,oa,aja,oa,o pepa,oa,o pepa,oa,oa,oa
