simulation_number,mutual_information,entropy,conditional_entropy,mMBeS,mMByS,fMBeS,fMByS,fMBeD,fMByD,mMBeD,mMByD,myB,fyZ,mFZeD,mFZyD,fFZeD,fFZyD,mFByS,fFBeD,fFByD,mMZeS,mMZyS,fMZeD,fMZyD,meB,feZ,meZ,myZ,mFBeD,mFByD,mMZeD,mMZyD,mFZeS,fFZeS,mFZyS,fFZyS,feB,fyB,fFByS,fMZyS,mFBeS,fFBeS,mMeB,mMyB,fMeB,fMyB,mMeZ,mMyZ,fMeZ,fMyZ,mM,fM,mFeZ,mFyZ,fFeZ,fFyZ,mF,fF,mFeB,mFyB,fFeB,fFyB
0,0.5198603854199589,0.6931471805599453,0.17328679513998632,anʼ-take,sä-näkʼ-fish,su-sohʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,et-e-bäʼ-pǐ-shǐ-lǐ,ang-kǐ,et-e-bäʼ-pǐ-shǐ-lǐ,suʼ-soh,hap-poʼ-sǐ,hap-poʼ-sǐ,anʼ-take,anʼ-take,suʼ-soh,et-e-bäʼ-pǐ-shǐ-lǐ,supʼ-pok,anʼ-take,ang-kǐ,sä-näkʼ-fish,a-näkʼ-fǐ,au-tikʼ-bä,supʼ-pok,ang-kǐ,a-näkʼ-fǐ,su-sohʼ-take,supʼ-pok-näkʼ-nǐ,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fi,anʼ-tikʼ-bä,hap-poʼ-sǐ,ang-kǐ,a-näkʼ-fǐ,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,anʼ-take,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,supʼ-pok-näkʼ-nǐ,a-näkʼ-fi,um-oʼ-shǐ,um-oʼ-shǐ,amgʼ-kǐ,um-oʼ-shǐ,aggʼ-ki,aggʼ-ki,hap-poʼ-sǐ,aggʼ-ki,hap-poʼ-sǐ,sush-koʼ-sǐ,lushʼ-kǐ,amgʼ-kǐ,hap-poʼ-sǐ,aggʼ-ki,hap-poʼ-sǐ,sush-koʼ-sǐ,lushʼ-kǐ,sush-koʼ-sǐ,um-oʼ-shǐ,sush-koʼ-sǐ
1,0.5198603854199589,1.3862943611198906,0.8664339756999316,hap-poʼ-sǐ,ang-kǐ,sä-näkʼ-fish,a-näkʼ-fǐ,su-sohʼ-take,ang-kǐ,anʼ-take,hap-poʼ-sǐ,au-tikʼ-bä,ang-kǐ,su-sohʼ-take,supʼ-pok-näkʼ-nǐ,supʼ-pok,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,suʼ-soh,supʼ-pok,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,anʼ-take,a-näkʼ-fǐ,a-näkʼ-fi,anʼ-take,ang-kǐ,anʼ-tikʼ-bä,a-näkʼ-fi,et-e-bäʼ-pǐ-shǐ-lǐ,hap-poʼ-sǐ,supʼ-pok-näkʼ-nǐ,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,suʼ-soh,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-take,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,sä-näkʼ-fish,hap-poʼ-sǐ,hap-poʼ-sǐ,sush-koʼ-sǐ,hap-poʼ-sǐ,um-oʼ-shǐ,sush-koʼ-sǐ,um-oʼ-shǐ,lushʼ-kǐ,aggʼ-ki,amgʼ-kǐ,sush-koʼ-sǐ,sush-koʼ-sǐ,aggʼ-ki,aggʼ-ki,hap-poʼ-sǐ,lushʼ-kǐ,amgʼ-kǐ,aggʼ-ki,um-oʼ-shǐ,um-oʼ-shǐ
2,0.6931471805599452,1.0397207708399179,0.34657359027997264,et-e-bäʼ-pǐ-shǐ-lǐ,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,supʼ-pok,suʼ-soh,a-näkʼ-fi,supʼ-pok-näkʼ-nǐ,anʼ-take,hap-poʼ-sǐ,su-sohʼ-take,suʼ-soh,anʼ-take,au-tikʼ-bä,supʼ-pok,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-take,anʼ-take,hap-poʼ-sǐ,ang-kǐ,sä-näkʼ-fish,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-take,sä-näkʼ-fish,a-näkʼ-fi,et-e-bäʼ-pǐ-shǐ-lǐ,su-sohʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,supʼ-pok-näkʼ-nǐ,anʼ-take,ang-kǐ,ang-kǐ,a-näkʼ-fǐ,ang-kǐ,anʼ-tikʼ-bä,a-näkʼ-fǐ,a-näkʼ-fǐ,hap-poʼ-sǐ,amgʼ-kǐ,hap-poʼ-sǐ,amgʼ-kǐ,sush-koʼ-sǐ,hap-poʼ-sǐ,aggʼ-ki,um-oʼ-shǐ,um-oʼ-shǐ,hap-poʼ-sǐ,lushʼ-kǐ,aggʼ-ki,um-oʼ-shǐ,aggʼ-ki,sush-koʼ-sǐ,hap-poʼ-sǐ,sush-koʼ-sǐ,lushʼ-kǐ,sush-koʼ-sǐ,aggʼ-ki,um-oʼ-shǐ
3,0.17328679513998624,1.0397207708399179,0.8664339756999316,anʼ-take,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,ang-kǐ,anʼ-take,sä-näkʼ-fish,supʼ-pok,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,suʼ-soh,supʼ-pok-näkʼ-nǐ,ang-kǐ,su-sohʼ-take,hap-poʼ-sǐ,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-tikʼ-bä,a-näkʼ-fi,ang-kǐ,suʼ-soh,a-näkʼ-fǐ,su-sohʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,et-e-bäʼ-pǐ-shǐ-lǐ,ang-kǐ,sä-näkʼ-fish,supʼ-pok-näkʼ-nǐ,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fi,anʼ-take,anʼ-take,hap-poʼ-sǐ,a-näkʼ-fǐ,supʼ-pok,a-näkʼ-fǐ,et-e-bäʼ-pǐ-shǐ-lǐ,au-tikʼ-bä,anʼ-take,sush-koʼ-sǐ,amgʼ-kǐ,hap-poʼ-sǐ,um-oʼ-shǐ,hap-poʼ-sǐ,sush-koʼ-sǐ,um-oʼ-shǐ,aggʼ-ki,aggʼ-ki,hap-poʼ-sǐ,amgʼ-kǐ,aggʼ-ki,lushʼ-kǐ,lushʼ-kǐ,sush-koʼ-sǐ,sush-koʼ-sǐ,um-oʼ-shǐ,hap-poʼ-sǐ,um-oʼ-shǐ,aggʼ-ki
4,0.17328679513998624,1.0397207708399179,0.8664339756999316,sä-näkʼ-fish,a-näkʼ-fǐ,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,supʼ-pok,su-sohʼ-take,supʼ-pok-näkʼ-nǐ,et-e-bäʼ-pǐ-shǐ-lǐ,suʼ-soh,a-näkʼ-fǐ,ang-kǐ,a-näkʼ-fǐ,anʼ-tikʼ-bä,anʼ-take,su-sohʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,ang-kǐ,au-tikʼ-bä,anʼ-take,sä-näkʼ-fish,hap-poʼ-sǐ,a-näkʼ-fǐ,supʼ-pok,anʼ-take,a-näkʼ-fi,supʼ-pok-näkʼ-nǐ,et-e-bäʼ-pǐ-shǐ-lǐ,et-e-bäʼ-pǐ-shǐ-lǐ,suʼ-soh,ang-kǐ,hap-poʼ-sǐ,ang-kǐ,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-take,a-näkʼ-fi,hap-poʼ-sǐ,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,um-oʼ-shǐ,um-oʼ-shǐ,amgʼ-kǐ,sush-koʼ-sǐ,aggʼ-ki,amgʼ-kǐ,hap-poʼ-sǐ,um-oʼ-shǐ,sush-koʼ-sǐ,sush-koʼ-sǐ,lushʼ-kǐ,aggʼ-ki,sush-koʼ-sǐ,lushʼ-kǐ,um-oʼ-shǐ,hap-poʼ-sǐ,aggʼ-ki,hap-poʼ-sǐ,aggʼ-ki,hap-poʼ-sǐ
5,0.3465735902799726,1.0397207708399179,0.6931471805599453,a-näkʼ-fǐ,hap-poʼ-sǐ,su-sohʼ-take,anʼ-tikʼ-bä,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fi,et-e-bäʼ-pǐ-shǐ-lǐ,supʼ-pok-näkʼ-nǐ,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,supʼ-pok,supʼ-pok,a-näkʼ-fǐ,hap-poʼ-sǐ,ang-kǐ,et-e-bäʼ-pǐ-shǐ-lǐ,suʼ-soh,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,a-näkʼ-fǐ,hap-poʼ-sǐ,suʼ-soh,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fi,su-sohʼ-take,anʼ-take,anʼ-take,ang-kǐ,supʼ-pok-näkʼ-nǐ,anʼ-take,au-tikʼ-bä,sä-näkʼ-fish,hap-poʼ-sǐ,ang-kǐ,ang-kǐ,sä-näkʼ-fish,anʼ-take,hap-poʼ-sǐ,um-oʼ-shǐ,sush-koʼ-sǐ,um-oʼ-shǐ,lushʼ-kǐ,amgʼ-kǐ,aggʼ-ki,aggʼ-ki,sush-koʼ-sǐ,aggʼ-ki,um-oʼ-shǐ,lushʼ-kǐ,hap-poʼ-sǐ,hap-poʼ-sǐ,sush-koʼ-sǐ,um-oʼ-shǐ,hap-poʼ-sǐ,aggʼ-ki,sush-koʼ-sǐ,amgʼ-kǐ
6,0.5198603854199589,0.6931471805599453,0.17328679513998632,su-sohʼ-take,a-näkʼ-fi,sä-näkʼ-fish,ang-kǐ,ang-kǐ,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,suʼ-soh,a-näkʼ-fǐ,suʼ-soh,anʼ-take,hap-poʼ-sǐ,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,su-sohʼ-take,supʼ-pok-näkʼ-nǐ,supʼ-pok,anʼ-take,a-näkʼ-fi,supʼ-pok-näkʼ-nǐ,hap-poʼ-sǐ,ang-kǐ,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,ang-kǐ,au-tikʼ-bä,sä-näkʼ-fish,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-tikʼ-bä,a-näkʼ-fǐ,a-näkʼ-fǐ,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-take,a-näkʼ-fǐ,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,supʼ-pok,et-e-bäʼ-pǐ-shǐ-lǐ,hap-poʼ-sǐ,amgʼ-kǐ,lushʼ-kǐ,um-oʼ-shǐ,aggʼ-ki,hap-poʼ-sǐ,hap-poʼ-sǐ,amgʼ-kǐ,um-oʼ-shǐ,aggʼ-ki,sush-koʼ-sǐ,lushʼ-kǐ,sush-koʼ-sǐ,sush-koʼ-sǐ,um-oʼ-shǐ,aggʼ-ki,aggʼ-ki,sush-koʼ-sǐ,um-oʼ-shǐ,hap-poʼ-sǐ
7,0.6931471805599453,1.3862943611198906,0.6931471805599453,ang-kǐ,hap-poʼ-sǐ,su-sohʼ-take,sä-näkʼ-fish,su-sohʼ-take,a-näkʼ-fǐ,suʼ-soh,au-tikʼ-bä,supʼ-pok-näkʼ-nǐ,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,supʼ-pok,a-näkʼ-fǐ,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,hap-poʼ-sǐ,sä-näkʼ-fish,ang-kǐ,et-e-bäʼ-pǐ-shǐ-lǐ,et-e-bäʼ-pǐ-shǐ-lǐ,supʼ-pok,ang-kǐ,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,anʼ-take,anʼ-take,ang-kǐ,a-näkʼ-fi,suʼ-soh,anʼ-tikʼ-bä,anʼ-take,anʼ-take,anʼ-take,supʼ-pok-näkʼ-nǐ,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fi,hap-poʼ-sǐ,sush-koʼ-sǐ,lushʼ-kǐ,amgʼ-kǐ,sush-koʼ-sǐ,sush-koʼ-sǐ,hap-poʼ-sǐ,um-oʼ-shǐ,sush-koʼ-sǐ,aggʼ-ki,aggʼ-ki,um-oʼ-shǐ,aggʼ-ki,aggʼ-ki,lushʼ-kǐ,um-oʼ-shǐ,um-oʼ-shǐ,amgʼ-kǐ,hap-poʼ-sǐ,hap-poʼ-sǐ
8,0.5198603854199589,1.3862943611198906,0.8664339756999316,su-sohʼ-take,anʼ-take,a-näkʼ-fǐ,ang-kǐ,et-e-bäʼ-pǐ-shǐ-lǐ,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-take,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,supʼ-pok,sä-näkʼ-fish,sä-näkʼ-fish,au-tikʼ-bä,anʼ-tikʼ-bä,et-e-bäʼ-pǐ-shǐ-lǐ,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fi,hap-poʼ-sǐ,ang-kǐ,su-sohʼ-take,a-näkʼ-fi,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-take,ang-kǐ,anʼ-take,ang-kǐ,a-näkʼ-fǐ,a-näkʼ-fǐ,supʼ-pok,hap-poʼ-sǐ,supʼ-pok-näkʼ-nǐ,hap-poʼ-sǐ,supʼ-pok-näkʼ-nǐ,suʼ-soh,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,suʼ-soh,anʼ-take,amgʼ-kǐ,aggʼ-ki,hap-poʼ-sǐ,aggʼ-ki,um-oʼ-shǐ,hap-poʼ-sǐ,aggʼ-ki,hap-poʼ-sǐ,lushʼ-kǐ,aggʼ-ki,um-oʼ-shǐ,sush-koʼ-sǐ,hap-poʼ-sǐ,sush-koʼ-sǐ,sush-koʼ-sǐ,um-oʼ-shǐ,um-oʼ-shǐ,sush-koʼ-sǐ,amgʼ-kǐ,lushʼ-kǐ
9,0.3465735902799726,1.0397207708399179,0.6931471805599453,ang-kǐ,sä-näkʼ-fish,anʼ-take,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,et-e-bäʼ-pǐ-shǐ-lǐ,ang-kǐ,hap-poʼ-sǐ,a-näkʼ-fǐ,su-sohʼ-take,a-näkʼ-fǐ,et-e-bäʼ-pǐ-shǐ-lǐ,sä-näkʼ-fish,suʼ-soh,su-sohʼ-take,anʼ-take,supʼ-pok-näkʼ-nǐ,anʼ-take,hap-poʼ-sǐ,anʼ-tikʼ-bä,a-näkʼ-fǐ,au-tikʼ-bä,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fi,a-näkʼ-fǐ,suʼ-soh,anʼ-take,supʼ-pok,a-näkʼ-fi,et-e-bäʼ-pǐ-shǐ-lǐ,hap-poʼ-sǐ,et-e-bäʼ-pǐ-shǐ-lǐ,hap-poʼ-sǐ,anʼ-take,ang-kǐ,supʼ-pok-näkʼ-nǐ,supʼ-pok,et-e-bäʼ-pǐ-shǐ-lǐ,ang-kǐ,aggʼ-ki,lushʼ-kǐ,amgʼ-kǐ,sush-koʼ-sǐ,aggʼ-ki,um-oʼ-shǐ,sush-koʼ-sǐ,sush-koʼ-sǐ,amgʼ-kǐ,hap-poʼ-sǐ,um-oʼ-shǐ,lushʼ-kǐ,hap-poʼ-sǐ,um-oʼ-shǐ,aggʼ-ki,aggʼ-ki,hap-poʼ-sǐ,hap-poʼ-sǐ,um-oʼ-shǐ,sush-koʼ-sǐ
