simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.21890356845343262,1.3340295991155566,1.115126030662124,galele,momlenei,atung (nggöt),momlenei,atung (nggöt),galele,atung (nggöt),atung (nggöt),galele,atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),tasing avin,momlenei,galele,galele,galele,atung (nggöt),galele,atung (nggöt),maning,atung (nggöt),momlenei,vivining,galele,livinging,galele,momlenei,atung (nggöt),atung (nggöt),maning,atung (nggöt),momlenei,galele,tuang avin,tasing,atung (nggöt),momlenei,momlenei,momlenei,atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),momlenei,ndat tanai,ndat tanai,galu,galam,mom,galu,galam,galam,mom,galam,ndat tanai,ndat tanai
1,0.35717730931900193,1.314775737547273,0.9575984282282711,atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),galele,momlenei,maning,atung (nggöt),atung (nggöt),galele,galele,atung (nggöt),atung (nggöt),atung (nggöt),galele,momlenei,maning,momlenei,galele,momlenei,momlenei,galele,momlenei,atung (nggöt),atung (nggöt),atung (nggöt),galele,atung (nggöt),momlenei,atung (nggöt),atung (nggöt),livinging,atung (nggöt),vivining,atung (nggöt),tasing avin,tuang avin,tasing,momlenei,momlenei,galele,atung (nggöt),atung (nggöt),galele,momlenei,atung (nggöt),galele,galu,mom,ndat tanai,ndat tanai,galam,galam,galu,ndat tanai,galam,galam,ndat tanai,mom
2,0.3597946462838646,1.3340295991155566,0.974234952831692,atung (nggöt),momlenei,galele,atung (nggöt),atung (nggöt),atung (nggöt),maning,livinging,galele,atung (nggöt),maning,atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),galele,atung (nggöt),atung (nggöt),galele,momlenei,momlenei,tasing,atung (nggöt),momlenei,momlenei,atung (nggöt),galele,atung (nggöt),galele,tasing avin,momlenei,momlenei,momlenei,vivining,atung (nggöt),galele,tuang avin,momlenei,galele,galele,galele,atung (nggöt),atung (nggöt),atung (nggöt),momlenei,atung (nggöt),atung (nggöt),ndat tanai,galu,ndat tanai,mom,galu,ndat tanai,galam,mom,galam,galam,galam,ndat tanai
3,0.2220670352596139,1.3340295991155566,1.1119625638559427,atung (nggöt),atung (nggöt),galele,momlenei,momlenei,momlenei,tuang avin,momlenei,atung (nggöt),atung (nggöt),tasing avin,atung (nggöt),atung (nggöt),momlenei,atung (nggöt),galele,galele,galele,galele,momlenei,livinging,atung (nggöt),galele,atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),tasing,momlenei,momlenei,galele,atung (nggöt),galele,momlenei,maning,atung (nggöt),atung (nggöt),vivining,galele,momlenei,atung (nggöt),atung (nggöt),galele,maning,ndat tanai,galam,ndat tanai,mom,ndat tanai,mom,galam,galu,galam,galam,ndat tanai,galu
4,0.22323211271712662,1.314775737547273,1.0915436248301464,tasing,galele,livinging,atung (nggöt),atung (nggöt),momlenei,atung (nggöt),atung (nggöt),maning,galele,galele,atung (nggöt),atung (nggöt),atung (nggöt),tasing avin,galele,atung (nggöt),atung (nggöt),momlenei,galele,atung (nggöt),momlenei,galele,galele,atung (nggöt),momlenei,atung (nggöt),momlenei,tuang avin,galele,momlenei,momlenei,momlenei,galele,atung (nggöt),atung (nggöt),maning,momlenei,momlenei,atung (nggöt),atung (nggöt),atung (nggöt),vivining,atung (nggöt),galele,atung (nggöt),atung (nggöt),galam,galu,galam,galam,galam,mom,ndat tanai,mom,ndat tanai,ndat tanai,ndat tanai,galu
5,0.20502414532161972,1.3340295991155569,1.1290054537939371,atung (nggöt),maning,momlenei,atung (nggöt),atung (nggöt),galele,momlenei,tasing,momlenei,atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),galele,atung (nggöt),tuang avin,atung (nggöt),galele,momlenei,atung (nggöt),galele,momlenei,maning,vivining,atung (nggöt),atung (nggöt),galele,galele,atung (nggöt),momlenei,livinging,momlenei,momlenei,atung (nggöt),atung (nggöt),galele,galele,galele,atung (nggöt),galele,atung (nggöt),atung (nggöt),tasing avin,momlenei,momlenei,atung (nggöt),galam,mom,ndat tanai,mom,galu,ndat tanai,ndat tanai,galam,galam,ndat tanai,galam,galu
6,0.1602651708248406,1.3340295991155566,1.173764428290716,atung (nggöt),maning,atung (nggöt),atung (nggöt),galele,atung (nggöt),atung (nggöt),galele,momlenei,tasing avin,galele,atung (nggöt),momlenei,tuang avin,atung (nggöt),atung (nggöt),momlenei,livinging,momlenei,galele,maning,atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),galele,galele,galele,momlenei,momlenei,momlenei,atung (nggöt),atung (nggöt),galele,atung (nggöt),momlenei,atung (nggöt),atung (nggöt),momlenei,atung (nggöt),tasing,galele,galele,momlenei,vivining,atung (nggöt),mom,mom,galam,galu,ndat tanai,galam,ndat tanai,ndat tanai,ndat tanai,galam,galam,galu
7,0.29155201945258313,1.314775737547273,1.02322371809469,galele,atung (nggöt),galele,maning,atung (nggöt),momlenei,galele,momlenei,galele,atung (nggöt),atung (nggöt),livinging,atung (nggöt),galele,vivining,atung (nggöt),atung (nggöt),galele,momlenei,galele,maning,galele,atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),atung (nggöt),momlenei,tasing,galele,momlenei,atung (nggöt),tasing avin,atung (nggöt),atung (nggöt),momlenei,momlenei,atung (nggöt),atung (nggöt),tuang avin,momlenei,momlenei,atung (nggöt),atung (nggöt),momlenei,galele,mom,mom,ndat tanai,ndat tanai,galam,galu,ndat tanai,galu,galam,ndat tanai,galam,galam
8,0.4123078372834298,1.3168020301280536,0.9044941928446238,atung (nggöt),momlenei,momlenei,atung (nggöt),momlenei,momlenei,maning,momlenei,momlenei,galele,atung (nggöt),atung (nggöt),momlenei,momlenei,atung (nggöt),livinging,atung (nggöt),atung (nggöt),atung (nggöt),tasing avin,momlenei,galele,atung (nggöt),galele,galele,atung (nggöt),atung (nggöt),atung (nggöt),galele,atung (nggöt),vivining,galele,momlenei,galele,atung (nggöt),atung (nggöt),maning,atung (nggöt),galele,galele,atung (nggöt),tuang avin,galele,tasing,atung (nggöt),atung (nggöt),atung (nggöt),mom,galam,galam,ndat tanai,mom,ndat tanai,galu,galam,ndat tanai,galam,ndat tanai,galu
9,0.41138693886374234,1.3474848769969376,0.9360979381331953,galele,atung (nggöt),momlenei,maning,galele,atung (nggöt),atung (nggöt),atung (nggöt),momlenei,galele,atung (nggöt),momlenei,galele,vivining,atung (nggöt),atung (nggöt),atung (nggöt),livinging,momlenei,atung (nggöt),galele,atung (nggöt),atung (nggöt),momlenei,atung (nggöt),momlenei,tuang avin,galele,atung (nggöt),atung (nggöt),galele,atung (nggöt),atung (nggöt),tasing,atung (nggöt),atung (nggöt),maning,atung (nggöt),galele,galele,atung (nggöt),momlenei,momlenei,momlenei,galele,momlenei,tasing avin,galam,ndat tanai,mom,mom,galu,ndat tanai,galu,ndat tanai,galam,galam,galam,ndat tanai
