simulation_number,mutual_information,entropy,conditional_entropy,meB,meZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,feZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,myB,myZ,fB,fZ,fyB,fyZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ,mF,fF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,fM,fFB,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB
0,0.3359513910329328,1.7104946708263118,1.374543279793379,pitiaut-bhai,mamiáut bhāy,mamiáut bhāy,pitiaut-bhai,pisiáut bhāy,pisiáut bhāy,bahīn,bháiyā,pitiaut-bhai,masiáut bhāy,pitiaut-bahan,mamiáut bahin,pisiáut bahin,pisiáut bahin,pisiáut bahin,pitiaut-bahan,pitiaut-bhai,pisiáut bahin,masiáut bahin,masiáut bhāy,mamiáut bhāy,mamiáut bahin,pisiáut bhāy,masiáut bhāy,masiáut bahin,pitiaut-bahan,pitiaut-bhai,masiáut bahin,pitiaut-bahan,pitiaut-bahan,mamiáut bahin,bhāy,pisiáut bahin,pitiaut-bhai,pitiaut-bahan,pisiáut bhāy,bahīn,mamiáut bahin,mamiáut bhāy,masiáut bahin,pisiáut bhāy,masiáut bahin,bháiyā,pitiaut-bhai,mamiáut bahin,pisiáut bahin,mamiáut bhāy,masiáut bhāy,pisiáut bhāy,pisiáut bahin,masiáut bhāy,masiáut bahin,masiáut bhāy,pitiaut-bhai,pitiaut-bhai,pitiaut-bahan,pitiaut-bahan,pisiáut bahin,mamiáut bhāy,pisiáut bhāy,bhāy,mamiáut bhāy,bahīn,pitiaut-bhai,pisiáut bhāy,masiáut bhāy,masiáut bahin,mamiáut bahin,pisiáut bahin,didi,pisiáut bhāy,pitiaut-bahan,bhāy,bhāy,masiáut bhāy,pisiáut bhāy,mamiáut bhāy,mamiáut bahin,masiáut bahin,masiáut bahin,mamiáut bahin,mamiáut bahin,masiáut bhāy,bahīn,masiáut bahin,didi,mamiáut bhāy,mamiáut bahin,mamiáut bhāy,pisiáut bahin,bābujī,pisī,kākā,māma,pisī,kākā,māma,pisī,māma,pisī,máusī,mæ,máusī,máusī,kākā,mæ,kākā,pisī,māma,máusī,bābujī,máusī,māma,kākā,máusī,pisī,māma,kākā
1,0.3949678214345924,1.639762917601027,1.2447950961664347,mamiáut bahin,pitiaut-bhai,pisiáut bahin,pisiáut bahin,pisiáut bahin,bhāy,masiáut bahin,pisiáut bhāy,pitiaut-bhai,pitiaut-bhai,pitiaut-bhai,mamiáut bahin,pisiáut bahin,masiáut bhāy,masiáut bahin,mamiáut bhāy,pisiáut bahin,pitiaut-bahan,pisiáut bhāy,pitiaut-bhai,pitiaut-bahan,pisiáut bahin,pisiáut bhāy,pitiaut-bahan,bhāy,masiáut bhāy,pitiaut-bahan,masiáut bahin,mamiáut bahin,masiáut bahin,didi,masiáut bahin,masiáut bahin,mamiáut bahin,didi,masiáut bhāy,pisiáut bahin,mamiáut bhāy,mamiáut bahin,pisiáut bhāy,mamiáut bhāy,pisiáut bhāy,mamiáut bhāy,bháiyā,masiáut bhāy,pitiaut-bhai,mamiáut bhāy,pitiaut-bhai,masiáut bhāy,pitiaut-bhai,bahīn,bahīn,masiáut bahin,mamiáut bhāy,mamiáut bahin,masiáut bahin,pisiáut bhāy,mamiáut bhāy,pitiaut-bahan,mamiáut bahin,masiáut bhāy,masiáut bhāy,masiáut bahin,bhāy,pitiaut-bhai,pitiaut-bahan,bahīn,pitiaut-bhai,bahīn,pisiáut bhāy,mamiáut bhāy,pisiáut bahin,mamiáut bhāy,pisiáut bhāy,bhāy,pisiáut bahin,mamiáut bahin,pisiáut bhāy,mamiáut bhāy,pitiaut-bahan,masiáut bahin,pitiaut-bahan,pisiáut bhāy,pitiaut-bahan,masiáut bhāy,pisiáut bahin,mamiáut bahin,mamiáut bahin,masiáut bhāy,bháiyā,pisī,máusī,kākā,mæ,bābujī,kākā,māma,pisī,pisī,pisī,māma,kākā,pisī,bābujī,kākā,pisī,máusī,máusī,kākā,māma,máusī,kākā,māma,māma,mæ,māma,máusī,máusī
2,0.4447852579545857,1.6633813911710653,1.2185961332164796,pitiaut-bahan,masiáut bahin,masiáut bahin,pisiáut bahin,pisiáut bahin,mamiáut bhāy,mamiáut bahin,bahīn,masiáut bahin,bahīn,masiáut bahin,pitiaut-bahan,mamiáut bhāy,bahīn,mamiáut bhāy,mamiáut bahin,pisiáut bhāy,mamiáut bhāy,masiáut bahin,pitiaut-bhai,masiáut bhāy,bháiyā,masiáut bahin,masiáut bahin,masiáut bhāy,pisiáut bhāy,mamiáut bahin,didi,mamiáut bhāy,pitiaut-bhai,pisiáut bahin,masiáut bahin,mamiáut bahin,pitiaut-bhai,mamiáut bahin,pitiaut-bahan,pitiaut-bhai,pitiaut-bhai,masiáut bhāy,pitiaut-bahan,mamiáut bhāy,pisiáut bahin,mamiáut bhāy,pisiáut bahin,masiáut bhāy,masiáut bahin,masiáut bhāy,bhāy,bhāy,bhāy,mamiáut bhāy,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,mamiáut bhāy,pitiaut-bahan,didi,masiáut bhāy,pisiáut bhāy,pisiáut bhāy,pisiáut bhāy,pitiaut-bahan,mamiáut bahin,masiáut bhāy,masiáut bhāy,pisiáut bahin,bhāy,pisiáut bhāy,pisiáut bhāy,pisiáut bhāy,pisiáut bahin,pitiaut-bahan,pisiáut bhāy,mamiáut bahin,mamiáut bhāy,mamiáut bahin,pitiaut-bahan,bháiyā,pisiáut bhāy,mamiáut bahin,pisiáut bahin,masiáut bahin,masiáut bhāy,pisiáut bahin,pisiáut bahin,mamiáut bahin,pitiaut-bhai,bahīn,pitiaut-bhai,pitiaut-bhai,pisī,māma,máusī,māma,kākā,pisī,māma,pisī,máusī,kākā,pisī,pisī,māma,máusī,māma,bābujī,pisī,kākā,máusī,mæ,kākā,máusī,máusī,māma,bābujī,mæ,kākā,kākā
3,0.2878970232105369,1.6942042154330879,1.406307192222551,masiáut bhāy,pitiaut-bhai,pisiáut bahin,pitiaut-bahan,bahīn,pisiáut bahin,masiáut bahin,mamiáut bahin,pitiaut-bhai,masiáut bhāy,bahīn,pisiáut bahin,pitiaut-bahan,bhāy,pisiáut bhāy,mamiáut bahin,pisiáut bhāy,pitiaut-bahan,didi,pitiaut-bahan,pitiaut-bhai,masiáut bahin,mamiáut bhāy,pitiaut-bhai,pisiáut bhāy,pisiáut bahin,masiáut bahin,pitiaut-bhai,mamiáut bahin,mamiáut bhāy,mamiáut bhāy,pitiaut-bahan,pisiáut bahin,masiáut bahin,mamiáut bhāy,pisiáut bahin,pitiaut-bhai,pitiaut-bhai,bhāy,masiáut bahin,masiáut bhāy,bhāy,pitiaut-bhai,pitiaut-bhai,mamiáut bahin,masiáut bhāy,mamiáut bahin,masiáut bhāy,mamiáut bhāy,pisiáut bhāy,pisiáut bhāy,pisiáut bhāy,bhāy,masiáut bhāy,masiáut bahin,mamiáut bhāy,pitiaut-bhai,mamiáut bhāy,bháiyā,pisiáut bhāy,mamiáut bahin,bahīn,mamiáut bahin,mamiáut bahin,masiáut bhāy,pisiáut bahin,mamiáut bhāy,masiáut bahin,pisiáut bhāy,mamiáut bhāy,masiáut bahin,pitiaut-bahan,masiáut bhāy,bháiyā,pisiáut bahin,bahīn,pitiaut-bahan,pisiáut bhāy,pitiaut-bahan,masiáut bahin,masiáut bahin,pitiaut-bahan,mamiáut bahin,mamiáut bhāy,pisiáut bahin,didi,mamiáut bahin,pisiáut bahin,pisiáut bhāy,masiáut bhāy,māma,máusī,bābujī,pisī,máusī,māma,máusī,máusī,kākā,mæ,māma,māma,pisī,pisī,kākā,kākā,kākā,bābujī,pisī,māma,māma,pisī,kākā,máusī,kākā,mæ,máusī,pisī
4,0.3595707984919527,1.6739002342395797,1.314329435747627,masiáut bhāy,bhāy,pisiáut bhāy,pitiaut-bhai,mamiáut bahin,pisiáut bhāy,pitiaut-bahan,pisiáut bhāy,mamiáut bhāy,bhāy,masiáut bahin,pitiaut-bahan,pisiáut bahin,mamiáut bhāy,masiáut bhāy,pisiáut bhāy,pisiáut bahin,pitiaut-bhai,pitiaut-bhai,mamiáut bahin,masiáut bahin,bahīn,pitiaut-bhai,mamiáut bhāy,pitiaut-bhai,pitiaut-bahan,mamiáut bhāy,masiáut bahin,pitiaut-bhai,pitiaut-bhai,pitiaut-bahan,pisiáut bhāy,masiáut bhāy,mamiáut bahin,pitiaut-bahan,mamiáut bahin,mamiáut bhāy,bahīn,pisiáut bahin,mamiáut bahin,pisiáut bahin,pisiáut bahin,masiáut bahin,mamiáut bhāy,pitiaut-bahan,pitiaut-bahan,masiáut bahin,bahīn,bhāy,mamiáut bhāy,mamiáut bhāy,bahīn,pisiáut bahin,pitiaut-bhai,pitiaut-bahan,pitiaut-bahan,pisiáut bhāy,masiáut bhāy,masiáut bhāy,pitiaut-bhai,mamiáut bhāy,masiáut bahin,pisiáut bahin,masiáut bahin,didi,mamiáut bahin,mamiáut bahin,masiáut bahin,pisiáut bhāy,mamiáut bahin,mamiáut bhāy,mamiáut bahin,masiáut bhāy,bhāy,pisiáut bahin,mamiáut bahin,masiáut bahin,pisiáut bhāy,pisiáut bahin,masiáut bhāy,masiáut bhāy,masiáut bahin,pisiáut bhāy,pitiaut-bhai,pisiáut bahin,masiáut bhāy,bháiyā,pisiáut bhāy,bháiyā,didi,pisī,māma,māma,kākā,máusī,pisī,bābujī,kākā,pisī,kākā,pisī,máusī,mæ,máusī,máusī,kākā,kākā,máusī,māma,pisī,pisī,bābujī,māma,kākā,māma,máusī,māma,mæ
5,0.2655606791648395,1.7145662414228189,1.4490055622579794,masiáut bhāy,bahīn,pisiáut bhāy,mamiáut bhāy,pisiáut bhāy,masiáut bahin,pitiaut-bahan,masiáut bhāy,mamiáut bahin,mamiáut bhāy,masiáut bahin,pitiaut-bhai,pitiaut-bhai,pitiaut-bhai,pitiaut-bahan,masiáut bhāy,pisiáut bhāy,mamiáut bahin,mamiáut bahin,masiáut bahin,masiáut bhāy,pisiáut bahin,mamiáut bhāy,pitiaut-bhai,bhāy,masiáut bahin,pisiáut bhāy,pitiaut-bahan,mamiáut bhāy,pisiáut bahin,masiáut bahin,bahīn,mamiáut bhāy,pitiaut-bahan,pitiaut-bhai,mamiáut bhāy,masiáut bhāy,pisiáut bahin,pisiáut bahin,pitiaut-bahan,bhāy,bahīn,pisiáut bhāy,pitiaut-bhai,mamiáut bahin,pitiaut-bhai,pisiáut bhāy,pisiáut bahin,masiáut bahin,pisiáut bahin,mamiáut bahin,masiáut bhāy,pitiaut-bhai,pitiaut-bahan,mamiáut bahin,masiáut bhāy,bhāy,mamiáut bhāy,mamiáut bhāy,bahīn,mamiáut bahin,pisiáut bahin,mamiáut bhāy,mamiáut bahin,pitiaut-bhai,bháiyā,pitiaut-bahan,bhāy,pitiaut-bahan,pisiáut bhāy,masiáut bahin,pisiáut bahin,mamiáut bhāy,mamiáut bahin,masiáut bhāy,pitiaut-bahan,masiáut bhāy,masiáut bahin,masiáut bahin,pisiáut bhāy,pisiáut bahin,didi,masiáut bahin,pisiáut bahin,mamiáut bahin,pisiáut bhāy,pisiáut bhāy,didi,bháiyā,pitiaut-bhai,pisī,mæ,máusī,kākā,kākā,bābujī,māma,māma,kākā,bābujī,máusī,máusī,māma,pisī,māma,pisī,pisī,pisī,kākā,máusī,kākā,mæ,kākā,pisī,máusī,máusī,māma,māma
6,0.5302475898826655,1.6905623536694985,1.160314763786833,bahīn,pitiaut-bhai,masiáut bhāy,bhāy,mamiáut bhāy,mamiáut bhāy,pitiaut-bhai,bháiyā,masiáut bhāy,mamiáut bhāy,pisiáut bahin,mamiáut bhāy,masiáut bhāy,pisiáut bhāy,pisiáut bhāy,mamiáut bhāy,masiáut bahin,masiáut bhāy,pisiáut bhāy,bhāy,masiáut bhāy,mamiáut bhāy,mamiáut bahin,bhāy,bahīn,mamiáut bahin,mamiáut bahin,bhāy,masiáut bhāy,bháiyā,pitiaut-bahan,pitiaut-bhai,pitiaut-bahan,masiáut bhāy,masiáut bahin,mamiáut bahin,masiáut bahin,masiáut bahin,pitiaut-bhai,pitiaut-bhai,pisiáut bhāy,mamiáut bhāy,mamiáut bhāy,didi,mamiáut bahin,masiáut bhāy,pisiáut bhāy,pisiáut bhāy,pitiaut-bhai,mamiáut bahin,mamiáut bahin,pisiáut bahin,masiáut bhāy,pitiaut-bhai,mamiáut bhāy,bahīn,pitiaut-bahan,pisiáut bahin,pitiaut-bahan,pisiáut bahin,didi,pitiaut-bhai,pisiáut bahin,masiáut bahin,pitiaut-bahan,masiáut bahin,pitiaut-bahan,pitiaut-bahan,pisiáut bhāy,bahīn,masiáut bahin,pisiáut bhāy,mamiáut bhāy,pitiaut-bhai,pisiáut bahin,mamiáut bahin,masiáut bahin,mamiáut bahin,mamiáut bahin,pisiáut bhāy,pisiáut bahin,pisiáut bahin,pisiáut bahin,masiáut bahin,pisiáut bhāy,pitiaut-bahan,pisiáut bahin,pitiaut-bhai,masiáut bahin,pitiaut-bahan,bābujī,kākā,máusī,māma,pisī,mæ,máusī,máusī,kākā,mæ,kākā,kākā,kākā,māma,pisī,máusī,māma,pisī,kākā,máusī,māma,māma,pisī,māma,bābujī,pisī,máusī,pisī
7,0.29309684596725005,1.680345960241513,1.387249114274263,bahīn,pitiaut-bahan,didi,pisiáut bahin,masiáut bhāy,masiáut bahin,bahīn,masiáut bhāy,bhāy,pisiáut bahin,masiáut bhāy,pisiáut bhāy,mamiáut bahin,pitiaut-bahan,pisiáut bhāy,bhāy,pisiáut bahin,pisiáut bhāy,masiáut bahin,pitiaut-bhai,pitiaut-bhai,pisiáut bahin,bhāy,pitiaut-bhai,pisiáut bhāy,mamiáut bahin,pisiáut bhāy,mamiáut bhāy,mamiáut bahin,pisiáut bhāy,pitiaut-bhai,mamiáut bahin,pisiáut bhāy,masiáut bahin,masiáut bahin,masiáut bhāy,mamiáut bahin,bhāy,mamiáut bhāy,masiáut bahin,mamiáut bhāy,mamiáut bhāy,pitiaut-bhai,pitiaut-bahan,pitiaut-bahan,masiáut bhāy,masiáut bahin,masiáut bahin,mamiáut bhāy,masiáut bahin,mamiáut bahin,pisiáut bahin,pisiáut bahin,pitiaut-bahan,masiáut bahin,pitiaut-bahan,pitiaut-bhai,mamiáut bahin,mamiáut bhāy,pisiáut bhāy,pitiaut-bahan,pisiáut bahin,pisiáut bhāy,pitiaut-bhai,bahīn,pisiáut bahin,pisiáut bhāy,masiáut bhāy,bháiyā,didi,pitiaut-bahan,bahīn,mamiáut bahin,masiáut bahin,mamiáut bhāy,pitiaut-bahan,masiáut bhāy,mamiáut bhāy,mamiáut bahin,mamiáut bahin,bháiyā,masiáut bhāy,pitiaut-bhai,pisiáut bahin,mamiáut bhāy,mamiáut bhāy,pisiáut bahin,pitiaut-bhai,masiáut bhāy,pitiaut-bhai,máusī,mæ,kākā,māma,bābujī,máusī,māma,pisī,mæ,máusī,máusī,kākā,māma,pisī,kākā,máusī,māma,māma,bābujī,pisī,kākā,kākā,kākā,pisī,pisī,māma,pisī,máusī
8,0.37668174431549306,1.6714464854111741,1.294764741095681,masiáut bahin,mamiáut bhāy,bahīn,pisiáut bahin,masiáut bahin,masiáut bhāy,pisiáut bahin,didi,bahīn,mamiáut bhāy,mamiáut bhāy,mamiáut bahin,masiáut bahin,pitiaut-bahan,pitiaut-bhai,mamiáut bahin,mamiáut bhāy,pitiaut-bhai,masiáut bhāy,bhāy,masiáut bahin,bahīn,pisiáut bhāy,pisiáut bahin,pisiáut bhāy,pitiaut-bhai,pisiáut bhāy,pisiáut bahin,mamiáut bhāy,mamiáut bhāy,pitiaut-bahan,masiáut bhāy,masiáut bhāy,masiáut bahin,pitiaut-bhai,pisiáut bhāy,pitiaut-bhai,mamiáut bhāy,mamiáut bahin,pisiáut bhāy,pisiáut bahin,pisiáut bhāy,mamiáut bhāy,pitiaut-bahan,pitiaut-bhai,pitiaut-bhai,bahīn,pisiáut bahin,pisiáut bhāy,bhāy,mamiáut bahin,pisiáut bahin,masiáut bahin,mamiáut bahin,masiáut bhāy,bháiyā,masiáut bahin,pitiaut-bahan,bhāy,mamiáut bahin,bhāy,masiáut bahin,pisiáut bhāy,mamiáut bhāy,didi,pitiaut-bhai,pisiáut bahin,mamiáut bahin,masiáut bahin,masiáut bhāy,pitiaut-bahan,mamiáut bahin,bháiyā,pisiáut bahin,pitiaut-bahan,mamiáut bahin,masiáut bhāy,pitiaut-bahan,masiáut bhāy,pitiaut-bahan,pitiaut-bhai,masiáut bahin,pitiaut-bahan,pisiáut bhāy,mamiáut bhāy,mamiáut bahin,pisiáut bahin,pisiáut bhāy,pitiaut-bhai,masiáut bhāy,pisī,māma,pisī,mæ,máusī,bābujī,māma,kākā,pisī,pisī,máusī,kākā,kākā,māma,kākā,māma,mæ,māma,bābujī,pisī,máusī,pisī,máusī,máusī,kākā,kākā,māma,máusī
9,0.35390670181803774,1.652133693217587,1.2982269913995492,bháiyā,mamiáut bahin,pisiáut bhāy,bhāy,pitiaut-bhai,pitiaut-bahan,mamiáut bhāy,mamiáut bhāy,pitiaut-bahan,bhāy,mamiáut bhāy,mamiáut bhāy,pisiáut bhāy,didi,masiáut bhāy,pisiáut bahin,pisiáut bahin,masiáut bahin,pitiaut-bahan,mamiáut bahin,mamiáut bhāy,pitiaut-bhai,pitiaut-bhai,mamiáut bahin,pitiaut-bahan,masiáut bahin,pisiáut bahin,masiáut bhāy,masiáut bahin,bhāy,pisiáut bhāy,mamiáut bhāy,bahīn,pitiaut-bahan,masiáut bhāy,mamiáut bahin,masiáut bahin,pisiáut bhāy,pitiaut-bahan,masiáut bahin,pisiáut bahin,pisiáut bahin,mamiáut bahin,bahīn,pisiáut bahin,mamiáut bahin,pitiaut-bhai,pitiaut-bhai,masiáut bhāy,masiáut bahin,pitiaut-bhai,pisiáut bhāy,mamiáut bhāy,mamiáut bahin,pitiaut-bahan,mamiáut bahin,masiáut bhāy,mamiáut bahin,pitiaut-bahan,pisiáut bhāy,bháiyā,masiáut bahin,masiáut bhāy,pisiáut bhāy,bahīn,pisiáut bahin,pisiáut bahin,pisiáut bhāy,pitiaut-bhai,mamiáut bhāy,pitiaut-bhai,pitiaut-bhai,masiáut bhāy,bhāy,masiáut bahin,masiáut bhāy,pisiáut bahin,pitiaut-bhai,mamiáut bhāy,didi,pisiáut bhāy,pitiaut-bahan,masiáut bahin,pisiáut bahin,bahīn,mamiáut bhāy,mamiáut bahin,pisiáut bhāy,masiáut bahin,masiáut bhāy,pisī,máusī,kākā,mæ,pisī,kākā,máusī,māma,māma,pisī,pisī,bābujī,māma,máusī,mæ,māma,kākā,pisī,máusī,kākā,pisī,kākā,máusī,bābujī,māma,máusī,māma,kākā
