simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mMZS,fFBS,fMZS,mFeBS,mFyBS,mMeZS,mMyZS,mFBeS,mFByS,mMZeS,mMZyS,fFeBS,fFyBS,fMeZS,fMyZS,fFBeS,fFByS,fMZyS,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,0.22970381924486488,0.5566469035821069,0.326943084337242,wahn lih pirien,pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,pirien,pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,pedali,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,pedali,wahn lih pirien,pedali,pedali,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,ullap,ullap,ullap,ullap,"pahpa, sahm, ipa",ullap,ullap,"ihn, nohno, ino","pahpa, sahm, ipa","ihn, nohno, ino",ullap,ullap
1,0.12874412590228568,0.7777899315559316,0.6490458056536459,pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,pedali,pedali,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,pedali,wahn lih pirien,wahn ohl pirien,pedali,wahn ohl pirien,pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,pirien,ullap,"ihn, nohno, ino",ullap,ullap,ullap,"pahpa, sahm, ipa","ihn, nohno, ino",ullap,"pahpa, sahm, ipa",ullap,ullap,ullap
2,0.267459160754953,0.5566469035821068,0.28918774282715376,wahn lih pirien,pedali,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,pedali,pedali,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,pirien,pirien,pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,pedali,wahn lih pirien,ullap,ullap,ullap,ullap,ullap,"ihn, nohno, ino",ullap,"pahpa, sahm, ipa","ihn, nohno, ino","pahpa, sahm, ipa",ullap,ullap
3,0.19418277952948892,1.0263306332944864,0.8321478537649974,wahn ohl pirien,wahn ohl pirien,pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,pedali,wahn ohl pirien,wahn lih pirien,pedali,pedali,pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,pirien,wahn lih pirien,pedali,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,"pahpa, sahm, ipa","ihn, nohno, ino","ihn, nohno, ino",ullap,ullap,ullap,ullap,"pahpa, sahm, ipa",ullap,ullap,ullap,ullap
4,0.1958004718017573,0.9580002800887726,0.7621998082870153,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,pedali,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,pedali,wahn ohl pirien,pedali,wahn lih pirien,wahn ohl pirien,pedali,pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,pirien,"ihn, nohno, ino",ullap,"ihn, nohno, ino",ullap,"pahpa, sahm, ipa",ullap,ullap,ullap,ullap,"pahpa, sahm, ipa",ullap,ullap
5,0.12305406493198245,0.9950269901795212,0.8719729252475388,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,pedali,wahn lih pirien,wahn ohl pirien,wahn lih pirien,pedali,pedali,wahn ohl pirien,pedali,wahn lih pirien,wahn ohl pirien,wahn lih pirien,pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,pirien,pirien,wahn ohl pirien,wahn lih pirien,ullap,"ihn, nohno, ino",ullap,"pahpa, sahm, ipa","ihn, nohno, ino",ullap,ullap,ullap,ullap,ullap,"pahpa, sahm, ipa",ullap
6,0.13926676763755352,0.7867012379169144,0.6474344702793609,wahn lih pirien,wahn ohl pirien,pedali,wahn lih pirien,wahn lih pirien,wahn ohl pirien,pedali,pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,pedali,wahn lih pirien,pedali,pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,pirien,wahn ohl pirien,wahn lih pirien,ullap,ullap,ullap,"pahpa, sahm, ipa","ihn, nohno, ino","pahpa, sahm, ipa","ihn, nohno, ino",ullap,ullap,ullap,ullap,ullap
7,0.04845795659882901,0.8486855577264172,0.8002276011275882,pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,pedali,pedali,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,pedali,wahn ohl pirien,wahn ohl pirien,pedali,wahn lih pirien,pirien,wahn ohl pirien,pirien,ullap,ullap,ullap,"ihn, nohno, ino","pahpa, sahm, ipa",ullap,ullap,ullap,"pahpa, sahm, ipa",ullap,ullap,"ihn, nohno, ino"
8,0.05506947584202379,0.2145591551764051,0.1594896793343813,wahn lih pirien,pedali,wahn ohl pirien,pirien,pedali,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,pedali,wahn lih pirien,pirien,pedali,pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,ullap,ullap,ullap,ullap,ullap,ullap,"pahpa, sahm, ipa","pahpa, sahm, ipa",ullap,"ihn, nohno, ino",ullap,"ihn, nohno, ino"
9,0.11816115198578026,1.0893096789558299,0.9711485269700496,wahn ohl pirien,pedali,wahn ohl pirien,pirien,pedali,pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,pedali,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,pirien,wahn lih pirien,wahn lih pirien,pedali,wahn lih pirien,wahn ohl pirien,"ihn, nohno, ino","ihn, nohno, ino",ullap,"pahpa, sahm, ipa","pahpa, sahm, ipa",ullap,ullap,ullap,ullap,ullap,ullap,ullap
