simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,fFBS,mFeBS,mFyBS,mFBeS,mFByS,fFeBS,fFyBS,fFBeS,fFByS,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fFeB,fFyB
0,0.4441095104711814,1.5670564424376177,1.1229469319664362,wawa,tata,tata,tata,wawa,"ava-, tata","ava-, wawa","ava-, tata","ava-, tata","ava-, tata",wawa,wawa,"ava-, tata",tata,wawa,wawa,tata,amatua-,tata,ana-,vavai,vavai,tata,tata,tata,amatua-,ana-,"atəma-, tata","atəma-, tata"
1,0.2823855293420878,1.4264444338582805,1.1440589045161926,wawa,wawa,tata,"ava-, tata","ava-, tata",tata,wawa,tata,tata,"ava-, tata",wawa,"ava-, wawa","ava-, tata",wawa,tata,wawa,"ava-, tata",ana-,"atəma-, tata",tata,"atəma-, tata",vavai,tata,tata,tata,ana-,amatua-,amatua-,vavai
2,0.32299178216933266,0.9257019111219666,0.602710128952634,"ava-, tata",wawa,wawa,"ava-, tata",tata,wawa,"ava-, tata",tata,wawa,wawa,tata,wawa,"ava-, tata",tata,"ava-, wawa","ava-, tata",tata,ana-,tata,tata,tata,amatua-,ana-,amatua-,vavai,vavai,"atəma-, tata","atəma-, tata",tata
3,0.19257144415520377,1.209432681405838,1.0168612372506343,tata,"ava-, wawa","ava-, tata",wawa,wawa,tata,wawa,"ava-, tata","ava-, tata","ava-, tata",wawa,tata,wawa,tata,tata,"ava-, tata",wawa,tata,ana-,ana-,tata,tata,amatua-,vavai,tata,"atəma-, tata",amatua-,vavai,"atəma-, tata"
4,0.2248634562240266,1.519109430362321,1.2942459741382943,tata,wawa,tata,tata,wawa,"ava-, tata",tata,wawa,wawa,wawa,"ava-, tata",tata,wawa,"ava-, wawa","ava-, tata","ava-, tata","ava-, tata",tata,"atəma-, tata",amatua-,vavai,tata,"atəma-, tata",ana-,amatua-,tata,vavai,ana-,tata
5,0.4299665377380635,1.2110440167801229,0.7810774790420594,"ava-, tata",tata,tata,"ava-, tata","ava-, tata",tata,wawa,"ava-, tata",wawa,wawa,"ava-, tata",wawa,tata,tata,wawa,wawa,"ava-, wawa",tata,tata,ana-,"atəma-, tata",tata,"atəma-, tata",ana-,amatua-,amatua-,vavai,vavai,tata
6,0.2524271271689065,1.3005920075345054,1.048164880365599,"ava-, wawa",wawa,"ava-, tata","ava-, tata",wawa,tata,"ava-, tata","ava-, tata",wawa,tata,wawa,tata,"ava-, tata",tata,tata,wawa,wawa,tata,ana-,tata,vavai,tata,amatua-,amatua-,vavai,ana-,"atəma-, tata","atəma-, tata",tata
7,0.3924225262257992,1.3989864279123128,1.0065639016865136,"ava-, tata",wawa,"ava-, tata","ava-, wawa","ava-, tata",wawa,"ava-, tata",tata,tata,tata,wawa,tata,wawa,"ava-, tata",tata,wawa,wawa,vavai,vavai,ana-,tata,tata,"atəma-, tata",tata,"atəma-, tata",tata,amatua-,amatua-,ana-
8,0.08659141443831397,1.378497421782984,1.29190600734467,"ava-, tata",wawa,wawa,"ava-, tata",wawa,"ava-, tata","ava-, tata",tata,tata,wawa,wawa,tata,tata,"ava-, tata",wawa,tata,"ava-, wawa",amatua-,"atəma-, tata",amatua-,tata,vavai,tata,tata,tata,vavai,ana-,ana-,"atəma-, tata"
9,0.23255473056202103,1.350044689985175,1.117489959423154,tata,wawa,tata,wawa,"ava-, tata","ava-, wawa","ava-, tata","ava-, tata",wawa,wawa,wawa,tata,"ava-, tata",tata,tata,"ava-, tata",wawa,vavai,ana-,"atəma-, tata","atəma-, tata",tata,amatua-,tata,tata,amatua-,tata,vavai,ana-
