simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.0887819499348046,1.376055285260417,1.2872733353256125,sia'a,tuai,tuai,sia'a,tuai,sia'a,tuai,"ropomangge, posiamao/posiamaong",siina,"siama, siuma",posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,siina,"siama, siuma",posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong"
1,0.007016107555648965,1.0346012329101812,1.0275851253545323,tuai,tuai,sia'a,sia'a,tuai,sia'a,tuai,"ropomangge, posiamao/posiamaong",siina,posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong",siina,posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,"siama, siuma","ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong","siama, siuma"
2,0.007016107555648743,1.034601232910181,1.0275851253545323,sia'a,tuai,tuai,tuai,tuai,sia'a,sia'a,posinao/posinaong,siina,"ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",siina,posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,posinao/posinaong,"siama, siuma",posinao/posinaong,"ropomangge, posiamao/posiamaong","siama, siuma"
3,0.04439097496740241,1.0346012329101812,0.9902102579427788,tuai,tuai,tuai,sia'a,sia'a,sia'a,tuai,posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong","siama, siuma",posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong","siama, siuma","ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,siina,posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,siina
4,0.03149081771477463,0.5195798391305154,0.4880890214157408,sia'a,tuai,sia'a,tuai,sia'a,tuai,tuai,"ropomangge, posiamao/posiamaong",siina,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,"siama, siuma",posinao/posinaong,"ropomangge, posiamao/posiamaong","siama, siuma","ropomangge, posiamao/posiamaong",siina,posinao/posinaong,posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong
5,0.007016107555648965,1.0346012329101812,1.0275851253545323,sia'a,sia'a,tuai,tuai,tuai,tuai,sia'a,"ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong","siama, siuma","ropomangge, posiamao/posiamaong",posinao/posinaong,siina,posinao/posinaong,posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong","siama, siuma",posinao/posinaong,siina
6,0.03149081771477463,0.5195798391305154,0.4880890214157408,sia'a,tuai,tuai,tuai,sia'a,sia'a,tuai,"ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,siina,siina,"siama, siuma","ropomangge, posiamao/posiamaong","siama, siuma","ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong"
7,0.007016107555648965,1.0346012329101812,1.0275851253545323,sia'a,tuai,sia'a,tuai,tuai,sia'a,tuai,posinao/posinaong,"ropomangge, posiamao/posiamaong","siama, siuma","ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",siina,siina,"ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,posinao/posinaong,posinao/posinaong,"siama, siuma","ropomangge, posiamao/posiamaong"
8,0.0887819499348046,1.376055285260417,1.2872733353256125,sia'a,tuai,tuai,tuai,sia'a,tuai,sia'a,"ropomangge, posiamao/posiamaong",posinao/posinaong,"siama, siuma",siina,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,siina,"ropomangge, posiamao/posiamaong",posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,"siama, siuma"
9,0.007016107555648965,1.0346012329101812,1.0275851253545323,sia'a,sia'a,tuai,tuai,tuai,tuai,sia'a,posinao/posinaong,"ropomangge, posiamao/posiamaong","siama, siuma",posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong",siina,siina,posinao/posinaong,posinao/posinaong,"ropomangge, posiamao/posiamaong",posinao/posinaong,"ropomangge, posiamao/posiamaong","ropomangge, posiamao/posiamaong","siama, siuma",posinao/posinaong,"ropomangge, posiamao/posiamaong"
