simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.17859210042866014,1.114352137506736,0.9357600370780759,fonoe tamoni,fonoe mpin,fonoe mpin,tenoe,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,rimori mpinte,fonoe tamoni,remo,fonoe tamoni,fonoe mpin,rimori mpinte,fonoe mpin,rimori tamoni,fonoe tamoni,fonoe tamoni,rimori tamoni,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,rimori tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe tamoni,rimori mpinte,fonoe mpin,"fofoi, woto tampini","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni",sja,"fofoi, woto tampini","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","toea, woto tamoni","toea, woto tamoni",sja,mama
1,0.2015894941359916,1.0600392188093946,0.858449724673403,fonoe mpin,rimori tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,tenoe,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe mpin,rimori tamoni,fonoe mpin,rimori mpinte,rimori mpinte,rimori mpinte,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,remo,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe tamoni,rimori tamoni,fonoe tamoni,"fofoi, woto tampini","toea, woto tamoni","toea, woto tamoni",sja,"toea, woto tamoni","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","fofoi, woto tampini",mama,sja,"fofoi, woto tampini","fofoi, woto tampini","fofoi, woto tampini","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini"
2,0.08814725087472808,1.114352137506736,1.026204886632008,tenoe,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,fonoe tamoni,rimori tamoni,rimori tamoni,fonoe tamoni,rimori mpinte,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,rimori tamoni,rimori mpinte,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,remo,rimori mpinte,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe tamoni,"fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","fofoi, woto tampini","toea, woto tamoni","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini",mama,"fofoi, woto tampini",sja,sja
3,0.1529414207889117,1.1700744229006483,1.0171330021117366,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe mpin,rimori mpinte,rimori tamoni,fonoe tamoni,rimori mpinte,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,rimori tamoni,rimori tamoni,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,rimori mpinte,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe tamoni,tenoe,remo,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,"toea, woto tamoni",sja,mama,"toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","fofoi, woto tampini","toea, woto tamoni",sja,"fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","fofoi, woto tampini","fofoi, woto tampini"
4,0.25483867519859604,1.115760575521792,0.860921900323196,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,rimori tamoni,rimori mpinte,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,remo,fonoe mpin,fonoe mpin,fonoe mpin,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe mpin,rimori mpinte,fonoe mpin,rimori tamoni,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,rimori mpinte,rimori tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe tamoni,tenoe,fonoe tamoni,"toea, woto tamoni","toea, woto tamoni","toea, woto tamoni","toea, woto tamoni","toea, woto tamoni",sja,sja,mama,"fofoi, woto tampini","fofoi, woto tampini","fofoi, woto tampini","toea, woto tamoni","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","fofoi, woto tampini","fofoi, woto tampini","fofoi, woto tampini","fofoi, woto tampini"
5,0.1303640604559353,1.1386534973379208,1.0082894368819855,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,rimori mpinte,rimori tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,rimori mpinte,fonoe mpin,fonoe tamoni,rimori tamoni,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,remo,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe tamoni,tenoe,fonoe tamoni,fonoe mpin,rimori tamoni,rimori mpinte,fonoe mpin,fonoe mpin,"fofoi, woto tampini","fofoi, woto tampini",sja,"toea, woto tamoni","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini",mama,"toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini",sja,"fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini"
6,0.18207037321356567,1.114352137506736,0.9322817642931703,fonoe tamoni,rimori mpinte,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,rimori mpinte,remo,fonoe tamoni,fonoe mpin,fonoe mpin,rimori mpinte,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe tamoni,rimori tamoni,fonoe mpin,fonoe tamoni,tenoe,rimori tamoni,fonoe mpin,rimori tamoni,fonoe tamoni,fonoe tamoni,fonoe tamoni,"toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni",mama,sja,sja,"toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","fofoi, woto tampini","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini"
7,0.16982918284533122,1.114352137506736,0.9445229546614048,fonoe tamoni,fonoe mpin,fonoe mpin,tenoe,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,fonoe tamoni,rimori mpinte,remo,rimori tamoni,fonoe mpin,rimori mpinte,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe mpin,rimori mpinte,fonoe tamoni,fonoe mpin,fonoe tamoni,fonoe tamoni,rimori tamoni,fonoe tamoni,rimori tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,"toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini",mama,"toea, woto tamoni","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","fofoi, woto tampini","fofoi, woto tampini","fofoi, woto tampini",sja,"fofoi, woto tampini",sja,"toea, woto tamoni","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","fofoi, woto tampini"
8,0.10127229677856198,1.0600392188093943,0.9587669220308324,rimori mpinte,fonoe mpin,fonoe mpin,fonoe mpin,rimori tamoni,fonoe mpin,fonoe tamoni,fonoe mpin,tenoe,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe tamoni,rimori tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe tamoni,rimori mpinte,fonoe tamoni,fonoe tamoni,remo,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe mpin,rimori mpinte,rimori tamoni,fonoe mpin,fonoe tamoni,fonoe tamoni,"fofoi, woto tampini","fofoi, woto tampini","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","fofoi, woto tampini",sja,"toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni",sja,mama,"fofoi, woto tampini","toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni"
9,0.15332476778978954,1.114352137506736,0.9610273697169465,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe mpin,rimori mpinte,remo,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe tamoni,rimori mpinte,fonoe mpin,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe mpin,rimori tamoni,fonoe tamoni,fonoe mpin,rimori mpinte,rimori tamoni,fonoe tamoni,fonoe tamoni,tenoe,rimori tamoni,fonoe tamoni,fonoe mpin,fonoe mpin,fonoe tamoni,fonoe tamoni,"toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini",sja,"toea, woto tamoni","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini","fofoi, woto tampini","fofoi, woto tampini","toea, woto tamoni","fofoi, woto tampini",mama,sja,"fofoi, woto tampini","toea, woto tamoni"
