simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFZS,mFBD,mFBS,mMBD,mMBS,mMZD,mMZS,meB,myB,meZ,myZ,fB,fZ,fFZD,fFZS,fFBD,fFBS,fMBD,fMBS,fMZD,fMZS,feB,fyB,feZ,fyZ,mB,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFZ,mFB,mMZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFZ,fFB,fMZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mF,mM,fF,fM
0,0.07842748191653404,1.7115487096998039,1.6331212277832698,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,albródir,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,módurbródir,módurbródir,módursystir,födurbródir,födurbródir,módursystir,födursystir,födurbródir,födurbródir,fadir,módurbródir,módursystir,födursystir,módursystir,födursystir,födurbródir,módir,módurbródir,födursystir,födursystir,módurbródir,födursystir,födurbródir,módurbródir,módir,fadir,módursystir,módursystir
1,0.10603703634858586,1.6900339742091273,1.5839969378605414,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,módursystir,fadir,módursystir,födursystir,módursystir,födurbródir,fadir,födursystir,módursystir,módurbródir,födursystir,módursystir,módurbródir,módursystir,födurbródir,födurbródir,födursystir,födurbródir,födurbródir,módurbródir,módurbródir,módurbródir,módurbródir,módir,födurbródir,födursystir,módir,födursystir
2,0.06729765218836925,1.6785192745327526,1.6112216223443834,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,alsystir,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,albródir,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,albródir,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,módursystir,módurbródir,módir,födursystir,födursystir,födursystir,födurbródir,módursystir,födurbródir,módurbródir,födurbródir,födursystir,módursystir,módursystir,födurbródir,födursystir,módursystir,födurbródir,fadir,födursystir,fadir,módurbródir,módurbródir,módir,módurbródir,födurbródir,módursystir,módurbródir
3,0.058104950152712,1.703704737362906,1.645599787210194,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,albródir,fadir,födursystir,födursystir,módursystir,módurbródir,módursystir,módursystir,módurbródir,módir,födursystir,módurbródir,födurbródir,módurbródir,fadir,módursystir,födurbródir,födursystir,módursystir,födurbródir,módurbródir,födurbródir,födurbródir,módir,födursystir,módurbródir,födurbródir,födursystir,módursystir
4,0.04935294000089652,1.5949069980171597,1.5455540580162632,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,albródir,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,módurbródir,födurbródir,módurbródir,módurbródir,födurbródir,födursystir,födurbródir,módir,fadir,födursystir,födurbródir,födursystir,módursystir,módurbródir,módurbródir,módursystir,módursystir,módir,módursystir,födursystir,födurbródir,födurbródir,fadir,födursystir,módursystir,módursystir,födursystir,módurbródir
5,0.09418945872703421,1.6781276614130791,1.583938202686045,systkinabörn,alsystir,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,albródir,albródir,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,födursystir,födursystir,módir,födurbródir,födurbródir,födursystir,födursystir,módurbródir,módursystir,módursystir,födurbródir,födurbródir,módurbródir,módursystir,födurbródir,módurbródir,fadir,módurbródir,módursystir,fadir,módurbródir,födursystir,módurbródir,módir,födursystir,födurbródir,módursystir,módursystir
6,0.05031136163293404,1.6727085944068052,1.6223972327738712,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,albródir,albródir,födurbródir,födurbródir,módurbródir,módurbródir,módursystir,fadir,födursystir,födurbródir,födurbródir,módursystir,módurbródir,módurbródir,módurbródir,födurbródir,módurbródir,módursystir,födursystir,födursystir,födursystir,módursystir,módursystir,fadir,födurbródir,födursystir,módursystir,módir,födursystir,módir
7,0.09153976951348275,1.6961923865353017,1.604652617021819,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,alsystir,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,albródir,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,módurbródir,fadir,födursystir,fadir,módurbródir,födurbródir,födurbródir,födurbródir,födursystir,módursystir,födursystir,módursystir,födursystir,módursystir,módursystir,födurbródir,módursystir,födurbródir,födurbródir,módir,módir,módurbródir,módurbródir,módursystir,módurbródir,födursystir,födursystir,módurbródir
8,0.0804672541671676,1.6427386950343486,1.562271440867181,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,alsystir,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,módurbródir,módursystir,módurbródir,födurbródir,födursystir,módursystir,módurbródir,módursystir,födursystir,födurbródir,fadir,födurbródir,módursystir,födurbródir,födurbródir,módursystir,módir,födurbródir,födursystir,módir,fadir,módurbródir,födursystir,födursystir,módursystir,födursystir,módurbródir,módurbródir
9,0.10787047160699759,1.677192528117422,1.5693220565104244,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,alsystir,systkinabörn,albródir,systkinabörn,systkinabörn,alsystir,systkinabörn,systkinabörn,systkinabörn,albródir,systkinabörn,systkinabörn,systkinabörn,födurbródir,módurbródir,módir,módursystir,módursystir,módurbródir,módir,födursystir,fadir,födursystir,födursystir,módursystir,födurbródir,födurbródir,módursystir,födurbródir,födursystir,födurbródir,módurbródir,módurbródir,módursystir,módursystir,módurbródir,fadir,födursystir,módurbródir,födursystir,födurbródir
