simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.40896023018721894,0.9950269901795212,0.5860667599923023,tannālōṛ,sēlāhk,tammuṛ,tannālōṛ,tammuṛ,bhaī,sēlāhk,sēlāhk,sēlāhk,sēlāhk,sēlāhk,ātīng,ātīng,pēpīṛ,yāyāhk,pēpīṛ,ātīng,pēpīṛ,pēpīṛ,yāyāhk,dādā,pēring,pēring,pēpīṛ,pēring,pēpīṛ,pēring,ātīng,pēpīṛ,ātīng,pēpīṛ,dādā,pēpīṛ,pēring,pēpīṛ,pēpīṛ,pēring,pēpīṛ,ātīng
1,0.3610132181119219,1.3801087571572686,1.0190955390453467,tannālōṛ,sēlāhk,tannālōṛ,tammuṛ,sēlāhk,tammuṛ,sēlāhk,sēlāhk,bhaī,sēlāhk,sēlāhk,pēpīṛ,yāyāhk,pēpīṛ,pēpīṛ,pēring,pēring,ātīng,ātīng,pēring,pēpīṛ,ātīng,pēpīṛ,pēpīṛ,pēpīṛ,ātīng,dādā,pēpīṛ,yāyāhk,pēring,pēpīṛ,pēpīṛ,pēring,dādā,pēpīṛ,ātīng,ātīng,pēpīṛ,pēring
2,0.3309491509398286,0.9950269901795212,0.6640778392396927,tannālōṛ,tammuṛ,bhaī,tammuṛ,sēlāhk,sēlāhk,sēlāhk,sēlāhk,tannālōṛ,sēlāhk,sēlāhk,yāyāhk,yāyāhk,ātīng,pēpīṛ,pēpīṛ,pēpīṛ,pēring,pēpīṛ,pēpīṛ,pēpīṛ,dādā,pēring,pēring,pēpīṛ,ātīng,pēring,ātīng,pēpīṛ,dādā,pēpīṛ,pēring,pēpīṛ,pēpīṛ,pēring,ātīng,ātīng,pēpīṛ,ātīng
3,0.047947012075296835,0.6931471805599453,0.6452001684846485,tannālōṛ,sēlāhk,sēlāhk,tannālōṛ,bhaī,sēlāhk,sēlāhk,sēlāhk,tammuṛ,tammuṛ,sēlāhk,ātīng,pēpīṛ,yāyāhk,pēpīṛ,pēring,pēpīṛ,pēpīṛ,pēpīṛ,pēpīṛ,pēring,pēring,ātīng,pēpīṛ,pēpīṛ,pēpīṛ,ātīng,yāyāhk,pēpīṛ,dādā,ātīng,dādā,pēring,pēpīṛ,pēring,ātīng,pēring,ātīng,pēpīṛ
4,0.18310204811135156,1.0366279688586069,0.8535259207472553,sēlāhk,tannālōṛ,tammuṛ,sēlāhk,tannālōṛ,bhaī,sēlāhk,tammuṛ,sēlāhk,sēlāhk,sēlāhk,dādā,pēpīṛ,pēpīṛ,pēring,yāyāhk,yāyāhk,pēring,ātīng,ātīng,pēpīṛ,pēring,pēring,dādā,pēpīṛ,ātīng,pēpīṛ,pēpīṛ,pēpīṛ,ātīng,ātīng,pēring,pēring,pēpīṛ,pēpīṛ,pēpīṛ,ātīng,pēpīṛ,pēpīṛ
5,0.07629407887419332,0.5297061990576545,0.45341212018346116,sēlāhk,sēlāhk,sēlāhk,sēlāhk,tammuṛ,sēlāhk,tannālōṛ,bhaī,tannālōṛ,sēlāhk,tammuṛ,pēring,pēring,ātīng,ātīng,dādā,dādā,ātīng,pēpīṛ,ātīng,ātīng,pēpīṛ,pēpīṛ,yāyāhk,pēpīṛ,pēring,pēpīṛ,pēpīṛ,pēpīṛ,pēring,pēpīṛ,pēpīṛ,ātīng,yāyāhk,pēpīṛ,pēring,pēring,pēpīṛ,pēpīṛ
6,0.20832575226260697,1.036627968858607,0.8283022165960001,tammuṛ,tannālōṛ,sēlāhk,bhaī,sēlāhk,tannālōṛ,tammuṛ,sēlāhk,sēlāhk,sēlāhk,sēlāhk,pēpīṛ,ātīng,ātīng,pēring,dādā,pēpīṛ,ātīng,pēring,ātīng,pēpīṛ,ātīng,pēpīṛ,pēpīṛ,yāyāhk,pēpīṛ,pēring,pēpīṛ,dādā,pēpīṛ,pēpīṛ,ātīng,pēring,pēpīṛ,pēring,pēring,pēpīṛ,yāyāhk,pēpīṛ
7,0.20448011509360942,1.0366279688586069,0.8321478537649974,tannālōṛ,bhaī,sēlāhk,sēlāhk,tammuṛ,tammuṛ,sēlāhk,tannālōṛ,sēlāhk,sēlāhk,sēlāhk,pēring,pēpīṛ,pēring,pēpīṛ,pēpīṛ,ātīng,ātīng,dādā,pēring,pēpīṛ,ātīng,yāyāhk,pēpīṛ,ātīng,pēpīṛ,dādā,ātīng,pēring,pēpīṛ,pēpīṛ,pēpīṛ,pēpīṛ,pēring,pēpīṛ,pēpīṛ,yāyāhk,ātīng,pēring
8,0.07790541424847819,1.0366279688586069,0.9587225546101287,sēlāhk,bhaī,tammuṛ,tannālōṛ,sēlāhk,sēlāhk,sēlāhk,tannālōṛ,sēlāhk,sēlāhk,tammuṛ,pēpīṛ,ātīng,ātīng,yāyāhk,pēring,pēpīṛ,pēpīṛ,pēring,yāyāhk,pēpīṛ,dādā,ātīng,pēring,pēpīṛ,dādā,pēpīṛ,pēring,pēpīṛ,pēpīṛ,pēring,ātīng,pēpīṛ,pēpīṛ,pēpīṛ,pēring,pēpīṛ,ātīng,ātīng
9,0.31000175021233134,1.3801087571572686,1.0701070069449372,sēlāhk,tammuṛ,sēlāhk,tammuṛ,sēlāhk,tannālōṛ,tannālōṛ,sēlāhk,bhaī,sēlāhk,sēlāhk,yāyāhk,ātīng,pēpīṛ,pēpīṛ,pēring,pēpīṛ,pēpīṛ,pēpīṛ,pēring,yāyāhk,pēpīṛ,pēpīṛ,pēring,pēpīṛ,pēpīṛ,pēring,dādā,ātīng,dādā,ātīng,pēpīṛ,ātīng,pēpīṛ,pēring,ātīng,pēpīṛ,ātīng,pēring
