simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFZS,meB,myB,meZ,myZ,mFeZS,mFyZS,mFeZD,mFyZD,mFZeS,mFZyS,mFZeD,mFZyD,fB,fZ,fFZD,fFZS,feB,fyB,feZ,fyZ,fFeZS,fFyZS,fFeZD,fFyZD,fFZeS,fFZyS,fFZeD,fFZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.16070351279655426,1.138506756390183,0.9778032435936287,sister,aunte sone,broder,sister,aunte doughter,sister,aunte sone,sister,aunte sone,aunte doughter,broder,aunte sone,sister,aunte sone,broder,aunte doughter,aunte doughter,aunte sone,aunte doughter,aunte sone,aunte doughter,aunte doughter,broder,aunte doughter,aunte sone,aunte sone,sister,aunte sone,aunte doughter,broder,aunte doughter,fader,uncle,uncle,aunte,aunte,uncle,aunte,aunte,aunte,móder,uncle,uncle,aunte,uncle,uncle,aunte,uncle,aunte,uncle,uncle,móder,aunte,uncle,aunte,uncle,aunte,aunte,fader
1,0.11599467011317244,0.6829081047004717,0.5669134345872993,sister,aunte doughter,aunte sone,aunte doughter,aunte doughter,aunte sone,aunte doughter,broder,broder,broder,sister,aunte doughter,aunte sone,aunte sone,aunte sone,sister,aunte doughter,broder,aunte sone,sister,aunte doughter,aunte doughter,aunte sone,sister,aunte sone,sister,aunte sone,aunte sone,broder,aunte doughter,aunte doughter,aunte,uncle,uncle,uncle,aunte,móder,uncle,móder,aunte,aunte,uncle,aunte,aunte,uncle,aunte,uncle,aunte,uncle,fader,uncle,uncle,aunte,aunte,uncle,fader,aunte,aunte,uncle
2,0.10641599143944747,0.9376862745249057,0.8312702830854583,sister,sister,aunte sone,broder,aunte sone,aunte sone,aunte doughter,broder,aunte doughter,aunte doughter,aunte sone,aunte sone,broder,broder,aunte doughter,aunte doughter,broder,sister,aunte sone,aunte sone,sister,sister,aunte doughter,sister,aunte doughter,aunte sone,aunte doughter,aunte sone,aunte doughter,aunte sone,aunte doughter,aunte,fader,aunte,fader,uncle,uncle,aunte,uncle,uncle,uncle,uncle,aunte,uncle,aunte,aunte,aunte,móder,aunte,uncle,uncle,uncle,aunte,aunte,aunte,uncle,aunte,móder,uncle
3,0.2652751635358155,1.0466304865832219,0.7813553230474064,sister,aunte doughter,aunte doughter,aunte sone,sister,aunte doughter,sister,sister,sister,aunte sone,aunte doughter,broder,aunte sone,aunte doughter,aunte doughter,aunte sone,broder,aunte sone,aunte sone,aunte sone,aunte doughter,aunte doughter,aunte sone,aunte sone,broder,sister,broder,aunte doughter,broder,aunte doughter,aunte sone,aunte,fader,aunte,uncle,uncle,uncle,uncle,móder,aunte,aunte,uncle,aunte,aunte,aunte,uncle,aunte,uncle,uncle,aunte,uncle,uncle,uncle,aunte,fader,móder,aunte,aunte,uncle
4,0.24597662392153852,1.1973401339967784,0.9513635100752399,broder,aunte doughter,aunte doughter,sister,broder,aunte doughter,sister,broder,sister,broder,aunte sone,aunte sone,broder,aunte doughter,aunte sone,aunte sone,aunte sone,aunte sone,aunte sone,aunte doughter,aunte sone,sister,aunte sone,aunte doughter,aunte doughter,sister,aunte doughter,aunte doughter,sister,aunte sone,aunte doughter,aunte,uncle,aunte,móder,uncle,uncle,aunte,uncle,fader,uncle,uncle,aunte,uncle,fader,aunte,uncle,uncle,aunte,aunte,aunte,uncle,aunte,aunte,uncle,uncle,móder,aunte,aunte
5,0.08366158972595394,0.9989405268004004,0.9152789370744464,aunte sone,sister,broder,aunte doughter,sister,aunte doughter,aunte doughter,aunte sone,aunte doughter,aunte doughter,broder,sister,broder,aunte doughter,aunte sone,broder,sister,aunte doughter,aunte sone,aunte doughter,aunte doughter,sister,aunte sone,aunte sone,aunte sone,aunte sone,sister,aunte sone,broder,aunte doughter,aunte sone,aunte,aunte,móder,fader,aunte,aunte,fader,uncle,uncle,aunte,aunte,aunte,aunte,móder,uncle,uncle,aunte,uncle,aunte,uncle,uncle,uncle,aunte,uncle,aunte,uncle,uncle,uncle
6,0.023840307839566144,0.6645284386549151,0.6406881308153489,aunte doughter,aunte sone,aunte doughter,aunte sone,aunte sone,aunte doughter,sister,sister,aunte sone,broder,aunte doughter,aunte sone,sister,broder,aunte doughter,sister,aunte doughter,aunte sone,sister,aunte doughter,sister,aunte doughter,broder,aunte doughter,broder,aunte sone,aunte doughter,aunte sone,broder,aunte sone,aunte sone,aunte,aunte,aunte,uncle,uncle,móder,fader,uncle,aunte,aunte,uncle,aunte,uncle,uncle,aunte,uncle,aunte,uncle,aunte,móder,fader,uncle,aunte,aunte,uncle,uncle,uncle,aunte
7,0.17032625755492714,1.0862643665416605,0.9159381089867333,aunte doughter,aunte doughter,aunte doughter,aunte doughter,broder,broder,aunte sone,sister,aunte sone,sister,broder,aunte doughter,aunte sone,aunte sone,aunte doughter,sister,aunte doughter,aunte sone,sister,aunte sone,sister,aunte doughter,sister,aunte sone,aunte doughter,aunte doughter,aunte sone,aunte sone,broder,aunte sone,broder,aunte,fader,uncle,uncle,móder,aunte,uncle,uncle,uncle,aunte,móder,uncle,aunte,aunte,aunte,uncle,aunte,fader,uncle,aunte,uncle,aunte,uncle,aunte,aunte,aunte,uncle,uncle
8,0.2738881265186479,1.2396593920543857,0.9657712655357378,aunte doughter,aunte sone,aunte doughter,sister,broder,aunte sone,sister,aunte sone,sister,aunte doughter,aunte sone,aunte sone,aunte doughter,aunte sone,aunte doughter,broder,aunte doughter,broder,broder,aunte doughter,aunte doughter,aunte sone,aunte doughter,sister,sister,broder,sister,aunte sone,aunte doughter,aunte sone,aunte sone,uncle,aunte,aunte,aunte,uncle,uncle,uncle,aunte,uncle,aunte,aunte,uncle,aunte,aunte,uncle,aunte,aunte,fader,uncle,aunte,uncle,uncle,fader,móder,aunte,uncle,uncle,móder
9,0.15753782926329873,1.148750930117631,0.9912131008543323,aunte sone,aunte doughter,aunte sone,aunte sone,aunte doughter,aunte doughter,sister,sister,sister,aunte sone,sister,aunte sone,aunte doughter,broder,aunte doughter,aunte sone,sister,aunte sone,broder,aunte doughter,broder,aunte doughter,sister,aunte doughter,aunte sone,aunte sone,aunte doughter,broder,aunte sone,aunte doughter,broder,fader,aunte,uncle,aunte,uncle,uncle,aunte,aunte,aunte,uncle,uncle,fader,aunte,aunte,móder,uncle,uncle,aunte,aunte,uncle,uncle,uncle,uncle,aunte,uncle,aunte,aunte,móder
