simulation_number,mutual_information,entropy,conditional_entropy,mFByD,mMZyD,mMBeD,fMBeD,mMByD,fMByD,mMBeS,fMBeS,mMByS,fMByS,myB,fyB,mFByS,fFByS,mMZyS,fMZyS,meZ,feZ,mFBeD,fFBeD,mMZeD,fMZeD,fFZeD,fFZyD,meB,mMZeS,fFZeS,fFZyS,fyZ,fFByD,fMZyD,mFZeS,mFZyS,mFZeD,mFZyD,feB,mFBeS,fFBeS,mM,fM,mFeB,mFyB,fFeB,fFyB,mMeB,mMyB,fMeB,fMyB,mMeZ,mMyZ,fMeZ,fMyZ,mFeZ,mFyZ,fFeZ,fFyZ,mF,fF
0,0.24243302655595822,1.0346012329101812,0.792168206354223,e-sǔnkʼ,e-nooʼ,e-choon̤-zhunkʼ,e-cheʼ-to,e-takeʼ,e-cheʼ-to,e-nookʼ,e-nekeʼ,e-neʼ,e-nekeʼ,nä-neʼ-kä,e-nooʼ,e-sǔnkʼ,wychʼ-kä,e-nooʼ,e-neʼ,e-chunkʼ,e-choonshʼ-ka,wychʼ-kä,e-nookʼ,e-chunkʼ,e-nooʼ,e-sǔnkʼ,e-choon̤-zhunkʼ,e-sǔnkʼ,e-cheʼ-to,e-sǔnkʼ,e-nooʼ,e-nooʼ,nä-neʼ-kä,e-takeʼ,e-sǔnkʼ,e-takeʼ,e-choonshʼ-ka,nä-neʼ-kä,nä-neʼ-kä,e-chunkʼ,e-takeʼ,"nä-neʼ-kä, e-oo-neʼ","chä-jeʼ-kä, e-unʼ-cha",e-takeʼ,e-unʼ-chä,e-ooʼ-ne-nekeʼ,e-takeʼ,e-unʼ-chä,e-unʼ-chä,e-ooʼ-ne-nekeʼ,"chä-jeʼ-kä, e-unʼ-cha","nä-neʼ-kä, e-oo-neʼ",e-ooʼ-ne-nekeʼ,e-takeʼ,e-ooʼ-ne-nekeʼ,e-unʼ-chä,e-takeʼ,e-choon̤ʼ-we,e-choon̤ʼ-we,e-choon̤ʼ-we,e-choon̤ʼ-we
1,0.20505815914420478,1.0346012329101812,0.8295430737659765,e-cheʼ-to,nä-neʼ-kä,e-chunkʼ,e-sǔnkʼ,e-takeʼ,wychʼ-kä,e-nooʼ,nä-neʼ-kä,e-takeʼ,e-nooʼ,e-nekeʼ,e-sǔnkʼ,e-neʼ,e-sǔnkʼ,e-nookʼ,nä-neʼ-kä,e-sǔnkʼ,e-sǔnkʼ,e-takeʼ,e-choonshʼ-ka,e-choonshʼ-ka,e-chunkʼ,e-sǔnkʼ,e-neʼ,nä-neʼ-kä,e-chunkʼ,e-nooʼ,e-nooʼ,e-nooʼ,e-cheʼ-to,e-choon̤-zhunkʼ,e-takeʼ,e-nekeʼ,e-nooʼ,e-cheʼ-to,wychʼ-kä,e-choon̤-zhunkʼ,e-nookʼ,e-ooʼ-ne-nekeʼ,e-choon̤ʼ-we,e-choon̤ʼ-we,"nä-neʼ-kä, e-oo-neʼ","nä-neʼ-kä, e-oo-neʼ",e-unʼ-chä,e-choon̤ʼ-we,e-unʼ-chä,e-takeʼ,"chä-jeʼ-kä, e-unʼ-cha",e-takeʼ,e-unʼ-chä,e-takeʼ,"chä-jeʼ-kä, e-unʼ-cha",e-ooʼ-ne-nekeʼ,e-choon̤ʼ-we,e-unʼ-chä,e-ooʼ-ne-nekeʼ,e-takeʼ,e-ooʼ-ne-nekeʼ
2,0.24243302655595822,1.0346012329101812,0.792168206354223,nä-neʼ-kä,e-nooʼ,e-neʼ,e-sǔnkʼ,e-nekeʼ,e-cheʼ-to,e-choonshʼ-ka,e-sǔnkʼ,e-chunkʼ,e-nooʼ,e-choonshʼ-ka,nä-neʼ-kä,e-choon̤-zhunkʼ,e-choon̤-zhunkʼ,e-nooʼ,e-nooʼ,e-nookʼ,wychʼ-kä,e-cheʼ-to,e-nekeʼ,e-sǔnkʼ,e-takeʼ,e-takeʼ,e-chunkʼ,nä-neʼ-kä,e-nooʼ,e-takeʼ,e-takeʼ,e-sǔnkʼ,e-nooʼ,e-sǔnkʼ,e-cheʼ-to,nä-neʼ-kä,e-sǔnkʼ,e-neʼ,wychʼ-kä,e-nookʼ,e-chunkʼ,e-ooʼ-ne-nekeʼ,e-unʼ-chä,"nä-neʼ-kä, e-oo-neʼ","nä-neʼ-kä, e-oo-neʼ",e-unʼ-chä,e-takeʼ,e-ooʼ-ne-nekeʼ,e-takeʼ,"chä-jeʼ-kä, e-unʼ-cha",e-choon̤ʼ-we,e-ooʼ-ne-nekeʼ,e-choon̤ʼ-we,e-choon̤ʼ-we,e-unʼ-chä,e-takeʼ,e-choon̤ʼ-we,e-unʼ-chä,"chä-jeʼ-kä, e-unʼ-cha",e-takeʼ,e-ooʼ-ne-nekeʼ
3,0.41011631828840933,1.376055285260417,0.9659389669720078,e-choonshʼ-ka,e-nooʼ,e-sǔnkʼ,e-nookʼ,e-takeʼ,e-chunkʼ,e-nooʼ,wychʼ-kä,e-neʼ,e-nooʼ,e-takeʼ,e-nekeʼ,e-sǔnkʼ,e-sǔnkʼ,e-choonshʼ-ka,e-takeʼ,e-choon̤-zhunkʼ,e-chunkʼ,e-nooʼ,e-sǔnkʼ,e-chunkʼ,e-nookʼ,e-cheʼ-to,e-nekeʼ,nä-neʼ-kä,e-neʼ,e-sǔnkʼ,e-nooʼ,nä-neʼ-kä,e-cheʼ-to,wychʼ-kä,e-nooʼ,e-takeʼ,e-cheʼ-to,e-choon̤-zhunkʼ,nä-neʼ-kä,e-sǔnkʼ,nä-neʼ-kä,e-ooʼ-ne-nekeʼ,e-unʼ-chä,e-ooʼ-ne-nekeʼ,"nä-neʼ-kä, e-oo-neʼ",e-takeʼ,e-unʼ-chä,e-choon̤ʼ-we,e-takeʼ,e-takeʼ,e-unʼ-chä,"chä-jeʼ-kä, e-unʼ-cha","nä-neʼ-kä, e-oo-neʼ",e-choon̤ʼ-we,e-unʼ-chä,e-ooʼ-ne-nekeʼ,e-ooʼ-ne-nekeʼ,e-takeʼ,e-choon̤ʼ-we,e-choon̤ʼ-we,"chä-jeʼ-kä, e-unʼ-cha"
4,0.2868240015233603,1.3760552852604169,1.0892312837370566,e-cheʼ-to,nä-neʼ-kä,e-nekeʼ,e-takeʼ,wychʼ-kä,e-nooʼ,e-nookʼ,e-cheʼ-to,e-nooʼ,e-cheʼ-to,e-takeʼ,e-sǔnkʼ,e-nooʼ,e-chunkʼ,e-sǔnkʼ,e-sǔnkʼ,nä-neʼ-kä,nä-neʼ-kä,e-nooʼ,e-neʼ,e-choonshʼ-ka,e-nookʼ,e-choon̤-zhunkʼ,e-nooʼ,e-chunkʼ,nä-neʼ-kä,wychʼ-kä,e-sǔnkʼ,e-nekeʼ,e-neʼ,e-takeʼ,e-nooʼ,e-sǔnkʼ,e-choon̤-zhunkʼ,e-choonshʼ-ka,e-chunkʼ,e-sǔnkʼ,e-takeʼ,"nä-neʼ-kä, e-oo-neʼ",e-takeʼ,e-ooʼ-ne-nekeʼ,e-ooʼ-ne-nekeʼ,e-takeʼ,e-takeʼ,e-unʼ-chä,e-unʼ-chä,e-ooʼ-ne-nekeʼ,"nä-neʼ-kä, e-oo-neʼ",e-choon̤ʼ-we,"chä-jeʼ-kä, e-unʼ-cha",e-choon̤ʼ-we,e-choon̤ʼ-we,e-unʼ-chä,e-takeʼ,"chä-jeʼ-kä, e-unʼ-cha",e-choon̤ʼ-we,e-unʼ-chä,e-ooʼ-ne-nekeʼ
5,0.242433026555958,1.034601232910181,0.792168206354223,e-nooʼ,e-chunkʼ,wychʼ-kä,e-takeʼ,e-sǔnkʼ,e-cheʼ-to,e-nookʼ,e-sǔnkʼ,nä-neʼ-kä,e-nooʼ,e-choon̤-zhunkʼ,e-nookʼ,e-nooʼ,e-nooʼ,e-choonshʼ-ka,e-sǔnkʼ,e-chunkʼ,e-nooʼ,e-sǔnkʼ,e-choonshʼ-ka,e-sǔnkʼ,e-takeʼ,e-nooʼ,e-nekeʼ,e-neʼ,e-cheʼ-to,e-choon̤-zhunkʼ,wychʼ-kä,e-chunkʼ,e-takeʼ,nä-neʼ-kä,e-sǔnkʼ,e-neʼ,e-takeʼ,nä-neʼ-kä,e-nekeʼ,e-cheʼ-to,nä-neʼ-kä,"nä-neʼ-kä, e-oo-neʼ",e-choon̤ʼ-we,e-ooʼ-ne-nekeʼ,e-ooʼ-ne-nekeʼ,e-unʼ-chä,e-takeʼ,e-unʼ-chä,e-choon̤ʼ-we,"chä-jeʼ-kä, e-unʼ-cha",e-unʼ-chä,"chä-jeʼ-kä, e-unʼ-cha",e-takeʼ,e-takeʼ,e-ooʼ-ne-nekeʼ,e-choon̤ʼ-we,"nä-neʼ-kä, e-oo-neʼ",e-unʼ-chä,e-ooʼ-ne-nekeʼ,e-choon̤ʼ-we,e-takeʼ
6,0.24243302655595822,1.0346012329101812,0.792168206354223,e-choon̤-zhunkʼ,nä-neʼ-kä,e-chunkʼ,e-sǔnkʼ,e-chunkʼ,e-nooʼ,e-nooʼ,e-sǔnkʼ,e-choon̤-zhunkʼ,e-sǔnkʼ,wychʼ-kä,e-sǔnkʼ,e-nekeʼ,nä-neʼ-kä,e-nookʼ,e-sǔnkʼ,e-choonshʼ-ka,e-nekeʼ,wychʼ-kä,e-takeʼ,nä-neʼ-kä,e-neʼ,e-chunkʼ,e-nooʼ,e-takeʼ,e-neʼ,e-takeʼ,e-nooʼ,e-choonshʼ-ka,e-cheʼ-to,e-takeʼ,e-cheʼ-to,e-nooʼ,nä-neʼ-kä,e-nooʼ,e-cheʼ-to,e-nookʼ,e-sǔnkʼ,e-takeʼ,e-takeʼ,e-ooʼ-ne-nekeʼ,e-choon̤ʼ-we,e-choon̤ʼ-we,e-choon̤ʼ-we,"chä-jeʼ-kä, e-unʼ-cha",e-ooʼ-ne-nekeʼ,e-takeʼ,"chä-jeʼ-kä, e-unʼ-cha","nä-neʼ-kä, e-oo-neʼ",e-unʼ-chä,e-unʼ-chä,"nä-neʼ-kä, e-oo-neʼ",e-unʼ-chä,e-unʼ-chä,e-ooʼ-ne-nekeʼ,e-takeʼ,e-ooʼ-ne-nekeʼ,e-choon̤ʼ-we
7,0.4848660531119161,1.0789922078775833,0.5941261547656672,e-nooʼ,e-choonshʼ-ka,e-nekeʼ,e-sǔnkʼ,nä-neʼ-kä,wychʼ-kä,nä-neʼ-kä,e-chunkʼ,e-nooʼ,e-choon̤-zhunkʼ,e-nooʼ,nä-neʼ-kä,e-nookʼ,e-sǔnkʼ,e-sǔnkʼ,e-nooʼ,e-takeʼ,e-neʼ,e-sǔnkʼ,e-chunkʼ,e-sǔnkʼ,e-neʼ,nä-neʼ-kä,e-takeʼ,e-cheʼ-to,e-nekeʼ,e-cheʼ-to,e-cheʼ-to,e-takeʼ,e-choonshʼ-ka,e-nooʼ,e-sǔnkʼ,e-nookʼ,e-chunkʼ,e-choon̤-zhunkʼ,wychʼ-kä,e-nooʼ,e-takeʼ,e-takeʼ,"chä-jeʼ-kä, e-unʼ-cha",e-ooʼ-ne-nekeʼ,e-unʼ-chä,"nä-neʼ-kä, e-oo-neʼ","chä-jeʼ-kä, e-unʼ-cha",e-ooʼ-ne-nekeʼ,e-choon̤ʼ-we,e-takeʼ,e-ooʼ-ne-nekeʼ,e-takeʼ,e-choon̤ʼ-we,"nä-neʼ-kä, e-oo-neʼ",e-choon̤ʼ-we,e-unʼ-chä,e-unʼ-chä,e-unʼ-chä,e-ooʼ-ne-nekeʼ,e-takeʼ,e-choon̤ʼ-we
8,0.484866053111916,1.0789922078775833,0.5941261547656673,e-sǔnkʼ,e-choon̤-zhunkʼ,e-takeʼ,e-nooʼ,e-cheʼ-to,nä-neʼ-kä,e-nooʼ,nä-neʼ-kä,nä-neʼ-kä,e-chunkʼ,e-takeʼ,e-cheʼ-to,e-nooʼ,e-sǔnkʼ,e-nekeʼ,e-sǔnkʼ,wychʼ-kä,e-takeʼ,e-takeʼ,e-neʼ,e-choonshʼ-ka,e-nookʼ,e-sǔnkʼ,e-nooʼ,e-choon̤-zhunkʼ,nä-neʼ-kä,e-chunkʼ,e-nookʼ,e-chunkʼ,e-nooʼ,wychʼ-kä,e-sǔnkʼ,e-choonshʼ-ka,e-cheʼ-to,e-neʼ,e-sǔnkʼ,e-nekeʼ,e-nooʼ,e-choon̤ʼ-we,e-unʼ-chä,"chä-jeʼ-kä, e-unʼ-cha",e-takeʼ,e-unʼ-chä,e-takeʼ,e-ooʼ-ne-nekeʼ,e-unʼ-chä,"chä-jeʼ-kä, e-unʼ-cha",e-choon̤ʼ-we,e-takeʼ,e-unʼ-chä,"nä-neʼ-kä, e-oo-neʼ",e-takeʼ,e-ooʼ-ne-nekeʼ,e-ooʼ-ne-nekeʼ,e-choon̤ʼ-we,"nä-neʼ-kä, e-oo-neʼ",e-choon̤ʼ-we,e-ooʼ-ne-nekeʼ
9,0.34145405235023607,1.0346012329101812,0.6931471805599452,e-nooʼ,wychʼ-kä,e-sǔnkʼ,e-sǔnkʼ,e-sǔnkʼ,e-neʼ,e-nekeʼ,e-nookʼ,e-nekeʼ,e-cheʼ-to,e-takeʼ,e-nooʼ,e-chunkʼ,e-chunkʼ,e-nooʼ,e-cheʼ-to,e-takeʼ,e-neʼ,e-sǔnkʼ,e-sǔnkʼ,nä-neʼ-kä,e-cheʼ-to,e-takeʼ,e-choon̤-zhunkʼ,nä-neʼ-kä,e-nooʼ,nä-neʼ-kä,nä-neʼ-kä,e-nooʼ,e-choonshʼ-ka,e-choon̤-zhunkʼ,e-choonshʼ-ka,e-sǔnkʼ,e-chunkʼ,wychʼ-kä,e-nookʼ,e-nooʼ,e-takeʼ,e-ooʼ-ne-nekeʼ,e-unʼ-chä,e-takeʼ,e-choon̤ʼ-we,e-takeʼ,e-unʼ-chä,e-choon̤ʼ-we,e-unʼ-chä,e-unʼ-chä,"nä-neʼ-kä, e-oo-neʼ",e-takeʼ,e-ooʼ-ne-nekeʼ,e-choon̤ʼ-we,"nä-neʼ-kä, e-oo-neʼ",e-takeʼ,"chä-jeʼ-kä, e-unʼ-cha",e-choon̤ʼ-we,e-ooʼ-ne-nekeʼ,"chä-jeʼ-kä, e-unʼ-cha",e-ooʼ-ne-nekeʼ
