simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.15784906032161616,0.5455945739691843,0.38774551364756815,siwa,paava,paava,*tïpko,*tïpko,*tïpko,qööqa,qööqa,na'a,na'a,taaha,i-ŋï,taaha,na'a,na'a,kya,kya,kya,taa'ta,na'a,kya,taaha,na'a,i-ŋï,taaha,taa'ta,kya,kya,taaha,taaha
1,0.10708163577130192,0.5455945739691843,0.4385129381978824,paava,qööqa,*tïpko,paava,siwa,*tïpko,qööqa,*tïpko,taaha,taaha,kya,i-ŋï,taaha,kya,na'a,i-ŋï,kya,na'a,na'a,taaha,na'a,kya,na'a,taaha,taa'ta,na'a,taa'ta,taaha,kya,kya
2,0.2529031394192357,1.017602986115916,0.7646998466966802,qööqa,qööqa,siwa,*tïpko,paava,paava,*tïpko,*tïpko,na'a,taaha,kya,kya,taaha,na'a,na'a,kya,kya,i-ŋï,na'a,taa'ta,na'a,taaha,taaha,i-ŋï,taa'ta,na'a,kya,taaha,kya,taaha
3,0.5042626502716753,1.0551016181686423,0.5508389678969671,qööqa,qööqa,siwa,*tïpko,paava,paava,*tïpko,*tïpko,i-ŋï,taaha,taaha,taaha,kya,na'a,taaha,kya,taaha,kya,na'a,na'a,na'a,na'a,kya,taa'ta,taaha,kya,taa'ta,i-ŋï,na'a,kya
4,0.3211810740463473,1.0551016181686423,0.733920544122295,qööqa,qööqa,paava,siwa,*tïpko,paava,*tïpko,*tïpko,kya,na'a,taaha,na'a,na'a,kya,na'a,taaha,taa'ta,kya,taaha,taaha,na'a,kya,i-ŋï,i-ŋï,kya,na'a,taaha,taaha,kya,taa'ta
5,0.20885504434726265,1.0551016181686423,0.8462465738213797,*tïpko,siwa,qööqa,*tïpko,*tïpko,qööqa,paava,paava,taa'ta,na'a,na'a,i-ŋï,kya,taaha,taaha,na'a,taaha,kya,na'a,kya,na'a,taaha,i-ŋï,kya,kya,taa'ta,kya,taaha,taaha,na'a
6,0.2529031394192359,1.0176029861159162,0.7646998466966802,paava,paava,*tïpko,siwa,qööqa,qööqa,*tïpko,*tïpko,taaha,kya,kya,kya,taa'ta,i-ŋï,taaha,taaha,na'a,na'a,taaha,na'a,taaha,taa'ta,kya,kya,taaha,na'a,kya,i-ŋï,na'a,na'a
7,0.17807574177287733,1.38128852666744,1.2032127848945626,*tïpko,*tïpko,qööqa,paava,*tïpko,qööqa,siwa,paava,kya,taa'ta,taaha,na'a,taaha,taaha,taaha,na'a,kya,kya,kya,na'a,i-ŋï,taaha,na'a,na'a,kya,na'a,i-ŋï,taaha,kya,taa'ta
8,0.5283226233677192,1.017602986115916,0.4892803627481967,*tïpko,qööqa,*tïpko,*tïpko,paava,siwa,paava,qööqa,kya,kya,na'a,taaha,taaha,na'a,kya,na'a,kya,kya,na'a,i-ŋï,taaha,taa'ta,taaha,na'a,i-ŋï,taaha,taa'ta,na'a,taaha,kya
9,0.5042626502716754,1.0551016181686423,0.550838967896967,siwa,*tïpko,paava,paava,*tïpko,*tïpko,qööqa,qööqa,kya,taa'ta,i-ŋï,na'a,taaha,kya,kya,taa'ta,taaha,i-ŋï,na'a,taaha,taaha,kya,na'a,taaha,kya,na'a,na'a,kya,taaha,na'a
