simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,feB,fyB,feZ,fyZ,mF,mM,fF,fM
0,0.28682400152336013,0.6829081047004717,0.39608410317711157,hu-ki'-tcitc-stan-ī-hu,hu-ka'-mi-u'-li-stö-kö,hu-ka-mo-te-u'-lu-e-stö-kö,hu-ka-mo-te-u'-lu-e-stö-kö,hu-kamu'-te-stān'-i-hu,hu-kamu'-te-stān'-i-hu,hu-ki'-tcitc-stan-ī-hu,u-kâ'-kâ,u-kâ'-kâ,kâ'-ni,kâ'-ni
1,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hu-ki'-tcitc-stan-ī-hu,hu-kamu'-te-stān'-i-hu,hu-ka'-mi-u'-li-stö-kö,hu-ki'-tcitc-stan-ī-hu,hu-ka-mo-te-u'-lu-e-stö-kö,hu-ka-mo-te-u'-lu-e-stö-kö,hu-kamu'-te-stān'-i-hu,u-kâ'-kâ,kâ'-ni,u-kâ'-kâ,kâ'-ni
2,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hu-ka-mo-te-u'-lu-e-stö-kö,hu-kamu'-te-stān'-i-hu,hu-kamu'-te-stān'-i-hu,hu-ki'-tcitc-stan-ī-hu,hu-ka-mo-te-u'-lu-e-stö-kö,hu-ki'-tcitc-stan-ī-hu,hu-ka'-mi-u'-li-stö-kö,kâ'-ni,u-kâ'-kâ,kâ'-ni,u-kâ'-kâ
3,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hu-ka-mo-te-u'-lu-e-stö-kö,hu-ka'-mi-u'-li-stö-kö,hu-kamu'-te-stān'-i-hu,hu-ki'-tcitc-stan-ī-hu,hu-ki'-tcitc-stan-ī-hu,hu-kamu'-te-stān'-i-hu,hu-ka-mo-te-u'-lu-e-stö-kö,u-kâ'-kâ,kâ'-ni,kâ'-ni,u-kâ'-kâ
4,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hu-ki'-tcitc-stan-ī-hu,hu-ka-mo-te-u'-lu-e-stö-kö,hu-ka-mo-te-u'-lu-e-stö-kö,hu-kamu'-te-stān'-i-hu,hu-ka'-mi-u'-li-stö-kö,hu-ki'-tcitc-stan-ī-hu,hu-kamu'-te-stān'-i-hu,u-kâ'-kâ,kâ'-ni,kâ'-ni,u-kâ'-kâ
5,0.28682400152336013,0.6829081047004717,0.39608410317711157,hu-ka'-mi-u'-li-stö-kö,hu-kamu'-te-stān'-i-hu,hu-ki'-tcitc-stan-ī-hu,hu-ka-mo-te-u'-lu-e-stö-kö,hu-kamu'-te-stān'-i-hu,hu-ki'-tcitc-stan-ī-hu,hu-ka-mo-te-u'-lu-e-stö-kö,u-kâ'-kâ,u-kâ'-kâ,kâ'-ni,kâ'-ni
6,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hu-ki'-tcitc-stan-ī-hu,hu-ka-mo-te-u'-lu-e-stö-kö,hu-kamu'-te-stān'-i-hu,hu-ki'-tcitc-stan-ī-hu,hu-ka'-mi-u'-li-stö-kö,hu-ka-mo-te-u'-lu-e-stö-kö,hu-kamu'-te-stān'-i-hu,u-kâ'-kâ,kâ'-ni,kâ'-ni,u-kâ'-kâ
7,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hu-kamu'-te-stān'-i-hu,hu-ka-mo-te-u'-lu-e-stö-kö,hu-ki'-tcitc-stan-ī-hu,hu-ka-mo-te-u'-lu-e-stö-kö,hu-ka'-mi-u'-li-stö-kö,hu-kamu'-te-stān'-i-hu,hu-ki'-tcitc-stan-ī-hu,kâ'-ni,u-kâ'-kâ,u-kâ'-kâ,kâ'-ni
8,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hu-kamu'-te-stān'-i-hu,hu-ki'-tcitc-stan-ī-hu,hu-ki'-tcitc-stan-ī-hu,hu-ka'-mi-u'-li-stö-kö,hu-kamu'-te-stān'-i-hu,hu-ka-mo-te-u'-lu-e-stö-kö,hu-ka-mo-te-u'-lu-e-stö-kö,kâ'-ni,u-kâ'-kâ,kâ'-ni,u-kâ'-kâ
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hu-kamu'-te-stān'-i-hu,hu-ki'-tcitc-stan-ī-hu,hu-ka-mo-te-u'-lu-e-stö-kö,hu-ka'-mi-u'-li-stö-kö,hu-ka-mo-te-u'-lu-e-stö-kö,hu-kamu'-te-stān'-i-hu,hu-ki'-tcitc-stan-ī-hu,kâ'-ni,u-kâ'-kâ,kâ'-ni,u-kâ'-kâ
