simulation_number,mutual_information,entropy,conditional_entropy,mFZeS,mMBeS,mMByS,mFZyS,fFZeS,fFZyS,fMBeS,fMByS,meB,feB,mFBeS,fFBeS,mMZeS,mFByS,fFByS,myB,fyB,mMZyS,fMZyS,meZ,feZ,mMBeD,mMByD,myZ,fyZ,mFByD,fFByD,fMByD,mMZyD,fMZyD,mFBeD,fFBeD,mMZeD,fMZeD,fMBeD,mF,fF,mMeB,mMyB,fMeB,fMyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ,mFeB,mFyB,fFeB,fFyB,mFeZ,mFyZ,fFeZ,fFyZ
0,0.14058378615470202,1.0397207708399179,0.8991369846852159,ne-hisʼ-tä,ne-sisʼ-sä,ne-hisʼ-tä,nohˑ-sä-kinʼ-ame,nohˑ-säʼ-kinʼ-ame,nis-kuu,nis-kunʼ,nisʼ-sä,nisʼ-sä,ne-täʼ-kame,nis-kuu,nis-kunʼ,no-inʼ-nä,no-inʼ-nä,nohˑ-säʼ-kinʼ-ame,ne-sisʼ-sä,ne-sisʼ-sä,no-inʼ-nä,nis-kunʼ,ne-sisʼ-sä,nisʼ-sä,ne-hisʼ-tä,ne-sisʼ-sä,nis-kunʼ,nohˑ-säʼ-kinʼ-ame,nisʼ-sä,ne-täʼ-kame,ne-hisʼ-ta,ne-sisʼ-sä,no-inʼ-nä,ne-hisʼ-tä,nee-his-tä,nee-his-tä,nisʼ-sä,ne-sisʼ-sä,neeʼ-sä,ne-toʼ-toax-is,ne-toʼ-toax-is,ne-toʼ-to-mä,ne-toʼ-tahxs,neex-istʼ,ne-toʼ-toax-is,ninʼ-ne,ne-toʼ-to-mä,ninʼ-ne,ne-toʼ-tahxs,neeʼ-sä,ne-toʼ-toax-is,ne-toʼ-to-mä,ne-toʼ-to-mä,ne-toʼ-tahxs,neeʼ-sä,ne-toʼ-tahxs,neeʼ-sä,neex-istʼ
1,0.6931471805599453,1.3862943611198906,0.6931471805599453,nee-his-tä,no-inʼ-nä,ne-sisʼ-sä,no-inʼ-nä,ne-sisʼ-sä,nisʼ-sä,nisʼ-sä,nohˑ-säʼ-kinʼ-ame,ne-hisʼ-tä,nohˑ-säʼ-kinʼ-ame,nis-kunʼ,nis-kunʼ,nisʼ-sä,ne-sisʼ-sä,nisʼ-sä,no-inʼ-nä,nis-kuu,nis-kunʼ,ne-hisʼ-tä,nee-his-tä,ne-täʼ-kame,nohˑ-säʼ-kinʼ-ame,ne-hisʼ-ta,ne-sisʼ-sä,nis-kuu,ne-sisʼ-sä,ne-täʼ-kame,ne-hisʼ-tä,nohˑ-sä-kinʼ-ame,ne-sisʼ-sä,ne-sisʼ-sä,nisʼ-sä,nis-kunʼ,no-inʼ-nä,ne-hisʼ-tä,ne-toʼ-toax-is,ninʼ-ne,ne-toʼ-tahxs,neeʼ-sä,neeʼ-sä,ne-toʼ-toax-is,neex-istʼ,ne-toʼ-to-mä,ne-toʼ-tahxs,ne-toʼ-toax-is,ne-toʼ-tahxs,ninʼ-ne,ne-toʼ-toax-is,neex-istʼ,ne-toʼ-to-mä,neeʼ-sä,ne-toʼ-to-mä,ne-toʼ-to-mä,neeʼ-sä,ne-toʼ-tahxs
2,0.5198603854199589,1.0397207708399179,0.5198603854199589,ne-hisʼ-tä,nohˑ-sä-kinʼ-ame,nis-kunʼ,nis-kuu,ne-täʼ-kame,ne-sisʼ-sä,ne-hisʼ-tä,ne-sisʼ-sä,nis-kuu,no-inʼ-nä,nee-his-tä,ne-hisʼ-tä,nis-kunʼ,nee-his-tä,nohˑ-säʼ-kinʼ-ame,nohˑ-säʼ-kinʼ-ame,ne-sisʼ-sä,ne-sisʼ-sä,ne-sisʼ-sä,nisʼ-sä,ne-hisʼ-tä,no-inʼ-nä,no-inʼ-nä,nis-kunʼ,nisʼ-sä,nisʼ-sä,nisʼ-sä,ne-sisʼ-sä,nis-kunʼ,ne-hisʼ-ta,no-inʼ-nä,nisʼ-sä,ne-täʼ-kame,nohˑ-säʼ-kinʼ-ame,ne-sisʼ-sä,ninʼ-ne,ne-toʼ-tahxs,ne-toʼ-tahxs,ne-toʼ-toax-is,ne-toʼ-toax-is,ne-toʼ-to-mä,ninʼ-ne,ne-toʼ-toax-is,neeʼ-sä,neex-istʼ,ne-toʼ-tahxs,ne-toʼ-tahxs,neeʼ-sä,ne-toʼ-toax-is,ne-toʼ-to-mä,neex-istʼ,neeʼ-sä,ne-toʼ-to-mä,ne-toʼ-to-mä,neeʼ-sä
3,0.2599301927099794,1.0397207708399179,0.7797905781299385,nisʼ-sä,nohˑ-säʼ-kinʼ-ame,nee-his-tä,no-inʼ-nä,ne-sisʼ-sä,no-inʼ-nä,nisʼ-sä,ne-sisʼ-sä,nohˑ-säʼ-kinʼ-ame,no-inʼ-nä,ne-hisʼ-tä,nohˑ-säʼ-kinʼ-ame,nisʼ-sä,ne-hisʼ-ta,ne-täʼ-kame,nis-kuu,nis-kunʼ,nis-kunʼ,ne-sisʼ-sä,ne-sisʼ-sä,nis-kunʼ,ne-hisʼ-tä,ne-sisʼ-sä,nisʼ-sä,ne-sisʼ-sä,ne-hisʼ-tä,nee-his-tä,nis-kunʼ,ne-täʼ-kame,nis-kuu,ne-hisʼ-tä,no-inʼ-nä,ne-sisʼ-sä,nohˑ-sä-kinʼ-ame,nisʼ-sä,ne-toʼ-tahxs,ne-toʼ-to-mä,neeʼ-sä,ne-toʼ-to-mä,ne-toʼ-toax-is,neex-istʼ,ne-toʼ-toax-is,ne-toʼ-tahxs,ne-toʼ-to-mä,ne-toʼ-toax-is,ninʼ-ne,neeʼ-sä,neex-istʼ,ne-toʼ-tahxs,ne-toʼ-toax-is,ninʼ-ne,neeʼ-sä,ne-toʼ-tahxs,ne-toʼ-to-mä,neeʼ-sä
4,0.2599301927099794,1.0397207708399179,0.7797905781299385,no-inʼ-nä,nee-his-tä,nohˑ-sä-kinʼ-ame,nis-kunʼ,ne-sisʼ-sä,nohˑ-säʼ-kinʼ-ame,ne-hisʼ-ta,nis-kunʼ,ne-sisʼ-sä,nee-his-tä,nisʼ-sä,ne-hisʼ-tä,nis-kuu,ne-sisʼ-sä,nisʼ-sä,ne-sisʼ-sä,nis-kuu,nisʼ-sä,ne-täʼ-kame,ne-hisʼ-tä,nohˑ-säʼ-kinʼ-ame,ne-sisʼ-sä,ne-täʼ-kame,nisʼ-sä,nisʼ-sä,nis-kunʼ,ne-hisʼ-tä,ne-sisʼ-sä,ne-hisʼ-tä,no-inʼ-nä,nohˑ-säʼ-kinʼ-ame,nis-kunʼ,no-inʼ-nä,ne-sisʼ-sä,no-inʼ-nä,ne-toʼ-tahxs,ne-toʼ-toax-is,neex-istʼ,ne-toʼ-to-mä,ne-toʼ-toax-is,ne-toʼ-tahxs,ninʼ-ne,ne-toʼ-tahxs,ne-toʼ-tahxs,neeʼ-sä,ne-toʼ-toax-is,neeʼ-sä,ne-toʼ-toax-is,ne-toʼ-to-mä,neeʼ-sä,neex-istʼ,ninʼ-ne,ne-toʼ-to-mä,ne-toʼ-to-mä,neeʼ-sä
5,0.2599301927099794,1.0397207708399179,0.7797905781299385,nohˑ-sä-kinʼ-ame,nis-kuu,nis-kuu,nohˑ-säʼ-kinʼ-ame,ne-sisʼ-sä,ne-sisʼ-sä,ne-sisʼ-sä,ne-täʼ-kame,nohˑ-säʼ-kinʼ-ame,no-inʼ-nä,ne-sisʼ-sä,nisʼ-sä,nohˑ-säʼ-kinʼ-ame,ne-sisʼ-sä,nis-kunʼ,nis-kunʼ,nee-his-tä,nis-kunʼ,nisʼ-sä,no-inʼ-nä,nee-his-tä,nisʼ-sä,nis-kunʼ,ne-hisʼ-ta,ne-hisʼ-tä,ne-hisʼ-tä,ne-sisʼ-sä,no-inʼ-nä,nisʼ-sä,no-inʼ-nä,ne-täʼ-kame,ne-hisʼ-tä,ne-hisʼ-tä,ne-sisʼ-sä,nisʼ-sä,ne-toʼ-tahxs,ne-toʼ-toax-is,ne-toʼ-tahxs,ne-toʼ-toax-is,ne-toʼ-tahxs,ninʼ-ne,ne-toʼ-toax-is,ne-toʼ-to-mä,ninʼ-ne,ne-toʼ-toax-is,ne-toʼ-to-mä,neeʼ-sä,neeʼ-sä,neex-istʼ,ne-toʼ-tahxs,neex-istʼ,neeʼ-sä,ne-toʼ-to-mä,ne-toʼ-to-mä,neeʼ-sä
6,0.08664339756999306,1.0397207708399179,0.9530773732699248,nohˑ-säʼ-kinʼ-ame,ne-hisʼ-ta,nis-kunʼ,nee-his-tä,nis-kuu,ne-sisʼ-sä,ne-täʼ-kame,nisʼ-sä,ne-sisʼ-sä,no-inʼ-nä,nohˑ-säʼ-kinʼ-ame,nee-his-tä,nohˑ-sä-kinʼ-ame,ne-sisʼ-sä,no-inʼ-nä,nisʼ-sä,ne-sisʼ-sä,ne-hisʼ-tä,ne-sisʼ-sä,ne-täʼ-kame,nis-kunʼ,nisʼ-sä,ne-sisʼ-sä,nis-kunʼ,nisʼ-sä,no-inʼ-nä,nis-kunʼ,nis-kuu,no-inʼ-nä,ne-hisʼ-tä,ne-hisʼ-tä,ne-hisʼ-tä,nohˑ-säʼ-kinʼ-ame,ne-sisʼ-sä,nisʼ-sä,neex-istʼ,neeʼ-sä,ne-toʼ-tahxs,neeʼ-sä,ne-toʼ-to-mä,ne-toʼ-to-mä,ne-toʼ-toax-is,ne-toʼ-toax-is,neex-istʼ,ne-toʼ-to-mä,ninʼ-ne,neeʼ-sä,ne-toʼ-toax-is,ne-toʼ-tahxs,ne-toʼ-tahxs,ninʼ-ne,ne-toʼ-tahxs,neeʼ-sä,ne-toʼ-toax-is,ne-toʼ-to-mä
7,0.17328679513998624,1.0397207708399179,0.8664339756999316,ne-sisʼ-sä,nis-kuu,nisʼ-sä,nee-his-tä,ne-hisʼ-tä,ne-sisʼ-sä,nohˑ-säʼ-kinʼ-ame,ne-täʼ-kame,ne-sisʼ-sä,no-inʼ-nä,ne-hisʼ-tä,nisʼ-sä,no-inʼ-nä,ne-täʼ-kame,no-inʼ-nä,nohˑ-säʼ-kinʼ-ame,nohˑ-säʼ-kinʼ-ame,ne-sisʼ-sä,ne-hisʼ-ta,no-inʼ-nä,ne-sisʼ-sä,nis-kuu,nis-kunʼ,nis-kunʼ,nee-his-tä,nisʼ-sä,nisʼ-sä,nisʼ-sä,nis-kunʼ,ne-hisʼ-tä,nohˑ-sä-kinʼ-ame,ne-sisʼ-sä,nis-kunʼ,ne-hisʼ-tä,ne-sisʼ-sä,neeʼ-sä,ne-toʼ-to-mä,ne-toʼ-tahxs,neeʼ-sä,ne-toʼ-toax-is,ne-toʼ-tahxs,ninʼ-ne,ne-toʼ-to-mä,neeʼ-sä,ne-toʼ-to-mä,ne-toʼ-tahxs,ne-toʼ-toax-is,ninʼ-ne,ne-toʼ-toax-is,neex-istʼ,ne-toʼ-toax-is,ne-toʼ-tahxs,neex-istʼ,ne-toʼ-to-mä,neeʼ-sä
8,0.5198603854199589,1.3862943611198906,0.8664339756999316,nisʼ-sä,nisʼ-sä,ne-täʼ-kame,ne-sisʼ-sä,nohˑ-säʼ-kinʼ-ame,nee-his-tä,ne-sisʼ-sä,nisʼ-sä,nis-kunʼ,ne-sisʼ-sä,no-inʼ-nä,nis-kunʼ,nisʼ-sä,ne-hisʼ-tä,ne-hisʼ-tä,nee-his-tä,nisʼ-sä,ne-hisʼ-ta,nis-kuu,ne-sisʼ-sä,no-inʼ-nä,nohˑ-sä-kinʼ-ame,nis-kuu,ne-hisʼ-tä,no-inʼ-nä,ne-sisʼ-sä,nohˑ-säʼ-kinʼ-ame,nis-kunʼ,ne-hisʼ-tä,no-inʼ-nä,ne-täʼ-kame,nis-kunʼ,ne-sisʼ-sä,nohˑ-säʼ-kinʼ-ame,ne-sisʼ-sä,ne-toʼ-to-mä,neeʼ-sä,ne-toʼ-toax-is,ne-toʼ-tahxs,neex-istʼ,ne-toʼ-toax-is,neex-istʼ,ne-toʼ-tahxs,ne-toʼ-to-mä,ne-toʼ-toax-is,ne-toʼ-tahxs,ninʼ-ne,ne-toʼ-to-mä,ne-toʼ-toax-is,neeʼ-sä,neeʼ-sä,neeʼ-sä,ninʼ-ne,ne-toʼ-to-mä,ne-toʼ-tahxs
9,0.17328679513998624,1.0397207708399179,0.8664339756999316,nis-kunʼ,ne-sisʼ-sä,nee-his-tä,ne-hisʼ-tä,nohˑ-sä-kinʼ-ame,ne-sisʼ-sä,nisʼ-sä,nee-his-tä,nis-kuu,nisʼ-sä,nisʼ-sä,nohˑ-säʼ-kinʼ-ame,ne-sisʼ-sä,ne-hisʼ-tä,ne-sisʼ-sä,nisʼ-sä,no-inʼ-nä,nis-kunʼ,nis-kunʼ,no-inʼ-nä,nohˑ-säʼ-kinʼ-ame,ne-hisʼ-tä,ne-täʼ-kame,nohˑ-säʼ-kinʼ-ame,ne-sisʼ-sä,nisʼ-sä,no-inʼ-nä,nis-kunʼ,nis-kuu,no-inʼ-nä,ne-hisʼ-tä,ne-sisʼ-sä,ne-täʼ-kame,ne-sisʼ-sä,ne-hisʼ-ta,ne-toʼ-toax-is,ne-toʼ-tahxs,ne-toʼ-tahxs,ne-toʼ-tahxs,ne-toʼ-toax-is,ne-toʼ-to-mä,ne-toʼ-toax-is,neeʼ-sä,neeʼ-sä,ne-toʼ-to-mä,ne-toʼ-to-mä,ne-toʼ-toax-is,ninʼ-ne,neex-istʼ,neex-istʼ,ninʼ-ne,neeʼ-sä,ne-toʼ-tahxs,neeʼ-sä,ne-toʼ-to-mä
