simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mMZD,mFBS,mFZS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFZeD,mFZyD,mMZeS,mMZyS,mMZeD,mMZyD,fB,fZ,fFZD,fMZD,fFBS,fFZS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFZeD,fFZyD,fMZyS,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1911389991888215,1.6843731128467387,1.4932341136579173,basenkint,suster,suster,muomen-kint,muomen-kint,muomen-kint,basenkint,basenkint,basenkint,veter-sun,basenkint,muomen-kint,bruoder,veter-sun,basenkint,veter-sun,veter-sun,muomen-kint,veter-sun,muomen-kint,basenkint,veter-sun,muomen-kint,muomen-kint,basenkint,basenkint,basenkint,muomen-kint,basenkint,suster,bruoder,bruoder,muomen-kint,basenkint,basenkint,bruoder,bruoder,veter-sun,muomen-kint,muomen-kint,veter-sun,basenkint,muomen-kint,bruoder,suster,muomen-kint,muomen-kint,basenkint,suster,muomen-kint,basenkint,basenkint,muomen-kint,suster,muomen-kint,basenkint,basenkint,veter-sun,muomen-kint,basenkint,veter-sun,muome,vater,base,base,base,veter,veter,œ-heim,muome,œ-heim,œ-heim,veter,muome,base,muoter,muome,veter,base,œ-heim,muome,œ-heim,œ-heim,muome,muoter,veter,veter,vater,base
1,0.21544955094128038,1.6316913064601284,1.416241755518848,basenkint,basenkint,basenkint,muomen-kint,basenkint,muomen-kint,veter-sun,basenkint,veter-sun,muomen-kint,basenkint,muomen-kint,muomen-kint,veter-sun,basenkint,muomen-kint,bruoder,suster,muomen-kint,veter-sun,muomen-kint,basenkint,basenkint,veter-sun,veter-sun,bruoder,suster,basenkint,muomen-kint,basenkint,suster,basenkint,muomen-kint,basenkint,muomen-kint,basenkint,muomen-kint,suster,bruoder,basenkint,veter-sun,muomen-kint,veter-sun,suster,basenkint,muomen-kint,basenkint,bruoder,muomen-kint,basenkint,muomen-kint,veter-sun,basenkint,basenkint,veter-sun,muomen-kint,muomen-kint,bruoder,suster,bruoder,muomen-kint,veter,muoter,œ-heim,veter,vater,veter,muome,muome,base,base,œ-heim,base,base,base,muome,muome,œ-heim,œ-heim,muome,œ-heim,veter,œ-heim,veter,vater,base,muome,veter,muoter
2,0.15640821875094013,1.5374590609193872,1.381050842168447,veter-sun,basenkint,suster,veter-sun,basenkint,suster,muomen-kint,suster,basenkint,muomen-kint,bruoder,basenkint,basenkint,muomen-kint,veter-sun,basenkint,bruoder,muomen-kint,muomen-kint,bruoder,muomen-kint,veter-sun,muomen-kint,basenkint,veter-sun,veter-sun,basenkint,veter-sun,basenkint,muomen-kint,veter-sun,muomen-kint,muomen-kint,muomen-kint,muomen-kint,muomen-kint,veter-sun,basenkint,basenkint,basenkint,suster,basenkint,suster,basenkint,veter-sun,suster,basenkint,muomen-kint,bruoder,bruoder,basenkint,muomen-kint,muomen-kint,muomen-kint,bruoder,basenkint,basenkint,basenkint,muomen-kint,basenkint,muomen-kint,œ-heim,base,veter,veter,base,veter,veter,muome,muome,muome,œ-heim,veter,muome,vater,muome,œ-heim,vater,œ-heim,base,muome,base,veter,muoter,œ-heim,œ-heim,base,muoter,base
3,0.09636780611495244,1.680002579883991,1.5836347737690386,muomen-kint,basenkint,basenkint,muomen-kint,veter-sun,bruoder,basenkint,muomen-kint,bruoder,basenkint,suster,basenkint,suster,basenkint,muomen-kint,veter-sun,basenkint,muomen-kint,muomen-kint,muomen-kint,basenkint,bruoder,muomen-kint,veter-sun,muomen-kint,basenkint,veter-sun,suster,basenkint,basenkint,muomen-kint,veter-sun,basenkint,veter-sun,veter-sun,muomen-kint,muomen-kint,bruoder,muomen-kint,bruoder,suster,basenkint,basenkint,muomen-kint,veter-sun,muomen-kint,muomen-kint,basenkint,suster,bruoder,veter-sun,muomen-kint,basenkint,basenkint,suster,basenkint,muomen-kint,basenkint,veter-sun,basenkint,muomen-kint,œ-heim,base,œ-heim,base,muome,vater,muome,veter,veter,œ-heim,veter,œ-heim,veter,muome,muoter,veter,muoter,muome,veter,œ-heim,base,muome,base,base,vater,base,œ-heim,muome
4,0.17370647666439076,1.596036080418337,1.4223296037539463,bruoder,muomen-kint,muomen-kint,basenkint,basenkint,veter-sun,veter-sun,muomen-kint,muomen-kint,veter-sun,veter-sun,basenkint,bruoder,veter-sun,basenkint,suster,muomen-kint,bruoder,muomen-kint,basenkint,veter-sun,basenkint,muomen-kint,basenkint,muomen-kint,muomen-kint,veter-sun,muomen-kint,muomen-kint,basenkint,bruoder,muomen-kint,basenkint,basenkint,muomen-kint,basenkint,bruoder,muomen-kint,suster,basenkint,muomen-kint,veter-sun,suster,basenkint,basenkint,muomen-kint,basenkint,basenkint,basenkint,veter-sun,veter-sun,suster,suster,basenkint,suster,basenkint,muomen-kint,muomen-kint,muomen-kint,bruoder,basenkint,œ-heim,veter,veter,œ-heim,œ-heim,base,veter,veter,vater,base,œ-heim,base,muome,base,muoter,muoter,muome,œ-heim,muome,base,muome,veter,base,vater,œ-heim,veter,muome,muome
5,0.165902942245715,1.6401017009016008,1.4741987586558858,basenkint,muomen-kint,basenkint,muomen-kint,basenkint,muomen-kint,basenkint,muomen-kint,muomen-kint,muomen-kint,bruoder,muomen-kint,muomen-kint,veter-sun,basenkint,basenkint,muomen-kint,muomen-kint,muomen-kint,veter-sun,veter-sun,veter-sun,suster,veter-sun,basenkint,muomen-kint,bruoder,bruoder,basenkint,suster,basenkint,basenkint,basenkint,suster,basenkint,basenkint,basenkint,suster,muomen-kint,veter-sun,basenkint,basenkint,basenkint,veter-sun,muomen-kint,bruoder,basenkint,basenkint,muomen-kint,veter-sun,muomen-kint,muomen-kint,suster,suster,basenkint,bruoder,muomen-kint,veter-sun,veter-sun,muomen-kint,bruoder,base,veter,base,veter,muome,base,base,vater,vater,muome,œ-heim,veter,muome,œ-heim,œ-heim,muoter,muome,muome,muoter,muome,base,veter,veter,œ-heim,base,œ-heim,œ-heim,veter
6,0.17275636956918627,1.6486987712654413,1.475942401696255,muomen-kint,suster,basenkint,bruoder,suster,bruoder,bruoder,suster,muomen-kint,veter-sun,basenkint,basenkint,basenkint,bruoder,basenkint,basenkint,muomen-kint,basenkint,muomen-kint,muomen-kint,basenkint,muomen-kint,basenkint,veter-sun,basenkint,muomen-kint,muomen-kint,veter-sun,suster,basenkint,veter-sun,muomen-kint,veter-sun,muomen-kint,suster,basenkint,basenkint,muomen-kint,basenkint,veter-sun,veter-sun,muomen-kint,bruoder,basenkint,muomen-kint,bruoder,veter-sun,muomen-kint,muomen-kint,muomen-kint,basenkint,basenkint,basenkint,veter-sun,muomen-kint,suster,basenkint,veter-sun,basenkint,muomen-kint,muomen-kint,vater,base,muome,veter,veter,base,base,œ-heim,base,veter,base,œ-heim,œ-heim,veter,base,muome,œ-heim,œ-heim,muome,muome,vater,muome,muoter,œ-heim,muome,veter,veter,muoter
7,0.17272500136558433,1.6701952612887077,1.4974702599231233,veter-sun,veter-sun,muomen-kint,bruoder,muomen-kint,muomen-kint,veter-sun,basenkint,bruoder,muomen-kint,muomen-kint,basenkint,basenkint,muomen-kint,basenkint,muomen-kint,basenkint,muomen-kint,suster,bruoder,basenkint,muomen-kint,basenkint,veter-sun,muomen-kint,basenkint,suster,muomen-kint,veter-sun,muomen-kint,muomen-kint,bruoder,basenkint,basenkint,basenkint,basenkint,veter-sun,suster,bruoder,muomen-kint,basenkint,basenkint,veter-sun,bruoder,basenkint,muomen-kint,suster,basenkint,muomen-kint,basenkint,basenkint,suster,basenkint,muomen-kint,veter-sun,suster,veter-sun,muomen-kint,veter-sun,basenkint,muomen-kint,muome,muome,base,muoter,muome,base,base,muome,veter,muoter,œ-heim,vater,base,vater,veter,œ-heim,base,veter,œ-heim,muome,base,œ-heim,œ-heim,œ-heim,muome,veter,veter,veter
8,0.23553421378784023,1.5267229595963094,1.2911887458084692,muomen-kint,muomen-kint,muomen-kint,basenkint,veter-sun,bruoder,bruoder,basenkint,basenkint,basenkint,basenkint,veter-sun,suster,bruoder,suster,muomen-kint,bruoder,basenkint,muomen-kint,muomen-kint,suster,muomen-kint,basenkint,basenkint,veter-sun,veter-sun,veter-sun,muomen-kint,basenkint,muomen-kint,veter-sun,basenkint,muomen-kint,veter-sun,basenkint,muomen-kint,veter-sun,basenkint,muomen-kint,muomen-kint,basenkint,basenkint,basenkint,muomen-kint,suster,basenkint,muomen-kint,muomen-kint,bruoder,basenkint,veter-sun,veter-sun,bruoder,suster,muomen-kint,basenkint,muomen-kint,muomen-kint,basenkint,suster,basenkint,base,muome,muome,base,veter,veter,muoter,œ-heim,muome,œ-heim,œ-heim,muome,œ-heim,muoter,muome,veter,base,base,vater,veter,base,veter,œ-heim,œ-heim,vater,base,muome,veter
9,0.16991756584860052,1.7051823350665503,1.5352647692179497,basenkint,veter-sun,basenkint,muomen-kint,muomen-kint,veter-sun,basenkint,basenkint,veter-sun,basenkint,bruoder,bruoder,suster,muomen-kint,basenkint,muomen-kint,basenkint,basenkint,suster,basenkint,muomen-kint,suster,muomen-kint,veter-sun,basenkint,muomen-kint,veter-sun,veter-sun,basenkint,muomen-kint,muomen-kint,veter-sun,muomen-kint,basenkint,suster,muomen-kint,muomen-kint,basenkint,muomen-kint,veter-sun,muomen-kint,veter-sun,basenkint,suster,veter-sun,suster,bruoder,muomen-kint,muomen-kint,bruoder,muomen-kint,basenkint,basenkint,bruoder,basenkint,bruoder,basenkint,basenkint,muomen-kint,muomen-kint,basenkint,base,base,œ-heim,vater,muome,veter,muoter,œ-heim,base,veter,muome,veter,muome,œ-heim,muoter,muome,veter,muome,veter,œ-heim,base,vater,œ-heim,muome,base,œ-heim,veter,base
