simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.17105837354188735,1.3595631688377654,1.188504795295878,!kun!a,,tsin,,,,tuma,!ko,,!kwi,,!kuma,,,,,tuma,,,,tun,,,,,,,!ko,,,,,,,,,,,!kuma,tuma,,,,tsin,,!kuma,,tun,,,,,!kun!a,,,,,,,,!o,!wi ,!kun!a,tsin,tun,,,,!kun!a,,!o,,,!kuma,,,,,,tun,tuma,,,,,,!wi ,,tsin,!kwi,ba,,,,tsu ,,tae,tsu ,ba,tsu,,,,,,gllaa ,,gllaa ,gllaa ,gllaa ,,,,,tsu,,,tae
1,0.2310678311661083,1.2762881260891508,1.0452202949230425,tun,,,!o,,!kun!a,,,,,,,,,,,,!kwi,,,tsin,tuma,tuma,,,,,,,,,,,,,,!kun!a,,,,!kuma,,,!kuma,,,,!wi ,!kun!a,!o,,,tun,,tun,,,!wi ,,!kwi,,!kuma,,tsin,tuma,,,,,,tsin,!kuma,,,!ko,tuma,,,tsin,,,,,,tun,,!ko,!kun!a,,,,gllaa ,gllaa ,,,,tsu ,,,tae,ba,,,,,,gllaa ,gllaa ,,ba,,tsu,tsu ,tsu,,,tae,
2,0.2630656150566313,1.422103322251221,1.1590377071945897,!kwi,,tun,,,,tuma,,tsin,!o,tuma,!kun!a,,!kuma,,,,!kuma,,!wi ,,,,,,,!kun!a,,!ko,tun,!wi ,,,,,!kwi,,,,,,tuma,,,tuma,,tun,,,,,!kuma,!kun!a,!o,,!kun!a,,,tsin,,,,,,,,tsin,!ko,!kuma,,,,,,,tsin,,,,tun,,,,,,,,,,,,tae,,tsu,,tae,tsu,gllaa ,,,,,gllaa ,,,,gllaa ,,gllaa ,ba,,,,ba,tsu ,,tsu ,
3,0.22975847419288242,1.3522316720567835,1.122473197863901,,,,!o,,!kun!a,tun,,,,,,,,!kwi,,,!ko,,,,,,,,,,,,,,,tuma,,,!kun!a,tun,,tun,tsin,tuma,,,!wi ,,!kun!a,,tsin,!ko,,,,,tun,tsin,!kuma,,,,,,!kuma,,,,!wi ,,,!kwi,,,,!kuma,tsin,,,!o,,,,,,!kuma,!kun!a,,tuma,,,tuma,,,gllaa ,,,,ba,tae,,,,tsu ,,gllaa ,,,gllaa ,tae,,,tsu ,tsu,,,gllaa ,,tsu,,ba
4,0.1728391613526008,1.319461970320374,1.1466228089677732,,,,,!kuma,,,,tun,!wi ,,,,,,,,,,,,!kun!a,,,,!ko,,,,tsin,,tsin,,,,,,!ko,,!kwi,,tun,,!kun!a,!kun!a,,,,!kuma,!wi ,!kun!a,tun,!o,,,,tun,,!kwi,,,,,,,!o,tsin,,tuma,,!kuma,tuma,,,,,,tuma,,,,,,tuma,,,,,!kuma,tsin,tsu,,tae,,gllaa ,,,,tsu,,gllaa ,,,gllaa ,ba,tae,,,,,tsu ,,tsu ,,gllaa ,,,ba
5,0.22033485363315153,1.4194000404707794,1.1990651868376279,!kwi,!wi ,tsin,,,,!kuma,,!kun!a,tuma,,,,!kuma,,,,,!kuma,,tun,,,,,,!kun!a,,tsin,,tun,,,,tsin,,!o,!wi ,,,,,,!kun!a,,,,!kwi,,,tsin,,,tuma,!kun!a,,,,tuma,,!o,,,!ko,tun,,,,,,,,,,!kuma,,,,,,,tun,,tuma,,,!ko,,,,,tae,tsu ,tsu,,,gllaa ,gllaa ,,,,,,,ba,gllaa ,gllaa ,,tae,,tsu ,,ba,,,,tsu,
6,0.24911031251188342,1.3710588568874031,1.1219485443755197,,tuma,,,tuma,,,tun,!o,,,,!kwi,,!kuma,tsin,!kuma,tuma,!kun!a,!wi ,,,tsin,,!kwi,,,,,,,,!kuma,!ko,,!ko,,,!kun!a,,,,,,,,,!wi ,,,,!kun!a,,!o,,,,,,tsin,,tun,,!kun!a,,,,,,,tun,,tuma,,,,,,!kuma,,,,,tsin,,,,,,tun,,tsu ,gllaa ,tsu ,,,,gllaa ,,,,,,,tae,,ba,,,tsu,,ba,gllaa ,gllaa ,,tsu,tae,
7,0.26194293467913576,1.3721197917393129,1.110176857060177,,!kuma,,,tsin,,,!kuma,,,tsin,!wi ,,,,,,,!ko,,,,,,,!kuma,,tun,,tuma,,,,tuma,,,!kwi,,!ko,,,tuma,!kun!a,,,tun,,,,!kun!a,!wi ,!kun!a,,,,,,!o,,tun,,,!o,,tsin,tun,,,tuma,,,tsin,!kuma,,,,,,,,,!kwi,,,,,,,,!kun!a,tsu,,,tsu ,ba,,,,,gllaa ,,tsu ,,,,tsu,,,tae,,tae,,ba,gllaa ,gllaa ,,gllaa ,
8,0.2527318599680899,1.3861783354084927,1.1334464754404028,!o,,,,tsin,,,!kwi,,tuma,,tun,,!kun!a,,!kun!a,,,!wi ,,,,,tuma,,,,tun,,!kuma,,,,tun,,tun,!kwi,,,,!kuma,,,tsin,,,,,,,,!kun!a,,,,,,!o,,,,!kuma,,,!kuma,,,,,,,tuma,!ko,,!kun!a,,,tsin,,,tuma,,,!ko,,,,!wi ,tsin,,tsu ,,,,ba,,tae,,,,tae,tsu,,,,gllaa ,tsu,,gllaa ,gllaa ,gllaa ,,,,ba,,,tsu 
9,0.18630903785012554,1.293401292183382,1.1070922543332564,,,,tun,,,tun,,,,!wi ,tsin,tsin,!kuma,!kwi,,,,,!kun!a,!kuma,tuma,!kwi,!ko,,,,!kun!a,!ko,,,tsin,tuma,tuma,,,,!kun!a,,,,,,,,,,,,,,,,,,,tun,!o,,,,tsin,,!kuma,,,!wi ,tuma,,,,,!kun!a,,,,tun,,,,,!kuma,,,,,!o,,,,tsu,gllaa ,,,gllaa ,,,tsu ,tsu,gllaa ,,,,tae,,,,gllaa ,,,,,tsu ,,tae,ba,,ba
