simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.6829081047004719,1.376055285260417,0.6931471805599452,tehina,"tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a",tehina,"tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine",tau tuagane,tau tuagane,"tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine",tau tuagane,tao-kete,"tau ta'a, tau tuagane, tua-fafine",tehina,"tau ta'a, tau tuagane, tua-fafine",tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina",tao-kete,tehina,"tau ta'a, tau tuagane, tua-fafine",tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine",tehina,tau tuagane,"tau ta'a, tehina","tao-kete, tau ta'a",tau tuagane,tau tuagane,"tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine",tao-kete,tao-kete,"tao-kete, tau ta'a",tau tuagane,"matua, tama-i",mahiki-tanga,fae,fae tangata,mahiki-tanga,"matua, tama-i","matua, tama-i","fae, matua","matua, tama-i","matua, tama-i",fae tangata,fae tangata,mahiki-tanga,fae tangata,fae,fae,fae,mahiki-tanga,"fae, matua","matua, tama-i"
1,0.20505815914420444,1.034601232910181,0.8295430737659766,tau tuagane,tau tuagane,tehina,tau tuagane,"tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine",tehina,"tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina","tao-kete, tau ta'a",tau tuagane,"tau ta'a, tau tuagane, tua-fafine",tau tuagane,"tau ta'a, tau tuagane, tua-fafine",tehina,tehina,tau tuagane,"tau ta'a, tehina",tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine",tehina,tao-kete,"tau ta'a, tehina",tau tuagane,tao-kete,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine",tao-kete,"tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a",tau tuagane,tao-kete,"tao-kete, tau ta'a",mahiki-tanga,fae,mahiki-tanga,"matua, tama-i","matua, tama-i",fae tangata,"fae, matua","matua, tama-i",fae tangata,fae tangata,fae,fae,"fae, matua",fae,mahiki-tanga,"matua, tama-i",mahiki-tanga,"matua, tama-i",fae tangata,"matua, tama-i"
2,0.242433026555958,1.034601232910181,0.792168206354223,tao-kete,tau tuagane,"tau ta'a, tau tuagane, tua-fafine",tehina,"tau ta'a, tehina",tau tuagane,"tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine",tao-kete,tehina,"tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a",tau tuagane,tau tuagane,"tao-kete, tau ta'a",tau tuagane,tau tuagane,"tau ta'a, tau tuagane, tua-fafine",tau tuagane,tehina,tehina,tao-kete,"tau ta'a, tehina",tehina,tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine",tau tuagane,"tau ta'a, tehina",tao-kete,"tao-kete, tau ta'a","tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine","matua, tama-i",mahiki-tanga,"matua, tama-i",fae,"fae, matua",fae,fae tangata,fae tangata,fae tangata,fae tangata,mahiki-tanga,mahiki-tanga,mahiki-tanga,"fae, matua","matua, tama-i",fae,"matua, tama-i",fae,"matua, tama-i","matua, tama-i"
3,0.4848660531119159,0.9799711820833054,0.4951051289713895,"tao-kete, tau ta'a","tau ta'a, tehina","tau ta'a, tehina",tao-kete,"tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine",tao-kete,tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine",tehina,tau tuagane,"tao-kete, tau ta'a",tehina,"tau ta'a, tau tuagane, tua-fafine",tehina,"tao-kete, tau ta'a",tau tuagane,tau tuagane,"tao-kete, tau ta'a","tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine",tau tuagane,tau tuagane,tao-kete,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine",tau tuagane,tau tuagane,tao-kete,"tau ta'a, tau tuagane, tua-fafine",tehina,"tau ta'a, tau tuagane, tua-fafine",tehina,"tau ta'a, tau tuagane, tua-fafine",tau tuagane,"tau ta'a, tehina",fae,"matua, tama-i",fae tangata,fae tangata,"fae, matua","matua, tama-i","matua, tama-i",fae tangata,mahiki-tanga,mahiki-tanga,mahiki-tanga,fae,"fae, matua","matua, tama-i","matua, tama-i",fae,fae,fae tangata,mahiki-tanga,"matua, tama-i"
4,0.20505815914420455,1.034601232910181,0.8295430737659765,"tau ta'a, tehina","tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina",tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine",tehina,tao-kete,tau tuagane,tehina,tehina,tau tuagane,"tao-kete, tau ta'a",tao-kete,tau tuagane,tau tuagane,tau tuagane,"tau ta'a, tehina",tao-kete,"tao-kete, tau ta'a",tehina,"tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine",tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a",tau tuagane,tau tuagane,tao-kete,"tau ta'a, tau tuagane, tua-fafine",tehina,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina","fae, matua",fae tangata,fae tangata,"matua, tama-i",fae,"matua, tama-i","matua, tama-i",mahiki-tanga,"matua, tama-i",mahiki-tanga,"matua, tama-i",mahiki-tanga,fae,"fae, matua",fae tangata,fae,mahiki-tanga,"matua, tama-i",fae tangata,fae
5,0.20505815914420467,1.0346012329101812,0.8295430737659766,"tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina","tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine",tao-kete,tao-kete,tao-kete,tau tuagane,"tao-kete, tau ta'a",tau tuagane,tau tuagane,tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a",tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina",tau tuagane,"tau ta'a, tehina",tau tuagane,tau tuagane,"tau ta'a, tau tuagane, tua-fafine",tehina,tehina,"tau ta'a, tau tuagane, tua-fafine",tau tuagane,tehina,tao-kete,tehina,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina",tehina,"tau ta'a, tau tuagane, tua-fafine","matua, tama-i",fae,fae,mahiki-tanga,mahiki-tanga,fae tangata,fae,fae tangata,mahiki-tanga,fae tangata,"fae, matua",fae tangata,"matua, tama-i","matua, tama-i",fae,"matua, tama-i",mahiki-tanga,"matua, tama-i","fae, matua","matua, tama-i"
6,0.48486605311191594,0.9799711820833054,0.4951051289713894,tehina,"tau ta'a, tehina",tau tuagane,"tao-kete, tau ta'a",tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a",tehina,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine",tau tuagane,tehina,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina","tao-kete, tau ta'a",tau tuagane,"tau ta'a, tau tuagane, tua-fafine",tehina,tao-kete,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine",tau tuagane,tao-kete,tehina,tau tuagane,"tau ta'a, tehina","tau ta'a, tehina",tao-kete,"tau ta'a, tau tuagane, tua-fafine",tau tuagane,tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a","tau ta'a, tehina",tao-kete,tau tuagane,"tao-kete, tau ta'a","matua, tama-i","fae, matua",fae tangata,fae tangata,fae tangata,"matua, tama-i",fae,"matua, tama-i",mahiki-tanga,mahiki-tanga,"matua, tama-i","matua, tama-i",mahiki-tanga,fae,fae tangata,fae,fae,"matua, tama-i",mahiki-tanga,"fae, matua"
7,0.34145405235023607,1.0346012329101812,0.6931471805599452,"tao-kete, tau ta'a","tau ta'a, tehina","tau ta'a, tehina",tau tuagane,tau tuagane,"tau ta'a, tau tuagane, tua-fafine",tehina,tao-kete,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine",tehina,"tao-kete, tau ta'a","tau ta'a, tehina","tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine",tehina,tau tuagane,tao-kete,"tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine",tehina,tau tuagane,"tao-kete, tau ta'a",tau tuagane,tao-kete,tao-kete,tau tuagane,tau tuagane,"tau ta'a, tau tuagane, tua-fafine",tehina,"tao-kete, tau ta'a",tau tuagane,"tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine",tau tuagane,fae tangata,"matua, tama-i",fae tangata,"fae, matua","matua, tama-i",mahiki-tanga,"matua, tama-i","matua, tama-i",fae tangata,fae,fae,mahiki-tanga,fae tangata,"matua, tama-i","fae, matua","matua, tama-i",mahiki-tanga,fae,mahiki-tanga,fae
8,0.484866053111916,1.3760552852604169,0.8911892321485009,tao-kete,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina","tao-kete, tau ta'a",tau tuagane,tau tuagane,"tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine",tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina",tao-kete,tehina,"tao-kete, tau ta'a","tao-kete, tau ta'a",tau tuagane,"tau ta'a, tau tuagane, tua-fafine",tao-kete,"tao-kete, tau ta'a","tao-kete, tau ta'a",tehina,tau tuagane,"tau ta'a, tau tuagane, tua-fafine",tehina,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine",tau tuagane,"tau ta'a, tehina","tau ta'a, tau tuagane, tua-fafine",tehina,tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina",tao-kete,"tau ta'a, tau tuagane, tua-fafine",tau tuagane,tau tuagane,tehina,fae tangata,"fae, matua",mahiki-tanga,fae,mahiki-tanga,mahiki-tanga,"matua, tama-i","matua, tama-i",fae tangata,"matua, tama-i",fae tangata,"matua, tama-i",fae,fae,"matua, tama-i","fae, matua",mahiki-tanga,fae tangata,fae,"matua, tama-i"
9,0.20505815914420467,1.034601232910181,0.8295430737659764,tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a","tao-kete, tau ta'a","tau ta'a, tehina",tao-kete,"tao-kete, tau ta'a",tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina","tau ta'a, tehina",tehina,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tau tuagane, tua-fafine",tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tao-kete, tau ta'a",tau tuagane,tau tuagane,"tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina",tau tuagane,tehina,tau tuagane,tau tuagane,tehina,"tau ta'a, tau tuagane, tua-fafine",tau tuagane,tao-kete,tao-kete,"tau ta'a, tau tuagane, tua-fafine",tao-kete,tehina,"tao-kete, tau ta'a","tau ta'a, tau tuagane, tua-fafine","tau ta'a, tehina",tehina,mahiki-tanga,fae tangata,fae tangata,fae,"fae, matua",fae,fae,"fae, matua","matua, tama-i","matua, tama-i",mahiki-tanga,"matua, tama-i",fae,"matua, tama-i",fae tangata,mahiki-tanga,"matua, tama-i",mahiki-tanga,"matua, tama-i",fae tangata
