simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFBS,mFZS,mMBS,mMZS,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,feB,fyB,feZ,fyZ,fFBS,fFZS,fMBS,fMZS,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFeBD,fFeZD,fFyZD,fMeBD,fMyBD,fMeZD,fMyZD,mFB,mFZ,mFeB,mFyB,mFeZ,mFyZ,fFB,fFZ,fFeB,fFyB,fFeZ,fFyZ,mF,mM,fF,fM
0,0.05490466938582528,0.9130285508340013,0.858123881448176,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wangban,ter u tamen,ter u tamen,ter u tamen,ngo,ngo,ngo,ngo,ter u tamen,ngo,ter,ter u tamen,ngo,ter u tamen,ngo,ter,ngo
1,0.08003993145853228,1.0457596493819676,0.9657197179234354,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wangban,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,ter u tamen,ter u tamen,ngo,ngo,ngo,ter u tamen,ter,ter,ter u tamen,ngo,ter u tamen,ngo,ter u tamen,ngo,ngo,ngo
2,0.10823547604765493,0.897044588943255,0.7888091128956001,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wangban u kiriki,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wangban,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,ngo,ngo,ngo,ter u tamen,ngo,ter u tamen,ter u tamen,ngo,ngo,ter,ngo,ter u tamen,ter u tamen,ngo,ter,ter u tamen
3,0.12124705742708908,0.9844658224486912,0.8632187650216021,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wangban,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wangban,wanngo,wangban u vesen,ngo,ngo,ter,ngo,ter u tamen,ter u tamen,ngo,ter,ngo,ngo,ter u tamen,ter u tamen,ter u tamen,ter u tamen,ngo,ngo
4,0.12449578104591319,0.9098466172053181,0.7853508361594049,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,ngo,ter u tamen,ngo,ngo,ngo,ter u tamen,ter u tamen,ngo,ter u tamen,ter,ngo,ngo,ngo,ter u tamen,ter,ter u tamen
5,0.0827256368455137,0.959109890063027,0.8763842532175133,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,ter u tamen,ter u tamen,ngo,ngo,ter u tamen,ter,ngo,ngo,ngo,ngo,ter u tamen,ter u tamen,ngo,ter u tamen,ter,ngo
6,0.16257141643496098,0.9387548872637546,0.7761834708287936,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wangban,wangban u vesen,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wangban u vesen,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,ter u tamen,ter u tamen,ter u tamen,ter u tamen,ter,ter,ngo,ter u tamen,ngo,ngo,ngo,ngo,ngo,ngo,ngo,ter u tamen
7,0.16686800509785427,0.982715789841495,0.8158477847436407,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wangban,wanngo,wanngo,wangban u vesen,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,ngo,ter u tamen,ngo,ngo,ter u tamen,ter,ter u tamen,ter u tamen,ngo,ngo,ngo,ngo,ter,ngo,ter u tamen,ter u tamen
8,0.09693090476742805,0.9391723463378028,0.8422414415703747,wangban,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,ter u tamen,ngo,ter u tamen,ngo,ter u tamen,ngo,ngo,ter u tamen,ngo,ter u tamen,ter u tamen,ter,ngo,ngo,ngo,ter
9,0.17235832435798815,0.9372606504622131,0.7649023261042249,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wangban u kiriki,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban,wanngo,ngo,ter u tamen,ngo,ter u tamen,ter u tamen,ter u tamen,ngo,ngo,ngo,ter u tamen,ter,ter u tamen,ter,ngo,ngo,ngo
