simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.24243302655595822,1.0346012329101812,0.792168206354223,opyei,plapyei,wei,wei,opyei,plapyei,myei,"plai, plaibu",ite,yei,"plai, plaibu",melibu,"plai, plaibu",melibu,ite,pwei,"plai, plaibu","plai, plaibu","plai, plaibu",melibu,melibu,melibu,"plai, plaibu","plai, plaibu",melibu,melibu,melibu
1,0.0887819499348046,1.0789922078775833,0.9902102579427787,plapyei,myei,opyei,opyei,wei,plapyei,wei,"plai, plaibu","plai, plaibu",yei,melibu,melibu,melibu,melibu,"plai, plaibu","plai, plaibu",pwei,ite,melibu,"plai, plaibu",ite,melibu,melibu,"plai, plaibu",melibu,"plai, plaibu","plai, plaibu"
2,0.2868240015233603,1.3760552852604169,1.0892312837370566,myei,wei,opyei,plapyei,opyei,wei,plapyei,pwei,melibu,"plai, plaibu",ite,melibu,"plai, plaibu",melibu,melibu,melibu,"plai, plaibu",melibu,"plai, plaibu","plai, plaibu",melibu,"plai, plaibu",yei,melibu,"plai, plaibu",ite,"plai, plaibu"
3,0.4848660531119159,0.6829081047004717,0.19804205158855578,wei,plapyei,opyei,plapyei,wei,opyei,myei,"plai, plaibu","plai, plaibu",melibu,melibu,yei,melibu,ite,melibu,"plai, plaibu","plai, plaibu",melibu,pwei,melibu,melibu,"plai, plaibu",melibu,"plai, plaibu","plai, plaibu","plai, plaibu",ite
4,0.484866053111916,0.9799711820833055,0.4951051289713895,opyei,wei,plapyei,opyei,plapyei,wei,myei,ite,melibu,"plai, plaibu","plai, plaibu","plai, plaibu",yei,"plai, plaibu",melibu,pwei,melibu,"plai, plaibu","plai, plaibu",melibu,"plai, plaibu",melibu,melibu,melibu,"plai, plaibu",melibu,ite
5,0.017247010260572293,0.5982695885852573,0.581022578324685,wei,myei,wei,plapyei,opyei,opyei,plapyei,"plai, plaibu","plai, plaibu",melibu,"plai, plaibu",melibu,"plai, plaibu",ite,melibu,ite,"plai, plaibu",melibu,"plai, plaibu",melibu,melibu,melibu,melibu,"plai, plaibu",pwei,"plai, plaibu",yei
6,0.484866053111916,1.0789922078775833,0.5941261547656673,opyei,myei,wei,opyei,wei,plapyei,plapyei,melibu,melibu,yei,pwei,"plai, plaibu",melibu,"plai, plaibu",ite,melibu,melibu,"plai, plaibu","plai, plaibu","plai, plaibu",melibu,melibu,ite,"plai, plaibu",melibu,"plai, plaibu","plai, plaibu"
7,0.6829081047004719,1.376055285260417,0.6931471805599452,opyei,wei,plapyei,myei,opyei,plapyei,wei,"plai, plaibu",pwei,melibu,yei,"plai, plaibu",ite,melibu,"plai, plaibu",melibu,"plai, plaibu",melibu,melibu,"plai, plaibu","plai, plaibu",melibu,melibu,"plai, plaibu","plai, plaibu",ite,melibu
8,0.14341200076168037,1.0346012329101812,0.8911892321485009,wei,plapyei,plapyei,myei,opyei,wei,opyei,ite,"plai, plaibu",melibu,ite,melibu,melibu,"plai, plaibu","plai, plaibu",melibu,yei,melibu,melibu,pwei,"plai, plaibu","plai, plaibu","plai, plaibu","plai, plaibu","plai, plaibu",melibu,melibu
9,0.34145405235023585,1.034601232910181,0.6931471805599452,opyei,wei,plapyei,myei,opyei,wei,plapyei,melibu,yei,ite,melibu,melibu,melibu,melibu,"plai, plaibu","plai, plaibu",melibu,"plai, plaibu","plai, plaibu","plai, plaibu","plai, plaibu",pwei,melibu,melibu,"plai, plaibu","plai, plaibu",ite
