simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,feB,fyB,feZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,myZ,fyZ,mF,mM,mFB,mMB,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fMB,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB,mFZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ,mMZ,fMZ
0,0.3450605897624146,1.8926640136363437,1.5476034238739291,madama,ba:ven,ba:ven,madama,ba:ven,madama,madama,ba:ven,madama,madama,madama,aṇṇë,madama,ba:ven,akkē,ba:ven,tammaṇë,ba:ven,tammaṇë,madama,madama,taṅge,madama,aṇṇë,ho:darën,ba:ven,ba:ven,madama,ba:ven,ba:ven,ba:ven,taṅge,ba:ven,madama,ba:ven,ba:ven,ba:ven,madama,madama,madama,madama,ba:ven,ba:ven,madama,akkē,madama,ba:ven,madama,ba:ven,avvë,bo:javvën,avvë,ayyë,tamma:vën,bo:javvën,appë,appë,tamma:vi,kuññappën,ayyë,tamma:vi,avvë,balliyappë,tamma:vi,balliyappë,tamma:vën,tamma:vën,tamma:vi,tamma:vën,tamma:vën,avvë,tamma:vi,tamma:vi,tamma:vën,balliyavvë,kuññappën,balliyavvë
1,0.31977161824055833,1.8332329443029451,1.5134613260623868,ba:ven,madama,madama,taṅge,ba:ven,madama,taṅge,tammaṇë,madama,madama,madama,akkē,akkē,madama,ba:ven,madama,ba:ven,madama,aṇṇë,aṇṇë,madama,ba:ven,ba:ven,ba:ven,madama,tammaṇë,madama,madama,ba:ven,ba:ven,madama,ba:ven,ba:ven,ba:ven,ba:ven,ho:darën,ba:ven,ba:ven,ba:ven,madama,madama,ba:ven,madama,madama,ba:ven,ba:ven,madama,madama,ba:ven,avvë,avvë,tamma:vën,tamma:vën,avvë,tamma:vi,bo:javvën,kuññappën,tamma:vi,balliyappë,ayyë,tamma:vën,balliyavvë,avvë,bo:javvën,tamma:vën,tamma:vi,tamma:vën,tamma:vën,appë,tamma:vi,appë,kuññappën,tamma:vi,balliyavvë,tamma:vi,balliyappë,ayyë
2,0.36537412837362426,1.918526864445895,1.5531527360722708,aṇṇë,ba:ven,madama,akkē,ba:ven,ba:ven,taṅge,ba:ven,ba:ven,ba:ven,madama,madama,ba:ven,akkē,madama,madama,madama,madama,madama,ba:ven,ho:darën,ba:ven,madama,madama,madama,ba:ven,ba:ven,ba:ven,madama,madama,madama,madama,ba:ven,madama,madama,ba:ven,ba:ven,aṇṇë,ba:ven,madama,ba:ven,tammaṇë,ba:ven,ba:ven,ba:ven,madama,taṅge,madama,tammaṇë,tamma:vi,tamma:vi,tamma:vi,avvë,tamma:vi,tamma:vën,tamma:vi,ayyë,appë,avvë,kuññappën,tamma:vën,balliyappë,ayyë,balliyappë,balliyavvë,bo:javvën,kuññappën,avvë,tamma:vën,tamma:vën,tamma:vën,appë,bo:javvën,balliyavvë,tamma:vën,avvë,tamma:vi
3,0.3240263708144657,1.8647993586372413,1.5407729878227756,ba:ven,madama,ba:ven,taṅge,ba:ven,ba:ven,ba:ven,akkē,aṇṇë,madama,madama,madama,madama,ba:ven,ba:ven,tammaṇë,akkē,madama,madama,tammaṇë,ba:ven,madama,ba:ven,madama,ba:ven,madama,ba:ven,ba:ven,ba:ven,madama,ba:ven,madama,ba:ven,aṇṇë,madama,madama,ho:darën,ba:ven,madama,madama,ba:ven,madama,madama,madama,madama,ba:ven,ba:ven,taṅge,ba:ven,avvë,tamma:vi,bo:javvën,balliyavvë,tamma:vën,bo:javvën,tamma:vën,tamma:vi,appë,tamma:vën,appë,tamma:vën,ayyë,tamma:vi,tamma:vën,tamma:vi,avvë,avvë,tamma:vi,balliyavvë,balliyappë,avvë,kuññappën,tamma:vi,balliyappë,kuññappën,ayyë,tamma:vën
4,0.24862092535546032,1.6160726407538097,1.3674517153983494,madama,madama,ba:ven,ho:darën,madama,madama,madama,madama,ba:ven,ba:ven,madama,ba:ven,taṅge,ba:ven,tammaṇë,madama,ba:ven,ba:ven,ba:ven,ba:ven,madama,madama,tammaṇë,madama,akkē,ba:ven,madama,taṅge,ba:ven,madama,ba:ven,aṇṇë,ba:ven,madama,ba:ven,madama,madama,ba:ven,ba:ven,madama,ba:ven,ba:ven,madama,akkē,ba:ven,madama,madama,aṇṇë,ba:ven,tamma:vi,tamma:vën,kuññappën,tamma:vi,ayyë,balliyappë,avvë,bo:javvën,appë,tamma:vën,appë,tamma:vën,kuññappën,tamma:vi,avvë,tamma:vi,bo:javvën,balliyavvë,avvë,balliyappë,ayyë,balliyavvë,tamma:vi,tamma:vën,tamma:vën,tamma:vën,avvë,tamma:vi
5,0.40026003745503647,1.7909833928539076,1.3907233553988712,ba:ven,ba:ven,madama,ba:ven,ba:ven,ba:ven,madama,aṇṇë,madama,madama,aṇṇë,tammaṇë,ba:ven,ba:ven,madama,ba:ven,ba:ven,madama,tammaṇë,madama,madama,akkē,madama,ba:ven,ba:ven,ba:ven,madama,madama,taṅge,madama,ho:darën,ba:ven,ba:ven,madama,madama,taṅge,ba:ven,akkē,ba:ven,madama,madama,madama,madama,ba:ven,ba:ven,madama,madama,ba:ven,ba:ven,tamma:vën,tamma:vën,balliyavvë,bo:javvën,avvë,tamma:vi,tamma:vi,appë,tamma:vën,tamma:vi,balliyappë,avvë,kuññappën,bo:javvën,tamma:vi,balliyappë,ayyë,appë,balliyavvë,tamma:vi,tamma:vën,avvë,kuññappën,tamma:vën,tamma:vi,ayyë,tamma:vën,avvë
6,0.4508796547960241,1.827199296418523,1.376319641622499,ba:ven,ba:ven,ba:ven,madama,madama,tammaṇë,madama,madama,madama,madama,madama,taṅge,ba:ven,ba:ven,ba:ven,ba:ven,ba:ven,madama,ba:ven,ba:ven,madama,ba:ven,ba:ven,ba:ven,ba:ven,ba:ven,madama,madama,ba:ven,madama,aṇṇë,ba:ven,ho:darën,akkē,ba:ven,akkē,ba:ven,madama,tammaṇë,madama,madama,madama,madama,madama,ba:ven,madama,aṇṇë,madama,taṅge,tamma:vën,tamma:vën,tamma:vi,avvë,ayyë,tamma:vën,balliyavvë,bo:javvën,tamma:vi,balliyavvë,appë,tamma:vën,avvë,tamma:vën,balliyappë,tamma:vi,tamma:vën,balliyappë,ayyë,avvë,kuññappën,tamma:vi,tamma:vi,tamma:vi,bo:javvën,avvë,kuññappën,appë
7,0.36243650646413217,1.9931871537135417,1.6307506472494095,aṇṇë,taṅge,ba:ven,madama,ba:ven,ba:ven,madama,madama,madama,ba:ven,taṅge,madama,madama,madama,tammaṇë,madama,madama,madama,madama,ba:ven,ba:ven,ba:ven,ba:ven,madama,ba:ven,ba:ven,tammaṇë,madama,ba:ven,madama,akkē,madama,madama,ba:ven,ba:ven,madama,madama,madama,madama,ho:darën,ba:ven,ba:ven,ba:ven,ba:ven,ba:ven,ba:ven,aṇṇë,akkē,ba:ven,tamma:vi,kuññappën,bo:javvën,avvë,kuññappën,avvë,avvë,balliyavvë,appë,tamma:vën,balliyappë,appë,balliyavvë,tamma:vën,tamma:vi,tamma:vën,tamma:vën,balliyappë,tamma:vi,ayyë,bo:javvën,avvë,tamma:vën,ayyë,tamma:vi,tamma:vi,tamma:vi,tamma:vën
8,0.4113104762839255,1.8963874819203264,1.4850770056364009,madama,ba:ven,madama,madama,ba:ven,madama,ba:ven,madama,akkē,taṅge,taṅge,tammaṇë,ba:ven,madama,ba:ven,madama,ho:darën,ba:ven,aṇṇë,madama,akkē,madama,ba:ven,madama,ba:ven,madama,ba:ven,madama,madama,aṇṇë,madama,ba:ven,ba:ven,madama,madama,ba:ven,madama,ba:ven,tammaṇë,ba:ven,ba:ven,ba:ven,madama,madama,ba:ven,ba:ven,ba:ven,madama,ba:ven,avvë,balliyappë,bo:javvën,bo:javvën,tamma:vën,avvë,tamma:vi,kuññappën,tamma:vi,balliyappë,avvë,appë,ayyë,tamma:vën,ayyë,tamma:vi,balliyavvë,tamma:vi,tamma:vi,kuññappën,tamma:vën,balliyavvë,appë,tamma:vën,tamma:vën,tamma:vi,tamma:vën,avvë
9,0.3216206348896793,1.8748856022149218,1.5532649673252426,ba:ven,ba:ven,ba:ven,ba:ven,ba:ven,madama,taṅge,ba:ven,madama,ba:ven,madama,madama,tammaṇë,madama,ba:ven,ba:ven,madama,madama,madama,ba:ven,madama,madama,ba:ven,ho:darën,taṅge,ba:ven,madama,madama,ba:ven,madama,akkē,ba:ven,madama,ba:ven,madama,madama,ba:ven,madama,madama,ba:ven,madama,aṇṇë,ba:ven,madama,ba:ven,tammaṇë,ba:ven,aṇṇë,akkē,appë,tamma:vi,avvë,kuññappën,balliyavvë,bo:javvën,bo:javvën,appë,tamma:vi,tamma:vën,tamma:vi,balliyappë,avvë,tamma:vi,balliyappë,ayyë,tamma:vën,tamma:vi,balliyavvë,avvë,avvë,kuññappën,tamma:vi,tamma:vën,tamma:vën,ayyë,tamma:vën,tamma:vën
