simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1885572999164271,1.5439177339394354,1.3553604340230083,moorkono,marrka,nyupa,yulpuRu,marrka,yulpuRu,nyupa,yulpuRu,nyupa,nyupa,nyupa,nyupa,nyupa,yulpuRu,nyupa,yulpuRu,nyupa,yulpuRu,yulpuRu,yulpuRu,nyupa,marrka,yulpuRu,nyupa,nyupa,yulpuRu,marrka,yulpuRu,nyupa,yulpuRu,nyupa,kurta,nyupa,yulpuRu,yulpuRu,nyupa,yulpuRu,yulpuRu,moorkono,yulpuRu,nyupa,yulpuRu,yulpuRu,nyupa,nyupa,nyupa,yulpuRu,miTaRi,ngurdy,ngaTi,miTaRi,mama,mama,mama,mamma,mama,miTaRi,kaNa,mamma,miTaRi,mama,kaNa,miTaRi,miTaRi,ngaTi,ngurdy,kaNa,kaNa,kaNa,ngaTi,mama,ngaTi,ngaTi,kaNa,ngaTi
1,0.24188901428734555,1.4978906501765017,1.2560016358891561,yulpuRu,moorkono,nyupa,nyupa,yulpuRu,yulpuRu,nyupa,nyupa,nyupa,yulpuRu,yulpuRu,yulpuRu,nyupa,yulpuRu,nyupa,nyupa,nyupa,yulpuRu,moorkono,nyupa,yulpuRu,yulpuRu,nyupa,marrka,nyupa,yulpuRu,yulpuRu,yulpuRu,yulpuRu,nyupa,yulpuRu,nyupa,nyupa,nyupa,yulpuRu,yulpuRu,yulpuRu,kurta,nyupa,nyupa,marrka,yulpuRu,nyupa,yulpuRu,marrka,marrka,nyupa,kaNa,miTaRi,mama,miTaRi,ngaTi,kaNa,miTaRi,miTaRi,kaNa,ngaTi,ngurdy,kaNa,kaNa,mama,miTaRi,miTaRi,ngaTi,ngaTi,mama,ngaTi,mamma,mama,mama,kaNa,ngurdy,mama,mamma,ngaTi
2,0.2670898386222551,1.479258303863224,1.212168465240969,yulpuRu,nyupa,moorkono,nyupa,yulpuRu,nyupa,nyupa,nyupa,nyupa,yulpuRu,marrka,marrka,moorkono,nyupa,nyupa,yulpuRu,nyupa,nyupa,nyupa,yulpuRu,yulpuRu,nyupa,yulpuRu,nyupa,nyupa,yulpuRu,yulpuRu,nyupa,yulpuRu,yulpuRu,nyupa,yulpuRu,yulpuRu,yulpuRu,yulpuRu,marrka,yulpuRu,kurta,nyupa,marrka,yulpuRu,nyupa,nyupa,yulpuRu,yulpuRu,yulpuRu,nyupa,miTaRi,mama,kaNa,mama,kaNa,miTaRi,ngaTi,ngaTi,mama,mamma,miTaRi,kaNa,kaNa,mama,ngaTi,miTaRi,mama,kaNa,kaNa,ngurdy,ngaTi,mamma,ngaTi,miTaRi,ngurdy,mama,ngaTi,miTaRi
3,0.11333754867055434,1.6166021152340404,1.503264566563486,nyupa,yulpuRu,yulpuRu,yulpuRu,marrka,nyupa,yulpuRu,nyupa,yulpuRu,yulpuRu,marrka,yulpuRu,yulpuRu,yulpuRu,yulpuRu,nyupa,nyupa,yulpuRu,moorkono,nyupa,nyupa,nyupa,yulpuRu,nyupa,nyupa,nyupa,yulpuRu,nyupa,marrka,yulpuRu,nyupa,nyupa,yulpuRu,yulpuRu,nyupa,nyupa,yulpuRu,nyupa,yulpuRu,kurta,yulpuRu,nyupa,nyupa,nyupa,moorkono,marrka,yulpuRu,ngaTi,mama,kaNa,ngurdy,mama,ngurdy,miTaRi,mama,kaNa,ngaTi,ngaTi,miTaRi,mamma,mama,ngaTi,ngaTi,kaNa,kaNa,mama,miTaRi,miTaRi,miTaRi,miTaRi,mama,kaNa,ngaTi,mamma,kaNa
4,0.26301224653756283,1.643892374611525,1.3808801280739622,nyupa,nyupa,nyupa,marrka,yulpuRu,yulpuRu,yulpuRu,nyupa,yulpuRu,marrka,nyupa,yulpuRu,yulpuRu,nyupa,yulpuRu,nyupa,yulpuRu,nyupa,marrka,nyupa,yulpuRu,nyupa,nyupa,nyupa,moorkono,nyupa,yulpuRu,yulpuRu,kurta,yulpuRu,yulpuRu,nyupa,nyupa,yulpuRu,yulpuRu,nyupa,marrka,yulpuRu,yulpuRu,nyupa,nyupa,yulpuRu,yulpuRu,nyupa,moorkono,yulpuRu,nyupa,ngurdy,miTaRi,kaNa,ngaTi,ngaTi,mamma,mama,miTaRi,kaNa,ngaTi,mama,miTaRi,miTaRi,kaNa,mama,mama,kaNa,mama,miTaRi,ngurdy,miTaRi,mama,mamma,kaNa,ngaTi,ngaTi,ngaTi,kaNa
5,0.21316701624608547,1.6210411498659245,1.407874133619839,yulpuRu,nyupa,yulpuRu,nyupa,nyupa,yulpuRu,nyupa,nyupa,yulpuRu,nyupa,marrka,nyupa,marrka,nyupa,nyupa,nyupa,yulpuRu,nyupa,nyupa,yulpuRu,nyupa,yulpuRu,marrka,yulpuRu,kurta,moorkono,yulpuRu,yulpuRu,yulpuRu,yulpuRu,nyupa,nyupa,nyupa,nyupa,yulpuRu,yulpuRu,yulpuRu,nyupa,yulpuRu,yulpuRu,marrka,yulpuRu,nyupa,yulpuRu,nyupa,moorkono,yulpuRu,kaNa,miTaRi,mama,mama,kaNa,kaNa,mama,miTaRi,kaNa,kaNa,miTaRi,ngurdy,mama,miTaRi,ngaTi,ngaTi,mamma,mamma,ngaTi,kaNa,ngaTi,miTaRi,ngaTi,ngaTi,miTaRi,mama,ngurdy,mama
6,0.19235699008303286,1.4640941987923306,1.2717372087092977,nyupa,yulpuRu,nyupa,yulpuRu,yulpuRu,yulpuRu,marrka,nyupa,moorkono,nyupa,marrka,nyupa,yulpuRu,nyupa,nyupa,yulpuRu,nyupa,yulpuRu,marrka,kurta,yulpuRu,yulpuRu,yulpuRu,nyupa,yulpuRu,yulpuRu,nyupa,yulpuRu,yulpuRu,nyupa,yulpuRu,marrka,nyupa,nyupa,yulpuRu,nyupa,nyupa,nyupa,yulpuRu,yulpuRu,yulpuRu,moorkono,nyupa,yulpuRu,nyupa,nyupa,nyupa,mama,kaNa,ngurdy,kaNa,miTaRi,ngaTi,ngaTi,mama,kaNa,miTaRi,mama,ngurdy,kaNa,kaNa,miTaRi,kaNa,ngaTi,mama,ngaTi,miTaRi,mamma,ngaTi,mamma,mama,miTaRi,mama,ngaTi,miTaRi
7,0.1875627744485,1.4890107770668328,1.3014480026183328,nyupa,yulpuRu,nyupa,nyupa,yulpuRu,nyupa,nyupa,nyupa,nyupa,marrka,marrka,nyupa,yulpuRu,yulpuRu,yulpuRu,yulpuRu,kurta,yulpuRu,yulpuRu,marrka,nyupa,nyupa,nyupa,nyupa,nyupa,nyupa,nyupa,marrka,yulpuRu,moorkono,nyupa,yulpuRu,moorkono,yulpuRu,nyupa,yulpuRu,yulpuRu,yulpuRu,nyupa,yulpuRu,nyupa,yulpuRu,yulpuRu,yulpuRu,yulpuRu,nyupa,yulpuRu,miTaRi,mama,mama,miTaRi,ngaTi,ngurdy,kaNa,mamma,ngaTi,miTaRi,mamma,miTaRi,kaNa,mama,ngaTi,kaNa,ngaTi,ngurdy,ngaTi,miTaRi,mama,miTaRi,kaNa,kaNa,mama,mama,kaNa,ngaTi
8,0.28183645265561363,1.7501572783825212,1.4683208257269076,yulpuRu,yulpuRu,yulpuRu,marrka,nyupa,marrka,yulpuRu,yulpuRu,nyupa,yulpuRu,yulpuRu,nyupa,nyupa,yulpuRu,marrka,moorkono,nyupa,nyupa,nyupa,marrka,yulpuRu,nyupa,kurta,yulpuRu,yulpuRu,nyupa,yulpuRu,yulpuRu,yulpuRu,nyupa,moorkono,yulpuRu,nyupa,nyupa,nyupa,yulpuRu,nyupa,nyupa,yulpuRu,yulpuRu,yulpuRu,nyupa,nyupa,nyupa,yulpuRu,nyupa,nyupa,mama,mama,kaNa,mamma,ngaTi,mama,ngaTi,kaNa,ngaTi,mama,ngaTi,ngaTi,kaNa,kaNa,miTaRi,kaNa,mamma,ngurdy,miTaRi,miTaRi,mama,miTaRi,ngaTi,ngurdy,kaNa,mama,miTaRi,miTaRi
9,0.3126339296437368,1.6647339203416405,1.3520999906979037,nyupa,nyupa,nyupa,kurta,yulpuRu,nyupa,yulpuRu,nyupa,yulpuRu,nyupa,nyupa,marrka,yulpuRu,yulpuRu,yulpuRu,yulpuRu,yulpuRu,moorkono,nyupa,nyupa,nyupa,nyupa,nyupa,nyupa,yulpuRu,yulpuRu,yulpuRu,nyupa,yulpuRu,marrka,yulpuRu,marrka,yulpuRu,nyupa,yulpuRu,yulpuRu,nyupa,nyupa,yulpuRu,yulpuRu,moorkono,nyupa,nyupa,nyupa,yulpuRu,marrka,yulpuRu,miTaRi,ngaTi,kaNa,ngaTi,kaNa,kaNa,kaNa,mama,kaNa,miTaRi,ngaTi,kaNa,mama,mama,mama,miTaRi,mama,ngaTi,mamma,miTaRi,ngaTi,mamma,ngaTi,miTaRi,miTaRi,ngurdy,ngurdy,mama
