simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mMBS,mMZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,mF,mM,mMeZ,mMyZ,mMeB,mMyB
0,0.3786072191527683,1.277034259466139,0.8984270403133707,maná,hamu,maná,itowoi,ohoti,itowoi,itowoi,maná,hamu,hamu,pian,ohoti,maná,maná,itowoi,hamu,hamu,itowoi,maná,hamu,maná,maná,maná,maná,hamu,maná,itowoi,itowoi,maná,hamu,itowoi,hamu,hamu,itowoi,itowoi,itowoi,itowoi,hamu,wiawod,wito,hamu
1,0.35903952807595096,1.289828289683683,0.930788761607732,hamu,maná,itowoi,maná,maná,maná,maná,maná,itowoi,itowoi,hamu,itowoi,itowoi,hamu,ohoti,maná,maná,hamu,itowoi,hamu,maná,hamu,hamu,pian,itowoi,hamu,maná,itowoi,itowoi,maná,itowoi,hamu,hamu,maná,ohoti,itowoi,hamu,wito,hamu,wiawod,itowoi
2,0.457943789014307,1.3194222729952845,0.8614784839809775,itowoi,hamu,maná,pian,itowoi,ohoti,itowoi,maná,itowoi,itowoi,maná,hamu,maná,hamu,hamu,hamu,maná,hamu,itowoi,itowoi,maná,itowoi,ohoti,hamu,maná,maná,maná,maná,maná,itowoi,hamu,hamu,itowoi,maná,hamu,wito,hamu,itowoi,hamu,itowoi,wiawod
3,0.23637175252747866,1.289828289683683,1.0534565371562044,maná,itowoi,maná,pian,hamu,itowoi,maná,itowoi,maná,maná,hamu,maná,hamu,itowoi,itowoi,hamu,hamu,hamu,hamu,itowoi,maná,maná,itowoi,maná,maná,itowoi,hamu,maná,ohoti,ohoti,itowoi,hamu,itowoi,maná,hamu,hamu,itowoi,itowoi,wiawod,hamu,wito
4,0.2410491575645779,1.289828289683683,1.0487791321191051,maná,ohoti,maná,hamu,hamu,itowoi,maná,maná,itowoi,itowoi,pian,maná,maná,hamu,itowoi,hamu,maná,hamu,hamu,itowoi,itowoi,itowoi,hamu,hamu,maná,hamu,itowoi,maná,itowoi,ohoti,maná,maná,maná,itowoi,hamu,itowoi,hamu,itowoi,wito,hamu,wiawod
5,0.2215720364868281,1.289828289683683,1.068256253196855,maná,itowoi,maná,maná,maná,hamu,maná,hamu,hamu,itowoi,pian,itowoi,hamu,maná,itowoi,maná,hamu,hamu,itowoi,maná,ohoti,itowoi,maná,ohoti,itowoi,itowoi,hamu,maná,hamu,maná,itowoi,hamu,hamu,maná,itowoi,hamu,itowoi,hamu,wito,wiawod,itowoi
6,0.35774895346848856,1.289828289683683,0.9320793362151945,itowoi,maná,maná,maná,ohoti,hamu,maná,maná,hamu,maná,maná,maná,maná,hamu,hamu,itowoi,hamu,maná,itowoi,maná,hamu,itowoi,hamu,ohoti,hamu,hamu,hamu,itowoi,maná,itowoi,itowoi,pian,itowoi,itowoi,itowoi,itowoi,hamu,itowoi,hamu,wiawod,wito
7,0.3946975098008816,1.3438103288219776,0.949112819021096,maná,itowoi,hamu,itowoi,itowoi,maná,maná,hamu,hamu,maná,maná,itowoi,maná,itowoi,hamu,hamu,itowoi,maná,itowoi,maná,maná,ohoti,pian,ohoti,maná,itowoi,hamu,itowoi,hamu,maná,maná,hamu,hamu,itowoi,hamu,hamu,wito,hamu,itowoi,wiawod,itowoi
8,0.44453066634988625,1.289828289683683,0.8452976233337968,pian,hamu,hamu,itowoi,itowoi,itowoi,maná,maná,maná,maná,itowoi,maná,hamu,itowoi,hamu,maná,itowoi,ohoti,itowoi,maná,maná,hamu,hamu,hamu,maná,hamu,hamu,itowoi,itowoi,maná,hamu,maná,itowoi,ohoti,maná,itowoi,hamu,itowoi,wiawod,wito,hamu
9,0.5226672316030296,1.3194222729952845,0.7967550413922548,hamu,maná,maná,hamu,itowoi,maná,hamu,hamu,hamu,maná,ohoti,itowoi,itowoi,maná,maná,hamu,pian,hamu,itowoi,ohoti,itowoi,hamu,hamu,itowoi,maná,hamu,maná,itowoi,itowoi,maná,itowoi,maná,itowoi,maná,maná,wiawod,itowoi,hamu,itowoi,hamu,wito
