simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,feB,fyB,feZ,fyZ,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fF,fM,fFB,fMB,fFeB,fFyB,fMeB,fMyB,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ
0,0.03274601447244729,0.8990492640908472,0.8663032496183999,nkasa,nkasa,nkasa,koloja,nkasa,nkasa,koloja,koloja,koloja,nkasa,koloja,koloja,nkasa,nkasa,nkasa,koloja,koloja,koloja,koloja,nkasa,nkasa,koloja,nkasa,koloja,nkasa,nkasa,koloja,nkasa,nkasa,koloja,koloja,koloja,koloja,nkasa,nkasa,nkasa,nkasa,koloja,mwinsho,mama,mwinsho,mwinsho,tata,tatankazhi,tatankazhi,mwinsho,mama,mwinsho,mwinsho,mama,tatankazhi,tatankazhi,mama,mama,mwinsho,mama,mwinsho,mwinsho,tata,mwinsho,mama,tatankazhi,mwinsho,tatankazhi,mama,mwinsho
1,0.04315848964036284,0.9790699688862661,0.9359114792459032,nkasa,nkasa,koloja,koloja,koloja,nkasa,nkasa,nkasa,koloja,nkasa,koloja,nkasa,koloja,koloja,nkasa,koloja,nkasa,nkasa,koloja,nkasa,nkasa,koloja,nkasa,nkasa,koloja,nkasa,koloja,nkasa,koloja,nkasa,koloja,koloja,koloja,koloja,nkasa,nkasa,nkasa,koloja,tatankazhi,mwinsho,tatankazhi,tatankazhi,tatankazhi,mwinsho,mama,mama,tata,mwinsho,tata,mwinsho,mwinsho,mama,tatankazhi,mama,mwinsho,mwinsho,mwinsho,mama,mwinsho,mama,mwinsho,mwinsho,mama,mama,tatankazhi,mwinsho
2,0.059198968942520525,1.2986778913772548,1.2394789224347342,koloja,nkasa,nkasa,koloja,nkasa,nkasa,koloja,nkasa,koloja,koloja,koloja,nkasa,nkasa,koloja,nkasa,nkasa,koloja,koloja,koloja,nkasa,koloja,nkasa,nkasa,koloja,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,nkasa,nkasa,koloja,nkasa,koloja,mama,tatankazhi,tatankazhi,mama,mama,tata,mama,mwinsho,mama,mwinsho,tatankazhi,tata,mwinsho,mwinsho,mwinsho,mwinsho,tatankazhi,mwinsho,mama,mwinsho,mwinsho,tatankazhi,mwinsho,tatankazhi,mwinsho,mwinsho,mama,mama
3,0.03800239492523794,0.9449191140140258,0.9069167190887879,koloja,nkasa,nkasa,koloja,koloja,nkasa,koloja,nkasa,koloja,koloja,koloja,nkasa,koloja,nkasa,nkasa,koloja,nkasa,nkasa,koloja,nkasa,koloja,koloja,nkasa,koloja,nkasa,nkasa,nkasa,nkasa,nkasa,koloja,koloja,koloja,nkasa,koloja,koloja,nkasa,nkasa,nkasa,mwinsho,mwinsho,mwinsho,mwinsho,mama,mama,mama,tatankazhi,mwinsho,mwinsho,mama,mama,mwinsho,mama,tatankazhi,mwinsho,mwinsho,mwinsho,tata,tatankazhi,mwinsho,mwinsho,tatankazhi,tata,mama,tatankazhi,mama,tatankazhi
4,0.07060643158933022,1.1354632277731533,1.0648567961838231,koloja,koloja,nkasa,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,koloja,koloja,koloja,koloja,nkasa,nkasa,nkasa,nkasa,nkasa,nkasa,nkasa,koloja,koloja,koloja,nkasa,nkasa,nkasa,nkasa,nkasa,koloja,koloja,koloja,nkasa,koloja,nkasa,nkasa,koloja,mwinsho,mwinsho,mama,mwinsho,mama,tatankazhi,tatankazhi,mama,tatankazhi,mama,mwinsho,mama,mwinsho,tatankazhi,mama,mwinsho,mama,tata,mama,mwinsho,mwinsho,tata,mwinsho,mwinsho,tatankazhi,mwinsho,tatankazhi,mwinsho
5,0.04345353948416153,0.9182465294978779,0.8747929900137164,koloja,koloja,nkasa,koloja,nkasa,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,nkasa,nkasa,nkasa,nkasa,nkasa,nkasa,nkasa,nkasa,koloja,koloja,nkasa,nkasa,koloja,nkasa,nkasa,nkasa,koloja,koloja,koloja,koloja,koloja,koloja,koloja,nkasa,koloja,koloja,mwinsho,mwinsho,mwinsho,mwinsho,mama,mama,tatankazhi,tatankazhi,mama,tatankazhi,mwinsho,mama,tatankazhi,mama,mwinsho,tata,mwinsho,mwinsho,mwinsho,mwinsho,tatankazhi,mwinsho,mama,mama,mwinsho,tatankazhi,mama,tata
6,0.10346611694606822,0.8990492640908472,0.795583147144779,koloja,nkasa,nkasa,koloja,koloja,nkasa,koloja,nkasa,koloja,nkasa,koloja,nkasa,nkasa,nkasa,nkasa,koloja,nkasa,nkasa,koloja,koloja,koloja,nkasa,koloja,koloja,nkasa,nkasa,koloja,nkasa,nkasa,nkasa,nkasa,koloja,nkasa,koloja,koloja,koloja,koloja,nkasa,mwinsho,mama,mwinsho,mama,mama,tata,tatankazhi,tatankazhi,mama,mwinsho,tatankazhi,mama,mwinsho,mwinsho,mwinsho,mwinsho,mwinsho,mama,mwinsho,mwinsho,mama,mwinsho,mwinsho,mama,tata,tatankazhi,tatankazhi,tatankazhi
7,0.03277225348068735,1.1951194720218632,1.1623472185411758,nkasa,koloja,nkasa,koloja,koloja,koloja,nkasa,koloja,nkasa,nkasa,koloja,nkasa,nkasa,nkasa,koloja,koloja,nkasa,koloja,koloja,nkasa,nkasa,koloja,nkasa,koloja,koloja,koloja,nkasa,koloja,nkasa,koloja,koloja,nkasa,nkasa,nkasa,nkasa,koloja,nkasa,nkasa,mwinsho,mwinsho,mama,tata,tatankazhi,mwinsho,mama,mwinsho,tatankazhi,mwinsho,tatankazhi,mwinsho,mwinsho,mama,mama,mama,mwinsho,mwinsho,mwinsho,tata,tatankazhi,mwinsho,mama,tatankazhi,mama,mama,tatankazhi,mwinsho
8,0.055058276580520316,1.239417488767755,1.1843592121872346,koloja,koloja,koloja,nkasa,koloja,nkasa,nkasa,nkasa,nkasa,nkasa,koloja,nkasa,koloja,nkasa,koloja,koloja,koloja,nkasa,nkasa,nkasa,nkasa,koloja,nkasa,nkasa,nkasa,koloja,koloja,koloja,koloja,nkasa,koloja,koloja,nkasa,nkasa,koloja,nkasa,koloja,nkasa,tatankazhi,tatankazhi,mwinsho,mama,mama,mwinsho,mwinsho,mama,mwinsho,mama,mwinsho,mwinsho,tata,mama,mwinsho,mama,tata,tatankazhi,mwinsho,tatankazhi,mwinsho,mwinsho,mwinsho,tatankazhi,mama,mama,tatankazhi,mwinsho
9,0.04371149778382977,1.2645244466212597,1.22081294883743,koloja,nkasa,koloja,nkasa,koloja,nkasa,nkasa,nkasa,nkasa,koloja,koloja,koloja,koloja,nkasa,nkasa,nkasa,nkasa,nkasa,koloja,koloja,koloja,koloja,nkasa,koloja,nkasa,koloja,koloja,nkasa,nkasa,koloja,koloja,nkasa,nkasa,nkasa,koloja,nkasa,nkasa,koloja,mwinsho,mwinsho,mama,tatankazhi,mwinsho,mama,mama,mama,mama,tatankazhi,mwinsho,mama,mwinsho,tatankazhi,tata,mama,mwinsho,tata,tatankazhi,mwinsho,mama,mwinsho,mwinsho,tatankazhi,mwinsho,mwinsho,mwinsho,tatankazhi
