simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,feZ,mF,mM,fF,fM,mFyB,mMeZ,mMyZ,fFyB,fMeZ,fMyZ
0,0.39575279478527847,1.366158847569202,0.9704060527839234,3ʔanʌ,3ʔacoŋ,3ʔacoŋ,3ʔatʌ,3ʔanʌ,3ʔaaɾu,3ʔapʌ,2ʔaani,3ʔakje,3ʔamʌ,3ʔaaɾu,3ʔamʌ,2ʔaani,3ʔakje,3ʔapʌ
1,0.6730116670092566,1.0888999753452238,0.4158883083359671,3ʔanʌ,3ʔatʌ,3ʔacoŋ,3ʔanʌ,3ʔacoŋ,3ʔakje,3ʔakje,3ʔamʌ,3ʔaaɾu,2ʔaani,2ʔaani,3ʔaaɾu,3ʔamʌ,3ʔapʌ,3ʔapʌ
2,0.1978763973926393,1.0296530140645737,0.8317766166719344,3ʔacoŋ,3ʔacoŋ,3ʔanʌ,3ʔatʌ,3ʔanʌ,3ʔaaɾu,2ʔaani,3ʔapʌ,2ʔaani,3ʔaaɾu,3ʔakje,3ʔapʌ,3ʔamʌ,3ʔamʌ,3ʔakje
3,0.33650583350462837,1.0296530140645737,0.6931471805599453,3ʔanʌ,3ʔacoŋ,3ʔacoŋ,3ʔanʌ,3ʔatʌ,3ʔaaɾu,3ʔapʌ,3ʔapʌ,3ʔamʌ,2ʔaani,3ʔamʌ,3ʔaaɾu,2ʔaani,3ʔakje,3ʔakje
4,0.39575279478527847,1.366158847569202,0.9704060527839234,3ʔacoŋ,3ʔacoŋ,3ʔanʌ,3ʔatʌ,3ʔanʌ,3ʔamʌ,2ʔaani,3ʔaaɾu,3ʔapʌ,2ʔaani,3ʔakje,3ʔapʌ,3ʔakje,3ʔaaɾu,3ʔamʌ
5,0.39575279478527825,1.3661588475692017,0.9704060527839234,3ʔatʌ,3ʔacoŋ,3ʔanʌ,3ʔanʌ,3ʔacoŋ,3ʔaaɾu,3ʔamʌ,3ʔapʌ,3ʔakje,3ʔapʌ,3ʔamʌ,2ʔaani,2ʔaani,3ʔakje,3ʔaaɾu
6,0.05924696128065021,1.0296530140645737,0.9704060527839234,3ʔanʌ,3ʔatʌ,3ʔanʌ,3ʔacoŋ,3ʔacoŋ,3ʔaaɾu,3ʔakje,3ʔaaɾu,2ʔaani,2ʔaani,3ʔapʌ,3ʔamʌ,3ʔamʌ,3ʔapʌ,3ʔakje
7,0.6730116670092566,1.366158847569202,0.6931471805599453,3ʔanʌ,3ʔatʌ,3ʔacoŋ,3ʔanʌ,3ʔacoŋ,3ʔamʌ,3ʔakje,2ʔaani,3ʔapʌ,3ʔapʌ,3ʔamʌ,3ʔaaɾu,2ʔaani,3ʔaaɾu,3ʔakje
8,0.39575279478527847,1.366158847569202,0.9704060527839234,3ʔatʌ,3ʔanʌ,3ʔanʌ,3ʔacoŋ,3ʔacoŋ,3ʔapʌ,3ʔakje,3ʔaaɾu,3ʔamʌ,3ʔaaɾu,3ʔamʌ,2ʔaani,3ʔapʌ,2ʔaani,3ʔakje
9,0.39575279478527847,1.0888999753452238,0.6931471805599453,3ʔatʌ,3ʔanʌ,3ʔacoŋ,3ʔacoŋ,3ʔanʌ,3ʔakje,3ʔakje,3ʔamʌ,3ʔapʌ,3ʔapʌ,3ʔamʌ,2ʔaani,2ʔaani,3ʔaaɾu,3ʔaaɾu
