simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09280053161642154,1.096035555024796,1.0032350234083744,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,mingaan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gaagang,wunarigayin,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gaagang,dillãng,dillãng,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,baggirn-Gan,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,gunhi,baggirn-Gan,bunuwal,bunuwal,gunhi,bunuwal,bunuwal,bunuwal,baggirn-Gan,bunuwal,babiin,baggirn-Gan,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,baggirn-Gan,babiin,baggirn-Gan
1,0.09465164984776187,1.1285783001317093,1.0339266502839475,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gaagang,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,bunigan,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,wunarigayin,baggirn-Gan,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,bunuwal,bunuwal,bunuwal,bunuwal,bunuwal,bunuwal,baggirn-Gan,babiin,bunuwal,baggirn-Gan,gunhi,bunuwal,baggirn-Gan,baggirn-Gan,baggirn-Gan,baggirn-Gan,gunhi,baggirn-Gan,babiin
2,0.13205104021014225,1.1666663761163159,1.0346153359061736,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,dillãng,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,mingaan,wunarigayin,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,wunarigayin,wunarigayin,wunarigayin,babiin,baggirn-Gan,babiin,bunuwal,gunhi,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,bunuwal,baggirn-Gan,baggirn-Gan,baggirn-Gan,gunhi,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,bunuwal,bunuwal,bunuwal
3,0.1164252648315881,1.0777023635861172,0.961277098754529,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gaagang,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,baggirn-Gan,gunhi,baggirn-Gan,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,gunhi,babiin,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,bunuwal,bunuwal,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,baggirn-Gan,babiin,baggirn-Gan,baggirn-Gan,bunuwal,bunuwal,bunuwal
4,0.05321462686544676,1.078766968938344,1.0255523420728971,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,wunarigayin,wunarigayin,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gaagang,wunarigayin,wunarigayin,baggirn-Gan,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,gunhi,baggirn-Gan,babiin,bunuwal,bunuwal,baggirn-Gan,babiin,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,bunuwal,bunuwal,gunhi,bunuwal,baggirn-Gan,baggirn-Gan
5,0.08897547332423517,1.0476354185777987,0.9586599452535636,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,wunarigayin,gagamin,wunarigayin,dillãng,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,bunigan,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gaagang,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,bunuwal,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,gunhi,baggirn-Gan,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,babiin,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,gunhi,bunuwal,bunuwal,baggirn-Gan,bunuwal,babiin,baggirn-Gan,baggirn-Gan
6,0.09917359829513528,1.0777023635861172,0.9785287652909819,wunarigayin,wunarigayin,wunarigayin,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,bunigan,wunarigayin,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,mingaan,mingaan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,baggirn-Gan,babiin,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,baggirn-Gan,gunhi,bunuwal,bunuwal,bunuwal,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,baggirn-Gan,baggirn-Gan,gunhi,baggirn-Gan,baggirn-Gan,bunuwal,bunuwal,bunuwal,bunuwal,babiin
7,0.09397095350159401,1.1263821356691475,1.0324111821675535,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,wunarigayin,wunarigayin,wunarigayin,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,gaagang,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,bunigan,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gagamin,gunhi,bunuwal,bunuwal,babiin,baggirn-Gan,bunuwal,bunuwal,babiin,baggirn-Gan,baggirn-Gan,baggirn-Gan,baggirn-Gan,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,bunuwal,gunhi,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal
8,0.09918200753255901,1.0798307037434225,0.9806486962108635,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,dillãng,wunarigayin,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,dillãng,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gaagang,baggirn-Gan,baggirn-Gan,bunuwal,gunhi,baggirn-Gan,bunuwal,babiin,bunuwal,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,bunuwal,baggirn-Gan,bunuwal,bunuwal,bunuwal,bunuwal,babiin,baggirn-Gan,gunhi,baggirn-Gan,baggirn-Gan,baggirn-Gan
9,0.09561619734640536,1.1291267441853252,1.0335105468389199,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,mingaan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gaagang,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,bunigan,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,gagamin,wunarigayin,wunarigayin,dillãng,minhi,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,bunigan,dillãng,wunarigayin,mingaan,gagamin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,baggirn-Gan,bunuwal,gunhi,baggirn-Gan,baggirn-Gan,babiin,bunuwal,bunuwal,gunhi,babiin,baggirn-Gan,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,baggirn-Gan,bunuwal,bunuwal,bunuwal,baggirn-Gan,baggirn-Gan,bunuwal,baggirn-Gan,baggirn-Gan,baggirn-Gan,bunuwal,bunuwal,bunuwal
