simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07920473155742913,1.3847667203120997,1.3055619887546706,ujéts,stryjchichI,ujéts,ujéts,ujéts,stryjechka,stryjechka,stryjechka,ujéts,stryjchichI,stryjechka,ujéts,ujéchka,stryjechka,ujéchka,stryjchichI,stryjchichI,ujéchka,stryjchichI,ujéchka,ujéchka,stryjchichI,ujéchka,ujéchka,ujéts,ujéchka,stryjchichI,ujéchka,ujéchka,stryjechka,stryjechka,ujéts,ujéts,stryjechka,stryjechka,stryjchichI,ujéchka,ujéts,stryjechka,ujéchka,ujéts,ujéts,ujéts,ujéts,ujéts,stryjechka,stryjechka,stryjchichI,stryjchichI,ujéts,stryjchichI,stryjchichI,ujéchka,stryjechka,stryjechka,stryjchichI,stryjechka,stryjechka,stryjechka,ujéts,ujéchka,stryjchichI,stryjchichI,stryjechka,stryjchichI,ujéchka,ujéchka,stryjchichI,ujéts,stryjchichI,stryjchichI,stryjechka,ujéchka,stryjchichI,ujéchka,ujéchka,ujéchka,ujéts,stryj,újka,uj,stryja,stryja,újka,stryja,stryja,stryj,uj,uj,stryj,stryja,újka,stryj,uj,újka,újka,újka,uj,stryja,uj,stryj
1,0.10326668189894961,1.3537651440360374,1.2504984621370878,stryjechka,stryjechka,ujéts,stryjechka,stryjchichI,ujéchka,ujéchka,ujéchka,stryjchichI,stryjchichI,ujéchka,stryjchichI,stryjchichI,stryjechka,stryjechka,stryjechka,stryjchichI,stryjechka,ujéchka,stryjchichI,ujéts,ujéchka,ujéchka,stryjechka,ujéchka,ujéts,stryjchichI,ujéchka,stryjechka,ujéchka,stryjchichI,stryjechka,ujéchka,stryjechka,ujéts,ujéts,ujéts,ujéchka,stryjchichI,ujéts,stryjechka,ujéts,ujéchka,ujéts,stryjchichI,stryjchichI,stryjechka,ujéts,stryjchichI,stryjchichI,stryjechka,stryjechka,ujéts,stryjchichI,ujéchka,stryjchichI,ujéts,ujéchka,stryjchichI,ujéchka,stryjchichI,ujéts,ujéchka,stryjechka,stryjechka,stryjchichI,stryjechka,ujéts,ujéts,ujéchka,ujéts,ujéchka,ujéts,ujéts,stryjchichI,ujéts,ujéchka,stryjechka,uj,újka,újka,stryja,stryj,stryja,uj,stryj,stryja,újka,uj,újka,stryja,újka,uj,uj,stryja,stryj,stryj,stryja,stryj,uj,újka
2,0.041312620092891716,1.378395332837541,1.3370827127446492,ujéchka,stryjechka,ujéts,stryjchichI,ujéts,ujéts,stryjchichI,ujéts,stryjchichI,ujéchka,ujéchka,ujéts,ujéchka,ujéts,stryjchichI,stryjechka,ujéchka,ujéchka,stryjechka,stryjechka,stryjechka,ujéts,stryjechka,stryjchichI,ujéts,stryjchichI,stryjchichI,stryjechka,ujéts,stryjechka,ujéchka,ujéchka,ujéts,ujéts,ujéts,ujéts,stryjchichI,stryjchichI,ujéchka,stryjechka,stryjchichI,stryjechka,stryjchichI,ujéchka,stryjechka,ujéchka,stryjchichI,stryjchichI,stryjechka,ujéts,ujéchka,stryjechka,stryjchichI,ujéts,stryjechka,ujéts,stryjchichI,ujéchka,stryjechka,ujéchka,ujéchka,stryjechka,stryjechka,ujéchka,ujéts,stryjechka,stryjechka,ujéchka,ujéchka,ujéchka,stryjchichI,ujéchka,stryjchichI,ujéts,ujéts,stryjchichI,stryjchichI,stryjchichI,stryj,stryja,újka,újka,stryja,uj,uj,újka,újka,uj,újka,stryja,uj,uj,stryja,stryj,stryja,stryj,stryj,uj,stryja,újka,stryj
3,0.030052879878893934,1.3832821644977444,1.3532292846188505,stryjchichI,ujéchka,ujéts,ujéts,stryjchichI,ujéchka,ujéchka,stryjchichI,stryjchichI,ujéchka,ujéchka,stryjchichI,ujéts,ujéts,stryjchichI,stryjechka,stryjechka,stryjechka,ujéchka,ujéts,ujéchka,stryjechka,ujéts,ujéts,stryjechka,ujéts,stryjchichI,stryjechka,stryjechka,ujéchka,ujéchka,ujéchka,stryjchichI,ujéchka,ujéchka,ujéchka,stryjchichI,ujéts,stryjechka,stryjechka,ujéts,stryjechka,stryjchichI,stryjchichI,ujéchka,stryjechka,ujéts,stryjchichI,stryjechka,ujéts,ujéts,ujéchka,stryjchichI,ujéts,ujéchka,stryjechka,stryjechka,ujéchka,stryjchichI,ujéts,ujéts,ujéchka,stryjechka,stryjchichI,stryjechka,ujéts,ujéts,stryjchichI,stryjechka,stryjchichI,stryjchichI,ujéts,stryjchichI,ujéchka,stryjchichI,stryjechka,ujéchka,stryjechka,újka,stryj,stryja,uj,uj,stryj,stryja,stryj,stryj,uj,újka,stryj,uj,újka,újka,uj,újka,stryja,uj,stryja,stryja,újka,stryja
4,0.08428928217877907,1.379879888651896,1.2955906064731169,ujéchka,stryjchichI,ujéts,ujéchka,stryjechka,ujéts,stryjechka,stryjechka,stryjchichI,stryjechka,stryjechka,ujéchka,ujéts,ujéts,ujéts,stryjchichI,ujéts,ujéchka,ujéts,stryjchichI,ujéts,stryjchichI,ujéchka,stryjchichI,ujéts,ujéchka,ujéchka,stryjechka,stryjechka,stryjchichI,stryjchichI,ujéchka,stryjchichI,stryjechka,stryjchichI,ujéchka,ujéts,ujéts,stryjchichI,stryjchichI,ujéts,stryjechka,ujéchka,stryjechka,stryjechka,stryjechka,stryjchichI,ujéchka,ujéchka,stryjchichI,ujéchka,stryjechka,ujéchka,stryjechka,ujéts,stryjechka,ujéchka,ujéts,ujéts,ujéchka,ujéchka,stryjechka,ujéts,stryjchichI,stryjchichI,stryjechka,ujéts,stryjechka,ujéts,stryjchichI,stryjchichI,ujéchka,ujéchka,stryjechka,stryjchichI,stryjchichI,ujéchka,ujéts,stryja,újka,uj,uj,stryj,újka,uj,stryja,újka,stryj,uj,uj,stryj,újka,stryja,stryj,uj,stryja,stryja,újka,stryja,stryj,újka
5,0.06551711978461894,1.3724286376968324,1.3069115179122135,stryjchichI,ujéts,stryjechka,ujéchka,stryjechka,stryjechka,ujéts,stryjchichI,stryjechka,ujéchka,stryjechka,stryjechka,ujéchka,stryjchichI,ujéchka,stryjechka,ujéts,ujéchka,stryjechka,stryjechka,stryjchichI,stryjchichI,stryjechka,ujéchka,ujéchka,ujéts,stryjechka,ujéts,stryjchichI,stryjchichI,stryjchichI,stryjchichI,ujéchka,ujéts,stryjechka,stryjechka,stryjchichI,stryjchichI,ujéts,ujéts,ujéts,ujéchka,stryjechka,ujéchka,stryjchichI,ujéchka,ujéts,ujéchka,ujéts,stryjchichI,ujéchka,ujéchka,stryjchichI,stryjchichI,stryjchichI,ujéchka,stryjechka,ujéts,stryjchichI,ujéts,stryjechka,ujéts,ujéts,ujéchka,stryjchichI,ujéts,ujéts,ujéts,stryjechka,stryjchichI,ujéchka,ujéchka,stryjechka,ujéchka,stryjechka,stryjchichI,ujéchka,ujéts,uj,újka,stryja,stryj,újka,stryj,uj,stryja,újka,stryja,stryj,stryj,uj,újka,újka,uj,stryja,újka,uj,stryj,uj,stryja,stryja
6,0.0433355004771967,1.3756073577699943,1.3322718572927976,ujéchka,stryjchichI,stryjchichI,stryjchichI,stryjechka,stryjchichI,stryjchichI,ujéchka,ujéchka,stryjechka,stryjechka,ujéts,ujéts,stryjechka,stryjchichI,stryjechka,ujéchka,ujéts,ujéchka,stryjchichI,stryjchichI,ujéts,ujéchka,stryjechka,stryjchichI,ujéchka,stryjchichI,stryjechka,ujéts,stryjechka,stryjechka,ujéchka,ujéts,ujéchka,ujéchka,stryjchichI,stryjechka,ujéchka,ujéts,stryjechka,ujéts,ujéchka,stryjechka,stryjchichI,stryjechka,stryjechka,ujéts,ujéts,stryjechka,ujéchka,ujéchka,stryjchichI,stryjchichI,stryjechka,ujéts,ujéchka,ujéchka,ujéts,ujéts,stryjchichI,ujéts,stryjchichI,stryjchichI,ujéts,ujéts,ujéts,stryjechka,stryjchichI,ujéchka,ujéts,ujéts,ujéchka,ujéchka,stryjechka,stryjchichI,stryjechka,stryjchichI,ujéchka,újka,stryja,stryja,stryja,stryja,stryj,uj,stryj,stryja,stryj,újka,stryja,uj,stryj,uj,újka,uj,újka,újka,stryj,uj,újka,uj
7,0.10718747024538877,1.375607357769994,1.2684198875246053,ujéts,stryjechka,ujéts,ujéchka,stryjchichI,ujéts,ujéchka,ujéchka,ujéchka,stryjechka,ujéchka,ujéts,stryjechka,stryjechka,stryjechka,ujéts,ujéchka,ujéchka,stryjchichI,ujéchka,stryjechka,stryjchichI,stryjechka,stryjechka,stryjchichI,stryjchichI,ujéts,ujéts,ujéts,ujéts,stryjechka,ujéts,ujéts,ujéts,stryjechka,stryjchichI,ujéchka,ujéchka,stryjchichI,ujéchka,stryjechka,stryjchichI,ujéchka,stryjchichI,stryjchichI,ujéchka,ujéchka,ujéchka,ujéchka,stryjchichI,stryjchichI,stryjchichI,stryjchichI,stryjechka,stryjchichI,stryjechka,stryjchichI,ujéts,stryjchichI,stryjechka,ujéchka,stryjechka,ujéts,ujéts,ujéts,ujéts,stryjechka,ujéchka,ujéts,stryjchichI,stryjechka,stryjechka,ujéts,stryjchichI,ujéchka,ujéchka,stryjechka,stryjchichI,uj,stryja,stryja,újka,stryja,újka,uj,uj,uj,uj,stryja,stryj,stryj,stryj,stryja,újka,stryj,újka,újka,stryja,újka,uj,stryj
8,0.028503655114913373,1.379879888651896,1.3513762335369826,stryjechka,ujéchka,ujéchka,stryjechka,ujéts,ujéchka,ujéts,ujéts,ujéchka,ujéchka,stryjechka,stryjchichI,ujéts,stryjchichI,ujéchka,ujéts,ujéts,stryjechka,stryjchichI,ujéts,stryjechka,ujéts,stryjchichI,stryjchichI,ujéchka,stryjechka,stryjchichI,ujéts,stryjechka,stryjchichI,ujéchka,stryjechka,ujéchka,ujéchka,stryjchichI,ujéchka,ujéts,stryjechka,ujéts,ujéchka,stryjchichI,ujéchka,ujéts,stryjchichI,stryjchichI,ujéchka,stryjchichI,ujéts,stryjechka,stryjchichI,stryjchichI,stryjechka,ujéts,stryjechka,stryjchichI,ujéts,ujéts,stryjchichI,stryjchichI,ujéts,stryjechka,stryjechka,stryjchichI,stryjechka,ujéchka,ujéchka,ujéchka,stryjchichI,stryjechka,ujéchka,stryjechka,stryjechka,stryjchichI,ujéts,stryjechka,ujéts,ujéchka,ujéchka,uj,stryja,uj,újka,stryj,stryja,stryja,uj,stryj,uj,újka,újka,stryj,stryja,újka,stryja,újka,stryj,stryja,újka,uj,uj,stryj
9,0.0409248670117468,1.3847667203120997,1.3438418533003529,stryjechka,stryjchichI,ujéchka,ujéchka,ujéts,ujéts,ujéts,ujéts,ujéchka,ujéts,ujéts,ujéchka,ujéchka,stryjechka,ujéts,ujéts,ujéchka,stryjechka,ujéts,ujéchka,stryjchichI,stryjechka,ujéchka,ujéchka,stryjechka,ujéchka,ujéchka,ujéchka,stryjechka,stryjchichI,stryjchichI,stryjechka,ujéts,ujéts,stryjechka,ujéts,stryjechka,stryjchichI,stryjchichI,stryjchichI,stryjechka,ujéchka,ujéts,stryjchichI,stryjchichI,stryjechka,stryjechka,stryjchichI,ujéts,ujéchka,ujéts,stryjchichI,ujéts,ujéchka,stryjchichI,stryjechka,stryjechka,stryjchichI,ujéts,stryjchichI,stryjechka,ujéchka,stryjchichI,ujéchka,stryjchichI,stryjechka,stryjchichI,ujéts,stryjechka,ujéchka,stryjechka,ujéchka,stryjchichI,stryjchichI,stryjechka,ujéchka,ujéts,stryjchichI,stryj,uj,stryja,stryj,stryja,uj,újka,újka,stryja,uj,újka,stryja,stryj,újka,újka,stryj,stryja,uj,stryja,újka,uj,stryj,uj
