simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fMB,fMeB,fMyB
0,0.020238394090947853,1.0889749759858895,1.0687365818949417,kaiŋa,ɧaŋau,ɧaŋau,'ave,'ave,ɧaŋau,'ave,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,kaiŋa,kaiŋa,'ave,'ave,ɧaŋau,ɧaŋau,kaiŋa,'ave,'ave,'ave,'ave,ɧaŋau,kaiŋa,'ave,'ave,'ave,'ave,kaiŋa,ɧaŋau,'ave,'ave,'ave,'ave,'ave,'ave,kaiŋa,kaiŋa,ɧaŋau,ɧaŋau,'ave,kaiŋa,'ave,'ave,'ave,ɧaŋau,'ave,kaiŋa,'ave,kaiŋa,kaiŋa,'ave,'ave,'ave,'ave,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,kaiŋa,kaiŋa,ɧaŋau,ɧaŋau,'ave,'ave,kaiŋa,'ave,ɧaŋau,'ave,ɧaŋau,'ave,ɧaŋau,kaiŋa,'ave,'ave,kaiŋa,kaiŋa,'ave,'ave,kaiŋa,kaiŋa,ɧaŋau,kamaŋa,lamoku,kamaŋa,lamoku,lamoku,lamoku,kiŋa,kiŋa,kiŋa,kiŋa,kiŋa,kamaŋa,kiŋa,kiŋa,lamoku,kamaŋa,kiŋa,kamaŋa,lamoku
1,0.03887761058173589,1.0956208049229401,1.0567431943412042,ɧaŋau,kaiŋa,'ave,'ave,kaiŋa,'ave,kaiŋa,'ave,'ave,'ave,kaiŋa,ɧaŋau,'ave,kaiŋa,kaiŋa,'ave,'ave,'ave,'ave,kaiŋa,'ave,ɧaŋau,'ave,kaiŋa,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,'ave,'ave,ɧaŋau,kaiŋa,ɧaŋau,kaiŋa,'ave,ɧaŋau,ɧaŋau,kaiŋa,kaiŋa,kaiŋa,'ave,kaiŋa,'ave,'ave,ɧaŋau,'ave,ɧaŋau,'ave,kaiŋa,ɧaŋau,'ave,'ave,kaiŋa,'ave,'ave,'ave,'ave,ɧaŋau,'ave,'ave,kaiŋa,'ave,kaiŋa,ɧaŋau,'ave,'ave,kaiŋa,'ave,ɧaŋau,'ave,kaiŋa,'ave,'ave,'ave,ɧaŋau,'ave,ɧaŋau,kaiŋa,kaiŋa,'ave,'ave,'ave,kaiŋa,kaiŋa,ɧaŋau,'ave,kaiŋa,'ave,kaiŋa,kamaŋa,kamaŋa,lamoku,kamaŋa,kiŋa,lamoku,kiŋa,lamoku,kiŋa,kiŋa,lamoku,kiŋa,lamoku,kamaŋa,kiŋa,kiŋa,kamaŋa,kiŋa,lamoku
2,0.017460601286785504,1.0784392549039998,1.0609786536172143,'ave,ɧaŋau,'ave,'ave,kaiŋa,'ave,ɧaŋau,kaiŋa,'ave,'ave,ɧaŋau,'ave,'ave,'ave,ɧaŋau,kaiŋa,kaiŋa,'ave,'ave,kaiŋa,ɧaŋau,kaiŋa,'ave,'ave,ɧaŋau,'ave,'ave,kaiŋa,ɧaŋau,kaiŋa,'ave,'ave,'ave,ɧaŋau,'ave,'ave,ɧaŋau,'ave,kaiŋa,kaiŋa,kaiŋa,ɧaŋau,'ave,kaiŋa,kaiŋa,'ave,'ave,'ave,'ave,'ave,ɧaŋau,ɧaŋau,kaiŋa,'ave,'ave,kaiŋa,kaiŋa,'ave,ɧaŋau,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,kaiŋa,'ave,kaiŋa,kaiŋa,'ave,'ave,ɧaŋau,'ave,kaiŋa,'ave,kaiŋa,ɧaŋau,'ave,'ave,kaiŋa,'ave,'ave,'ave,kaiŋa,'ave,kaiŋa,'ave,ɧaŋau,kaiŋa,kaiŋa,'ave,lamoku,kamaŋa,lamoku,kiŋa,lamoku,lamoku,kiŋa,kamaŋa,lamoku,kiŋa,kiŋa,kamaŋa,kiŋa,kiŋa,kamaŋa,kamaŋa,lamoku,kiŋa,kiŋa
3,0.016557269579831946,1.092041748560191,1.075484478980359,ɧaŋau,ɧaŋau,ɧaŋau,'ave,'ave,'ave,'ave,'ave,ɧaŋau,kaiŋa,ɧaŋau,kaiŋa,ɧaŋau,ɧaŋau,'ave,'ave,kaiŋa,kaiŋa,'ave,kaiŋa,kaiŋa,kaiŋa,ɧaŋau,kaiŋa,kaiŋa,kaiŋa,kaiŋa,'ave,kaiŋa,kaiŋa,'ave,'ave,kaiŋa,'ave,'ave,kaiŋa,ɧaŋau,'ave,'ave,kaiŋa,ɧaŋau,'ave,kaiŋa,'ave,'ave,'ave,kaiŋa,'ave,'ave,kaiŋa,'ave,ɧaŋau,'ave,'ave,kaiŋa,'ave,'ave,ɧaŋau,kaiŋa,kaiŋa,'ave,'ave,'ave,kaiŋa,ɧaŋau,ɧaŋau,'ave,'ave,'ave,kaiŋa,'ave,kaiŋa,ɧaŋau,'ave,'ave,'ave,'ave,'ave,'ave,'ave,kaiŋa,'ave,kaiŋa,'ave,'ave,kaiŋa,ɧaŋau,'ave,kaiŋa,'ave,kiŋa,kamaŋa,kiŋa,lamoku,kamaŋa,lamoku,kiŋa,lamoku,kiŋa,lamoku,kamaŋa,kiŋa,kiŋa,kiŋa,kiŋa,lamoku,kamaŋa,kamaŋa,lamoku
4,0.03492738124531636,1.0784392549039998,1.0435118736586835,'ave,'ave,ɧaŋau,'ave,ɧaŋau,kaiŋa,ɧaŋau,ɧaŋau,'ave,'ave,'ave,'ave,ɧaŋau,kaiŋa,'ave,'ave,kaiŋa,'ave,'ave,ɧaŋau,'ave,'ave,kaiŋa,kaiŋa,ɧaŋau,'ave,'ave,'ave,kaiŋa,kaiŋa,'ave,'ave,'ave,kaiŋa,'ave,kaiŋa,kaiŋa,'ave,'ave,ɧaŋau,ɧaŋau,'ave,ɧaŋau,'ave,kaiŋa,'ave,'ave,'ave,ɧaŋau,'ave,kaiŋa,'ave,'ave,kaiŋa,kaiŋa,kaiŋa,kaiŋa,'ave,kaiŋa,ɧaŋau,kaiŋa,ɧaŋau,'ave,kaiŋa,'ave,kaiŋa,'ave,'ave,kaiŋa,'ave,'ave,kaiŋa,'ave,kaiŋa,'ave,ɧaŋau,'ave,kaiŋa,kaiŋa,kaiŋa,'ave,kaiŋa,kaiŋa,ɧaŋau,'ave,'ave,kaiŋa,'ave,ɧaŋau,'ave,lamoku,kiŋa,kiŋa,kiŋa,lamoku,kamaŋa,kiŋa,lamoku,lamoku,kiŋa,kamaŋa,kamaŋa,lamoku,kiŋa,kamaŋa,kamaŋa,lamoku,kiŋa,kiŋa
5,0.05195399211757601,1.0716742118835223,1.0197202197659463,'ave,kaiŋa,kaiŋa,'ave,'ave,kaiŋa,ɧaŋau,kaiŋa,'ave,kaiŋa,kaiŋa,ɧaŋau,'ave,'ave,'ave,kaiŋa,'ave,kaiŋa,'ave,ɧaŋau,'ave,kaiŋa,'ave,kaiŋa,'ave,ɧaŋau,kaiŋa,kaiŋa,'ave,'ave,'ave,'ave,'ave,kaiŋa,'ave,kaiŋa,'ave,'ave,'ave,'ave,'ave,'ave,'ave,kaiŋa,ɧaŋau,kaiŋa,kaiŋa,'ave,'ave,kaiŋa,ɧaŋau,kaiŋa,ɧaŋau,ɧaŋau,'ave,kaiŋa,kaiŋa,ɧaŋau,'ave,'ave,ɧaŋau,'ave,kaiŋa,kaiŋa,kaiŋa,ɧaŋau,ɧaŋau,'ave,'ave,'ave,'ave,kaiŋa,'ave,ɧaŋau,'ave,'ave,'ave,'ave,kaiŋa,'ave,'ave,'ave,kaiŋa,'ave,ɧaŋau,kaiŋa,ɧaŋau,'ave,ɧaŋau,kaiŋa,kiŋa,lamoku,kiŋa,lamoku,kamaŋa,kiŋa,lamoku,kamaŋa,kiŋa,kamaŋa,lamoku,kamaŋa,lamoku,kiŋa,kiŋa,kamaŋa,lamoku,kiŋa,kiŋa
6,0.05303032964482646,1.0627532854999924,1.009722955855166,ɧaŋau,kaiŋa,'ave,kaiŋa,'ave,'ave,'ave,ɧaŋau,kaiŋa,kaiŋa,'ave,kaiŋa,kaiŋa,'ave,'ave,'ave,'ave,kaiŋa,'ave,ɧaŋau,ɧaŋau,kaiŋa,'ave,kaiŋa,kaiŋa,'ave,'ave,kaiŋa,'ave,'ave,kaiŋa,kaiŋa,'ave,'ave,'ave,'ave,'ave,kaiŋa,kaiŋa,kaiŋa,'ave,kaiŋa,ɧaŋau,ɧaŋau,kaiŋa,ɧaŋau,'ave,kaiŋa,ɧaŋau,kaiŋa,ɧaŋau,kaiŋa,'ave,ɧaŋau,'ave,kaiŋa,'ave,'ave,kaiŋa,'ave,ɧaŋau,'ave,'ave,'ave,'ave,'ave,ɧaŋau,'ave,ɧaŋau,'ave,kaiŋa,'ave,kaiŋa,'ave,'ave,'ave,'ave,ɧaŋau,'ave,'ave,'ave,'ave,ɧaŋau,kaiŋa,'ave,'ave,kaiŋa,kaiŋa,kaiŋa,ɧaŋau,kiŋa,kiŋa,kamaŋa,lamoku,kiŋa,kamaŋa,lamoku,lamoku,lamoku,kiŋa,kamaŋa,lamoku,kamaŋa,kiŋa,kamaŋa,kiŋa,kiŋa,kiŋa,lamoku
7,0.03783932250670641,1.0627532854999924,1.024913962993286,'ave,kaiŋa,'ave,'ave,'ave,ɧaŋau,'ave,'ave,'ave,'ave,'ave,ɧaŋau,kaiŋa,'ave,kaiŋa,'ave,'ave,'ave,'ave,'ave,kaiŋa,kaiŋa,'ave,kaiŋa,kaiŋa,ɧaŋau,'ave,'ave,ɧaŋau,'ave,ɧaŋau,kaiŋa,kaiŋa,kaiŋa,ɧaŋau,'ave,'ave,'ave,'ave,'ave,kaiŋa,'ave,kaiŋa,ɧaŋau,ɧaŋau,kaiŋa,'ave,kaiŋa,'ave,ɧaŋau,kaiŋa,ɧaŋau,'ave,kaiŋa,kaiŋa,'ave,'ave,'ave,kaiŋa,kaiŋa,'ave,'ave,kaiŋa,'ave,kaiŋa,kaiŋa,kaiŋa,'ave,'ave,ɧaŋau,'ave,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,kaiŋa,'ave,ɧaŋau,kaiŋa,kaiŋa,ɧaŋau,ɧaŋau,ɧaŋau,'ave,'ave,'ave,'ave,ɧaŋau,'ave,kiŋa,kamaŋa,kiŋa,kamaŋa,kiŋa,lamoku,kamaŋa,kamaŋa,lamoku,kamaŋa,lamoku,lamoku,kiŋa,kiŋa,lamoku,kiŋa,kiŋa,lamoku,kiŋa
8,0.018619203441389454,1.0557989289990513,1.0371797255576618,'ave,'ave,'ave,kaiŋa,'ave,'ave,'ave,'ave,'ave,kaiŋa,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,'ave,'ave,kaiŋa,kaiŋa,'ave,'ave,'ave,kaiŋa,ɧaŋau,'ave,ɧaŋau,'ave,ɧaŋau,kaiŋa,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,ɧaŋau,kaiŋa,'ave,ɧaŋau,kaiŋa,'ave,ɧaŋau,kaiŋa,kaiŋa,ɧaŋau,'ave,'ave,'ave,kaiŋa,'ave,ɧaŋau,'ave,kaiŋa,'ave,ɧaŋau,kaiŋa,ɧaŋau,'ave,'ave,'ave,'ave,ɧaŋau,kaiŋa,'ave,'ave,kaiŋa,'ave,'ave,'ave,ɧaŋau,kaiŋa,kaiŋa,'ave,'ave,ɧaŋau,kaiŋa,kaiŋa,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,ɧaŋau,ɧaŋau,'ave,'ave,ɧaŋau,'ave,'ave,kiŋa,kamaŋa,kiŋa,lamoku,kiŋa,kiŋa,lamoku,kamaŋa,lamoku,lamoku,lamoku,lamoku,kiŋa,kamaŋa,kiŋa,kiŋa,kamaŋa,kamaŋa,kiŋa
9,0.037461974927128994,1.0716742118835223,1.0342122369563933,'ave,ɧaŋau,'ave,kaiŋa,kaiŋa,'ave,'ave,kaiŋa,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,'ave,kaiŋa,kaiŋa,ɧaŋau,kaiŋa,ɧaŋau,kaiŋa,ɧaŋau,kaiŋa,ɧaŋau,kaiŋa,kaiŋa,kaiŋa,'ave,'ave,'ave,'ave,'ave,ɧaŋau,'ave,'ave,ɧaŋau,kaiŋa,'ave,kaiŋa,'ave,ɧaŋau,'ave,ɧaŋau,kaiŋa,'ave,'ave,'ave,'ave,kaiŋa,'ave,ɧaŋau,ɧaŋau,'ave,kaiŋa,'ave,kaiŋa,ɧaŋau,'ave,kaiŋa,'ave,'ave,kaiŋa,ɧaŋau,ɧaŋau,'ave,'ave,'ave,kaiŋa,'ave,kaiŋa,'ave,'ave,'ave,'ave,'ave,'ave,kaiŋa,kaiŋa,'ave,kaiŋa,kaiŋa,'ave,'ave,kaiŋa,'ave,ɧaŋau,'ave,ɧaŋau,'ave,'ave,'ave,kamaŋa,kiŋa,lamoku,kiŋa,kiŋa,lamoku,lamoku,kamaŋa,kamaŋa,lamoku,kiŋa,kiŋa,kiŋa,kamaŋa,kiŋa,kamaŋa,lamoku,lamoku,kiŋa
