simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM
0,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tiga-,tiga-,vasa-,vasa-,vasa-,vasa-,tiga-,tama-,na-,na-,tama-
1,0.08878194993480426,0.6829081047004717,0.5941261547656674,tiga-,vasa-,tiga-,vasa-,tiga-,vasa-,vasa-,na-,na-,tama-,tama-
2,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,vasa-,tiga-,vasa-,vasa-,tiga-,vasa-,tiga-,tama-,na-,tama-,na-
3,0.014032215111297486,0.6829081047004717,0.6688758895891742,vasa-,tiga-,tiga-,vasa-,tiga-,vasa-,vasa-,na-,na-,tama-,tama-
4,0.014032215111297486,0.6829081047004717,0.6688758895891742,vasa-,tiga-,vasa-,tiga-,vasa-,vasa-,tiga-,na-,na-,tama-,tama-
5,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,vasa-,vasa-,tiga-,vasa-,vasa-,tiga-,tiga-,tama-,na-,na-,tama-
6,0.08878194993480426,0.6829081047004717,0.5941261547656674,tiga-,vasa-,vasa-,tiga-,vasa-,vasa-,tiga-,tama-,tama-,na-,na-
7,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tiga-,tiga-,vasa-,vasa-,tiga-,vasa-,vasa-,tama-,na-,na-,tama-
8,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tiga-,vasa-,vasa-,tiga-,vasa-,vasa-,tiga-,na-,tama-,na-,tama-
9,0.014032215111297486,0.6829081047004717,0.6688758895891742,vasa-,vasa-,tiga-,vasa-,tiga-,vasa-,tiga-,tama-,tama-,na-,na-
