simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fMeB,fMyB,fMeZ,fMyZ
0,0.3792948132092171,1.5678468393838916,1.1885520261746745,midaŋ,midaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama,isaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ,midaŋ, ñama, ñama, ñama, ñama, ñama,ñama,midaŋ,midaŋ,isaŋ, ñama,midaŋ,midaŋ,ñama, ñama,midaŋ,midaŋ,midaŋ,midaŋ, ñama,midaŋ,ñama,midaŋ, ñama, ñama,midaŋ,ñama,midaŋ,ñama, ñama, ñama,midaŋ,midaŋ,midaŋ, ñama, ñama,midaŋ, ñama,midaŋ,ñama,midaŋ,midaŋ,midaŋ, ñama, ñama, ñama,midaŋ, ñama,midaŋ,isaŋ,midaŋ,ñama, ñama,midaŋ,ñama, ñama,midaŋ, ñama,midaŋ, ñama,ñama, ñama, ñama, ñama, ñama,midaŋ, ñama,midaŋ,midaŋ, ñama,yamɨŋ,añki,añki,afɨ,afɨ,yafaŋ,aifi,yamɨŋ,afɨ,aifi,aifi,yamɨŋ,yamɨŋ,aifi,afɨ,yafaŋ
1,0.21681539717984988,1.5578430301584176,1.3410276329785678, ñama,midaŋ,midaŋ,isaŋ,midaŋ, ñama, ñama,midaŋ, ñama,midaŋ, ñama,isaŋ, ñama, ñama,ñama,midaŋ, ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama,ñama, ñama, ñama,midaŋ,ñama,midaŋ, ñama, ñama,ñama,midaŋ, ñama,ñama,midaŋ, ñama,midaŋ, ñama,midaŋ,midaŋ,midaŋ,midaŋ, ñama,midaŋ, ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ,midaŋ, ñama, ñama,midaŋ,midaŋ, ñama,ñama, ñama, ñama,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ, ñama,ñama,midaŋ,midaŋ, ñama,midaŋ,ñama, ñama, ñama, ñama, ñama,midaŋ,midaŋ,midaŋ,isaŋ,midaŋ, ñama, ñama,ñama,yamɨŋ,añki,aifi,yamɨŋ,yafaŋ,afɨ,yamɨŋ,aifi,aifi,afɨ,afɨ,yamɨŋ,afɨ,añki,aifi,yafaŋ
2,0.17311455778585305,1.5784989343733185,1.4053843765874654,midaŋ, ñama,midaŋ,ñama,midaŋ, ñama,midaŋ,midaŋ,midaŋ,midaŋ,isaŋ,midaŋ,midaŋ, ñama,midaŋ,midaŋ,midaŋ,midaŋ,ñama,isaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama, ñama, ñama, ñama,isaŋ,midaŋ, ñama, ñama, ñama,midaŋ,ñama,midaŋ,midaŋ, ñama, ñama, ñama,midaŋ, ñama,midaŋ,ñama,midaŋ, ñama,midaŋ, ñama, ñama,ñama,midaŋ,midaŋ, ñama, ñama,ñama,midaŋ, ñama,ñama,ñama, ñama, ñama,midaŋ, ñama, ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ,midaŋ,midaŋ, ñama,midaŋ, ñama, ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ,midaŋ, ñama, ñama,ñama, ñama,afɨ,aifi,añki,añki,yamɨŋ,aifi,yafaŋ,afɨ,yafaŋ,aifi,afɨ,afɨ,aifi,yamɨŋ,yamɨŋ,yamɨŋ
3,0.08764014853223245,1.571481522273524,1.4838413737412914,isaŋ,ñama, ñama, ñama, ñama,midaŋ,midaŋ, ñama, ñama,midaŋ, ñama,midaŋ,isaŋ,midaŋ,midaŋ, ñama,midaŋ,ñama,midaŋ, ñama,midaŋ, ñama, ñama,midaŋ,midaŋ,ñama,midaŋ,midaŋ,midaŋ, ñama, ñama, ñama, ñama, ñama, ñama,midaŋ,isaŋ,midaŋ,midaŋ, ñama,midaŋ, ñama,ñama,midaŋ, ñama,midaŋ,ñama,midaŋ,midaŋ,midaŋ, ñama, ñama,midaŋ,midaŋ,midaŋ,ñama,midaŋ,ñama,midaŋ, ñama,ñama,midaŋ,midaŋ,midaŋ,midaŋ, ñama, ñama,midaŋ, ñama,midaŋ, ñama, ñama,midaŋ, ñama,midaŋ,midaŋ, ñama, ñama, ñama, ñama,midaŋ,ñama,midaŋ, ñama,midaŋ,afɨ,yafaŋ,yafaŋ,yamɨŋ,aifi,afɨ,aifi,aifi,añki,añki,aifi,yamɨŋ,afɨ,afɨ,yamɨŋ,yamɨŋ
4,0.11413505283263214,1.5678468393838918,1.4537117865512597,ñama, ñama, ñama,midaŋ, ñama, ñama, ñama,midaŋ,midaŋ,midaŋ, ñama, ñama, ñama, ñama, ñama,isaŋ, ñama, ñama,midaŋ, ñama, ñama,midaŋ,midaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama,midaŋ, ñama, ñama, ñama, ñama,midaŋ,midaŋ,midaŋ, ñama,midaŋ,ñama, ñama,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,isaŋ,midaŋ,ñama,midaŋ,midaŋ,isaŋ,midaŋ,midaŋ,ñama,midaŋ, ñama,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ, ñama,midaŋ,midaŋ,midaŋ,ñama,midaŋ,ñama, ñama,midaŋ,ñama, ñama, ñama,midaŋ,ñama, ñama,ñama, ñama,midaŋ, ñama, ñama, ñama, ñama,midaŋ,yamɨŋ,añki,aifi,yafaŋ,añki,aifi,afɨ,aifi,aifi,afɨ,yamɨŋ,yamɨŋ,yamɨŋ,afɨ,yafaŋ,afɨ
5,0.11269760602591905,1.5678468393838916,1.4551492333579725,midaŋ,midaŋ, ñama, ñama, ñama, ñama,midaŋ,midaŋ, ñama,ñama,midaŋ, ñama,ñama, ñama, ñama,midaŋ,midaŋ,midaŋ,midaŋ, ñama,midaŋ,midaŋ,midaŋ, ñama, ñama,midaŋ, ñama,midaŋ, ñama,midaŋ, ñama,isaŋ,midaŋ,midaŋ,midaŋ,ñama, ñama, ñama,ñama,midaŋ, ñama,midaŋ,midaŋ,midaŋ,midaŋ, ñama,midaŋ,ñama, ñama,ñama,midaŋ, ñama,midaŋ,midaŋ, ñama,isaŋ, ñama, ñama, ñama,ñama, ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ,midaŋ,ñama,midaŋ, ñama, ñama,midaŋ,midaŋ, ñama, ñama, ñama,ñama,midaŋ,midaŋ,midaŋ,isaŋ, ñama, ñama,midaŋ,midaŋ,yamɨŋ,yafaŋ,aifi,añki,aifi,afɨ,yamɨŋ,añki,yafaŋ,afɨ,aifi,yamɨŋ,yamɨŋ,afɨ,afɨ,aifi
6,0.24981724231510105,1.5526041989756671,1.302786956660566,midaŋ,midaŋ, ñama,midaŋ,midaŋ,midaŋ, ñama, ñama, ñama, ñama, ñama,midaŋ, ñama,midaŋ, ñama, ñama,ñama,midaŋ, ñama, ñama,ñama,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ, ñama, ñama, ñama,midaŋ, ñama, ñama,ñama,midaŋ,ñama, ñama,midaŋ,ñama,midaŋ, ñama, ñama, ñama,ñama,midaŋ, ñama,midaŋ,ñama, ñama, ñama, ñama,midaŋ,midaŋ,isaŋ, ñama,midaŋ,midaŋ, ñama,isaŋ, ñama, ñama,midaŋ, ñama,midaŋ, ñama,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,isaŋ,midaŋ, ñama,midaŋ,midaŋ,midaŋ,midaŋ, ñama, ñama,midaŋ,ñama,ñama,midaŋ,midaŋ,midaŋ,midaŋ,afɨ,aifi,aifi,aifi,yamɨŋ,yamɨŋ,yafaŋ,yamɨŋ,añki,añki,afɨ,yamɨŋ,afɨ,aifi,yafaŋ,afɨ
7,0.19512357473062591,1.5578430301584176,1.3627194554277917, ñama, ñama,midaŋ, ñama,midaŋ,isaŋ, ñama,midaŋ,ñama,midaŋ,midaŋ, ñama,midaŋ, ñama, ñama, ñama,midaŋ,ñama,midaŋ, ñama,midaŋ, ñama, ñama,ñama, ñama,midaŋ,isaŋ, ñama, ñama,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ, ñama,ñama,midaŋ, ñama,midaŋ,isaŋ,midaŋ,midaŋ,midaŋ, ñama, ñama, ñama,midaŋ,midaŋ,midaŋ, ñama,ñama,midaŋ,midaŋ,ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama, ñama, ñama, ñama,midaŋ, ñama, ñama, ñama,ñama,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,ñama, ñama,midaŋ,midaŋ, ñama,midaŋ, ñama,ñama, ñama,midaŋ, ñama,midaŋ,aifi,yamɨŋ,aifi,yamɨŋ,afɨ,añki,afɨ,afɨ,afɨ,yamɨŋ,yafaŋ,aifi,añki,aifi,yafaŋ,yamɨŋ
8,0.2731861560605606,1.5542083472687853,1.2810221912082247, ñama,ñama, ñama,midaŋ,midaŋ, ñama,midaŋ, ñama,midaŋ,midaŋ,midaŋ, ñama,midaŋ, ñama, ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama,ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama, ñama, ñama,midaŋ,midaŋ,midaŋ,midaŋ,ñama, ñama,midaŋ,ñama,ñama, ñama, ñama,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ, ñama,midaŋ,isaŋ, ñama,midaŋ,midaŋ,midaŋ, ñama,ñama, ñama,midaŋ,midaŋ, ñama, ñama,ñama,ñama, ñama,midaŋ, ñama,midaŋ,midaŋ,isaŋ,midaŋ,midaŋ,midaŋ,ñama, ñama, ñama, ñama, ñama, ñama,isaŋ,midaŋ, ñama, ñama,midaŋ, ñama, ñama,midaŋ,aifi,aifi,yamɨŋ,afɨ,yamɨŋ,yafaŋ,yafaŋ,aifi,afɨ,yamɨŋ,afɨ,aifi,añki,yamɨŋ,afɨ,añki
9,0.26319779324596304,1.5814853314989983,1.3182875382530352, ñama,midaŋ, ñama, ñama, ñama,ñama,ñama,ñama, ñama, ñama,midaŋ, ñama, ñama,midaŋ,midaŋ, ñama, ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama,isaŋ,ñama, ñama,midaŋ,midaŋ, ñama, ñama,midaŋ,midaŋ, ñama, ñama,midaŋ, ñama,isaŋ,ñama,midaŋ,midaŋ,midaŋ, ñama,midaŋ, ñama,midaŋ,midaŋ,midaŋ,midaŋ, ñama,ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ,isaŋ,midaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama, ñama,midaŋ, ñama,midaŋ, ñama,midaŋ, ñama,ñama, ñama,midaŋ, ñama,ñama,midaŋ,midaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama,midaŋ,midaŋ, ñama,ñama,yamɨŋ,yamɨŋ,yafaŋ,añki,yamɨŋ,aifi,yamɨŋ,añki,aifi,afɨ,aifi,afɨ,afɨ,afɨ,yafaŋ,aifi
