simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.35926018338177046,1.1223721290669308,0.7631119456851604,sanasī finī,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,foekī,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī finī,akoe foekī nana,sanasī,foekī,akoe foekī nana,kàkī,kàkī,akoe foekī nana,akoe foekī nana,goentamī nana,baba tīnga,baba kōkō,goentamī nana,baba tīnga,baba kōkō,goentamī nana,goentamī nana,goentamī nana,baba tīnga,baba kōkō,goentamī nana,goentamī nana,ja,baba kōkō,baba tīnga,goentamī nana
1,0.3511502820806548,1.2056282324887189,0.8544779504080641,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī finī,sanasī,foekī,kàkī,akoe foekī nana,akoe foekī nana,akoe foekī nana,foekī,akoe foekī nana,akoe foekī nana,akoe foekī nana,kàkī,akoe foekī nana,sanasī finī,baba kōkō,goentamī nana,goentamī nana,goentamī nana,ja,goentamī nana,baba kōkō,baba tīnga,goentamī nana,goentamī nana,baba tīnga,baba tīnga,baba tīnga,baba kōkō,goentamī nana,baba kōkō,goentamī nana
2,0.29997779548800296,1.2056282324887189,0.9056504370007159,akoe foekī nana,sanasī finī,sanasī finī,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,foekī,foekī,akoe foekī nana,sanasī,akoe foekī nana,akoe foekī nana,akoe foekī nana,kàkī,akoe foekī nana,akoe foekī nana,akoe foekī nana,kàkī,akoe foekī nana,sanasī,baba kōkō,goentamī nana,baba tīnga,goentamī nana,baba tīnga,goentamī nana,goentamī nana,baba kōkō,goentamī nana,baba tīnga,baba kōkō,goentamī nana,goentamī nana,baba tīnga,goentamī nana,baba kōkō,ja
3,0.26855193999465443,1.2056282324887189,0.9370762924940644,foekī,akoe foekī nana,sanasī finī,sanasī,akoe foekī nana,kàkī,akoe foekī nana,foekī,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī,akoe foekī nana,akoe foekī nana,sanasī finī,akoe foekī nana,kàkī,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,baba tīnga,goentamī nana,baba kōkō,baba kōkō,goentamī nana,baba kōkō,baba tīnga,baba tīnga,goentamī nana,goentamī nana,goentamī nana,ja,goentamī nana,baba kōkō,goentamī nana,goentamī nana,baba tīnga
4,0.33966903290367245,1.2056282324887189,0.8659591995850464,akoe foekī nana,kàkī,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī,foekī,foekī,sanasī finī,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī finī,akoe foekī nana,kàkī,sanasī,akoe foekī nana,akoe foekī nana,akoe foekī nana,baba kōkō,ja,baba kōkō,baba tīnga,baba kōkō,baba tīnga,goentamī nana,goentamī nana,goentamī nana,baba kōkō,goentamī nana,goentamī nana,baba tīnga,goentamī nana,baba tīnga,goentamī nana,goentamī nana
5,0.24419190765945054,1.2056282324887189,0.9614363248292683,foekī,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,kàkī,akoe foekī nana,akoe foekī nana,sanasī,akoe foekī nana,sanasī,kàkī,akoe foekī nana,sanasī finī,foekī,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī finī,baba kōkō,baba tīnga,ja,goentamī nana,goentamī nana,baba kōkō,baba kōkō,goentamī nana,goentamī nana,goentamī nana,baba tīnga,goentamī nana,baba tīnga,goentamī nana,baba tīnga,goentamī nana,baba kōkō
6,0.2873442185272177,1.2056282324887189,0.9182840139615012,kàkī,akoe foekī nana,akoe foekī nana,foekī,akoe foekī nana,akoe foekī nana,kàkī,akoe foekī nana,sanasī,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī finī,akoe foekī nana,sanasī finī,sanasī,foekī,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,baba kōkō,baba kōkō,goentamī nana,goentamī nana,baba kōkō,baba tīnga,baba kōkō,baba tīnga,goentamī nana,baba tīnga,ja,goentamī nana,goentamī nana,baba tīnga,goentamī nana,goentamī nana,goentamī nana
7,0.2584841832193101,1.2056282324887189,0.9471440492694088,sanasī,sanasī finī,sanasī finī,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,kàkī,kàkī,akoe foekī nana,akoe foekī nana,sanasī,foekī,foekī,akoe foekī nana,akoe foekī nana,akoe foekī nana,baba tīnga,goentamī nana,goentamī nana,baba kōkō,goentamī nana,ja,goentamī nana,baba kōkō,baba tīnga,baba tīnga,baba kōkō,goentamī nana,goentamī nana,goentamī nana,baba tīnga,baba kōkō,goentamī nana
8,0.24377935252109917,1.1223721290669308,0.8785927765458317,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,foekī,akoe foekī nana,akoe foekī nana,sanasī,foekī,akoe foekī nana,akoe foekī nana,sanasī,kàkī,akoe foekī nana,akoe foekī nana,akoe foekī nana,kàkī,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī finī,sanasī finī,akoe foekī nana,akoe foekī nana,goentamī nana,baba kōkō,goentamī nana,baba tīnga,baba kōkō,baba kōkō,goentamī nana,baba tīnga,baba kōkō,goentamī nana,ja,baba tīnga,goentamī nana,goentamī nana,baba tīnga,goentamī nana,goentamī nana
9,0.3288365479738098,1.122372129066931,0.7935355810931213,foekī,akoe foekī nana,kàkī,akoe foekī nana,akoe foekī nana,foekī,akoe foekī nana,akoe foekī nana,sanasī,kàkī,akoe foekī nana,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī,akoe foekī nana,akoe foekī nana,sanasī finī,akoe foekī nana,akoe foekī nana,akoe foekī nana,sanasī finī,akoe foekī nana,akoe foekī nana,goentamī nana,ja,goentamī nana,baba kōkō,goentamī nana,baba kōkō,baba tīnga,baba tīnga,goentamī nana,baba tīnga,goentamī nana,baba kōkō,baba kōkō,baba tīnga,goentamī nana,goentamī nana,goentamī nana
