simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFZS,fMBS,fMZS,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.490443040983638,2.0465230128588625,1.5560799718752245,natata,puyurru,nartala,puyurru,kami,kami,"kami, kaku",kaku,"kami, kaku",kami,"karti, kami","kami, kaku",kami,kami,kami,natata,puyurru,papa,nhiyi,natata,kami,kami,kami,puyurru,papa,kaku,kaku,natata,natata,"karti, kami",natarta,natata,natata,kami,kami,kami,"karti, kami",kaku,kami,kami,nhiyi,puyurru,kami,kami,"kami, kaku",natata,kami,kami,puyurru,papa,kami,kami,kaku,natata,"karti, kami",kaku,kami,kami,kami,puyurru,natata,kami,kami,kami,puyurru,kaku,"kami, kaku",kami,kami,puyurru,kami,"karti, kami",nhiyi,puyurru,kami,papa,tyipi,ngapiri,yandri waka,papa,ngandrri,tyipi,ngapiri,kaka,titnaRa,yandri waka,papa,ngapiri,ngapiri,ngapiri,"papa, yapa","papa, yapa",titnaRa,ngapiri,kaka,ngandrri
1,0.5574408969634785,1.9161949423955242,1.3587540454320457,kaku,kami,puyurru,natata,kami,"kami, kaku",natarta,natata,natata,kaku,kami,puyurru,kami,kami,nartala,"karti, kami","karti, kami",kaku,kami,puyurru,natata,kami,kaku,kaku,kami,"kami, kaku",kami,papa,kami,puyurru,kami,kami,"kami, kaku",kami,natata,natata,"karti, kami",puyurru,papa,kami,papa,natata,natata,"karti, kami",kami,kami,kaku,puyurru,kami,kami,kami,kami,kami,nhiyi,papa,puyurru,kami,natata,kami,"karti, kami",kami,kami,kami,nhiyi,puyurru,kami,kaku,kami,kami,"kami, kaku",natata,puyurru,puyurru,"kami, kaku",kami,nhiyi,tyipi,ngapiri,"papa, yapa",kaka,titnaRa,ngandrri,ngapiri,ngapiri,ngapiri,papa,yandri waka,ngapiri,papa,ngandrri,titnaRa,yandri waka,ngapiri,tyipi,kaka,"papa, yapa"
2,0.5308537375169897,1.897501465002443,1.3666477274854534,puyurru,kami,kami,"kami, kaku",kami,"karti, kami",natata,kami,kami,puyurru,"karti, kami",kami,papa,"karti, kami",kami,kami,kami,kaku,kami,kaku,kami,kami,natarta,kaku,kami,kami,kami,kami,papa,natata,"kami, kaku",kaku,papa,kami,natata,kami,natata,"kami, kaku",kami,"karti, kami","karti, kami",nartala,kami,kami,kami,natata,kami,"kami, kaku",kami,"kami, kaku",kami,kaku,kami,puyurru,puyurru,puyurru,natata,nhiyi,kaku,nhiyi,natata,nhiyi,puyurru,puyurru,kami,kami,puyurru,kami,puyurru,papa,natata,kami,puyurru,kaku,natata,natata,papa,ngapiri,tyipi,ngapiri,titnaRa,ngapiri,ngandrri,titnaRa,papa,ngapiri,yandri waka,ngapiri,ngandrri,kaka,ngapiri,yandri waka,"papa, yapa",kaka,tyipi,"papa, yapa"
3,0.6583640025740729,1.9867524187568422,1.3283884161827693,kami,natarta,natata,puyurru,kami,papa,kaku,puyurru,puyurru,puyurru,kami,puyurru,kami,natata,kami,"karti, kami",kami,natata,kami,"kami, kaku",kami,kaku,"kami, kaku","karti, kami",kaku,natata,kami,puyurru,kaku,kami,kami,"kami, kaku",kami,kami,kami,kami,kami,kaku,papa,kami,puyurru,natata,natata,"kami, kaku","kami, kaku",kami,kami,"karti, kami",papa,kaku,kami,"karti, kami",kami,"karti, kami",puyurru,kami,kami,nhiyi,nhiyi,natata,kami,nartala,kami,kami,kami,natata,kami,natata,kami,kaku,puyurru,nhiyi,kami,natata,puyurru,papa,ngandrri,ngapiri,ngandrri,papa,kaka,ngapiri,ngapiri,titnaRa,ngapiri,tyipi,ngapiri,"papa, yapa",yandri waka,ngapiri,"papa, yapa",papa,kaka,yandri waka,tyipi,titnaRa
4,0.6319399959340801,1.986752418756842,1.3548124228227618,kami,natata,nhiyi,kami,kami,kami,natata,kami,papa,kami,natata,natata,kami,kaku,puyurru,nartala,"kami, kaku",puyurru,kami,kaku,kaku,kami,kami,"kami, kaku","karti, kami","karti, kami",kami,nhiyi,kaku,kami,kami,"kami, kaku",natata,puyurru,"kami, kaku",kaku,kami,kami,kami,kami,kami,kami,kami,kami,papa,puyurru,puyurru,papa,nhiyi,papa,"karti, kami",kami,"kami, kaku",kami,natarta,kami,kaku,natata,natata,kami,natata,kami,kami,kami,puyurru,kami,puyurru,kaku,puyurru,"karti, kami","karti, kami",kami,puyurru,natata,natata,puyurru,tyipi,yandri waka,tyipi,yandri waka,ngandrri,"papa, yapa",papa,ngapiri,ngapiri,kaka,ngapiri,ngapiri,titnaRa,ngapiri,ngandrri,papa,kaka,titnaRa,"papa, yapa",ngapiri
5,0.7437893994737284,1.8778677035935396,1.1340783041198113,kami,"karti, kami",kami,kami,puyurru,papa,"karti, kami",kami,"kami, kaku","kami, kaku",kami,"karti, kami","kami, kaku",kaku,kami,puyurru,kami,kami,kami,kami,kami,natata,natata,kami,puyurru,kami,puyurru,nhiyi,kaku,kaku,kami,puyurru,puyurru,natata,papa,kami,kami,"karti, kami",kami,papa,kaku,natata,kami,natata,kami,natata,puyurru,nartala,kami,kami,natata,natata,puyurru,"kami, kaku",kami,kaku,kaku,natata,"karti, kami","kami, kaku",papa,puyurru,kami,natata,kami,kami,kami,kami,natarta,nhiyi,kami,nhiyi,kami,puyurru,kami,kaku,yandri waka,tyipi,ngapiri,ngapiri,ngandrri,kaka,papa,kaka,titnaRa,ngapiri,tyipi,"papa, yapa","papa, yapa",titnaRa,ngapiri,ngapiri,yandri waka,ngapiri,ngandrri,papa
6,0.6216456067282012,1.897501465002443,1.2758558582742419,natarta,nartala,kami,"karti, kami",kami,kaku,nhiyi,puyurru,kami,kami,papa,"karti, kami",kami,puyurru,kaku,natata,"kami, kaku",kaku,"kami, kaku",puyurru,"karti, kami","kami, kaku",natata,kaku,kami,kami,natata,kami,kami,kami,kami,kami,"kami, kaku",nhiyi,kami,puyurru,puyurru,kami,natata,kami,natata,kami,kami,kaku,papa,kami,natata,kami,kami,nhiyi,kami,puyurru,kami,kami,kaku,puyurru,puyurru,papa,puyurru,puyurru,kami,kami,kami,kami,natata,natata,"kami, kaku","karti, kami",natata,papa,natata,kaku,kami,kami,"karti, kami",kami,ngandrri,ngapiri,ngapiri,yandri waka,yandri waka,ngandrri,ngapiri,titnaRa,kaka,titnaRa,papa,ngapiri,tyipi,kaka,ngapiri,tyipi,papa,ngapiri,"papa, yapa","papa, yapa"
7,0.30994105356592394,1.8232356956567348,1.5132946420908109,kami,kami,kami,kaku,natata,puyurru,natata,papa,natata,kami,kaku,natarta,"karti, kami",kami,kami,"kami, kaku",papa,kami,kaku,kami,kami,puyurru,natata,puyurru,kami,kami,puyurru,kami,kami,"kami, kaku",kami,natata,kami,"kami, kaku","kami, kaku",puyurru,nhiyi,"karti, kami",kami,kami,kami,nhiyi,kami,kaku,papa,kami,kaku,papa,kaku,"karti, kami",puyurru,"karti, kami",puyurru,kaku,natata,natata,kami,natata,"kami, kaku",puyurru,natata,kami,kami,kami,nartala,kami,kami,kami,"karti, kami",kami,kami,puyurru,natata,kami,nhiyi,puyurru,ngapiri,ngapiri,ngapiri,papa,yandri waka,kaka,ngandrri,titnaRa,ngapiri,yandri waka,titnaRa,ngapiri,"papa, yapa","papa, yapa",ngandrri,tyipi,papa,tyipi,kaka,ngapiri
8,0.6843862744415647,1.9978501624986926,1.3134638880571279,papa,nartala,natata,kaku,kami,kaku,natata,natata,kami,kami,papa,puyurru,natata,kami,kaku,kami,"karti, kami",natata,kaku,puyurru,kaku,"kami, kaku",kami,kami,kaku,kami,"kami, kaku",puyurru,natata,natata,nhiyi,kami,nhiyi,kami,kami,papa,kami,puyurru,kami,"karti, kami",kami,kami,natata,kami,puyurru,kami,natarta,puyurru,kami,"kami, kaku",kami,papa,kami,kami,kami,kami,kami,natata,"kami, kaku",kami,kami,puyurru,kami,"karti, kami",natata,puyurru,"karti, kami",kami,kami,puyurru,"karti, kami",nhiyi,puyurru,"kami, kaku",kaku,kami,kaka,ngapiri,tyipi,ngandrri,"papa, yapa",yandri waka,yandri waka,ngapiri,ngapiri,ngapiri,papa,titnaRa,ngapiri,ngandrri,ngapiri,kaka,"papa, yapa",titnaRa,papa,tyipi
9,0.5204635913448967,1.971219341769619,1.4507557504247224,puyurru,kaku,"karti, kami","kami, kaku",papa,kami,kami,puyurru,nhiyi,natarta,kami,kami,kami,nhiyi,kami,papa,kami,"kami, kaku",kami,puyurru,natata,kami,natata,puyurru,kami,kami,puyurru,"karti, kami",kami,natata,kami,"karti, kami",kami,kami,kami,kami,natata,kami,natata,kami,puyurru,kami,"kami, kaku",puyurru,kaku,puyurru,puyurru,"kami, kaku","kami, kaku","karti, kami",natata,kami,kaku,kami,natata,kami,papa,kami,kaku,"karti, kami",nartala,kaku,kami,puyurru,kami,papa,kami,kaku,natata,kaku,kami,kami,natata,natata,kami,nhiyi,kaka,ngapiri,ngapiri,yandri waka,kaka,ngandrri,ngapiri,tyipi,"papa, yapa",titnaRa,ngapiri,ngandrri,titnaRa,ngapiri,papa,yandri waka,papa,ngapiri,"papa, yapa",tyipi
