simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,feB,fyB,feZ,myZ,fyZ,meB,mM,mFZ,mFeZ,mFyZ,fM,fFZ,fFeZ,fFyZ,mF,fF,mFB,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,fFB,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB
0,0.11787281636975805,0.5455945739691843,0.42772175759942627,yigu,malyu,buwa,gurra,buwa,gurra,yigu,malyu,manggan,bibi,ganggu,bibi,ganggu,manggan,manggan,ganggu,ganggu,ganggu,ganggu,ganggu,ganggu,manggan,ganggu,manggan,manggan,manggan,mama,ganggu,mama,ganggu,manggan,manggan,ganggu,manggan,manggan,manggan
1,0.21940766547038654,0.5455945739691843,0.3261869084987978,gurra,malyu,yigu,buwa,buwa,gurra,yigu,malyu,ganggu,ganggu,ganggu,ganggu,manggan,ganggu,ganggu,manggan,manggan,manggan,manggan,ganggu,ganggu,ganggu,mama,manggan,manggan,manggan,manggan,bibi,mama,manggan,ganggu,manggan,ganggu,ganggu,manggan,bibi
2,0.23963434692164787,1.0551016181686423,0.8154672712469945,yigu,gurra,gurra,malyu,malyu,yigu,buwa,buwa,ganggu,ganggu,manggan,ganggu,mama,manggan,manggan,manggan,manggan,ganggu,manggan,manggan,manggan,ganggu,ganggu,ganggu,ganggu,manggan,mama,manggan,ganggu,manggan,ganggu,bibi,ganggu,manggan,bibi,ganggu
3,0.03904226061952276,0.6914160776171183,0.6523738169975956,malyu,gurra,yigu,buwa,malyu,yigu,gurra,buwa,manggan,bibi,manggan,mama,ganggu,ganggu,ganggu,ganggu,manggan,ganggu,manggan,manggan,ganggu,ganggu,bibi,ganggu,ganggu,manggan,ganggu,manggan,mama,ganggu,ganggu,manggan,manggan,manggan,manggan,manggan
4,0.20213571486892168,1.0176029861159162,0.8154672712469945,yigu,gurra,buwa,malyu,malyu,buwa,gurra,yigu,mama,manggan,bibi,ganggu,ganggu,manggan,ganggu,ganggu,manggan,manggan,manggan,mama,ganggu,manggan,bibi,ganggu,ganggu,ganggu,manggan,manggan,manggan,ganggu,manggan,ganggu,manggan,manggan,ganggu,ganggu
5,0.20213571486892168,1.0176029861159162,0.8154672712469945,gurra,gurra,malyu,buwa,malyu,yigu,yigu,buwa,mama,ganggu,ganggu,ganggu,manggan,mama,manggan,ganggu,manggan,ganggu,ganggu,manggan,manggan,ganggu,manggan,manggan,manggan,bibi,ganggu,ganggu,manggan,manggan,bibi,ganggu,ganggu,ganggu,manggan,manggan
6,0.117872816369758,0.5455945739691843,0.4277217575994263,buwa,gurra,yigu,malyu,yigu,buwa,gurra,malyu,manggan,ganggu,ganggu,manggan,ganggu,manggan,manggan,manggan,manggan,manggan,manggan,ganggu,ganggu,manggan,ganggu,ganggu,manggan,ganggu,ganggu,ganggu,bibi,ganggu,mama,ganggu,mama,bibi,manggan,manggan
7,0.03904226061952276,0.6914160776171183,0.6523738169975956,buwa,buwa,gurra,yigu,malyu,yigu,malyu,gurra,ganggu,ganggu,manggan,manggan,ganggu,manggan,ganggu,ganggu,manggan,manggan,ganggu,bibi,mama,manggan,manggan,bibi,mama,ganggu,ganggu,manggan,manggan,ganggu,manggan,manggan,ganggu,manggan,ganggu,ganggu
8,0.03904226061952276,1.0176029861159162,0.9785607254963934,malyu,yigu,yigu,gurra,buwa,buwa,malyu,gurra,mama,ganggu,ganggu,ganggu,manggan,manggan,manggan,ganggu,manggan,ganggu,bibi,ganggu,ganggu,manggan,manggan,manggan,manggan,ganggu,manggan,ganggu,mama,manggan,ganggu,manggan,manggan,bibi,ganggu,ganggu
9,0.17807574177287766,0.605797499372304,0.4277217575994263,gurra,yigu,malyu,buwa,gurra,yigu,malyu,buwa,manggan,ganggu,ganggu,mama,manggan,manggan,manggan,ganggu,ganggu,manggan,ganggu,ganggu,ganggu,ganggu,manggan,ganggu,bibi,manggan,ganggu,manggan,manggan,manggan,manggan,manggan,mama,ganggu,ganggu,bibi
