simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.3802533804246817,1.7766106881188812,1.3963573076941995,itatét,0,0,0,0,itatiý,ikypiýt,itiwýt,itiwýt,0,inhýt,0,0,inhýt,0,inhýt,0,itatiý,itatiý,0,ikypiýt,0,0,inhýt,0,ikiwýt,ikiwýt,ikiwýt,ikiwýt,inhýt,0,itatét,itatét,0,0,0,0,0,0,ikiwýt,inhýt,0,ikypiýt,0,0,ikiwýt,ikiwýt,itiwýt,ikiwýt,0,0,0,inhýt,0,itiwýt,0,inhýt,ikiwýt,0,0,inhýt,0,itatét,ikypiýt,0,0,0,ikiwýt,0,0,0,itatét,0,0,0,ikypiýt,0,0,0,inhýt,itiwýt,0,0,itatiý,0,0,0,inhýt,0,itatiý,0,0,0,hapáiiwyt,anguý,0,aieié,anguý,aieié,0,apí,awái,hapáiiwyt,apí,awái,hapáiiwyt,0,hapái,hapái,hapáiiwyt
1,0.2978287256490628,1.8030493820909286,1.5052206564418658,0,itiwýt,0,0,0,0,0,ikiwýt,itatiý,ikypiýt,ikiwýt,0,ikiwýt,0,0,0,inhýt,0,0,0,0,0,ikiwýt,0,itatét,0,0,0,0,inhýt,inhýt,0,0,0,ikiwýt,inhýt,0,0,0,ikiwýt,ikiwýt,0,itiwýt,0,itatét,0,itatiý,ikiwýt,inhýt,inhýt,inhýt,itatiý,0,0,itatiý,0,ikypiýt,0,ikypiýt,inhýt,0,ikypiýt,itatét,inhýt,0,inhýt,0,itatét,itiwýt,0,0,0,itatét,0,0,itatiý,0,0,ikypiýt,0,itiwýt,ikiwýt,0,0,0,itiwýt,ikiwýt,0,0,inhýt,hapáiiwyt,apí,0,anguý,anguý,aieié,hapái,awái,awái,aieié,hapáiiwyt,0,0,hapái,hapáiiwyt,0,0,apí,0,hapáiiwyt
2,0.4153846312310667,1.8550104676019843,1.4396258363709176,itiwýt,0,0,0,ikypiýt,inhýt,ikiwýt,0,ikiwýt,0,itatét,0,0,ikiwýt,0,inhýt,0,itatiý,ikiwýt,0,0,0,0,ikiwýt,itatiý,0,itatiý,itiwýt,itiwýt,inhýt,0,0,0,ikypiýt,0,inhýt,ikiwýt,itiwýt,inhýt,ikiwýt,0,inhýt,ikypiýt,0,itatiý,0,0,itiwýt,0,0,0,inhýt,inhýt,0,0,ikiwýt,ikypiýt,0,inhýt,0,0,0,0,inhýt,0,itatét,0,0,0,ikiwýt,0,ikiwýt,0,0,0,0,0,itatét,0,ikypiýt,0,0,0,0,itatét,itatiý,0,inhýt,itatét,0,hapáiiwyt,aieié,hapáiiwyt,apí,hapái,0,hapáiiwyt,hapáiiwyt,0,awái,anguý,0,0,0,anguý,aieié,0,hapái,awái,apí
3,0.34536098541251237,1.792061394114062,1.4467004087015496,0,0,ikypiýt,0,0,ikiwýt,0,0,0,0,itiwýt,inhýt,0,inhýt,0,ikiwýt,0,0,ikiwýt,inhýt,itiwýt,0,0,0,0,inhýt,itatiý,0,itatiý,0,0,itatét,ikiwýt,ikiwýt,itatiý,ikypiýt,ikypiýt,inhýt,0,ikypiýt,0,0,0,inhýt,ikiwýt,inhýt,0,0,itatét,0,0,0,0,0,itatét,itiwýt,0,ikiwýt,0,0,inhýt,0,0,0,0,0,0,0,itatiý,itatét,0,0,itiwýt,0,0,inhýt,inhýt,itatét,0,itiwýt,0,ikiwýt,0,ikypiýt,0,ikiwýt,ikiwýt,inhýt,itatiý,0,0,aieié,0,hapái,0,0,awái,anguý,hapáiiwyt,hapái,hapáiiwyt,0,anguý,apí,0,hapáiiwyt,awái,apí,hapáiiwyt,aieié
4,0.47811385722356525,1.7953940716856809,1.3172802144621156,0,0,0,0,0,itatét,inhýt,0,0,inhýt,itatiý,ikiwýt,ikypiýt,0,ikiwýt,0,inhýt,ikiwýt,0,inhýt,itatét,ikiwýt,0,0,itiwýt,itiwýt,0,inhýt,0,ikypiýt,0,0,inhýt,0,0,0,0,ikiwýt,ikiwýt,inhýt,itatiý,0,0,ikypiýt,ikiwýt,0,0,0,0,itiwýt,0,0,0,itiwýt,0,itatiý,itatét,itatét,inhýt,0,0,0,0,itatét,ikypiýt,0,0,0,itatiý,0,0,inhýt,0,inhýt,0,0,0,0,ikiwýt,0,inhýt,itatiý,ikypiýt,0,0,0,0,ikiwýt,ikiwýt,itiwýt,0,hapáiiwyt,awái,hapáiiwyt,anguý,awái,aieié,0,0,apí,0,hapáiiwyt,0,hapáiiwyt,anguý,hapái,apí,0,hapái,aieié
5,0.3449410116750633,1.7961948500304992,1.4512538383554359,itatiý,ikiwýt,0,0,0,0,0,0,ikiwýt,ikypiýt,ikiwýt,0,ikiwýt,inhýt,0,ikypiýt,0,0,inhýt,0,inhýt,itiwýt,0,0,ikiwýt,0,0,itiwýt,0,0,ikypiýt,itiwýt,0,itatiý,inhýt,0,0,ikiwýt,0,0,0,0,itatét,0,0,itiwýt,0,ikiwýt,0,inhýt,0,0,0,0,0,0,itatiý,ikiwýt,itatét,0,0,itatét,ikiwýt,0,inhýt,0,itatiý,0,0,0,inhýt,inhýt,itiwýt,0,0,0,inhýt,0,ikiwýt,inhýt,itatét,0,ikypiýt,0,ikypiýt,0,0,itatiý,inhýt,itatét,hapái,0,0,hapáiiwyt,aieié,anguý,0,aieié,anguý,apí,awái,hapáiiwyt,hapáiiwyt,apí,0,0,hapáiiwyt,hapái,0,awái
6,0.4574396633097524,1.874132733741788,1.4166930704320355,0,0,0,0,0,itiwýt,0,ikypiýt,ikypiýt,0,0,0,0,0,0,0,0,itatiý,0,itatét,itiwýt,inhýt,itiwýt,itatiý,ikiwýt,inhýt,itatiý,0,itatiý,ikiwýt,0,inhýt,0,0,0,0,0,itiwýt,0,ikiwýt,itatét,0,0,0,inhýt,ikypiýt,0,0,inhýt,itatét,0,0,0,ikiwýt,0,ikiwýt,itiwýt,itatét,0,0,ikiwýt,inhýt,inhýt,0,0,inhýt,0,0,0,0,ikypiýt,ikypiýt,inhýt,0,0,ikiwýt,0,itatét,0,0,inhýt,ikiwýt,ikiwýt,0,0,inhýt,0,0,ikiwýt,itatiý,aieié,anguý,hapáiiwyt,hapái,apí,aieié,awái,hapái,hapáiiwyt,hapáiiwyt,apí,0,0,0,0,hapáiiwyt,awái,0,anguý,0
7,0.35616881619125773,1.807182838007366,1.4510140218161083,ikiwýt,0,0,ikypiýt,0,0,0,0,ikypiýt,itatét,ikiwýt,inhýt,ikiwýt,0,0,0,itiwýt,0,itatét,inhýt,0,itatét,0,0,itiwýt,itatiý,0,0,0,0,0,ikiwýt,ikypiýt,0,itiwýt,inhýt,ikypiýt,itiwýt,inhýt,0,inhýt,ikiwýt,ikiwýt,0,0,0,itatét,0,0,itatiý,ikiwýt,0,0,0,inhýt,itatiý,0,0,0,0,inhýt,ikiwýt,0,inhýt,0,inhýt,0,0,itatiý,0,0,0,ikypiýt,itatét,inhýt,0,0,0,0,0,0,itiwýt,0,inhýt,0,0,itatiý,ikiwýt,0,ikiwýt,anguý,hapáiiwyt,hapái,apí,anguý,hapái,0,awái,awái,0,aieié,0,0,apí,0,hapáiiwyt,hapáiiwyt,aieié,hapáiiwyt,0
8,0.357756717086237,1.802132895983679,1.444376178897442,0,0,0,0,ikypiýt,itatiý,itatiý,0,0,itatét,inhýt,inhýt,ikypiýt,0,itiwýt,inhýt,ikypiýt,itiwýt,0,0,0,0,0,0,0,0,0,inhýt,0,0,0,inhýt,0,itatiý,ikiwýt,0,0,itatiý,0,ikiwýt,0,ikiwýt,0,0,itatét,itatiý,0,inhýt,0,0,ikiwýt,ikiwýt,ikiwýt,ikiwýt,itiwýt,0,0,0,0,0,inhýt,0,itiwýt,inhýt,ikiwýt,0,ikypiýt,0,0,0,inhýt,itatét,0,0,0,0,0,inhýt,inhýt,ikiwýt,0,0,0,0,itatét,0,itatét,ikiwýt,itiwýt,ikypiýt,0,anguý,0,hapáiiwyt,anguý,hapáiiwyt,0,hapáiiwyt,hapái,awái,0,awái,hapái,aieié,aieié,apí,0,0,apí,hapáiiwyt
9,0.29024336365507697,1.8176123487692262,1.5273689851141492,ikiwýt,0,itatiý,0,0,ikiwýt,0,ikypiýt,0,0,0,itatiý,0,0,0,inhýt,0,0,0,0,ikiwýt,0,inhýt,0,0,itatét,0,0,inhýt,0,ikiwýt,0,0,0,inhýt,itatiý,ikypiýt,inhýt,0,0,itatiý,ikiwýt,0,inhýt,ikypiýt,ikiwýt,itiwýt,0,itiwýt,0,ikiwýt,inhýt,0,0,0,0,0,itatiý,0,itiwýt,0,itatét,inhýt,ikiwýt,ikiwýt,0,ikypiýt,0,itiwýt,0,0,0,ikiwýt,0,0,itatét,inhýt,itatét,0,0,inhýt,0,0,itatét,inhýt,0,0,0,itiwýt,ikypiýt,aieié,awái,anguý,hapáiiwyt,0,hapáiiwyt,hapáiiwyt,aieié,awái,anguý,0,0,hapáiiwyt,apí,0,0,hapái,0,apí,hapái
