simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.044390974967402186,1.034601232910181,0.9902102579427788,olia,wobia,wobia,olia,wobia,wobia,olia,olia,olia,olia,nana,nana,olia,nana,nana,wobia,wobia,olia,olia,olia,nana,nana,nana,olia,nana,wobia,wobia,olia,olia,nana,nana,wobia,wobia,wobia,olia,wobia,olia,olia,bia,woga,ida,bia,ida,ida,bia,ida,bia,ango,woga,ango,woga,ida,bia,woga,bia,ango,ida,ango
1,0.24243302655595822,1.0346012329101812,0.792168206354223,olia,wobia,wobia,olia,nana,nana,wobia,wobia,wobia,wobia,nana,nana,nana,olia,wobia,wobia,wobia,olia,wobia,nana,olia,olia,nana,olia,olia,wobia,olia,olia,olia,nana,olia,nana,wobia,olia,olia,olia,olia,nana,bia,ango,woga,bia,ango,ida,bia,bia,bia,ida,ango,ida,bia,woga,ida,woga,ida,ango,woga,ida
2,0.044390974967402186,1.034601232910181,0.9902102579427788,wobia,wobia,olia,olia,wobia,nana,wobia,olia,wobia,wobia,olia,olia,nana,wobia,olia,nana,wobia,nana,olia,nana,wobia,wobia,olia,nana,nana,olia,nana,olia,olia,olia,olia,olia,nana,olia,wobia,nana,olia,wobia,woga,bia,ida,woga,ango,woga,bia,bia,woga,ida,ida,bia,bia,bia,ida,ango,ango,ango,ida,ida
3,0.16353168475831126,1.3760552852604169,1.2125236005021056,wobia,olia,wobia,olia,nana,olia,olia,wobia,wobia,nana,olia,olia,olia,wobia,olia,wobia,olia,olia,nana,nana,wobia,wobia,nana,nana,wobia,olia,olia,olia,nana,olia,nana,wobia,olia,wobia,nana,wobia,olia,nana,bia,woga,ida,ango,ida,bia,ango,bia,woga,ida,woga,ango,ida,ida,ida,woga,ango,bia,bia,bia
4,0.10109274270407298,1.0346012329101812,0.9335084902061083,nana,wobia,nana,nana,nana,wobia,nana,olia,nana,olia,wobia,wobia,wobia,nana,olia,olia,olia,wobia,olia,olia,wobia,wobia,olia,olia,olia,wobia,wobia,nana,nana,nana,olia,wobia,olia,wobia,olia,olia,olia,olia,bia,ida,woga,ida,ida,ida,bia,ango,bia,woga,ida,bia,ango,ida,ango,woga,bia,bia,woga,ango
5,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,wobia,olia,olia,wobia,nana,wobia,olia,wobia,nana,olia,wobia,olia,olia,nana,wobia,nana,wobia,olia,wobia,wobia,nana,nana,olia,olia,nana,olia,olia,nana,olia,wobia,olia,nana,wobia,olia,olia,nana,olia,wobia,ango,ida,ida,ango,ango,woga,bia,woga,bia,ango,woga,ida,ida,bia,bia,ida,bia,ida,bia,woga
6,0.08176584237915574,1.0346012329101812,0.9528353905310255,wobia,olia,nana,olia,nana,olia,olia,nana,olia,wobia,olia,olia,nana,nana,olia,wobia,wobia,wobia,wobia,wobia,olia,olia,olia,nana,olia,wobia,wobia,nana,nana,nana,olia,olia,wobia,wobia,olia,olia,nana,wobia,ida,ango,woga,ida,ida,bia,bia,woga,bia,bia,bia,ida,woga,ango,woga,bia,ida,ango,ida,ango
7,0.20505815914420478,1.0346012329101812,0.8295430737659765,wobia,olia,nana,wobia,olia,nana,olia,olia,nana,olia,wobia,olia,nana,olia,nana,wobia,nana,olia,wobia,wobia,olia,wobia,olia,olia,olia,wobia,nana,wobia,wobia,olia,olia,nana,wobia,nana,wobia,olia,olia,nana,ida,ango,bia,ango,ida,bia,ida,woga,woga,bia,ida,ango,bia,woga,woga,bia,ida,bia,ango,ida
8,0.06866226593817348,1.0346012329101812,0.9659389669720078,wobia,wobia,wobia,nana,olia,olia,olia,wobia,olia,olia,nana,nana,nana,wobia,wobia,wobia,wobia,olia,wobia,nana,nana,olia,olia,nana,olia,nana,nana,olia,olia,olia,olia,olia,wobia,nana,olia,olia,wobia,wobia,ango,ida,ida,bia,ida,ida,woga,woga,bia,ida,bia,bia,ango,ango,ango,bia,woga,bia,woga,ida
9,0.03757828660010831,0.5195798391305154,0.4820015525304071,olia,olia,wobia,wobia,olia,nana,olia,nana,wobia,olia,olia,olia,wobia,olia,nana,olia,nana,nana,nana,nana,olia,nana,wobia,wobia,wobia,wobia,olia,wobia,olia,nana,olia,olia,wobia,wobia,wobia,nana,olia,olia,ida,ango,ida,ida,ango,ango,woga,bia,bia,bia,bia,bia,ango,ida,ida,woga,woga,ida,bia,woga
