simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.11532714482279027,1.0439676895764558,0.9286405447536655,tahini,tungane-kave,tokana,tahini-kave,tahini,tungane-kave,tokana,tungane,kave,tungane-kave,tokana,kave,tungane-kave,tokana,kave,teina,kave,kave,tahini,tungane,teina,tahini-kave,teina,tungane,tahini-kave,kave,tokana,tahini,tungane,kave,tungane,tahini,tahini,tahini-kave,kave,teina,teina,tungane,hina,ingoa,ingoa,hina,hina,hama,ingoa,hama,hama,ingoa,hina,hina,hama,hina,hina,hina,hina,hama,hina,hama
1,0.20040286392817797,1.009613758174038,0.8092108942458601,tahini,tungane-kave,tungane-kave,tahini-kave,tokana,tahini-kave,tungane,kave,kave,tungane-kave,tokana,tungane,tahini-kave,tungane,tokana,tokana,kave,tahini,kave,kave,teina,tahini,tungane-kave,tungane,teina,teina,teina,tahini,teina,kave,tungane,tahini,kave,tahini-kave,tungane,tokana,kave,tahini,hina,hina,hina,hina,hama,ingoa,ingoa,hina,hama,hina,hina,hina,hama,hama,hama,hina,hama,ingoa,ingoa,hina
2,0.22257693285792668,1.0374312377016655,0.8148543048437388,tungane-kave,tahini,tungane,kave,tahini,tahini,tahini,tahini,tahini-kave,teina,kave,tahini-kave,tokana,teina,kave,teina,tahini,tungane-kave,tungane,tahini-kave,tungane,tungane-kave,kave,kave,teina,tungane,kave,tokana,teina,tokana,tungane,tahini-kave,tokana,tungane-kave,tungane,tokana,kave,kave,hina,hama,hina,hama,hina,ingoa,ingoa,hama,hina,hama,ingoa,hina,hina,hina,hina,hama,ingoa,hina,hama,hina
3,0.12472249878420005,1.0374312377016655,0.9127087389174654,tungane-kave,tahini,tungane,tahini-kave,tahini,tahini-kave,teina,kave,tokana,kave,tungane,tokana,tahini-kave,kave,tahini,teina,kave,tungane-kave,kave,tokana,kave,tahini,tokana,tungane,tungane-kave,teina,tungane,teina,tahini-kave,tokana,tahini,tungane-kave,tahini,kave,teina,tungane,kave,tungane,hama,hina,hama,hina,ingoa,hina,hina,hina,hama,hama,hina,hama,ingoa,hina,hina,hama,hina,ingoa,ingoa,hina
4,0.20901801698893263,1.0296530140645737,0.820634997075641,tungane,kave,tahini,kave,tungane,tungane,tokana,teina,tahini-kave,tungane-kave,kave,tahini,tahini,tungane,tungane-kave,tahini-kave,tungane,tahini-kave,teina,kave,tokana,tungane-kave,tokana,tokana,kave,tokana,tungane,tahini,tungane-kave,tahini-kave,kave,teina,teina,kave,tahini,tahini,kave,teina,hina,ingoa,hina,hina,ingoa,ingoa,ingoa,hama,hama,hina,hina,hama,hina,hina,hina,hama,hina,hina,hama,hama
5,0.19505991714020243,1.0374312377016655,0.842371320561463,tahini-kave,tahini,tokana,tahini,tungane-kave,tokana,kave,teina,tungane,tokana,tungane,teina,tungane-kave,tahini,tahini,tungane,kave,tokana,teina,kave,tungane-kave,tahini-kave,tahini-kave,tungane,tungane,tahini,kave,teina,tahini,tahini-kave,tungane,kave,tungane-kave,tokana,kave,teina,kave,kave,hina,ingoa,hama,hina,hama,hina,ingoa,hama,hina,hina,hina,hama,hina,hina,ingoa,ingoa,hama,hina,hina,hama
6,0.13719292624795232,1.0439676895764558,0.9067747633285035,tahini-kave,tungane,tokana,tungane,tahini,tahini,kave,tahini-kave,tungane,tungane,tokana,kave,kave,tahini-kave,tungane-kave,tahini,tungane,tokana,teina,kave,kave,tokana,tahini,kave,teina,tungane-kave,tahini-kave,tungane-kave,tahini,tokana,tungane-kave,tungane,kave,kave,teina,teina,tahini,teina,hama,hama,hina,ingoa,hina,ingoa,ingoa,hama,hama,hina,hina,hina,hama,hina,hina,hina,hama,ingoa,hina,hina
7,0.23014404410330336,1.0374312377016655,0.8072871935983621,tahini-kave,tungane-kave,tungane-kave,kave,teina,kave,kave,kave,tungane,tungane-kave,tungane,tahini,teina,teina,tahini-kave,kave,tungane,teina,tokana,kave,tungane,kave,tungane,tungane,tahini,kave,tokana,tahini,tungane-kave,tahini-kave,tokana,tahini,tokana,tahini,tahini,tokana,tahini-kave,teina,hina,hina,hina,hama,hina,ingoa,hama,hina,hama,ingoa,hama,hama,hama,hina,hina,ingoa,hina,hina,hina,ingoa
8,0.19963902613675555,1.0374312377016655,0.8377922115649099,tungane-kave,kave,tahini,tungane-kave,teina,kave,tungane-kave,tungane-kave,teina,tahini,kave,tahini,tokana,kave,tahini-kave,tungane,tungane,kave,teina,tahini,tungane,tahini-kave,kave,tahini-kave,teina,tahini-kave,tungane,tahini,kave,kave,tungane,tokana,tungane,tokana,tokana,tokana,tahini,teina,hina,hama,hama,hina,hina,hina,hama,hama,ingoa,hina,ingoa,hina,hina,hina,hama,hama,hina,ingoa,hina,ingoa
9,0.1857582137550865,1.0374312377016655,0.851673023946579,kave,tungane,tahini,tahini,tungane,tahini-kave,kave,kave,tahini-kave,tokana,tokana,tungane,kave,tahini-kave,kave,teina,kave,tahini,tungane-kave,tungane-kave,tungane,teina,tungane,teina,tahini,tahini,tokana,tahini,tungane,kave,kave,tungane-kave,teina,tokana,teina,tahini-kave,tokana,tungane-kave,ingoa,hina,hama,hina,hina,ingoa,hina,ingoa,hama,hama,hina,hina,hina,hina,hama,ingoa,hina,hina,hama,hama
