simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.26003687372040307,1.8478809554230922,1.587844081702689,watyirra,tyityururru,watyirra,watyirra,watyirra,kurta,watyirra,watyirra,tyurtu,watyirra,watyirra,kurta,watyirra,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,tyityururru,watyirra,watyirra,watyirra,tyurtu,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,marlany,marlany,marlany,watyirra,watyirra,watyirra,watyirra,ngunytyu,mama,yumari,waputyu,mama,yumari,ngunytyu,wangutyarra,kamuru,ngunytyu,ngunytyu,punarri,waputyu,mama purlkanya,kamuru,ngunytyu,kamuru,punarri,yumari,yumari,wangutyarra,ngunytyu,yumari,yumari,mama,mama purlkanya,mama,waputyu
1,0.24326994120392675,1.8910411643454144,1.6477712231414876,watyirra,watyirra,watyirra,watyirra,watyirra,tyityururru,watyirra,watyirra,watyirra,watyirra,watyirra,tyityururru,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,watyirra,kurta,watyirra,watyirra,watyirra,marlany,kurta,tyurtu,watyirra,watyirra,tyurtu,watyirra,watyirra,watyirra,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,tyurtu,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,waputyu,kamuru,ngunytyu,ngunytyu,mama,ngunytyu,ngunytyu,kamuru,yumari,mama,mama,wangutyarra,mama purlkanya,yumari,punarri,waputyu,waputyu,ngunytyu,yumari,mama,yumari,punarri,yumari,wangutyarra,mama purlkanya,kamuru,yumari,ngunytyu
2,0.30515763926925366,1.8981497305515558,1.5929920912823021,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,kurta,watyirra,watyirra,tyurtu,tyurtu,tyurtu,watyirra,tyityururru,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,tyityururru,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,kurta,watyirra,watyirra,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,watyirra,watyirra,watyirra,watyirra,punarri,mama,punarri,ngunytyu,ngunytyu,ngunytyu,mama purlkanya,yumari,ngunytyu,wangutyarra,kamuru,wangutyarra,mama,waputyu,waputyu,kamuru,kamuru,waputyu,yumari,yumari,yumari,yumari,mama purlkanya,yumari,ngunytyu,mama,ngunytyu,mama
3,0.17275605864286492,1.5654896291046683,1.3927335704618033,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,tyityururru,watyirra,kurta,watyirra,watyirra,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,kurta,marlany,watyirra,tyityururru,watyirra,watyirra,watyirra,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,watyirra,watyirra,watyirra,marlany,watyirra,tyurtu,watyirra,ngunytyu,ngunytyu,kamuru,mama,ngunytyu,wangutyarra,mama,ngunytyu,waputyu,mama purlkanya,yumari,yumari,wangutyarra,mama,mama,yumari,waputyu,yumari,ngunytyu,punarri,punarri,yumari,ngunytyu,mama purlkanya,kamuru,kamuru,waputyu,yumari
4,0.23389190016543715,1.9347758290780779,1.7008839289126407,watyirra,watyirra,watyirra,kurta,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,tyurtu,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,tyurtu,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,tyityururru,watyirra,watyirra,watyirra,tyityururru,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,tyurtu,watyirra,kurta,watyirra,watyirra,watyirra,watyirra,marlany,wangutyarra,ngunytyu,mama,ngunytyu,punarri,yumari,ngunytyu,waputyu,kamuru,yumari,punarri,mama,yumari,ngunytyu,ngunytyu,yumari,yumari,waputyu,mama purlkanya,ngunytyu,mama purlkanya,waputyu,yumari,mama,kamuru,mama,kamuru,wangutyarra
5,0.20940095181887575,1.864112869721607,1.6547119179027312,watyirra,watyirra,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,marlany,marlany,watyirra,watyirra,watyirra,watyirra,tyurtu,watyirra,kurta,watyirra,kurta,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,watyirra,tyityururru,tyurtu,watyirra,tyurtu,watyirra,watyirra,watyirra,tyityururru,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,ngunytyu,kamuru,yumari,yumari,ngunytyu,mama purlkanya,punarri,yumari,ngunytyu,mama,yumari,kamuru,yumari,waputyu,mama purlkanya,mama,waputyu,wangutyarra,ngunytyu,yumari,ngunytyu,kamuru,ngunytyu,waputyu,mama,wangutyarra,punarri,mama
6,0.2837315771040245,1.4826456591323602,1.1989140820283357,watyirra,tyityururru,watyirra,watyirra,watyirra,kurta,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,tyurtu,tyurtu,watyirra,kurta,watyirra,watyirra,marlany,watyirra,tyityururru,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,yumari,yumari,waputyu,yumari,ngunytyu,yumari,kamuru,waputyu,mama,waputyu,wangutyarra,ngunytyu,yumari,ngunytyu,mama,punarri,punarri,mama,yumari,mama purlkanya,kamuru,wangutyarra,mama,ngunytyu,ngunytyu,kamuru,mama purlkanya,ngunytyu
7,0.28966144919312975,1.9331714106242055,1.6435099614310757,watyirra,watyirra,watyirra,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,watyirra,watyirra,watyirra,kurta,kurta,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,tyurtu,tyurtu,watyirra,watyirra,watyirra,watyirra,tyityururru,tyurtu,watyirra,watyirra,watyirra,tyityururru,marlany,watyirra,marlany,watyirra,watyirra,mama,kamuru,ngunytyu,kamuru,ngunytyu,ngunytyu,mama,mama purlkanya,yumari,wangutyarra,ngunytyu,waputyu,ngunytyu,yumari,yumari,punarri,kamuru,wangutyarra,mama,punarri,ngunytyu,yumari,yumari,mama,yumari,waputyu,waputyu,mama purlkanya
8,0.20832150536555738,1.8519807766899778,1.6436592713244205,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,tyityururru,tyurtu,watyirra,watyirra,watyirra,tyurtu,marlany,tyurtu,watyirra,tyityururru,watyirra,watyirra,watyirra,watyirra,kurta,watyirra,watyirra,watyirra,marlany,marlany,watyirra,watyirra,watyirra,watyirra,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,kurta,watyirra,watyirra,tyurtu,yumari,yumari,ngunytyu,mama,punarri,mama,yumari,wangutyarra,ngunytyu,ngunytyu,yumari,ngunytyu,waputyu,kamuru,wangutyarra,ngunytyu,mama purlkanya,waputyu,kamuru,mama,mama purlkanya,kamuru,ngunytyu,yumari,waputyu,punarri,yumari,mama
9,0.2604389978782642,1.911691352147289,1.6512523542690247,marlany,watyirra,watyirra,marlany,watyirra,tyurtu,watyirra,tyurtu,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,marlany,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,tyityururru,watyirra,watyirra,watyirra,watyirra,tyityururru,watyirra,watyirra,tyurtu,watyirra,watyirra,watyirra,kurta,watyirra,tyurtu,kurta,watyirra,watyirra,watyirra,marlany,watyirra,watyirra,punarri,ngunytyu,waputyu,mama,kamuru,ngunytyu,ngunytyu,kamuru,mama purlkanya,mama,mama purlkanya,ngunytyu,yumari,wangutyarra,yumari,ngunytyu,mama,wangutyarra,yumari,waputyu,punarri,yumari,ngunytyu,yumari,mama,kamuru,yumari,waputyu
