simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.6829081047004719,1.376055285260417,0.6931471805599452,gai,ewegani,ĩepi,gai,naziba,yũtu,ĩepi,yũtu,irka,ĩepi,ĩepi,gai,ĩepi,zwani,naziba,ewegani,ĩepi,gai,naziba,naziba,zwani,ewegani,gai,zwani,gai,yũtu,zwani,amu,irka,amu,yũtu,ewegani,yũtu,amu,yũtu,amu,amu,ewe,zwani,gai,amu,zwani,zwani,zwani,zwani,zwani,"gai, yũtu",amu,abi,"gai, yũtu",zwani,amu,ewe,gai,abi,zwani
1,0.242433026555958,1.034601232910181,0.792168206354223,zwani,irka,ĩepi,zwani,yũtu,gai,yũtu,ewegani,gai,ĩepi,amu,ĩepi,ĩepi,amu,ewegani,ewegani,yũtu,gai,naziba,amu,amu,yũtu,ĩepi,yũtu,zwani,ĩepi,ewegani,naziba,gai,zwani,naziba,naziba,gai,irka,yũtu,gai,zwani,gai,zwani,"gai, yũtu",amu,abi,zwani,"gai, yũtu",zwani,zwani,zwani,gai,amu,abi,amu,ewe,ewe,zwani,zwani,amu
2,0.41011631828840944,1.376055285260417,0.9659389669720077,irka,gai,naziba,yũtu,yũtu,zwani,yũtu,yũtu,ĩepi,irka,gai,ewegani,gai,naziba,amu,ĩepi,gai,ewegani,amu,ewegani,gai,ewegani,naziba,ĩepi,ĩepi,zwani,zwani,yũtu,ĩepi,naziba,zwani,amu,amu,ĩepi,yũtu,gai,abi,zwani,amu,"gai, yũtu",amu,zwani,zwani,zwani,zwani,zwani,amu,gai,amu,zwani,gai,"gai, yũtu",ewe,zwani,ewe,abi
3,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,ewegani,amu,ewegani,zwani,gai,naziba,yũtu,ĩepi,ĩepi,naziba,gai,yũtu,amu,ĩepi,amu,naziba,ĩepi,ĩepi,ewegani,yũtu,gai,ewegani,yũtu,ĩepi,yũtu,irka,yũtu,irka,gai,zwani,gai,amu,naziba,gai,zwani,zwani,amu,zwani,zwani,amu,zwani,zwani,ewe,"gai, yũtu",amu,abi,zwani,amu,"gai, yũtu",zwani,ewe,abi,gai,gai,zwani,zwani
4,0.34145405235023607,1.0346012329101812,0.6931471805599452,naziba,ewegani,zwani,gai,gai,amu,ĩepi,ĩepi,gai,gai,irka,gai,ĩepi,naziba,zwani,amu,yũtu,yũtu,amu,naziba,ewegani,ewegani,yũtu,yũtu,zwani,yũtu,yũtu,irka,ĩepi,ewegani,zwani,amu,ĩepi,naziba,gai,ĩepi,zwani,ewe,gai,zwani,zwani,abi,ewe,zwani,abi,amu,"gai, yũtu",zwani,amu,amu,"gai, yũtu",zwani,zwani,gai,amu,zwani
5,0.2120742666998534,1.0789922078775833,0.8669179411777299,zwani,gai,yũtu,ĩepi,yũtu,ĩepi,ĩepi,amu,yũtu,amu,naziba,naziba,gai,zwani,ĩepi,ewegani,amu,ĩepi,yũtu,yũtu,naziba,gai,zwani,zwani,gai,yũtu,naziba,ewegani,ewegani,ewegani,irka,irka,gai,gai,ĩepi,amu,gai,gai,"gai, yũtu",zwani,zwani,zwani,abi,amu,ewe,zwani,abi,amu,zwani,zwani,zwani,ewe,zwani,amu,"gai, yũtu",amu
6,0.14341200076168004,1.034601232910181,0.891189232148501,ewegani,gai,amu,gai,gai,yũtu,gai,amu,naziba,zwani,ĩepi,ĩepi,ewegani,amu,yũtu,irka,zwani,yũtu,yũtu,ĩepi,ĩepi,yũtu,naziba,gai,ewegani,amu,ewegani,irka,ĩepi,yũtu,zwani,naziba,naziba,ĩepi,zwani,gai,gai,zwani,"gai, yũtu",zwani,zwani,abi,gai,amu,ewe,abi,amu,"gai, yũtu",zwani,zwani,ewe,amu,amu,zwani,zwani,zwani
7,0.34145405235023596,1.034601232910181,0.6931471805599451,naziba,amu,ewegani,yũtu,gai,irka,ĩepi,gai,ĩepi,gai,naziba,yũtu,ĩepi,zwani,gai,amu,yũtu,naziba,irka,amu,gai,ewegani,ĩepi,amu,zwani,zwani,ĩepi,yũtu,gai,zwani,yũtu,ewegani,yũtu,naziba,ewegani,ĩepi,zwani,amu,zwani,abi,gai,ewe,"gai, yũtu",gai,zwani,amu,zwani,amu,zwani,amu,zwani,ewe,zwani,abi,"gai, yũtu",zwani
8,0.017247010260572182,0.5982695885852573,0.5810225783246851,amu,irka,ĩepi,zwani,ĩepi,zwani,amu,gai,yũtu,gai,naziba,zwani,amu,irka,naziba,ĩepi,gai,ĩepi,yũtu,ewegani,yũtu,yũtu,ĩepi,ĩepi,gai,naziba,amu,naziba,gai,zwani,ewegani,yũtu,yũtu,gai,ewegani,ewegani,zwani,zwani,amu,zwani,amu,amu,"gai, yũtu",zwani,gai,zwani,gai,abi,abi,zwani,ewe,zwani,"gai, yũtu",zwani,amu,ewe
9,0.484866053111916,1.0789922078775833,0.5941261547656673,yũtu,yũtu,ĩepi,ewegani,amu,ĩepi,naziba,naziba,zwani,naziba,naziba,zwani,ĩepi,yũtu,zwani,yũtu,ewegani,gai,gai,irka,amu,ĩepi,gai,yũtu,gai,ewegani,ĩepi,gai,yũtu,zwani,irka,amu,ewegani,amu,ĩepi,gai,ewe,ewe,"gai, yũtu",gai,amu,zwani,gai,abi,amu,zwani,zwani,zwani,amu,zwani,abi,zwani,zwani,amu,"gai, yũtu",zwani
