language,language_family,code,simulation_code,simulation,mutual_information,entropy_gn,entropy_gn1,conditional_entropy,variation_gn,variation_gn1,number_of_pairs
Maguindanao_(Magindonao_Moro),Austronesian,magu1243,magu1243_REAL,N,0.7219280948873621,0.9219280948873623,1.5219280948873621,0.8,3,3,4
Malua_Bay,Austronesian,malu1245,malu1245_REAL,N,1.5,2.75,1.5,-0.0,7,3,7
Mangarevans,Austronesian,mang1401,mang1401_REAL,N,0.6617049208213364,1.4838317068446891,2.1280852788913944,1.466380358070058,4,5,8
Mangei_(Sobjo),Austronesian,mang1407,mang1407_REAL,N,0.0,-0.0,1.0,1.0,1,2,2
Maori,Austronesian,maor1246,maor1246_REAL,N,0.0013397424044413464,1.9402859586706311,0.9852281360342516,0.9838883936298103,4,2,8
Maranao_(Lanao_Moro),Austronesian,mara1404,mara1404_REAL,N,0.9182958340544894,1.2516291673878228,1.584962500721156,0.6666666666666666,3,3,4
Matukar,Austronesian,matu1261,matu1261_REAL,N,0.9182958340544894,1.4182958340544896,1.584962500721156,0.6666666666666666,4,3,5
Mele-Fila_(Ifira-Mele),Austronesian,mele1250,mele1250_REAL,N,0.8453509366224365,1.0957952550009336,1.9362600275315274,1.0909090909090908,3,4,5
Merlav,Austronesian,merl1237,merl1237_REAL,N,0.9182958340544894,0.9182958340544896,1.584962500721156,0.6666666666666666,2,3,3
Miningir_(Lunga),Austronesian,mini1251,mini1251_REAL,N,0.8453509366224365,1.0957952550009336,1.5726236638951638,0.7272727272727273,3,3,4
Mori_Bawah,Austronesian,mori1268,mori1268_REAL,N,0.9182958340544894,1.2516291673878228,1.584962500721156,0.6666666666666666,3,3,4
Moronene,Austronesian,moro1287,moro1287_REAL,N,0.9182958340544896,1.2516291673878228,0.9182958340544896,-0.0,3,2,3
Mortlockese,Austronesian,mort1237,mort1237_REAL,N,0.8453509366224365,1.823067982273661,1.5726236638951638,0.7272727272727273,4,3,6
Mota,Austronesian,mota1237,mota1237_REAL,N,1.5,2.5,1.5,-0.0,6,3,6
Mouk,Austronesian,mouk1240,mouk1240_REAL,N,0.7461034137898079,2.103909910282364,1.4195562985716133,0.6734528847818053,5,3,8
Muduapa_(Vitu),Austronesian,mudu1242,mudu1242_REAL,N,0.2916919971380596,1.3787834934861753,0.863120568566631,0.5714285714285714,3,2,4
Muna,Austronesian,muna1247,muna1247_REAL,N,0.9182958340544894,1.2516291673878228,1.584962500721156,0.6666666666666666,3,3,4
Munggava_(Rennell),Austronesian,mung1271,mung1271_REAL,N,0.9709505944546685,1.7709505944546688,1.5219280948873621,0.5509775004326937,5,3,6
Mwotlap,Austronesian,motl1237,motl1237_REAL,N,0.0021279407436149977,0.9986359641585718,1.8475239116381135,1.8453959708944985,2,4,8
Nakanai,Austronesian,naka1262,naka1262_REAL,N,0.0,1.0,2.4056390622295662,2.4056390622295662,2,6,12
Nalik_(Lukuramau),Austronesian,nali1244,nali1244_REAL,N,0.9910760598382222,1.9749375012019272,1.4355205042826666,0.4444444444444444,4,3,6
