simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFZ,mMB,mFeB,mFyB,mMyZ,mMeB,mFeZ,mFyZ,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fMyZ,fMeB,fFeZ,fFyZ,fMyB
0,0.3787305770819942,2.1360390885565304,1.7573085114745362,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omwangu,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,erumbi,omu-sia,omu-sia,omu-sia,omu-sia,omu-angu,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-angu,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omwangu,omu-sia,omu-sia,omu-sia,omutena,omu-sia,omu-sia,omu-sia,e-rumbi,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,erumbi,omu-sia,omu-sia,e-rumbi,omutena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-tena,omu-sia,omuramwe,o-nguende,o-hongaze,o-honini,o-hongaze,inyangu,hongaze,mama,ongundwe,o-honini,o-hongaze,o-hongaze,inyangu,inyangu,hongaze,tate,honini,inyangu,o-nguende,mama,honini,tate,ongundwe
1,0.26251586662944293,2.1411743630151623,1.8786584963857194,omu-sia,omuramwe,omu-sia,omwangu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omwangu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,e-rumbi,omu-sia,omu-sia,omu-sia,omuramwe,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,erumbi,omu-sia,omu-sia,omu-angu,omu-sia,omu-sia,omutena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-angu,erumbi,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omutena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-tena,e-rumbi,omu-sia,omuramwe,omu-sia,omu-sia,omuramwe,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,inyangu,inyangu,ongundwe,o-honini,hongaze,o-hongaze,ongundwe,o-hongaze,o-nguende,o-hongaze,hongaze,o-hongaze,mama,o-nguende,tate,inyangu,tate,honini,honini,inyangu,mama,o-honini
2,0.29924870311797735,2.120991814287256,1.8217431111692786,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,e-rumbi,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omutena,omu-sia,erumbi,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,erumbi,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-angu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,e-rumbi,omu-sia,omuramwe,omu-angu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omwangu,omu-sia,omwangu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omutena,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-tena,omu-sia,omu-sia,honini,o-hongaze,tate,inyangu,o-hongaze,ongundwe,hongaze,o-honini,o-honini,honini,inyangu,ongundwe,o-hongaze,o-nguende,o-hongaze,mama,inyangu,o-nguende,inyangu,mama,tate,hongaze
3,0.3156859838828716,2.132251841800592,1.8165658579177204,omu-sia,omu-sia,omwangu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,erumbi,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-tena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,erumbi,e-rumbi,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omwangu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omutena,omuramwe,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omuramwe,omu-angu,omu-sia,omu-sia,omu-sia,omu-sia,omutena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-angu,e-rumbi,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,tate,inyangu,honini,ongundwe,o-nguende,hongaze,o-hongaze,inyangu,ongundwe,o-nguende,inyangu,o-hongaze,tate,o-honini,o-hongaze,mama,o-honini,inyangu,mama,hongaze,honini,o-hongaze
4,0.2774832715610702,2.1412920942659683,1.8638088227048981,omu-sia,omu-sia,omuramwe,omu-angu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omuramwe,omu-tena,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,e-rumbi,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omwangu,erumbi,omu-sia,omu-sia,omutena,omu-sia,omu-sia,omu-sia,omutena,e-rumbi,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omwangu,omu-sia,omu-sia,erumbi,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-angu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,inyangu,tate,o-hongaze,mama,o-hongaze,inyangu,o-nguende,ongundwe,mama,honini,hongaze,hongaze,inyangu,o-honini,tate,honini,o-hongaze,inyangu,o-nguende,o-honini,ongundwe,o-hongaze
5,0.35717355634294345,2.1079212867303165,1.750747730387373,omu-sia,omu-sia,omu-sia,omu-sia,omwangu,omuramwe,omu-angu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,e-rumbi,omu-sia,omutena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omwangu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,e-rumbi,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,erumbi,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omutena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-angu,omu-sia,omu-tena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,erumbi,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,tate,o-nguende,o-honini,o-hongaze,inyangu,o-hongaze,inyangu,inyangu,honini,mama,tate,ongundwe,o-hongaze,mama,o-hongaze,o-nguende,hongaze,hongaze,inyangu,o-honini,ongundwe,honini
6,0.34066264800958046,2.155715087742489,1.8150524397329086,omuramwe,omu-sia,e-rumbi,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omwangu,omutena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-tena,omu-sia,omu-sia,omu-sia,omuramwe,e-rumbi,omu-angu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omutena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omwangu,omu-sia,erumbi,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,erumbi,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-angu,omu-sia,ongundwe,o-honini,o-hongaze,o-honini,mama,inyangu,o-hongaze,inyangu,o-nguende,o-hongaze,honini,tate,mama,honini,tate,hongaze,inyangu,ongundwe,o-hongaze,inyangu,hongaze,o-nguende
7,0.27024064396832137,2.0700392903224527,1.7997986463541313,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omuramwe,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-angu,omu-sia,omu-sia,omu-angu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omuramwe,omu-sia,erumbi,omu-sia,omu-sia,omu-sia,omu-sia,e-rumbi,omu-sia,omu-sia,omu-tena,omu-sia,omutena,e-rumbi,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omuramwe,omwangu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omwangu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,erumbi,omu-sia,omu-sia,omu-sia,omutena,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,inyangu,ongundwe,o-hongaze,o-hongaze,honini,o-nguende,honini,mama,inyangu,tate,o-honini,o-nguende,hongaze,ongundwe,inyangu,o-hongaze,o-honini,o-hongaze,hongaze,tate,mama,inyangu
8,0.2971875994471782,2.1153458130064466,1.8181582135592684,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omutena,omu-sia,omuramwe,omu-sia,e-rumbi,omu-sia,omu-sia,omu-sia,omu-tena,omu-sia,omu-sia,omu-sia,omu-sia,omutena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-angu,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,erumbi,omu-sia,omuramwe,omu-sia,omu-sia,erumbi,omu-sia,omu-sia,omu-sia,omu-sia,omwangu,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omuramwe,omwangu,omu-sia,omu-sia,omu-sia,e-rumbi,omu-angu,o-hongaze,mama,inyangu,ongundwe,hongaze,hongaze,o-nguende,mama,o-hongaze,o-hongaze,o-hongaze,tate,tate,o-honini,inyangu,honini,o-honini,o-nguende,ongundwe,honini,inyangu,inyangu
9,0.3559558024834959,2.178335592745275,1.8223797902617793,omu-sia,omu-angu,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,e-rumbi,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,erumbi,omu-sia,omu-sia,omu-sia,omwangu,omuramwe,omu-sia,omu-sia,e-rumbi,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omuramwe,omu-angu,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omutena,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-tena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omwangu,erumbi,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omuramwe,omu-sia,omu-sia,omu-sia,omu-sia,omutena,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,omu-sia,o-nguende,mama,o-honini,honini,o-hongaze,inyangu,inyangu,o-hongaze,inyangu,hongaze,ongundwe,ongundwe,tate,tate,hongaze,o-hongaze,honini,inyangu,o-honini,mama,o-hongaze,o-nguende
