simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFyBS,mFyBD,mMeBS,mMyBS,mMeBD,mMyBD,fFyBS,fMeBS,fMyBS,fMeBD,fMyBD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.3286522294698704,1.5058551567047054,1.177202927234835,ngami'i,thaatha,yapu,ngami'i,thaatha,ya'a,ya'athu,thaatha,ya'a,thaatha,thaatha,thaatha,ngami'i,ya'athu,ngami'i,ya'athu,thaatha,ya'athu,piipi,muka,muka,piipi,piipi,muka,piinya,piinya'a,paapa,piima,piipi,piima,piinya'a,paapa,paapa,kaala,piinya,paapa,kaala,muka
1,0.49579147307418103,1.730192379041124,1.234400905966943,thaatha,thaatha,thaatha,yapu,ya'athu,thaatha,ngami'i,ya'a,ngami'i,thaatha,ya'athu,thaatha,ngami'i,ya'athu,thaatha,ngami'i,ya'a,ya'athu,piipi,paapa,piipi,muka,piinya'a,piinya,piinya,piinya'a,piima,kaala,muka,kaala,paapa,piima,piipi,muka,muka,paapa,paapa,piipi
2,0.4264194925758533,1.6859161694529363,1.259496676877083,thaatha,thaatha,ngami'i,ngami'i,thaatha,ya'athu,thaatha,ngami'i,thaatha,ya'athu,thaatha,ngami'i,thaatha,ya'a,ya'a,ya'athu,ya'athu,yapu,piinya'a,kaala,paapa,piipi,piipi,paapa,piipi,muka,paapa,piima,paapa,piinya,muka,piima,piinya'a,muka,kaala,muka,piinya,piipi
3,0.35351407358396614,1.5265709450228264,1.1730568714388603,ngami'i,thaatha,ya'athu,thaatha,yapu,ya'athu,thaatha,ngami'i,ya'athu,thaatha,ya'athu,thaatha,thaatha,thaatha,ngami'i,ngami'i,ya'a,ya'a,muka,piipi,piipi,kaala,piipi,paapa,kaala,piinya'a,piinya,muka,paapa,piipi,piinya'a,muka,piinya,piima,paapa,muka,paapa,piima
4,0.5201796977273403,1.730192379041124,1.2100126813137837,ya'a,yapu,thaatha,thaatha,ya'athu,thaatha,ngami'i,ya'a,thaatha,ngami'i,ya'athu,thaatha,ya'athu,thaatha,ya'athu,ngami'i,thaatha,ngami'i,kaala,muka,piipi,piima,paapa,paapa,piinya'a,piima,piipi,piinya,piinya,piipi,paapa,muka,piinya'a,piipi,muka,paapa,muka,kaala
5,0.3698254063532558,1.7254141436400365,1.3555887372867808,ngami'i,ya'athu,thaatha,thaatha,thaatha,ya'a,thaatha,ya'athu,yapu,thaatha,ya'a,ngami'i,ngami'i,ngami'i,ya'athu,thaatha,thaatha,ya'athu,piinya'a,piipi,paapa,piinya,kaala,muka,piinya,piima,muka,piipi,kaala,paapa,piipi,paapa,muka,muka,piima,paapa,piinya'a,piipi
6,0.4332017864238361,1.424857064037638,0.9916552776138018,ya'athu,thaatha,thaatha,thaatha,ngami'i,ya'a,ya'athu,ngami'i,thaatha,ya'athu,thaatha,ya'athu,ngami'i,thaatha,ya'a,ngami'i,thaatha,yapu,muka,piinya'a,piipi,muka,piima,piipi,piinya'a,piinya,muka,paapa,muka,paapa,paapa,piipi,kaala,paapa,piipi,piima,piinya,kaala
7,0.3379464863803989,1.5058551567047052,1.1679086703243062,ya'athu,ya'a,ngami'i,ya'athu,thaatha,ya'athu,ngami'i,ya'athu,thaatha,thaatha,thaatha,thaatha,thaatha,yapu,ngami'i,ya'a,ngami'i,thaatha,paapa,piima,paapa,piima,muka,piipi,piipi,kaala,muka,piinya,kaala,piinya'a,piinya,muka,piipi,piipi,muka,paapa,paapa,piinya'a
8,0.462643283236984,1.8258861866417528,1.3632429034047688,thaatha,ya'a,thaatha,ya'athu,ngami'i,ngami'i,thaatha,ya'athu,ya'athu,ngami'i,yapu,thaatha,ya'athu,ya'a,thaatha,ngami'i,thaatha,thaatha,kaala,paapa,piinya,kaala,muka,piinya'a,muka,muka,piinya'a,piipi,piinya,piipi,paapa,piima,piima,paapa,muka,paapa,piipi,piipi
9,0.35104322048427683,1.5010769213036177,1.1500337008193409,ngami'i,ya'a,ya'athu,yapu,thaatha,thaatha,ngami'i,ngami'i,ya'athu,ya'athu,thaatha,thaatha,thaatha,ngami'i,thaatha,ya'athu,thaatha,ya'a,muka,kaala,piipi,piipi,piinya,piinya'a,paapa,piinya,muka,piima,paapa,paapa,kaala,muka,piipi,piinya'a,muka,piima,paapa,piipi
