simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.258233239597389,1.6829255719746348,1.4246923323772458,dotxal,bra,pisxal,kûrêmetî,dotmam,keçmetî,keçmetî,dotxal,dotmam,pisxolat,dotmam,dotxal,bra,dotmam,dotxolat,pismam,xuşkê,pisxolat,keçmetî,keçmetî,pismam,pismam,dotxal,bra,pisxolat,pisxal,xuşkê,kûrêmetî,pismam,pisxal,pisxal,pismam,bra,pismam,dotmam,bra,pisxal,pisxal,kûrêmetî,dotxolat,dotxal,pisxolat,dotmam,dotxolat,dotxolat,kûrêmetî,pisxolat,dotmam,xuşkê,keçmetî,dotxolat,dotxolat,pisxal,pisxolat,xuşkê,pisxal,keçmetî,kûrêmetî,dotxolat,dotxolat,pismam,pismam,keçmetî,keçmetî,dotxal,pisxolat,keçmetî,kûrêmetî,dotxal,pismam,pisxal,dotxal,dotmam,dotxolat,pisxolat,kûrêmetî,pismam,dotxolat,kûrêmetî,xuşkê,xuşkê,dotxal,kûrêmetî,pisxal,dotmam,dotxal,pisxolat,kûrêmetî,keçmetî,xal,metî,xal,mam,xolat,bab,xal,day,metî,metî,mam,xal,bab,xal,xolat,metî,mam,xal,xolat,metî,xolat,mam,xolat,mam,metî,xolat,day,mam
1,0.37004621291678497,1.7027111115686058,1.3326648986518208,dotmam,bra,dotxal,keçmetî,pismam,keçmetî,pismam,dotxal,dotxolat,pisxal,kûrêmetî,dotmam,xuşkê,xuşkê,kûrêmetî,dotxal,dotxolat,pismam,kûrêmetî,pisxolat,dotxolat,pismam,pisxolat,dotmam,pismam,keçmetî,pisxolat,dotmam,dotxal,pisxal,keçmetî,keçmetî,pisxal,dotxolat,dotmam,pisxal,xuşkê,kûrêmetî,pisxolat,xuşkê,pisxolat,dotxal,xuşkê,pisxal,pisxolat,dotmam,kûrêmetî,pisxolat,dotxolat,pisxolat,keçmetî,pisxal,pismam,dotxolat,pismam,kûrêmetî,dotxal,pismam,pisxal,xuşkê,bra,dotxal,pismam,kûrêmetî,kûrêmetî,dotmam,keçmetî,bra,kûrêmetî,keçmetî,bra,kûrêmetî,dotxal,pisxolat,keçmetî,dotxolat,keçmetî,pisxal,dotmam,dotmam,pisxal,dotxal,pismam,dotxolat,dotxolat,pisxal,dotxolat,dotxal,bra,metî,mam,xal,bab,bab,xolat,mam,day,metî,xolat,day,mam,mam,xal,mam,metî,xal,metî,xolat,xolat,xolat,xal,metî,metî,xal,mam,xal,xolat
2,0.335110207618704,1.7045782777459924,1.3694680701272883,pisxolat,pismam,pisxolat,dotxolat,bra,kûrêmetî,pisxolat,dotxolat,dotmam,pisxolat,pismam,bra,dotmam,pismam,xuşkê,pisxal,keçmetî,kûrêmetî,pisxal,kûrêmetî,kûrêmetî,keçmetî,pisxal,dotxal,pisxal,dotxal,dotmam,dotxolat,pisxal,dotxal,keçmetî,dotxolat,dotmam,keçmetî,pisxal,pismam,kûrêmetî,kûrêmetî,pismam,pisxolat,pisxolat,bra,pisxal,xuşkê,dotmam,dotxal,bra,pisxolat,dotxal,xuşkê,dotxolat,dotmam,kûrêmetî,xuşkê,xuşkê,kûrêmetî,pisxal,keçmetî,keçmetî,dotmam,dotxolat,dotxolat,dotxal,pismam,dotmam,keçmetî,pisxolat,pismam,dotmam,dotxolat,dotxal,dotxal,dotxal,bra,pismam,keçmetî,dotxolat,kûrêmetî,dotxal,keçmetî,pisxolat,pisxal,pismam,keçmetî,pisxal,pismam,kûrêmetî,xuşkê,dotxolat,xal,mam,bab,mam,xal,bab,xal,xolat,day,metî,mam,mam,mam,xolat,metî,mam,xolat,xal,metî,xolat,xolat,xolat,metî,metî,xal,xal,metî,day
3,0.28198004789125664,1.7269601735615372,1.4449801256702806,bra,pisxal,pisxolat,kûrêmetî,dotmam,dotmam,xuşkê,kûrêmetî,keçmetî,bra,pisxal,kûrêmetî,pisxolat,pisxal,pismam,dotmam,xuşkê,keçmetî,pisxolat,dotxal,dotxal,pisxal,dotxal,pisxal,pismam,kûrêmetî,dotxolat,bra,pisxolat,dotxolat,keçmetî,xuşkê,pismam,xuşkê,kûrêmetî,pisxolat,pisxolat,keçmetî,pismam,dotmam,dotxolat,pisxolat,dotxal,kûrêmetî,dotxal,dotxal,pisxal,keçmetî,kûrêmetî,dotmam,dotxolat,pismam,pismam,bra,kûrêmetî,pismam,dotxolat,xuşkê,keçmetî,pisxolat,dotxal,dotmam,dotmam,dotxolat,dotxal,dotmam,dotmam,pisxal,keçmetî,dotxolat,pisxal,xuşkê,keçmetî,pisxolat,bra,kûrêmetî,pisxal,pismam,pisxal,keçmetî,dotxolat,dotxal,pismam,pismam,keçmetî,kûrêmetî,dotxolat,dotxolat,dotxal,mam,day,xolat,xal,xolat,metî,xal,xal,mam,day,mam,mam,xal,xal,xolat,xolat,metî,bab,mam,bab,metî,xolat,metî,xal,metî,metî,xolat,mam
4,0.3466987613261385,1.636322819217173,1.2896240578910345,dotxal,keçmetî,dotxal,bra,kûrêmetî,pismam,pismam,dotxal,dotxolat,xuşkê,pisxal,dotmam,dotxolat,dotxolat,keçmetî,kûrêmetî,keçmetî,xuşkê,dotxal,kûrêmetî,keçmetî,pisxolat,pisxolat,keçmetî,dotmam,pisxal,kûrêmetî,bra,bra,keçmetî,kûrêmetî,keçmetî,pismam,dotxolat,dotxolat,dotmam,dotxal,pismam,bra,bra,dotmam,pisxolat,pisxolat,dotxolat,dotxal,dotxal,kûrêmetî,dotmam,dotxolat,pismam,pisxal,dotxal,kûrêmetî,xuşkê,dotxolat,dotxolat,kûrêmetî,pisxal,kûrêmetî,xuşkê,pismam,pisxal,keçmetî,pismam,pisxolat,dotmam,dotmam,dotmam,pisxal,dotmam,kûrêmetî,pismam,pisxal,dotxal,pismam,dotxolat,xuşkê,pisxal,keçmetî,pismam,pisxolat,xuşkê,pisxolat,pisxal,pisxal,pisxolat,keçmetî,dotxal,pisxolat,metî,metî,metî,xolat,xolat,metî,xal,day,bab,bab,metî,mam,xal,xal,mam,xal,mam,mam,mam,metî,day,xolat,xolat,xal,mam,xal,xolat,xolat
5,0.28879367115178156,1.636322819217173,1.3475291480653915,xuşkê,dotxolat,dotxal,kûrêmetî,dotxolat,pisxolat,dotxolat,pisxolat,pismam,dotxal,dotxolat,dotmam,keçmetî,pisxal,keçmetî,pisxal,pismam,dotxolat,keçmetî,pisxal,kûrêmetî,keçmetî,dotmam,dotxal,kûrêmetî,bra,dotmam,kûrêmetî,kûrêmetî,dotxal,pisxal,kûrêmetî,pismam,pisxal,dotxal,pisxolat,xuşkê,pismam,keçmetî,dotxolat,kûrêmetî,pisxal,dotxolat,pisxal,pismam,pismam,pisxolat,dotxal,keçmetî,keçmetî,pisxolat,dotmam,pismam,pisxal,pisxolat,dotmam,pisxal,keçmetî,xuşkê,kûrêmetî,pisxolat,pisxolat,dotxal,dotxal,dotmam,xuşkê,dotxolat,bra,kûrêmetî,dotxolat,dotxolat,dotmam,dotmam,pismam,dotxal,kûrêmetî,bra,dotxal,xuşkê,bra,bra,pisxolat,dotmam,pismam,keçmetî,xuşkê,keçmetî,pisxal,pismam,xolat,xolat,xal,xolat,metî,xal,metî,metî,bab,xolat,mam,day,mam,day,xal,mam,xal,xolat,xal,mam,metî,metî,xal,bab,mam,metî,mam,xolat
6,0.2562429370301762,1.708697403205817,1.452454466175641,pisxolat,dotmam,dotxolat,pisxal,dotxolat,pismam,pismam,dotxal,keçmetî,bra,dotxal,pisxal,pisxolat,kûrêmetî,pisxal,keçmetî,dotxolat,pisxolat,keçmetî,pismam,pisxolat,dotxolat,dotmam,xuşkê,bra,dotxolat,dotmam,bra,dotmam,kûrêmetî,dotxal,dotxal,pisxal,kûrêmetî,xuşkê,dotxal,keçmetî,pisxolat,pismam,keçmetî,kûrêmetî,pismam,dotxolat,dotmam,dotxal,dotxal,bra,kûrêmetî,dotmam,pisxal,pisxal,dotxolat,dotxolat,xuşkê,bra,pismam,xuşkê,pismam,pisxal,pismam,kûrêmetî,keçmetî,pisxal,dotxolat,pisxolat,dotmam,pismam,pisxal,dotxolat,pisxolat,kûrêmetî,kûrêmetî,xuşkê,pisxolat,keçmetî,dotxal,dotmam,kûrêmetî,dotmam,pisxal,dotxal,keçmetî,pisxolat,dotxal,xuşkê,kûrêmetî,pismam,keçmetî,keçmetî,xal,xolat,metî,bab,xolat,xolat,xolat,mam,day,metî,metî,xal,xal,xolat,metî,xolat,day,mam,xal,xal,mam,metî,mam,mam,bab,xal,metî,mam
7,0.3871664509636741,1.6997013150544964,1.3125348640908223,keçmetî,kûrêmetî,dotmam,pisxolat,dotxolat,kûrêmetî,pisxolat,bra,dotmam,dotxal,bra,dotxolat,xuşkê,dotxal,pisxolat,keçmetî,bra,dotxolat,keçmetî,kûrêmetî,pismam,kûrêmetî,pisxolat,dotmam,dotxolat,pismam,dotxolat,dotmam,kûrêmetî,bra,pisxal,bra,pisxolat,pismam,dotxal,pismam,dotmam,kûrêmetî,pisxal,pisxal,dotmam,keçmetî,kûrêmetî,keçmetî,dotxolat,keçmetî,dotxal,xuşkê,dotmam,pismam,dotxal,pismam,keçmetî,pismam,dotxolat,dotxal,pisxal,dotmam,pisxal,pismam,kûrêmetî,keçmetî,pisxolat,xuşkê,pisxolat,dotxolat,pisxal,kûrêmetî,keçmetî,pismam,dotxal,pisxal,xuşkê,xuşkê,pisxal,pisxolat,keçmetî,dotmam,pisxal,dotxal,dotxolat,pisxolat,dotxal,pismam,xuşkê,dotxal,pisxal,kûrêmetî,dotxolat,xal,day,xolat,metî,metî,xal,xal,xolat,metî,mam,xal,bab,mam,metî,xolat,mam,day,mam,xolat,mam,xolat,xolat,xal,metî,xal,mam,metî,bab
8,0.30395418261566287,1.6895566803305346,1.3856024977148718,dotxal,dotxolat,pismam,dotmam,dotxal,dotmam,keçmetî,kûrêmetî,pisxolat,dotxal,pisxolat,dotxal,keçmetî,kûrêmetî,kûrêmetî,pisxolat,pisxal,keçmetî,dotmam,dotxolat,kûrêmetî,pisxal,dotmam,pisxolat,keçmetî,kûrêmetî,xuşkê,pisxal,dotxal,dotxal,kûrêmetî,kûrêmetî,pisxolat,keçmetî,dotxolat,dotxolat,pismam,dotxolat,pisxolat,xuşkê,kûrêmetî,xuşkê,pismam,kûrêmetî,pismam,dotxolat,keçmetî,pisxolat,bra,keçmetî,keçmetî,pisxal,bra,keçmetî,dotxolat,pisxal,dotmam,bra,pisxal,pisxolat,xuşkê,dotmam,xuşkê,dotmam,pismam,dotxolat,xuşkê,keçmetî,dotxal,pismam,dotxal,dotmam,pismam,pisxal,dotmam,pismam,kûrêmetî,dotxal,bra,dotxolat,dotxal,pismam,pisxal,dotxolat,pisxolat,pisxal,bra,pisxal,pismam,xolat,mam,metî,day,xal,xolat,metî,xal,day,metî,xolat,xolat,mam,xolat,bab,mam,xal,metî,metî,xal,bab,xolat,xal,mam,mam,metî,xal,mam
9,0.29062715954698315,1.714003397521432,1.4233762379744488,pisxolat,keçmetî,dotxal,xuşkê,pisxolat,pisxal,dotxal,kûrêmetî,keçmetî,kûrêmetî,pismam,dotxal,keçmetî,pismam,pismam,kûrêmetî,pisxolat,pisxal,dotxolat,pisxal,xuşkê,dotmam,dotxolat,pismam,xuşkê,dotxolat,pismam,dotxolat,dotxolat,bra,pisxolat,kûrêmetî,pisxal,bra,dotmam,dotmam,pisxal,keçmetî,kûrêmetî,bra,dotxolat,dotxal,pisxal,kûrêmetî,bra,keçmetî,xuşkê,dotmam,dotmam,kûrêmetî,dotxolat,dotxolat,kûrêmetî,pismam,pisxal,keçmetî,pisxal,dotxolat,dotmam,pisxal,keçmetî,dotxal,pismam,kûrêmetî,keçmetî,dotmam,dotxal,pisxolat,dotxolat,pismam,pisxolat,pisxolat,xuşkê,kûrêmetî,pisxolat,pismam,pisxolat,xuşkê,keçmetî,dotxal,dotxal,dotxal,dotmam,keçmetî,dotmam,pismam,dotxal,bra,pisxal,mam,xal,metî,day,metî,xal,xal,bab,xal,metî,xolat,xolat,mam,metî,xal,metî,bab,mam,xolat,mam,xolat,mam,day,xolat,xolat,xal,metî,mam
