simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.1505863492319195,1.1935496040981333,1.0429632548662138,tugane,teina,tue'ine,tuakana,tuakana,tuakana,tuakana,tugane,tuakana,tue'ine,teina,tue'ine,teina,tugane,tugane,teina,tugane,teina,tue'ine,teina,tue'ine,tugane,tue'ine,tue'ine,tuakana,tugane,tuakana,tuakana,tuakana,tugane,tue'ine,teina,tugane,tugane,teina,tue'ine,teina,tue'ine,kui-iti,kui,motua-iti,motua-iti,kui-iti,motua-iti,kui-iti,motua-iti,motua-iti,"motua, metua, matua",kui-iti,motua-iti,kui-iti,motua-iti,kui-iti,kui-iti,"motua, metua, matua",kui,motua-iti,kui-iti
1,0.17426617241336406,1.1907686023357982,1.0165024299224341,tuakana,tuakana,teina,tuakana,tue'ine,tugane,tuakana,tuakana,tue'ine,teina,teina,tue'ine,tue'ine,teina,tugane,tugane,tue'ine,tugane,teina,tugane,teina,tuakana,tuakana,tugane,tue'ine,tue'ine,tuakana,tugane,teina,tue'ine,tugane,tuakana,teina,tugane,tue'ine,teina,tugane,tue'ine,kui-iti,kui-iti,motua-iti,motua-iti,kui-iti,motua-iti,kui,kui-iti,motua-iti,kui,"motua, metua, matua","motua, metua, matua",motua-iti,kui-iti,kui-iti,motua-iti,kui-iti,motua-iti,kui-iti,motua-iti
2,0.12149817156487153,1.1935496040981333,1.0720514325332617,tugane,tue'ine,tuakana,tue'ine,teina,tugane,tuakana,tuakana,teina,tugane,tugane,teina,teina,tue'ine,teina,tue'ine,tuakana,teina,teina,tue'ine,tugane,tuakana,tuakana,teina,teina,tuakana,tugane,tue'ine,tugane,tuakana,tue'ine,tue'ine,tugane,tuakana,tugane,tue'ine,tugane,tue'ine,kui-iti,motua-iti,kui-iti,kui-iti,kui-iti,kui,motua-iti,motua-iti,motua-iti,"motua, metua, matua",motua-iti,motua-iti,motua-iti,kui-iti,kui-iti,motua-iti,kui-iti,"motua, metua, matua",kui,kui-iti
3,0.08905061543071824,1.140352470501135,1.0513018550704167,tue'ine,tugane,teina,tugane,teina,tuakana,tuakana,tue'ine,tugane,tugane,tugane,tuakana,tuakana,tuakana,teina,tue'ine,teina,tuakana,tue'ine,tue'ine,tugane,tuakana,tugane,tue'ine,tue'ine,teina,teina,tuakana,tugane,tue'ine,tuakana,tue'ine,tugane,tue'ine,teina,teina,teina,tugane,kui-iti,kui,motua-iti,kui-iti,kui-iti,motua-iti,kui-iti,kui-iti,kui-iti,"motua, metua, matua",motua-iti,kui-iti,motua-iti,kui,motua-iti,motua-iti,"motua, metua, matua",motua-iti,motua-iti,kui-iti
4,0.19587294390264764,1.2333059780380897,1.037433034135442,tue'ine,teina,tugane,tuakana,tugane,teina,teina,tugane,teina,tue'ine,tue'ine,tuakana,teina,tue'ine,tuakana,tue'ine,tue'ine,tugane,teina,teina,tuakana,tugane,tuakana,tue'ine,tugane,tue'ine,teina,tugane,tuakana,tuakana,tue'ine,teina,tugane,tuakana,tugane,tue'ine,tuakana,tugane,motua-iti,kui-iti,"motua, metua, matua","motua, metua, matua",kui,kui-iti,kui-iti,kui-iti,motua-iti,motua-iti,motua-iti,motua-iti,motua-iti,kui-iti,motua-iti,kui,kui-iti,kui-iti,kui-iti,motua-iti
5,0.21359502289949117,1.192854958575232,0.9792599356757408,tue'ine,tuakana,teina,tue'ine,tue'ine,tue'ine,tuakana,teina,tugane,tuakana,tuakana,teina,tue'ine,teina,tugane,tue'ine,teina,tuakana,tugane,tugane,teina,tugane,tugane,tugane,teina,tugane,tue'ine,tuakana,tuakana,tugane,tue'ine,tuakana,teina,teina,tue'ine,tue'ine,tuakana,tugane,kui-iti,motua-iti,kui-iti,motua-iti,kui,kui-iti,kui,kui-iti,motua-iti,"motua, metua, matua",kui-iti,kui-iti,"motua, metua, matua",motua-iti,motua-iti,motua-iti,kui-iti,motua-iti,motua-iti,kui-iti
6,0.10737825538384738,1.2356950957386335,1.128316840354786,tugane,tuakana,tuakana,teina,tugane,tuakana,tue'ine,teina,tugane,tugane,tue'ine,tugane,teina,tugane,teina,teina,tue'ine,tue'ine,teina,tuakana,tue'ine,tuakana,tugane,tugane,tue'ine,tue'ine,tue'ine,tue'ine,teina,teina,tugane,tuakana,tuakana,tuakana,tuakana,tue'ine,teina,tugane,kui,kui-iti,kui,"motua, metua, matua",kui-iti,motua-iti,kui-iti,motua-iti,motua-iti,kui-iti,kui-iti,kui-iti,motua-iti,motua-iti,motua-iti,"motua, metua, matua",motua-iti,motua-iti,kui-iti,kui-iti
7,0.13119837982262061,1.1403524705011352,1.0091540906785146,teina,teina,teina,tue'ine,teina,tugane,tue'ine,tuakana,tuakana,tugane,tue'ine,tuakana,tugane,tue'ine,tue'ine,tue'ine,teina,tugane,teina,tuakana,tue'ine,teina,tue'ine,teina,tugane,tue'ine,tugane,tuakana,tugane,teina,tugane,tugane,tuakana,tuakana,tue'ine,tuakana,tuakana,tugane,kui-iti,motua-iti,motua-iti,kui-iti,kui-iti,motua-iti,motua-iti,kui,motua-iti,kui-iti,"motua, metua, matua",motua-iti,motua-iti,"motua, metua, matua",kui,kui-iti,kui-iti,kui-iti,kui-iti,motua-iti
8,0.1771244452189915,1.192854958575232,1.0157305133562404,tugane,tue'ine,tue'ine,tuakana,tugane,teina,teina,tuakana,teina,tue'ine,tue'ine,tugane,tugane,tuakana,tuakana,tugane,teina,tue'ine,teina,tue'ine,tugane,tugane,tugane,teina,tugane,tuakana,tuakana,teina,tuakana,tuakana,tue'ine,tue'ine,teina,tuakana,tue'ine,teina,tue'ine,tugane,kui-iti,kui,kui-iti,motua-iti,"motua, metua, matua",kui-iti,motua-iti,motua-iti,motua-iti,kui-iti,kui-iti,motua-iti,"motua, metua, matua",motua-iti,kui-iti,kui,motua-iti,kui-iti,motua-iti,kui-iti
9,0.1742664091587911,1.2135652713163758,1.0392988621575847,tuakana,tugane,tue'ine,tue'ine,tuakana,teina,tugane,teina,tugane,tugane,tue'ine,tuakana,teina,tuakana,tue'ine,tue'ine,teina,tuakana,teina,tue'ine,teina,tue'ine,teina,tugane,tue'ine,teina,tugane,tue'ine,tugane,tugane,tuakana,tugane,tue'ine,tugane,teina,tuakana,tuakana,tuakana,kui-iti,kui-iti,"motua, metua, matua",motua-iti,motua-iti,kui-iti,kui-iti,kui,"motua, metua, matua",motua-iti,kui-iti,motua-iti,motua-iti,kui-iti,motua-iti,kui,kui-iti,kui-iti,motua-iti,motua-iti
