simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZeD,mFZyD,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZeD,fFZyD,fMBeD,fMByD,fMZyS,fMZeD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.0887819499348046,1.376055285260417,1.2872733353256125,'azhi,'azhi,'azhi,nucu,'azhi,nucu,"sim, num",'azhi,nucu,'aco,"sim, num",'aco,'azhi,nucu,"sim, num",'aco,'aco,"sim, num",nucu,"sim, num","sim, num",'azhi,nucu,'azhi,'aco,'aco,'azhi,'azhi,"sim, num","sim, num",'apa,'ama,'ani,'azha,'amcu,'ani,'apa,'amcu,'azha,'ama,'akhu,'ani,'amcu,'akhu,'ani,'azha,'amcu,'akhu,'azha,'akhu
1,0.044390974967402075,1.034601232910181,0.990210257942779,'aco,'aco,'azhi,'azhi,'azhi,'aco,'aco,"sim, num","sim, num","sim, num",nucu,nucu,"sim, num",'azhi,'azhi,'aco,nucu,'aco,"sim, num",'azhi,nucu,'azhi,"sim, num",'azhi,nucu,'azhi,"sim, num",nucu,"sim, num",'azhi,'ani,'apa,'ani,'azha,'akhu,'akhu,'azha,'apa,'ama,'amcu,'amcu,'amcu,'azha,'amcu,'ani,'azha,'ani,'akhu,'akhu,'ama
2,0.08176584237915585,1.0346012329101812,0.9528353905310254,'azhi,'azhi,'azhi,"sim, num",'aco,'azhi,"sim, num",'aco,'azhi,nucu,'aco,nucu,"sim, num",nucu,'azhi,'aco,'azhi,nucu,'aco,nucu,'azhi,"sim, num",'aco,"sim, num","sim, num",nucu,"sim, num",'azhi,"sim, num",'azhi,'ani,'akhu,'ani,'apa,'azha,'akhu,'ama,'akhu,'amcu,'azha,'akhu,'azha,'apa,'amcu,'ama,'amcu,'azha,'ani,'ani,'amcu
3,0.2120742666998534,1.376055285260417,1.1639810185605637,'aco,'azhi,"sim, num",'azhi,nucu,'aco,'azhi,'azhi,"sim, num","sim, num",'azhi,"sim, num",'aco,nucu,nucu,'aco,'azhi,"sim, num",'azhi,nucu,'azhi,'azhi,"sim, num",nucu,'azhi,'aco,nucu,'aco,"sim, num","sim, num",'amcu,'azha,'akhu,'ama,'akhu,'apa,'ani,'ani,'ama,'akhu,'ani,'apa,'amcu,'akhu,'azha,'ani,'amcu,'amcu,'azha,'azha
4,0.4848660531119162,1.376055285260417,0.8911892321485009,'aco,'azhi,nucu,nucu,'aco,"sim, num","sim, num","sim, num",nucu,nucu,'aco,"sim, num","sim, num",'aco,'aco,'aco,'azhi,'azhi,'azhi,'azhi,"sim, num",'azhi,'azhi,'azhi,'azhi,nucu,"sim, num",nucu,"sim, num",'azhi,'azha,'apa,'amcu,'akhu,'akhu,'ani,'akhu,'ama,'amcu,'ama,'akhu,'ani,'azha,'ani,'amcu,'ani,'apa,'azha,'amcu,'azha
5,0.4101163182884091,1.0789922078775833,0.6688758895891742,'aco,nucu,'aco,'aco,"sim, num",nucu,nucu,nucu,"sim, num",'azhi,"sim, num","sim, num",'aco,'azhi,'azhi,"sim, num",'azhi,'azhi,'azhi,'azhi,'aco,'aco,'azhi,'azhi,"sim, num",'azhi,"sim, num",nucu,"sim, num",nucu,'amcu,'amcu,'akhu,'ani,'azha,'ama,'ani,'akhu,'ani,'ani,'amcu,'azha,'apa,'ama,'azha,'akhu,'azha,'apa,'akhu,'amcu
6,0.10603713334992704,1.0346012329101812,0.9285640995602542,'azhi,"sim, num",'aco,"sim, num","sim, num",nucu,'azhi,nucu,'aco,"sim, num",'aco,'azhi,'aco,nucu,'azhi,"sim, num",nucu,"sim, num",'azhi,"sim, num",'azhi,'aco,'azhi,'azhi,nucu,"sim, num",'aco,nucu,'azhi,'azhi,'ama,'apa,'akhu,'ama,'amcu,'apa,'azha,'amcu,'amcu,'ani,'akhu,'amcu,'azha,'ani,'ani,'ani,'azha,'azha,'akhu,'akhu
7,0.4101163182884092,1.376055285260417,0.9659389669720079,'azhi,'aco,'azhi,"sim, num",'azhi,'aco,nucu,'azhi,'aco,'azhi,nucu,'azhi,'azhi,"sim, num",nucu,"sim, num",nucu,"sim, num",nucu,"sim, num",'aco,'azhi,"sim, num","sim, num","sim, num",'azhi,nucu,'azhi,'aco,'aco,'akhu,'azha,'ama,'ani,'apa,'amcu,'ani,'azha,'ani,'ani,'azha,'akhu,'apa,'amcu,'azha,'akhu,'akhu,'amcu,'ama,'amcu
8,0.4101163182884091,1.3760552852604169,0.9659389669720078,nucu,"sim, num",'aco,nucu,'aco,'aco,'azhi,nucu,'azhi,nucu,'azhi,'azhi,'aco,"sim, num","sim, num",'azhi,"sim, num",nucu,"sim, num",'azhi,'azhi,'aco,"sim, num",nucu,'aco,'azhi,'azhi,"sim, num","sim, num",'azhi,'apa,'ani,'amcu,'ama,'ani,'azha,'akhu,'ani,'akhu,'azha,'ama,'azha,'amcu,'akhu,'apa,'azha,'ani,'amcu,'akhu,'amcu
9,0.4848660531119162,1.376055285260417,0.8911892321485009,nucu,nucu,'aco,'azhi,'azhi,"sim, num","sim, num",'azhi,'aco,nucu,'aco,'azhi,'aco,nucu,nucu,"sim, num","sim, num",'azhi,'azhi,"sim, num","sim, num",'aco,nucu,'azhi,'azhi,'azhi,"sim, num",'aco,"sim, num",'azhi,'akhu,'amcu,'ani,'azha,'amcu,'akhu,'amcu,'amcu,'ama,'azha,'apa,'azha,'ani,'akhu,'ama,'akhu,'ani,'apa,'ani,'azha
