simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeBD,fB,feB,fyB,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeBD,meZ,myZ,feZ,fyZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mM,mMeZ,mMyZ,fM,fMeZ,fMyZ,mF,mMB,mFeB,mFyB,fF,fFZ,fFyB,fFeZ,mMZ,mMyB,fFB,fFyZ,fMeB,mMeB,fFeB
0,0.5425424812727611,2.002723222978198,1.460180741705437,puyu',pö˞it,puyu',puyu',noko',puyu',puyu',puyu',prit,noko',prit,pas,piit,noko',noko',noko',puyu',noko',paar,pö˞it,noko',pas,-qöö˞r,noko',piit,puyu',noko',puyu',noko',pas,noko',-qöö˞r,puyu',puyu',pit,noko',puyu',noko',puyu',noko',puyu',paar,puyu',prit,hamut,noko',noko',noko',puyu',puyu',noko',puyu',kör,pas,puyu',noko',puyu',noko',prit,kör,kuumu,pah,maq,taar,nïm,kuumu,-na',taar,taar,taar,nïm,yïïr,taar,pah,yïïr,yï',maq,yür,pah,yï',-na'
1,0.5504446334913733,2.006418620424968,1.4559739869335946,puyu',noko',puyu',noko',prit,puyu',paar,pas,noko',pö˞it,puyu',puyu',noko',puyu',noko',puyu',noko',paar,noko',piit,puyu',prit,puyu',pas,noko',noko',pö˞it,kör,puyu',kör,noko',noko',noko',puyu',hamut,noko',-qöö˞r,piit,pit,prit,pas,noko',noko',noko',puyu',puyu',noko',puyu',puyu',noko',puyu',noko',noko',-qöö˞r,puyu',prit,pas,puyu',puyu',puyu',kuumu,taar,pah,taar,-na',maq,taar,pah,yï',yïïr,pah,taar,taar,-na',yï',yïïr,nïm,maq,nïm,kuumu,yür
2,0.5466444277056246,1.9475940012614865,1.400949573555862,noko',noko',noko',noko',puyu',puyu',puyu',puyu',puyu',puyu',puyu',noko',piit,noko',puyu',noko',pö˞it,puyu',puyu',piit,puyu',puyu',puyu',-qöö˞r,noko',hamut,pas,noko',noko',noko',prit,pas,paar,puyu',noko',prit,pas,puyu',puyu',noko',prit,puyu',pas,noko',pit,noko',puyu',pö˞it,kör,noko',puyu',kör,paar,puyu',prit,noko',noko',noko',noko',-qöö˞r,kuumu,pah,nïm,pah,maq,maq,pah,taar,taar,taar,yï',kuumu,yïïr,taar,yï',yür,-na',yïïr,-na',taar,nïm
3,0.6813858972737117,2.098285283613915,1.4168993863402035,noko',kör,paar,puyu',puyu',piit,puyu',hamut,noko',noko',pö˞it,puyu',puyu',puyu',-qöö˞r,noko',prit,pas,noko',puyu',pas,puyu',puyu',pas,puyu',puyu',puyu',noko',noko',puyu',prit,noko',puyu',paar,noko',noko',puyu',puyu',noko',pit,prit,noko',noko',noko',noko',puyu',puyu',pö˞it,prit,kör,-qöö˞r,puyu',pas,noko',noko',noko',puyu',noko',piit,noko',kuumu,maq,taar,taar,taar,taar,pah,nïm,pah,yür,pah,yïïr,-na',kuumu,taar,nïm,yï',yï',maq,-na',yïïr
4,0.6274809433613386,2.1082027043692437,1.480721761007905,puyu',piit,pas,paar,noko',piit,-qöö˞r,noko',puyu',puyu',noko',pö˞it,pö˞it,prit,noko',puyu',noko',-qöö˞r,noko',noko',puyu',noko',kör,pas,puyu',puyu',noko',noko',noko',puyu',prit,noko',puyu',puyu',noko',paar,noko',noko',noko',puyu',pit,puyu',puyu',puyu',prit,puyu',puyu',noko',puyu',puyu',puyu',puyu',hamut,kör,noko',pas,noko',prit,noko',pas,pah,kuumu,-na',yïïr,kuumu,taar,taar,yïïr,taar,pah,maq,yür,nïm,pah,taar,maq,taar,nïm,yï',yï',-na'
5,0.5797806367314546,2.1269871012899664,1.5472064645585117,noko',-qöö˞r,kör,noko',pö˞it,pas,noko',noko',puyu',noko',puyu',puyu',puyu',noko',puyu',puyu',puyu',puyu',prit,puyu',pas,noko',noko',pö˞it,noko',noko',pit,noko',paar,pas,puyu',pas,prit,puyu',paar,puyu',puyu',kör,puyu',puyu',hamut,puyu',piit,piit,noko',noko',-qöö˞r,prit,noko',noko',noko',puyu',prit,puyu',noko',noko',noko',puyu',noko',puyu',kuumu,nïm,kuumu,pah,pah,taar,-na',taar,-na',yïïr,taar,yür,taar,maq,yïïr,maq,taar,yï',pah,nïm,yï'
6,0.5806369713288346,1.929548541222961,1.3489115698941263,noko',puyu',noko',piit,noko',prit,puyu',puyu',noko',noko',pas,noko',noko',pas,piit,pit,puyu',pö˞it,paar,puyu',noko',noko',puyu',puyu',puyu',noko',pas,noko',kör,puyu',noko',pas,puyu',puyu',hamut,noko',puyu',noko',puyu',puyu',-qöö˞r,noko',noko',prit,kör,puyu',prit,pö˞it,prit,puyu',paar,puyu',puyu',noko',noko',puyu',noko',noko',-qöö˞r,puyu',taar,kuumu,nïm,taar,maq,kuumu,nïm,yïïr,maq,-na',yï',-na',taar,taar,yür,pah,yï',pah,yïïr,taar,pah
7,0.5192874450863514,1.8550698089177335,1.3357823638313822,prit,puyu',prit,hamut,noko',noko',noko',puyu',puyu',puyu',puyu',noko',noko',pö˞it,puyu',pö˞it,noko',noko',puyu',piit,kör,noko',noko',pas,noko',noko',noko',noko',noko',noko',pit,puyu',puyu',puyu',puyu',noko',prit,puyu',puyu',pas,puyu',puyu',puyu',puyu',puyu',paar,noko',noko',noko',-qöö˞r,puyu',paar,pas,pas,-qöö˞r,piit,puyu',prit,noko',kör,pah,nïm,yï',yïïr,yï',maq,taar,taar,taar,-na',pah,kuumu,-na',pah,yür,maq,kuumu,taar,yïïr,nïm,taar
8,0.5337475776188811,1.9908694189691152,1.457121841350234,paar,kör,prit,noko',noko',puyu',noko',noko',noko',puyu',noko',puyu',piit,noko',hamut,puyu',puyu',puyu',noko',puyu',puyu',paar,noko',puyu',puyu',noko',pas,pas,puyu',noko',puyu',puyu',noko',noko',noko',prit,puyu',pö˞it,pas,noko',noko',noko',puyu',noko',pas,puyu',kör,noko',pit,puyu',-qöö˞r,prit,piit,puyu',prit,puyu',-qöö˞r,puyu',pö˞it,noko',taar,yïïr,nïm,-na',yür,taar,taar,-na',maq,pah,yï',taar,kuumu,pah,taar,kuumu,maq,nïm,pah,yïïr,yï'
9,0.4378063360166504,1.9786659234860573,1.5408595874694069,-qöö˞r,puyu',pas,puyu',prit,-qöö˞r,noko',puyu',puyu',noko',noko',noko',puyu',puyu',puyu',puyu',puyu',noko',prit,noko',noko',noko',puyu',piit,puyu',puyu',noko',noko',piit,pas,noko',pas,noko',prit,puyu',prit,pö˞it,pö˞it,puyu',hamut,noko',pas,noko',puyu',noko',puyu',kör,noko',noko',puyu',noko',noko',puyu',puyu',paar,puyu',noko',kör,pit,paar,nïm,yï',yï',nïm,taar,taar,kuumu,kuumu,pah,-na',yïïr,yïïr,taar,taar,maq,-na',yür,pah,taar,pah,maq
