simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,mMZyD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.08385961153758403,1.1744750649101277,1.0906154533725436,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu mulami,muakunyi,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muakunyi,mukulu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,manseba,manseba,manseba,mankuxi,tatu,mankuxi,mankuxi,tatu,mankuxi,mankuxi,manseba,manseba,mankuxi,mankuxi,manseba,mankuxi,baba,manseba,manseba,manseba,mankuxi,baba,manseba,tatu,tatu,mankuxi,mankuxi,mankuxi
1,0.10703001838344695,1.1330755739761735,1.0260455555927266,mukulu,muan'etu,muan'etu mulami,muan'etu,muakunyi,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mankuxi,tatu,manseba,mankuxi,manseba,mankuxi,mankuxi,baba,manseba,mankuxi,manseba,mankuxi,mankuxi,tatu,manseba,manseba,mankuxi,mankuxi,manseba,tatu,mankuxi,baba,manseba,mankuxi,mankuxi,manseba,manseba,tatu
2,0.07145382149641111,1.1621734143315405,1.0907195928351294,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu mukuxi,muakunyi,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mulami,muan'etu,manseba,mankuxi,manseba,manseba,mankuxi,baba,mankuxi,mankuxi,tatu,manseba,mankuxi,mankuxi,manseba,mankuxi,baba,mankuxi,manseba,manseba,manseba,mankuxi,mankuxi,tatu,tatu,mankuxi,manseba,mankuxi,manseba,tatu
3,0.05668265908303938,1.1846958691316456,1.1280132100486062,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muakunyi,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mulami,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,mankuxi,manseba,manseba,manseba,manseba,tatu,tatu,mankuxi,mankuxi,manseba,baba,manseba,manseba,tatu,mankuxi,mankuxi,manseba,tatu,mankuxi,mankuxi,mankuxi,mankuxi,manseba,mankuxi,mankuxi,mankuxi,baba,manseba
4,0.07142850876555107,1.1510160447054678,1.0795875359399167,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muakunyi,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu mulami,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mankuxi,mankuxi,manseba,mankuxi,mankuxi,mankuxi,tatu,manseba,manseba,mankuxi,manseba,tatu,tatu,mankuxi,mankuxi,baba,tatu,manseba,mankuxi,mankuxi,manseba,manseba,mankuxi,baba,manseba,mankuxi,manseba,manseba
5,0.09698770193980488,1.2008750050537014,1.1038873031138965,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu mulami,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mankuxi,manseba,tatu,mankuxi,mankuxi,mankuxi,manseba,manseba,mankuxi,mankuxi,tatu,tatu,manseba,mankuxi,mankuxi,mankuxi,manseba,baba,manseba,manseba,mankuxi,manseba,mankuxi,manseba,tatu,baba,manseba,mankuxi
6,0.07734928111622597,1.2254334772810587,1.1480841961648327,muan'etu mulami,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,mukulu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,mankuxi,mankuxi,manseba,mankuxi,mankuxi,tatu,baba,mankuxi,tatu,manseba,manseba,mankuxi,mankuxi,manseba,mankuxi,manseba,manseba,baba,mankuxi,tatu,manseba,mankuxi,mankuxi,manseba,manseba,mankuxi,tatu,manseba
7,0.07114168345686656,1.222999631835071,1.1518579483782045,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu mulami,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,tatu,mankuxi,tatu,manseba,manseba,manseba,mankuxi,mankuxi,mankuxi,tatu,mankuxi,manseba,manseba,tatu,mankuxi,mankuxi,manseba,mankuxi,baba,manseba,manseba,mankuxi,manseba,manseba,mankuxi,mankuxi,mankuxi,baba
8,0.03894122363507302,1.1654856698774836,1.1265444462424106,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu mulami,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,mankuxi,tatu,mankuxi,mankuxi,mankuxi,mankuxi,mankuxi,mankuxi,tatu,baba,manseba,manseba,mankuxi,mankuxi,mankuxi,mankuxi,manseba,manseba,manseba,baba,manseba,tatu,mankuxi,manseba,tatu,manseba,manseba,manseba
9,0.05510030237431418,1.1844929295809261,1.129392627206612,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mulami,muakunyi,muan'etu,muan'etu,muan'etu,mukulu,muakunyi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu mukuxi,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,manseba,mankuxi,tatu,mankuxi,manseba,tatu,manseba,tatu,mankuxi,manseba,tatu,mankuxi,baba,manseba,mankuxi,manseba,manseba,mankuxi,manseba,manseba,mankuxi,mankuxi,mankuxi,mankuxi,baba,mankuxi,mankuxi,manseba
