simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.004143433819589815,0.5982695885852573,0.5941261547656674,lu,lu,lu,maun,maun,maun,maun,maun,tei,maun,lu,lu,tei,maun,toka,tei,tei,maun,toka,lu,lu,maun,maun,lu,maun,tei,maun,toka,maun,maun,lu,maun,maun,lu,tei,toka,toka,lu,tina,tina,"kalawa, nigwa",tina,tama,tina,tama,"kalawa, nigwa",tama,"kalawa, nigwa",tama,tina,tama,tina,tina,"kalawa, nigwa",tama,tina,tina,tina
1,0.24243302655595822,1.0346012329101812,0.792168206354223,tei,toka,lu,tei,maun,lu,maun,tei,tei,tei,toka,lu,maun,lu,maun,tei,lu,maun,lu,maun,toka,maun,maun,toka,lu,lu,maun,maun,maun,maun,maun,maun,maun,maun,lu,toka,lu,lu,tina,"kalawa, nigwa",tina,tama,tama,tama,tina,tina,"kalawa, nigwa",tina,tama,tama,tina,tama,"kalawa, nigwa",tina,tina,tina,"kalawa, nigwa",tina
2,0.027135791552279853,0.5982695885852573,0.5711337970329774,maun,maun,lu,lu,lu,maun,maun,maun,toka,maun,tei,maun,toka,lu,lu,maun,toka,lu,lu,maun,tei,lu,tei,tei,maun,maun,lu,tei,tei,maun,maun,lu,maun,maun,toka,maun,toka,lu,tina,tina,"kalawa, nigwa",tina,tama,tama,tama,"kalawa, nigwa",tina,"kalawa, nigwa",tina,tina,tina,"kalawa, nigwa",tama,tina,tama,tina,tama,tina
3,0.2868240015233602,1.0789922078775833,0.7921682063542231,lu,maun,lu,toka,lu,maun,lu,lu,lu,maun,maun,maun,lu,lu,maun,maun,lu,maun,tei,maun,tei,maun,maun,maun,tei,tei,lu,tei,tei,maun,toka,maun,maun,toka,toka,toka,maun,lu,tama,tama,tina,"kalawa, nigwa","kalawa, nigwa",tina,tama,tina,tama,tina,tina,tina,"kalawa, nigwa","kalawa, nigwa",tama,tina,tina,tina,tina,tama
4,0.10603713334992682,1.0346012329101812,0.9285640995602544,toka,maun,toka,tei,lu,lu,lu,toka,maun,maun,toka,tei,lu,lu,lu,maun,maun,maun,maun,toka,maun,lu,maun,maun,tei,maun,tei,lu,maun,maun,maun,lu,tei,lu,tei,maun,lu,maun,tama,tina,"kalawa, nigwa",tama,tina,tina,tama,"kalawa, nigwa",tama,tina,tama,tina,tina,tina,tina,"kalawa, nigwa",tama,"kalawa, nigwa",tina,tina
5,0.06866226593817348,1.0346012329101812,0.9659389669720078,maun,lu,lu,tei,lu,maun,maun,tei,maun,lu,lu,lu,lu,toka,lu,tei,maun,maun,lu,toka,maun,maun,maun,maun,tei,lu,toka,maun,maun,toka,maun,maun,tei,lu,tei,maun,toka,maun,"kalawa, nigwa",tina,"kalawa, nigwa",tama,tama,tina,tama,"kalawa, nigwa",tina,tama,"kalawa, nigwa",tina,tina,tina,tama,tina,tama,tina,tina,tina
6,0.1807868681734337,1.0346012329101812,0.8538143647367475,maun,maun,toka,lu,lu,maun,maun,tei,lu,lu,maun,toka,tei,maun,maun,lu,tei,maun,maun,tei,lu,maun,lu,lu,tei,maun,toka,lu,lu,toka,maun,maun,maun,lu,tei,maun,toka,maun,tina,tama,tama,"kalawa, nigwa",tina,tama,"kalawa, nigwa",tina,tina,tama,tina,"kalawa, nigwa",tina,tina,tama,tina,"kalawa, nigwa",tama,tina,tina
7,0.033359115436214726,0.5982695885852573,0.5649104731490425,lu,tei,lu,maun,maun,lu,maun,maun,maun,maun,lu,tei,lu,toka,maun,maun,lu,toka,tei,maun,tei,toka,tei,maun,maun,toka,maun,lu,tei,toka,maun,lu,maun,maun,lu,lu,maun,lu,"kalawa, nigwa","kalawa, nigwa",tina,"kalawa, nigwa",tama,tina,tina,tina,tama,tina,tina,tama,tama,tama,tama,tina,tina,tina,tina,"kalawa, nigwa"
8,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tei,lu,maun,maun,maun,maun,tei,maun,tei,lu,toka,toka,lu,maun,tei,maun,maun,tei,maun,maun,toka,maun,lu,tei,maun,maun,lu,maun,maun,lu,lu,lu,lu,maun,lu,toka,lu,toka,tama,tina,tama,tina,tina,tina,tina,tina,tama,"kalawa, nigwa",tina,tama,tama,tina,tina,tama,"kalawa, nigwa",tina,"kalawa, nigwa","kalawa, nigwa"
9,0.10603713334992682,1.0346012329101812,0.9285640995602544,lu,tei,maun,maun,lu,tei,lu,tei,tei,maun,tei,maun,maun,maun,maun,maun,lu,lu,maun,maun,lu,lu,tei,toka,maun,toka,lu,lu,toka,maun,maun,maun,maun,toka,lu,lu,toka,maun,tina,tama,"kalawa, nigwa",tama,tina,tama,tina,tina,tina,"kalawa, nigwa","kalawa, nigwa",tina,tina,tama,tina,tama,tama,tina,"kalawa, nigwa",tina
