simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.3212448130151806,1.0606018056124555,0.7393569925972749,kil,kil,detc,detc,at,at,uñutc,unkai,aditcwu,is,tai,aditcwu,unkai,is,unkai,unkai,tai,is,tai,is,is,is,aditcwu,antcuiñ,tai,aditcwu,tai,ta,ta,antcuiñ,aditcwu,unkai,unkai,tai,aditcwu
1,0.3212448130151806,1.0606018056124555,0.7393569925972749,uñutc,detc,kil,at,at,kil,detc,tai,tai,is,aditcwu,aditcwu,tai,unkai,is,is,aditcwu,tai,ta,unkai,antcuiñ,is,antcuiñ,unkai,unkai,aditcwu,tai,aditcwu,tai,is,is,unkai,aditcwu,unkai,ta
2,0.3212448130151806,1.0606018056124555,0.7393569925972749,at,at,detc,kil,kil,uñutc,detc,antcuiñ,is,ta,tai,unkai,tai,is,tai,unkai,unkai,is,tai,unkai,aditcwu,aditcwu,is,aditcwu,unkai,aditcwu,is,ta,aditcwu,antcuiñ,tai,is,aditcwu,unkai,tai
3,0.3626763896514229,1.3792922544726758,1.0166158648212529,detc,uñutc,kil,kil,at,at,detc,unkai,aditcwu,ta,unkai,aditcwu,is,aditcwu,antcuiñ,tai,tai,unkai,unkai,aditcwu,is,tai,is,ta,tai,aditcwu,is,tai,unkai,unkai,antcuiñ,is,is,aditcwu,tai
4,0.7323548859500603,1.3792922544726758,0.6469373685226155,detc,uñutc,detc,at,kil,kil,at,is,antcuiñ,tai,tai,is,unkai,aditcwu,is,aditcwu,tai,aditcwu,antcuiñ,aditcwu,unkai,unkai,aditcwu,unkai,tai,aditcwu,tai,unkai,is,is,unkai,is,tai,ta,ta
5,0.13640556486586197,1.0606018056124555,0.9241962407465936,at,detc,kil,detc,at,kil,uñutc,aditcwu,aditcwu,tai,tai,antcuiñ,unkai,tai,ta,aditcwu,unkai,tai,unkai,aditcwu,antcuiñ,unkai,is,tai,tai,aditcwu,ta,is,aditcwu,unkai,unkai,is,is,is,is
6,0.3626763896514228,1.0096137581740383,0.6469373685226155,uñutc,kil,kil,detc,detc,at,at,tai,is,antcuiñ,tai,unkai,aditcwu,tai,tai,unkai,aditcwu,is,unkai,aditcwu,is,tai,unkai,is,ta,is,aditcwu,aditcwu,aditcwu,ta,unkai,antcuiñ,unkai,is,tai
7,0.2288251889405214,1.0606018056124555,0.8317766166719341,kil,uñutc,at,at,detc,kil,detc,tai,unkai,aditcwu,tai,unkai,aditcwu,tai,is,unkai,ta,unkai,is,tai,is,is,unkai,ta,is,tai,is,aditcwu,aditcwu,antcuiñ,aditcwu,unkai,antcuiñ,aditcwu,tai
8,0.3212448130151806,1.0606018056124555,0.7393569925972749,at,kil,at,kil,detc,detc,uñutc,aditcwu,tai,is,unkai,antcuiñ,antcuiñ,unkai,aditcwu,unkai,aditcwu,ta,ta,aditcwu,aditcwu,tai,unkai,is,is,tai,unkai,is,is,aditcwu,is,tai,unkai,tai,tai
9,0.3626763896514229,1.3792922544726758,1.0166158648212529,uñutc,at,detc,kil,kil,at,detc,is,tai,antcuiñ,aditcwu,tai,is,tai,unkai,antcuiñ,aditcwu,is,aditcwu,tai,unkai,ta,unkai,aditcwu,unkai,ta,is,tai,aditcwu,unkai,is,tai,unkai,aditcwu,is
