simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mMBD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mFBeS,mFByS,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,fB,feB,fyB,feZ,fyZ,fFZD,fMBD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fFBeS,fFByS,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,mZ,fZ,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mF,fF
0,0.255041065605522,1.6440720327154483,1.3890309671099264,buldu,buldu,buldu,buldu,buldu,marlany,buldu,marlany,yunga,bangunu,buldu,marlany,buldu,marlany,buldu,buldu,marlany,marlany,puyalu,bangunu,marlany,buldu,buldu,buldu,marlany,marlany,marlany,marlany,buyalu,buldu,buldu,buldu,buldu,buldu,marlany,buldu,marlany,puyalu,gangguru,marlany,buldu,buldu,buldu,marlany,buldu,marlany,buldu,buldu,buldu,buldu,buldu,buldu,buldu,buldu,marlany,buldu,marlany,buldu,buldu,buldu,buldu,buldu,marlany,yunga,marlany,buyalu,buldu,buldu,buldu,gangguru,gurndili,ganggiya,gany,gurndili,gamuRu,gany,ganggiya,gurndili,ganggiya,gurndili,muma,gamuRu,gany,gany,wiya,gany,gany,gamuRu,gamuRu,gurndili,ganggiya,wiya,gurndili,ganggiya,gamuRu,gamuRu,ganggiya,muma
1,0.20450328605532064,1.710368343866759,1.5058650578114383,buldu,buldu,buldu,marlany,marlany,buldu,buldu,buldu,buldu,buldu,marlany,buldu,marlany,puyalu,buldu,buldu,marlany,buldu,marlany,gangguru,marlany,buldu,buldu,buldu,marlany,buldu,marlany,buyalu,marlany,bangunu,marlany,buldu,buldu,buldu,buldu,buldu,marlany,marlany,buldu,buldu,buldu,buldu,buldu,buldu,buldu,buldu,marlany,marlany,marlany,marlany,buldu,buldu,buldu,buldu,marlany,buyalu,puyalu,gangguru,buldu,buldu,bangunu,yunga,marlany,yunga,buldu,buldu,buldu,buldu,marlany,buldu,gamuRu,gurndili,gany,gany,gamuRu,gurndili,ganggiya,ganggiya,gany,gurndili,gany,ganggiya,ganggiya,gurndili,wiya,gamuRu,gurndili,gany,gamuRu,gamuRu,gany,ganggiya,gurndili,gamuRu,wiya,ganggiya,muma,muma
2,0.23405517874729576,1.7384442036921373,1.5043890249448415,buldu,buldu,marlany,marlany,buldu,marlany,marlany,marlany,buyalu,buldu,buldu,marlany,buldu,buldu,buldu,marlany,buldu,buyalu,buldu,marlany,buldu,marlany,buldu,buldu,buldu,bangunu,marlany,marlany,gangguru,marlany,yunga,buldu,gangguru,buldu,marlany,buldu,marlany,marlany,buldu,buldu,buldu,marlany,buldu,marlany,buldu,puyalu,buldu,buldu,buldu,buldu,puyalu,buldu,buldu,bangunu,buldu,buldu,yunga,buldu,buldu,marlany,buldu,buldu,buldu,marlany,marlany,buldu,buldu,buldu,buldu,buldu,gany,gany,gamuRu,gamuRu,gamuRu,gany,gurndili,gamuRu,gany,gamuRu,gurndili,ganggiya,ganggiya,gurndili,gany,wiya,muma,gurndili,gamuRu,gurndili,ganggiya,gurndili,wiya,ganggiya,ganggiya,gany,ganggiya,muma
3,0.19506522645323443,1.723280545898079,1.5282153194448447,marlany,buldu,buldu,buldu,marlany,buyalu,buldu,buldu,buldu,buldu,bangunu,buldu,yunga,marlany,buldu,puyalu,marlany,marlany,buldu,buldu,marlany,buldu,buldu,buldu,buldu,buldu,buldu,buldu,marlany,marlany,bangunu,buldu,buldu,gangguru,buldu,buldu,marlany,marlany,buyalu,marlany,marlany,buldu,buldu,buldu,marlany,marlany,marlany,buldu,marlany,yunga,buldu,marlany,buldu,buldu,buldu,buldu,buldu,buldu,gangguru,buldu,buldu,marlany,marlany,marlany,buldu,buldu,puyalu,buldu,buldu,buldu,gany,gurndili,gamuRu,gany,gamuRu,gamuRu,ganggiya,gamuRu,ganggiya,gamuRu,gany,ganggiya,wiya,gamuRu,ganggiya,muma,gurndili,wiya,ganggiya,gany,ganggiya,gany,gurndili,gany,gurndili,gurndili,muma,gurndili
4,0.2422433177448562,1.6915649536718516,1.4493216359269954,buldu,buldu,marlany,yunga,buldu,buldu,buldu,buldu,yunga,buldu,marlany,marlany,bangunu,marlany,buldu,buyalu,buldu,marlany,buyalu,marlany,buldu,gangguru,marlany,marlany,marlany,buldu,puyalu,buldu,buldu,buldu,buldu,buldu,marlany,marlany,marlany,buldu,gangguru,marlany,buldu,buldu,buldu,marlany,bangunu,buldu,marlany,buldu,buldu,buldu,buldu,buldu,buldu,marlany,marlany,marlany,buldu,marlany,puyalu,buldu,buldu,buldu,buldu,buldu,buldu,buldu,buldu,buldu,marlany,buldu,buldu,buldu,muma,gany,gurndili,gany,ganggiya,gany,ganggiya,gamuRu,gamuRu,gany,wiya,gamuRu,gurndili,gamuRu,ganggiya,gurndili,muma,gurndili,gamuRu,gany,ganggiya,gamuRu,gany,gurndili,wiya,ganggiya,gurndili,ganggiya
5,0.26752853410381316,1.6601376460353607,1.3926091119315476,buldu,buldu,marlany,buldu,buldu,buldu,gangguru,puyalu,marlany,buldu,buldu,buldu,buldu,buldu,buldu,marlany,buldu,buldu,buldu,buldu,buldu,marlany,marlany,buldu,buldu,puyalu,marlany,buldu,buldu,marlany,buldu,buldu,buldu,buldu,buldu,buldu,buldu,buyalu,marlany,buldu,bangunu,buldu,marlany,buldu,marlany,buldu,bangunu,buyalu,marlany,marlany,buldu,buldu,buldu,buldu,marlany,yunga,marlany,marlany,buldu,marlany,marlany,marlany,buldu,marlany,marlany,gangguru,buldu,buldu,buldu,yunga,ganggiya,ganggiya,gany,gany,gurndili,gamuRu,ganggiya,gamuRu,wiya,gamuRu,gany,gamuRu,gurndili,gany,gamuRu,gany,muma,ganggiya,ganggiya,wiya,muma,gurndili,gurndili,gurndili,gurndili,ganggiya,gamuRu,gany
6,0.23778431456397686,1.6702526896872183,1.4324683751232414,puyalu,buldu,marlany,buldu,buldu,buldu,marlany,marlany,buldu,marlany,buldu,buldu,marlany,buldu,buldu,bangunu,buldu,buldu,buldu,buldu,marlany,buldu,buldu,marlany,buldu,buldu,buldu,buldu,marlany,buldu,marlany,buldu,buyalu,buldu,buldu,marlany,buyalu,marlany,marlany,marlany,marlany,buldu,marlany,buldu,marlany,puyalu,buldu,marlany,yunga,buldu,buldu,bangunu,buldu,marlany,buldu,buldu,buldu,buldu,yunga,gangguru,marlany,buldu,buldu,buldu,buldu,buldu,marlany,buldu,buldu,gangguru,gamuRu,muma,gurndili,gany,ganggiya,gurndili,gany,gurndili,gamuRu,gany,gamuRu,muma,gurndili,gamuRu,ganggiya,ganggiya,ganggiya,gany,ganggiya,gany,gamuRu,ganggiya,gany,wiya,gurndili,gurndili,wiya,gamuRu
7,0.2436271849824636,1.7271358273536952,1.4835086423712316,yunga,marlany,buldu,marlany,marlany,buldu,buldu,buldu,buldu,marlany,buldu,buldu,bangunu,buldu,buldu,marlany,gangguru,buldu,marlany,buldu,marlany,buldu,bangunu,buldu,buldu,buldu,marlany,buldu,buldu,marlany,buldu,puyalu,marlany,yunga,buldu,buldu,buldu,buldu,buldu,marlany,buldu,marlany,buldu,buldu,marlany,buldu,buldu,gangguru,puyalu,buldu,marlany,buldu,buyalu,marlany,marlany,buldu,buyalu,marlany,buldu,buldu,marlany,buldu,marlany,buldu,marlany,buldu,buldu,buldu,buldu,buldu,gamuRu,gany,ganggiya,gany,gany,gurndili,gany,gamuRu,gany,muma,ganggiya,gamuRu,ganggiya,gamuRu,gamuRu,muma,wiya,ganggiya,gurndili,ganggiya,gurndili,ganggiya,gany,gurndili,wiya,gurndili,gamuRu,gurndili
8,0.20884384028743108,1.617309851981355,1.4084660116939238,marlany,buldu,marlany,puyalu,buldu,marlany,yunga,buldu,buldu,yunga,marlany,marlany,buldu,buldu,marlany,buldu,buldu,marlany,marlany,buldu,buldu,buldu,marlany,buldu,buldu,marlany,marlany,buldu,buyalu,gangguru,buldu,buldu,marlany,marlany,buldu,buldu,buldu,buldu,buldu,buldu,marlany,buldu,bangunu,marlany,buldu,buldu,marlany,buldu,buldu,buldu,buldu,marlany,puyalu,buldu,buyalu,buldu,buldu,marlany,marlany,bangunu,buldu,buldu,buldu,buldu,marlany,buldu,buldu,gangguru,buldu,buldu,ganggiya,gany,gurndili,ganggiya,ganggiya,gamuRu,gany,gany,gany,gamuRu,gamuRu,gamuRu,gamuRu,muma,ganggiya,gamuRu,gurndili,muma,wiya,ganggiya,gurndili,gurndili,gurndili,wiya,gurndili,ganggiya,gany,gany
9,0.24780073341998654,1.7321461299136567,1.4843453964936701,yunga,buldu,buldu,buldu,buldu,buldu,marlany,buldu,buldu,buldu,marlany,buldu,puyalu,buldu,marlany,bangunu,marlany,buldu,buldu,buldu,gangguru,puyalu,buldu,marlany,buldu,buyalu,buldu,marlany,buldu,marlany,buldu,buldu,marlany,marlany,buldu,buldu,buldu,gangguru,yunga,buyalu,marlany,bangunu,marlany,buldu,marlany,buldu,marlany,buldu,buldu,buldu,buldu,buldu,buldu,marlany,buldu,marlany,buldu,marlany,marlany,buldu,marlany,buldu,buldu,buldu,buldu,buldu,buldu,marlany,marlany,buldu,ganggiya,gamuRu,muma,gany,gurndili,ganggiya,gurndili,gurndili,gany,gany,gurndili,ganggiya,wiya,muma,gamuRu,gurndili,ganggiya,gany,ganggiya,gany,gamuRu,wiya,gurndili,gamuRu,ganggiya,gamuRu,gany,gamuRu
