simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,fB,fZ,mMeB,mMyB,fMB,fMeB,fMyB,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFB,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.19585060952903244,1.88172691814143,1.6858763086123976,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,stryjczynka,stryjczynok,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,brat,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,brat,dvojúridnyj brat,dvojúridna sestrá,sestrá,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,sestrá,stryjczynka,dvojúridna sestrá,dvojúridnyj brat,stryjczynok,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,vújko,bát'ko,stry'jko,stry'jko,máty,vuyna,stry'jko,vuyna,bát'ko,vújko,djád'ko,vuyna,vuyna,striyna,vuyna,striyna,striyna,stry'jko,vújko,stry'jko,máty,striyna,vuyna,striyna,vújko,stry'jko,djád'ko,striyna
1,0.2488839005140615,1.8298772902711025,1.580993389757041,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,stryjczynka,dvojúridna sestrá,stryjczynka,stryjczynok,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynka,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,brat,sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,sestrá,stryjczynka,stryjczynok,dvojúridna sestrá,stry'jko,striyna,vújko,vuyna,bát'ko,djád'ko,striyna,vuyna,bát'ko,stry'jko,vuyna,stry'jko,vuyna,stry'jko,striyna,striyna,vújko,máty,striyna,máty,stry'jko,djád'ko,stry'jko,vújko,vuyna,vújko,vuyna,striyna
2,0.2390360093792645,1.7435420476911434,1.504506038311879,dvojúridnyj brat,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynka,stryjczynka,brat,sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,sestrá,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,stryjczynka,stryjczynok,stryjczynok,dvojúridna sestrá,stryjczynok,stryjczynka,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,dvojúridna sestrá,brat,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,striyna,djád'ko,striyna,máty,stry'jko,vuyna,máty,stry'jko,stry'jko,striyna,bát'ko,vújko,vuyna,vuyna,vújko,vuyna,striyna,bát'ko,stry'jko,striyna,vuyna,striyna,vuyna,vújko,djád'ko,vújko,stry'jko,stry'jko
3,0.28215353749973127,1.8389873356057644,1.5568337981060332,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,stryjczynka,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,stryjczynka,stryjczynka,stryjczynok,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,dvojúridna sestrá,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,brat,sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,brat,dvojúridnyj brat,stryjczynok,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,stry'jko,máty,vújko,striyna,vújko,striyna,vuyna,máty,vuyna,bát'ko,striyna,bát'ko,vuyna,vújko,striyna,striyna,striyna,djád'ko,vújko,vuyna,djád'ko,vuyna,stry'jko,stry'jko,stry'jko,stry'jko,stry'jko,vuyna
4,0.226536003558931,1.8202656386682272,1.5937296351092962,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,sestrá,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,stryjczynka,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,stryjczynka,dvojúridna sestrá,stryjczynok,brat,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,stryjczynok,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,sestrá,dvojúridnyj brat,stryjczynok,stryjczynka,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynka,stryjczynka,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,brat,stry'jko,vuyna,djád'ko,vuyna,striyna,vújko,vuyna,vújko,stry'jko,stry'jko,stry'jko,máty,vuyna,striyna,stry'jko,vuyna,djád'ko,striyna,striyna,stry'jko,striyna,bát'ko,vújko,vújko,striyna,máty,bát'ko,vuyna
5,0.19677433979425274,1.8734468414214083,1.6766725016271555,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,stryjczynka,sestrá,dvojúridna sestrá,stryjczynok,sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynka,stryjczynka,stryjczynok,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,brat,dvojúridna sestrá,brat,stryjczynka,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,stryjczynka,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,stry'jko,striyna,vuyna,striyna,stry'jko,striyna,vuyna,djád'ko,stry'jko,djád'ko,striyna,vújko,stry'jko,vuyna,vújko,vújko,vuyna,stry'jko,striyna,vújko,máty,vuyna,vuyna,striyna,máty,bát'ko,stry'jko,bát'ko
6,0.29499753359618985,1.831360137955091,1.5363626043589012,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,stryjczynka,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynka,stryjczynka,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,brat,stryjczynka,dvojúridnyj brat,dvojúridnyj brat,sestrá,stryjczynok,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,stryjczynka,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,stryjczynka,vuyna,vuyna,máty,máty,vújko,vuyna,striyna,stry'jko,vújko,striyna,stry'jko,striyna,vuyna,stry'jko,bát'ko,bát'ko,striyna,stry'jko,stry'jko,striyna,vújko,stry'jko,djád'ko,vújko,vuyna,djád'ko,vuyna,striyna
7,0.2389305894636773,1.7384765981912396,1.4995460087275623,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,sestrá,dvojúridna sestrá,stryjczynka,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,stryjczynok,stryjczynok,stryjczynka,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,sestrá,dvojúridna sestrá,stryjczynok,stryjczynka,stryjczynka,dvojúridna sestrá,stryjczynok,stryjczynok,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,dvojúridnyj brat,brat,brat,dvojúridna sestrá,dvojúridnyj brat,stryjczynka,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,vuyna,vuyna,bát'ko,striyna,striyna,djád'ko,stry'jko,striyna,vuyna,bát'ko,vújko,striyna,striyna,stry'jko,djád'ko,vuyna,stry'jko,máty,stry'jko,vújko,vuyna,vújko,stry'jko,máty,striyna,vújko,stry'jko,vuyna
8,0.19258831376301733,1.6948271327318585,1.5022388189688411,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,stryjczynok,stryjczynok,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,stryjczynka,dvojúridna sestrá,dvojúridnyj brat,stryjczynka,stryjczynok,stryjczynok,stryjczynka,brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,stryjczynka,sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,sestrá,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,máty,vújko,striyna,stry'jko,stry'jko,djád'ko,striyna,stry'jko,striyna,stry'jko,stry'jko,stry'jko,vuyna,vuyna,vuyna,vuyna,vuyna,striyna,bát'ko,striyna,striyna,vújko,vújko,máty,vuyna,bát'ko,vújko,djád'ko
9,0.19894405327885822,1.7819141465668655,1.5829700932880073,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynka,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,stryjczynka,dvojúridna sestrá,brat,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,stryjczynok,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,dvojúridnyj brat,stryjczynka,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,dvojúridnyj brat,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,stryjczynka,sestrá,dvojúridna sestrá,stryjczynka,dvojúridnyj brat,brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,stryjczynok,stryjczynka,stryjczynok,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,stryjczynok,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridna sestrá,dvojúridna sestrá,dvojúridnyj brat,dvojúridnyj brat,striyna,vuyna,vújko,stry'jko,stry'jko,vuyna,máty,vuyna,djád'ko,stry'jko,vújko,bát'ko,stry'jko,stry'jko,máty,vuyna,striyna,striyna,striyna,stry'jko,vújko,vújko,striyna,djád'ko,vuyna,bát'ko,striyna,vuyna
