simulation_number,mutual_information,entropy,conditional_entropy,fFZeS,fFZyS,mFZeD,mFZyD,fMBeS,fMByS,mMBeD,mMByD,mFZeS,mFZyS,mMBeS,mMByS,meB,feB,mFBeS,fFBeS,mMZeS,myB,fyB,myZ,fyZ,mFByS,fFByS,mFByD,fFByD,mMZyS,fMZyS,mMZyD,fMZyD,meZ,feZ,mFBeD,fFBeD,mMZeD,fMZeD,fFZyD,fFZeD,fMBeD,fMByD,mFyB,fFeB,fFyB,mF,fF,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ
0,0.17328679513998657,1.3862943611198906,1.213007565979904,neest-chäsʼ,neesh-taseʼ,ne-she-mishʼ,neeʼ-ta-moos,n'-jäʼ-koase,neesh-taseʼ,neeʼ-ta-moos,neesh-taseʼ,neeʼ-ta-moos,ne-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neesʼ-chäs,neesʼ-chäs,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,neest-chäsʼ,ne-mishʼ,n'-däʼ-koase,ne-she-mishʼ,ne-she-mishʼ,ne-mishʼ,neesh-taseʼ,ne-mishʼ,neesh-taseʼ,ne-she-mishʼ,neeʼ-ta-moos,n'-däʼ-koase,n'-däʼ-koase,ne-mishʼ,neeʼ-ta-moos,ne-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,nee-sisʼ,ni-se-goosʼ,n'-doʼ-sis,n'-doʼ-sis,ni-se-goosʼ,nohˑ-täʼ-we,noʼ-ko-mis,n'-gäʼ-wa,nee-sisʼ,n'-doʼ-sis,nohˑ-täʼ-we,ni-se-goosʼ,ni-se-goosʼ,nee-sisʼ,noʼ-ko-mis,n'-doʼ-sis,nee-sisʼ,n'-gäʼ-wa,noʼ-ko-mis
1,0.3465735902799726,1.0397207708399179,0.6931471805599453,neesh-taseʼ,neeʼ-ta-moos,neeʼ-ta-moos,n'-jäʼ-koase,ne-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,neesʼ-chäs,ne-mishʼ,ne-she-mishʼ,n'-däʼ-koase,ne-she-mishʼ,neesh-taseʼ,neeʼ-ta-moos,neesh-taseʼ,ne-mishʼ,neesh-taseʼ,neeʼ-ta-moos,ne-she-mishʼ,ne-she-mishʼ,ne-mishʼ,neeʼ-ta-moos,neest-chäsʼ,n'-däʼ-koase,ne-mishʼ,ne-she-mishʼ,neesh-taseʼ,neeʼ-ta-moos,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neesʼ-chäs,ne-mishʼ,n'-däʼ-koase,neest-chäsʼ,neeʼ-ta-moos,ne-she-mishʼ,nohˑ-täʼ-we,noʼ-ko-mis,n'-gäʼ-wa,nee-sisʼ,noʼ-ko-mis,noʼ-ko-mis,n'-doʼ-sis,nohˑ-täʼ-we,ni-se-goosʼ,ni-se-goosʼ,n'-doʼ-sis,nee-sisʼ,n'-doʼ-sis,ni-se-goosʼ,ni-se-goosʼ,nee-sisʼ,n'-doʼ-sis,n'-gäʼ-wa,nee-sisʼ
2,0.5198603854199589,1.3862943611198906,0.8664339756999316,ne-she-mishʼ,ne-mishʼ,neeʼ-ta-moos,ne-mishʼ,n'-jäʼ-koase,ne-she-mishʼ,ne-she-mishʼ,ne-mishʼ,neesh-taseʼ,n'-däʼ-koase,ne-she-mishʼ,ne-mishʼ,ne-she-mishʼ,ne-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,ne-she-mishʼ,neesʼ-chäs,neeʼ-ta-moos,neesʼ-chäs,neesh-taseʼ,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,neesh-taseʼ,ne-she-mishʼ,neest-chäsʼ,neest-chäsʼ,neesh-taseʼ,neeʼ-ta-moos,n'-däʼ-koase,neeʼ-ta-moos,ne-she-mishʼ,neeʼ-ta-moos,neeʼ-ta-moos,ne-mishʼ,n'-däʼ-koase,neesh-taseʼ,n'-gäʼ-wa,ni-se-goosʼ,n'-doʼ-sis,n'-doʼ-sis,nohˑ-täʼ-we,noʼ-ko-mis,n'-doʼ-sis,ni-se-goosʼ,n'-doʼ-sis,ni-se-goosʼ,noʼ-ko-mis,nee-sisʼ,nee-sisʼ,n'-gäʼ-wa,ni-se-goosʼ,noʼ-ko-mis,nohˑ-täʼ-we,nee-sisʼ,nee-sisʼ
3,0.5198603854199589,1.0397207708399179,0.5198603854199589,ne-she-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,ne-mishʼ,neeʼ-ta-moos,ne-mishʼ,ne-mishʼ,ne-mishʼ,neesh-taseʼ,neeʼ-ta-moos,neesh-taseʼ,ne-she-mishʼ,neesh-taseʼ,neesʼ-chäs,ne-she-mishʼ,neesh-taseʼ,neest-chäsʼ,ne-she-mishʼ,neesh-taseʼ,n'-däʼ-koase,neesʼ-chäs,ne-mishʼ,ne-mishʼ,n'-jäʼ-koase,n'-däʼ-koase,ne-she-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,neest-chäsʼ,ne-she-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,neeʼ-ta-moos,n'-däʼ-koase,neeʼ-ta-moos,ne-she-mishʼ,nohˑ-täʼ-we,nee-sisʼ,ni-se-goosʼ,ni-se-goosʼ,noʼ-ko-mis,n'-doʼ-sis,ni-se-goosʼ,nohˑ-täʼ-we,noʼ-ko-mis,nee-sisʼ,n'-gäʼ-wa,nee-sisʼ,n'-doʼ-sis,n'-doʼ-sis,noʼ-ko-mis,ni-se-goosʼ,n'-doʼ-sis,n'-gäʼ-wa,nee-sisʼ
4,0.2599301927099794,1.0397207708399179,0.7797905781299385,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,n'-däʼ-koase,ne-she-mishʼ,ne-she-mishʼ,n'-jäʼ-koase,ne-she-mishʼ,n'-däʼ-koase,ne-mishʼ,ne-mishʼ,neeʼ-ta-moos,neesʼ-chäs,neesʼ-chäs,neesh-taseʼ,ne-she-mishʼ,neesh-taseʼ,neeʼ-ta-moos,neest-chäsʼ,ne-she-mishʼ,neesh-taseʼ,neeʼ-ta-moos,neest-chäsʼ,ne-she-mishʼ,ne-she-mishʼ,neesh-taseʼ,ne-mishʼ,neeʼ-ta-moos,n'-däʼ-koase,ne-she-mishʼ,neeʼ-ta-moos,neesh-taseʼ,ne-she-mishʼ,neeʼ-ta-moos,ne-mishʼ,ne-mishʼ,ne-mishʼ,neeʼ-ta-moos,nee-sisʼ,n'-doʼ-sis,nee-sisʼ,ni-se-goosʼ,noʼ-ko-mis,nohˑ-täʼ-we,n'-doʼ-sis,ni-se-goosʼ,n'-gäʼ-wa,n'-gäʼ-wa,nee-sisʼ,n'-doʼ-sis,ni-se-goosʼ,noʼ-ko-mis,nee-sisʼ,ni-se-goosʼ,nohˑ-täʼ-we,n'-doʼ-sis,noʼ-ko-mis
5,0.21576155433883565,0.5623351446188083,0.34657359027997264,neeʼ-ta-moos,ne-mishʼ,ne-she-mishʼ,neest-chäsʼ,ne-she-mishʼ,neesh-taseʼ,n'-jäʼ-koase,n'-däʼ-koase,ne-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,neeʼ-ta-moos,neeʼ-ta-moos,n'-däʼ-koase,neeʼ-ta-moos,neesh-taseʼ,neesh-taseʼ,neesh-taseʼ,neesʼ-chäs,neeʼ-ta-moos,n'-däʼ-koase,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,ne-mishʼ,neeʼ-ta-moos,neesʼ-chäs,ne-she-mishʼ,neest-chäsʼ,ne-mishʼ,ne-she-mishʼ,ne-mishʼ,neeʼ-ta-moos,ne-mishʼ,ne-she-mishʼ,neesh-taseʼ,ne-she-mishʼ,nee-sisʼ,noʼ-ko-mis,n'-doʼ-sis,nee-sisʼ,nee-sisʼ,n'-doʼ-sis,ni-se-goosʼ,ni-se-goosʼ,nohˑ-täʼ-we,noʼ-ko-mis,nohˑ-täʼ-we,n'-gäʼ-wa,n'-doʼ-sis,nee-sisʼ,ni-se-goosʼ,ni-se-goosʼ,n'-doʼ-sis,noʼ-ko-mis,n'-gäʼ-wa
6,0.5198603854199589,1.3862943611198906,0.8664339756999316,neest-chäsʼ,ne-mishʼ,ne-she-mishʼ,neesʼ-chäs,n'-däʼ-koase,neeʼ-ta-moos,n'-jäʼ-koase,neesʼ-chäs,neeʼ-ta-moos,neesh-taseʼ,n'-däʼ-koase,neeʼ-ta-moos,ne-mishʼ,neeʼ-ta-moos,neesh-taseʼ,neest-chäsʼ,ne-she-mishʼ,ne-mishʼ,neesh-taseʼ,ne-mishʼ,neeʼ-ta-moos,neeʼ-ta-moos,ne-mishʼ,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,n'-däʼ-koase,ne-mishʼ,ne-she-mishʼ,neesh-taseʼ,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,neesh-taseʼ,ni-se-goosʼ,n'-doʼ-sis,n'-doʼ-sis,noʼ-ko-mis,ni-se-goosʼ,noʼ-ko-mis,nohˑ-täʼ-we,n'-doʼ-sis,n'-gäʼ-wa,nee-sisʼ,nohˑ-täʼ-we,ni-se-goosʼ,nee-sisʼ,nee-sisʼ,n'-doʼ-sis,ni-se-goosʼ,noʼ-ko-mis,n'-gäʼ-wa,nee-sisʼ
7,0.10788077716941769,1.0397207708399179,0.9318399936705002,neeʼ-ta-moos,neeʼ-ta-moos,neesʼ-chäs,ne-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neesʼ-chäs,n'-däʼ-koase,ne-she-mishʼ,neesh-taseʼ,neesh-taseʼ,n'-däʼ-koase,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,n'-däʼ-koase,ne-she-mishʼ,neeʼ-ta-moos,neesh-taseʼ,ne-mishʼ,ne-mishʼ,ne-mishʼ,neest-chäsʼ,neeʼ-ta-moos,ne-mishʼ,ne-she-mishʼ,neesh-taseʼ,ne-she-mishʼ,neeʼ-ta-moos,neeʼ-ta-moos,ne-she-mishʼ,neest-chäsʼ,ne-she-mishʼ,ne-mishʼ,neeʼ-ta-moos,neesh-taseʼ,ne-she-mishʼ,n'-jäʼ-koase,nee-sisʼ,ni-se-goosʼ,noʼ-ko-mis,nohˑ-täʼ-we,noʼ-ko-mis,n'-doʼ-sis,nee-sisʼ,nohˑ-täʼ-we,n'-gäʼ-wa,n'-doʼ-sis,n'-doʼ-sis,ni-se-goosʼ,ni-se-goosʼ,noʼ-ko-mis,n'-doʼ-sis,nee-sisʼ,nee-sisʼ,ni-se-goosʼ,n'-gäʼ-wa
8,0.14058378615470202,1.0397207708399179,0.8991369846852159,neesh-taseʼ,ne-she-mishʼ,neest-chäsʼ,neesh-taseʼ,ne-mishʼ,ne-she-mishʼ,ne-she-mishʼ,n'-däʼ-koase,ne-mishʼ,ne-mishʼ,neesh-taseʼ,ne-she-mishʼ,neeʼ-ta-moos,neesʼ-chäs,ne-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,neeʼ-ta-moos,neeʼ-ta-moos,n'-jäʼ-koase,neesh-taseʼ,n'-däʼ-koase,ne-she-mishʼ,ne-mishʼ,ne-she-mishʼ,neest-chäsʼ,neeʼ-ta-moos,n'-däʼ-koase,neesʼ-chäs,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,neesh-taseʼ,ne-she-mishʼ,ne-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,neeʼ-ta-moos,nohˑ-täʼ-we,nee-sisʼ,ni-se-goosʼ,n'-gäʼ-wa,ni-se-goosʼ,n'-doʼ-sis,nee-sisʼ,n'-doʼ-sis,noʼ-ko-mis,n'-doʼ-sis,nee-sisʼ,noʼ-ko-mis,nee-sisʼ,ni-se-goosʼ,n'-doʼ-sis,nohˑ-täʼ-we,noʼ-ko-mis,n'-gäʼ-wa,ni-se-goosʼ
9,0.6931471805599453,0.6931471805599453,-0.0,ne-she-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,neeʼ-ta-moos,neesh-taseʼ,ne-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,ne-she-mishʼ,ne-she-mishʼ,ne-mishʼ,neest-chäsʼ,n'-däʼ-koase,ne-she-mishʼ,ne-she-mishʼ,neesʼ-chäs,ne-mishʼ,neesh-taseʼ,neest-chäsʼ,n'-jäʼ-koase,neesh-taseʼ,neesh-taseʼ,n'-däʼ-koase,n'-däʼ-koase,ne-she-mishʼ,ne-she-mishʼ,neesʼ-chäs,ne-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,ne-mishʼ,neeʼ-ta-moos,neeʼ-ta-moos,ne-she-mishʼ,neeʼ-ta-moos,neeʼ-ta-moos,neesh-taseʼ,ne-mishʼ,ni-se-goosʼ,nee-sisʼ,noʼ-ko-mis,nohˑ-täʼ-we,ni-se-goosʼ,noʼ-ko-mis,n'-gäʼ-wa,n'-doʼ-sis,n'-doʼ-sis,nee-sisʼ,n'-doʼ-sis,nee-sisʼ,n'-doʼ-sis,nohˑ-täʼ-we,ni-se-goosʼ,noʼ-ko-mis,ni-se-goosʼ,nee-sisʼ,n'-gäʼ-wa
