simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.3059117802940745,1.714604901963508,1.4086931216694334,bōi,mamter-beni,beni,bōi,piter-beni,poftur-boi,mamter-beni,master-beni,piter-beni,mamtur-boi,mamtur-boi,pofter-beni,bōi,pitur-boi,piter-beni,bōi,poftur-boi,pitur-boi,pofter-beni,poftur-boi,beni,master-beni,bōi,master-beni,mamter-beni,beni,pitur-boi,poftur-boi,piter-beni,bōi,pofter-beni,pofter-beni,mamter-beni,master-beni,pofter-beni,mamtur-boi,pitur-boi,mamtur-boi,pofter-beni,piter-beni,pofter-beni,pitur-boi,mastur-boi,poftur-boi,mastur-boi,mastur-boi,pofter-beni,piter-beni,poftur-boi,beni,mamter-beni,piter-beni,pitur-boi,poftur-boi,master-beni,master-beni,pofter-beni,mamtur-boi,mastur-boi,poftur-boi,mamtur-boi,master-beni,pitur-boi,mastur-boi,mastur-boi,master-beni,beni,mamtur-boi,mamtur-boi,mastur-boi,master-beni,mastur-boi,piter-beni,pitur-boi,mamter-beni,pofter-beni,mamtur-boi,mamter-beni,piter-beni,beni,poftur-boi,pitur-boi,pitur-boi,poftur-boi,mastur-boi,mamter-beni,master-beni,mamter-beni,mamtur-boi,mamter-beni,mam,peter,pof,mas,mas,peter,mas,pof,peter,maj,mam,pof,mas,mam,mam,maj,pof,mol,mas,mol,mam,mas,pof,peter,pof,peter,peter,mam
1,0.2848281414848779,1.6407805401106208,1.355952398625743,pofter-beni,mamtur-boi,pofter-beni,mastur-boi,poftur-boi,mamtur-boi,master-beni,mamter-beni,mastur-boi,piter-beni,mastur-boi,pitur-boi,pitur-boi,pofter-beni,poftur-boi,mastur-boi,piter-beni,mastur-boi,beni,pitur-boi,bōi,mamter-beni,poftur-boi,mamtur-boi,pofter-beni,piter-beni,mastur-boi,piter-beni,master-beni,mamter-beni,mamter-beni,mamter-beni,bōi,poftur-boi,bōi,mamter-beni,mastur-boi,beni,mastur-boi,mamter-beni,master-beni,pitur-boi,piter-beni,mastur-boi,beni,master-beni,pitur-boi,bōi,mamtur-boi,beni,poftur-boi,mamtur-boi,master-beni,pitur-boi,pitur-boi,master-beni,mamtur-boi,piter-beni,pofter-beni,pofter-beni,beni,mamtur-boi,poftur-boi,piter-beni,pitur-boi,mamter-beni,bōi,mamter-beni,mamtur-boi,master-beni,beni,pofter-beni,pofter-beni,pitur-boi,pofter-beni,mamtur-boi,master-beni,master-beni,bōi,master-beni,mamter-beni,pofter-beni,poftur-boi,piter-beni,piter-beni,poftur-boi,pitur-boi,poftur-boi,mamtur-boi,poftur-boi,peter,mam,peter,peter,mam,mam,mas,peter,pof,mas,maj,mas,mas,mas,mam,mam,peter,pof,mas,mol,pof,maj,pof,pof,pof,mam,mol,peter
2,0.3240357982533988,1.6424030435615484,1.3183672453081496,poftur-boi,pofter-beni,poftur-boi,mastur-boi,piter-beni,beni,pofter-beni,mamtur-boi,mamter-beni,mamtur-boi,mamter-beni,pofter-beni,pitur-boi,bōi,poftur-boi,mamtur-boi,mamter-beni,pitur-boi,pitur-boi,master-beni,master-beni,pitur-boi,master-beni,mastur-boi,master-beni,mamtur-boi,beni,mamtur-boi,piter-beni,poftur-boi,master-beni,master-beni,mastur-boi,master-beni,pitur-boi,pitur-boi,mamter-beni,poftur-boi,pitur-boi,beni,piter-beni,piter-beni,mastur-boi,piter-beni,pofter-beni,bōi,mamter-beni,pofter-beni,bōi,beni,beni,pofter-beni,mamtur-boi,mastur-boi,bōi,pitur-boi,piter-beni,pitur-boi,mamtur-boi,piter-beni,mamter-beni,piter-beni,mamter-beni,poftur-boi,poftur-boi,beni,mamter-beni,master-beni,pofter-beni,mamtur-boi,mamter-beni,piter-beni,pitur-boi,poftur-boi,pofter-beni,poftur-boi,master-beni,mamter-beni,poftur-boi,master-beni,bōi,bōi,mastur-boi,mastur-boi,mamtur-boi,pofter-beni,mastur-boi,mastur-boi,pofter-beni,mamtur-boi,peter,peter,pof,mas,mas,pof,mas,peter,peter,maj,pof,pof,mam,mol,mam,peter,mas,mam,peter,pof,mam,mam,maj,mol,mas,mam,pof,mas
3,0.34834269732726764,1.7528482475473361,1.4045055502200685,piter-beni,mamtur-boi,bōi,pitur-boi,pofter-beni,pofter-beni,pofter-beni,piter-beni,poftur-boi,beni,master-beni,pitur-boi,pitur-boi,piter-beni,beni,mamtur-boi,pofter-beni,master-beni,poftur-boi,bōi,mamter-beni,piter-beni,master-beni,pofter-beni,poftur-boi,mamtur-boi,pitur-boi,mastur-boi,mamtur-boi,beni,poftur-boi,pitur-boi,pitur-boi,master-beni,mamter-beni,pofter-beni,mamter-beni,mastur-boi,mamter-beni,mastur-boi,master-beni,bōi,bōi,pitur-boi,pofter-beni,beni,pitur-boi,mamter-beni,mamtur-boi,bōi,bōi,beni,piter-beni,mamtur-boi,mastur-boi,mamter-beni,poftur-boi,mastur-boi,mamter-beni,mamtur-boi,poftur-boi,mamtur-boi,piter-beni,pofter-beni,poftur-boi,poftur-boi,mamter-beni,pofter-beni,master-beni,mamter-beni,pofter-beni,master-beni,mamtur-boi,poftur-boi,mastur-boi,mamtur-boi,mamter-beni,piter-beni,pitur-boi,poftur-boi,pitur-boi,mastur-boi,mastur-boi,master-beni,beni,master-beni,master-beni,piter-beni,mastur-boi,piter-beni,pof,maj,mas,pof,mol,peter,mas,pof,mas,peter,pof,mam,peter,mam,peter,mas,maj,mam,mam,mol,mas,peter,pof,mam,peter,mam,pof,mas
4,0.24814145485118422,1.7310203931554804,1.4828789383042962,master-beni,master-beni,piter-beni,pofter-beni,pitur-boi,mastur-boi,mamter-beni,mamtur-boi,pitur-boi,piter-beni,poftur-boi,master-beni,mamtur-boi,poftur-boi,piter-beni,piter-beni,pitur-boi,piter-beni,pofter-beni,mamter-beni,piter-beni,mastur-boi,piter-beni,mastur-boi,piter-beni,beni,master-beni,master-beni,pitur-boi,mamter-beni,poftur-boi,mamter-beni,mamter-beni,beni,bōi,mamtur-boi,poftur-boi,mamtur-boi,mamtur-boi,piter-beni,mastur-boi,beni,mamtur-boi,pofter-beni,master-beni,bōi,mamtur-boi,master-beni,master-beni,mastur-boi,pofter-beni,pofter-beni,mamtur-boi,pitur-boi,poftur-boi,pitur-boi,bōi,beni,beni,mamter-beni,mamter-beni,poftur-boi,mastur-boi,master-beni,master-beni,mamter-beni,mastur-boi,pofter-beni,bōi,bōi,mastur-boi,mamter-beni,poftur-boi,poftur-boi,pofter-beni,pofter-beni,pofter-beni,mastur-boi,pitur-boi,mamtur-boi,mamtur-boi,pitur-boi,mamter-beni,poftur-boi,pitur-boi,pofter-beni,beni,poftur-boi,bōi,pitur-boi,pof,mam,pof,mol,mam,mam,mam,peter,mam,peter,mas,mas,peter,maj,peter,mas,mas,maj,peter,mol,peter,pof,pof,pof,mas,mam,pof,mas
5,0.3685362658157847,1.6651353000339548,1.2965990342181701,poftur-boi,pitur-boi,master-beni,piter-beni,piter-beni,mamtur-boi,master-beni,mamter-beni,master-beni,mastur-boi,mastur-boi,mamtur-boi,piter-beni,piter-beni,mamter-beni,mastur-boi,pitur-boi,beni,bōi,bōi,master-beni,poftur-boi,pitur-boi,mastur-boi,pitur-boi,pofter-beni,master-beni,master-beni,piter-beni,mamter-beni,mamter-beni,master-beni,poftur-boi,mastur-boi,bōi,mastur-boi,beni,pitur-boi,mamter-beni,beni,mamtur-boi,mastur-boi,beni,beni,pofter-beni,piter-beni,poftur-boi,poftur-boi,mastur-boi,pofter-beni,pitur-boi,mamtur-boi,mamter-beni,pofter-beni,pitur-boi,mamtur-boi,poftur-boi,mamtur-boi,poftur-boi,mamter-beni,master-beni,mamter-beni,pofter-beni,beni,poftur-boi,mamtur-boi,pitur-boi,poftur-boi,master-beni,pofter-beni,pofter-beni,pofter-beni,pofter-beni,mamtur-boi,bōi,pitur-boi,piter-beni,poftur-boi,bōi,pitur-boi,pofter-beni,bōi,master-beni,mastur-boi,mamter-beni,mamtur-boi,piter-beni,mamter-beni,mamtur-boi,piter-beni,mas,mas,maj,peter,mas,mas,pof,peter,mol,peter,mam,peter,pof,mas,mam,mam,peter,pof,mas,pof,mol,pof,pof,mam,maj,peter,mam,mam
6,0.23187247372266007,1.6577995411312343,1.4259270674085742,mamter-beni,pofter-beni,mamter-beni,mamtur-boi,piter-beni,poftur-boi,poftur-boi,poftur-boi,master-beni,mamtur-boi,master-beni,master-beni,mastur-boi,poftur-boi,mamtur-boi,master-beni,bōi,pofter-beni,pofter-beni,mastur-boi,poftur-boi,poftur-boi,pitur-boi,piter-beni,bōi,master-beni,pitur-boi,mastur-boi,pofter-beni,pofter-beni,pitur-boi,mamter-beni,master-beni,pofter-beni,poftur-boi,bōi,mamtur-boi,master-beni,piter-beni,mamtur-boi,mamter-beni,beni,beni,mamter-beni,piter-beni,master-beni,mamtur-boi,mamter-beni,mastur-boi,master-beni,beni,bōi,pitur-boi,pofter-beni,bōi,mastur-boi,mamter-beni,bōi,poftur-boi,piter-beni,beni,poftur-boi,mamtur-boi,mamter-beni,mastur-boi,pofter-beni,pitur-boi,mastur-boi,mamtur-boi,master-beni,pitur-boi,mamtur-boi,pitur-boi,pofter-beni,mastur-boi,piter-beni,pitur-boi,piter-beni,mastur-boi,piter-beni,pitur-boi,mamter-beni,mamter-beni,beni,mamtur-boi,beni,pitur-boi,piter-beni,pofter-beni,poftur-boi,mas,mas,mam,mas,pof,mam,peter,peter,pof,pof,mam,mol,mas,pof,mas,peter,peter,pof,maj,mam,peter,maj,mol,pof,mam,peter,mas,mam
7,0.3392043404936429,1.7231167749330019,1.383912434439359,pofter-beni,mamtur-boi,mamter-beni,mamter-beni,mastur-boi,mastur-boi,mastur-boi,mamtur-boi,poftur-boi,mastur-boi,pofter-beni,master-beni,pofter-beni,master-beni,mamter-beni,pofter-beni,pofter-beni,mastur-boi,mastur-boi,poftur-boi,master-beni,pitur-boi,mamter-beni,pitur-boi,pitur-boi,mastur-boi,poftur-boi,piter-beni,master-beni,master-beni,master-beni,piter-beni,bōi,pitur-boi,bōi,poftur-boi,mamtur-boi,mamtur-boi,piter-beni,piter-beni,mamtur-boi,mamtur-boi,bōi,pitur-boi,poftur-boi,piter-beni,bōi,pitur-boi,pofter-beni,pofter-beni,mastur-boi,pitur-boi,pitur-boi,poftur-boi,mamtur-boi,beni,poftur-boi,bōi,beni,poftur-boi,mamter-beni,piter-beni,master-beni,mamter-beni,mamter-beni,beni,mamtur-boi,poftur-boi,mamtur-boi,mamtur-boi,piter-beni,poftur-boi,mamter-beni,master-beni,mamter-beni,mastur-boi,piter-beni,bōi,pofter-beni,master-beni,pitur-boi,beni,master-beni,piter-beni,pofter-beni,beni,pofter-beni,mamter-beni,pitur-boi,beni,mol,mol,pof,pof,mam,maj,mam,mas,mam,mas,peter,pof,peter,peter,peter,mam,pof,mam,mas,mas,pof,peter,mas,pof,peter,mam,mas,maj
8,0.2579871217317282,1.7081504589620011,1.450163337230273,pofter-beni,mamtur-boi,poftur-boi,mamter-beni,mamtur-boi,poftur-boi,pitur-boi,mastur-boi,pitur-boi,piter-beni,pofter-beni,mastur-boi,bōi,mamtur-boi,mastur-boi,mamtur-boi,mamter-beni,bōi,pitur-boi,mamter-beni,beni,mamtur-boi,poftur-boi,master-beni,master-beni,mamter-beni,pitur-boi,beni,bōi,pitur-boi,bōi,piter-beni,pofter-beni,beni,master-beni,master-beni,mastur-boi,poftur-boi,poftur-boi,pofter-beni,pitur-boi,master-beni,piter-beni,mamtur-boi,mamtur-boi,piter-beni,master-beni,mamter-beni,mamtur-boi,poftur-boi,master-beni,pofter-beni,beni,bōi,poftur-boi,poftur-boi,piter-beni,beni,pofter-beni,piter-beni,bōi,mamter-beni,mastur-boi,piter-beni,pofter-beni,mamter-beni,pitur-boi,pofter-beni,mastur-boi,poftur-boi,mastur-boi,mastur-boi,master-beni,mamtur-boi,pofter-beni,piter-beni,master-beni,mamter-beni,pitur-boi,pitur-boi,mamter-beni,beni,mamter-beni,pofter-beni,poftur-boi,pitur-boi,master-beni,mastur-boi,piter-beni,mamtur-boi,mam,pof,pof,mol,mas,maj,mas,peter,pof,mas,mam,mam,mas,maj,peter,pof,mas,peter,mas,mam,mam,peter,mol,mam,pof,peter,pof,peter
9,0.2335426273887169,1.6468993765306323,1.4133567491419154,poftur-boi,master-beni,bōi,mamtur-boi,mastur-boi,poftur-boi,pitur-boi,poftur-boi,mamtur-boi,beni,master-beni,poftur-boi,pofter-beni,piter-beni,mamter-beni,beni,master-beni,pofter-beni,mamtur-boi,mamtur-boi,poftur-boi,mamtur-boi,bōi,mamter-beni,mamtur-boi,bōi,bōi,mastur-boi,piter-beni,piter-beni,mamtur-boi,mastur-boi,pofter-beni,mamter-beni,poftur-boi,mamter-beni,beni,pitur-boi,pofter-beni,mastur-boi,mastur-boi,mastur-boi,piter-beni,mamter-beni,mamter-beni,master-beni,pitur-boi,piter-beni,piter-beni,beni,beni,master-beni,master-beni,pofter-beni,mamter-beni,bōi,bōi,poftur-boi,master-beni,mamter-beni,mamter-beni,piter-beni,pitur-boi,beni,pitur-boi,pitur-boi,pitur-boi,mamter-beni,mastur-boi,mamtur-boi,poftur-boi,pitur-boi,master-beni,mamtur-boi,pofter-beni,pitur-boi,poftur-boi,piter-beni,pofter-beni,piter-beni,mastur-boi,master-beni,master-beni,poftur-boi,mamtur-boi,pofter-beni,pitur-boi,pofter-beni,mastur-boi,pofter-beni,peter,mas,mas,pof,pof,mam,mas,peter,peter,peter,mam,maj,mol,mam,pof,mam,mas,peter,mam,pof,mas,mam,mol,pof,maj,mas,peter,pof
