simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,meZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,myB,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,feZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fyB,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.13314800109929326,0.9922314713153702,0.8590834702160769,yä-akest lej,yä-akest lej,yä-akest lej,wändem,yä-aggot lej,yä-akest lej,tallaq ehet,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,wändem,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,wändem,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,tallaq ehet,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,ehet,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,tallaq wändem,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,ehet,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,ehet,yä-aggot lej,yä-akest lej,tallaq wändem,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,ehet,yä-akest lej,aggot,akest,aggot,akest,akest,akest,akest,aggot,aggot,abbat,akest,akest,akest,aggot,akest,aggot,aggot,aggot,aggot,akest,aggot,ennat,ennat,akest,akest,aggot,aggot,abbat
1,0.06704129038932849,1.0496158041922699,0.9825745138029414,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,tallaq wändem,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,tallaq wändem,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,ehet,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,wändem,tallaq ehet,yä-aggot lej,yä-akest lej,yä-aggot lej,wändem,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,ehet,yä-akest lej,yä-aggot lej,yä-aggot lej,ehet,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,wändem,yä-akest lej,yä-aggot lej,yä-akest lej,tallaq ehet,ehet,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,aggot,aggot,aggot,akest,aggot,aggot,aggot,aggot,akest,akest,akest,aggot,aggot,akest,ennat,akest,aggot,aggot,akest,akest,abbat,aggot,akest,akest,ennat,akest,abbat,akest
2,0.08988377261512825,1.0573285773331893,0.967444804718061,yä-aggot lej,yä-akest lej,wändem,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,ehet,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,tallaq ehet,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,tallaq wändem,ehet,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,ehet,yä-akest lej,wändem,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,wändem,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,ehet,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,tallaq wändem,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,tallaq ehet,yä-aggot lej,aggot,aggot,aggot,akest,akest,akest,aggot,aggot,akest,akest,aggot,akest,akest,akest,abbat,aggot,akest,aggot,akest,abbat,ennat,ennat,aggot,aggot,aggot,aggot,akest,akest
3,0.10224794516615576,1.1271420092844604,1.0248940641183046,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,tallaq wändem,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,ehet,ehet,yä-aggot lej,yä-akest lej,ehet,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,wändem,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,tallaq wändem,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,wändem,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,tallaq ehet,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,wändem,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,ehet,tallaq ehet,yä-aggot lej,yä-akest lej,aggot,aggot,akest,akest,akest,aggot,aggot,akest,aggot,aggot,akest,akest,akest,aggot,akest,akest,akest,ennat,abbat,akest,aggot,aggot,aggot,aggot,akest,abbat,ennat,aggot
4,0.09597884381544963,1.1065792266315735,1.0106003828161239,yä-akest lej,wändem,yä-aggot lej,wändem,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,tallaq wändem,tallaq wändem,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,tallaq ehet,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,ehet,yä-akest lej,yä-akest lej,ehet,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,ehet,ehet,yä-aggot lej,tallaq ehet,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,wändem,yä-aggot lej,yä-aggot lej,ennat,akest,aggot,akest,aggot,akest,aggot,akest,aggot,abbat,aggot,akest,aggot,akest,aggot,aggot,aggot,aggot,ennat,aggot,akest,akest,akest,abbat,akest,akest,aggot,akest
5,0.07321494931122596,1.0481695997514273,0.9749546504402014,yä-akest lej,yä-aggot lej,yä-akest lej,ehet,yä-aggot lej,yä-akest lej,tallaq wändem,yä-akest lej,yä-aggot lej,yä-aggot lej,wändem,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,wändem,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,ehet,yä-akest lej,yä-akest lej,tallaq wändem,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,tallaq ehet,yä-akest lej,yä-aggot lej,ehet,yä-akest lej,yä-aggot lej,yä-aggot lej,tallaq ehet,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,wändem,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,ehet,yä-aggot lej,aggot,aggot,aggot,aggot,abbat,akest,ennat,akest,akest,akest,aggot,aggot,aggot,akest,aggot,aggot,akest,aggot,akest,aggot,akest,abbat,akest,aggot,akest,akest,akest,ennat
6,0.10926289275113232,1.0805042880624136,0.9712413953112813,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,wändem,tallaq ehet,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,ehet,yä-aggot lej,yä-akest lej,ehet,yä-akest lej,tallaq wändem,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,wändem,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,wändem,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,tallaq wändem,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,tallaq ehet,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,ehet,ehet,yä-akest lej,yä-aggot lej,aggot,aggot,aggot,akest,aggot,akest,akest,akest,akest,akest,akest,ennat,aggot,akest,aggot,akest,akest,aggot,aggot,abbat,aggot,akest,abbat,ennat,aggot,aggot,aggot,akest
7,0.07548750762270817,1.1332395048742283,1.0577519972515201,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,tallaq ehet,yä-aggot lej,tallaq wändem,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,ehet,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,wändem,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,ehet,yä-aggot lej,wändem,yä-akest lej,yä-aggot lej,yä-aggot lej,tallaq wändem,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,wändem,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,ehet,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,tallaq ehet,yä-aggot lej,ehet,yä-aggot lej,yä-akest lej,yä-akest lej,aggot,akest,akest,akest,abbat,ennat,aggot,akest,aggot,akest,akest,akest,aggot,akest,akest,aggot,aggot,aggot,aggot,aggot,akest,aggot,abbat,aggot,aggot,ennat,akest,akest
8,0.06837188299921448,1.0669964895670623,0.9986246065678478,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,wändem,ehet,yä-akest lej,ehet,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,ehet,yä-aggot lej,yä-akest lej,yä-aggot lej,tallaq ehet,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,wändem,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,tallaq wändem,yä-aggot lej,yä-akest lej,yä-akest lej,tallaq ehet,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,ehet,yä-akest lej,wändem,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,tallaq wändem,yä-akest lej,aggot,abbat,akest,akest,aggot,aggot,aggot,akest,ennat,aggot,akest,akest,abbat,akest,aggot,akest,akest,aggot,aggot,aggot,ennat,aggot,akest,aggot,akest,akest,akest,aggot
9,0.061114693147985344,1.0422327169458756,0.9811180237978903,yä-akest lej,yä-akest lej,ehet,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,wändem,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,tallaq ehet,yä-aggot lej,yä-akest lej,tallaq ehet,ehet,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,wändem,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,tallaq wändem,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,tallaq wändem,yä-aggot lej,yä-akest lej,yä-aggot lej,ehet,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-aggot lej,yä-akest lej,ehet,wändem,yä-akest lej,yä-aggot lej,aggot,abbat,aggot,akest,aggot,akest,akest,aggot,akest,ennat,akest,aggot,akest,aggot,abbat,akest,akest,aggot,akest,akest,aggot,ennat,aggot,aggot,akest,aggot,akest,aggot
