simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,kaka,hai,hai,hai,hai,kaka,kaka,lakiina,lakiama,lakiama,lakiina,lakiina,lakiina,lakiama,lakiama,lakiina,ama,lakiama,lakiina,lakiina,ama,lakiama,lakiama,ina,lakiama,ina,lakiina
1,0.014032215111297486,1.376055285260417,1.3620230701491196,kaka,hai,hai,hai,hai,kaka,kaka,ama,ina,lakiina,lakiama,lakiama,lakiina,ina,lakiina,lakiama,lakiina,lakiama,lakiina,ama,lakiama,lakiama,lakiina,lakiama,lakiina,lakiina,lakiama
2,0.36157373634686707,1.0789922078775833,0.7174184715307163,hai,hai,kaka,hai,hai,kaka,kaka,ina,ina,lakiina,lakiama,lakiina,lakiama,lakiama,lakiama,lakiama,ama,lakiina,lakiina,lakiama,ama,lakiina,lakiina,lakiina,lakiama,lakiama,lakiina
3,0.004143433819589815,0.5982695885852573,0.5941261547656674,hai,kaka,kaka,hai,kaka,hai,hai,lakiina,lakiina,lakiama,lakiina,ama,ina,lakiama,lakiina,lakiama,lakiina,lakiina,lakiama,lakiina,ama,lakiama,lakiama,lakiina,lakiama,lakiama,ina
4,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,kaka,hai,kaka,hai,hai,hai,kaka,lakiama,lakiina,lakiina,lakiama,ama,lakiama,lakiina,lakiina,lakiama,ina,ina,lakiina,ama,lakiina,lakiama,lakiina,lakiama,lakiama,lakiina,lakiama
5,0.0443909749674023,1.0346012329101812,0.990210257942779,hai,hai,hai,kaka,kaka,kaka,hai,lakiina,ama,lakiama,lakiina,lakiama,lakiama,lakiina,lakiina,ina,lakiama,lakiama,lakiama,lakiina,lakiina,lakiama,ama,ina,lakiina,lakiama,lakiina
6,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hai,hai,hai,kaka,kaka,kaka,hai,lakiina,lakiama,lakiama,lakiina,lakiama,ina,ama,lakiina,lakiina,lakiina,lakiama,lakiina,ama,lakiama,lakiina,lakiina,lakiama,lakiama,lakiama,ina
7,0.18078686817343348,1.0346012329101812,0.8538143647367478,hai,kaka,hai,hai,hai,kaka,kaka,lakiina,lakiama,ama,lakiina,ina,lakiama,lakiina,lakiina,lakiama,lakiina,lakiama,ina,ama,lakiama,lakiina,lakiama,lakiina,lakiama,lakiama,lakiina
8,0.08878194993480437,0.6829081047004717,0.5941261547656673,hai,kaka,hai,kaka,kaka,hai,hai,lakiama,lakiama,lakiina,lakiina,lakiama,ama,lakiina,lakiina,lakiama,lakiama,lakiina,ina,lakiina,ama,lakiama,lakiama,ina,lakiama,lakiina,lakiina
9,0.36157373634686696,0.9799711820833054,0.6183974457364384,hai,kaka,kaka,hai,hai,hai,kaka,ina,lakiina,lakiama,lakiama,lakiina,lakiina,lakiama,ama,lakiama,ina,lakiama,lakiama,lakiama,lakiina,lakiina,lakiina,lakiama,lakiina,ama,lakiina
